測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2010,10201060,201,OX  ,PPB   , 4, 1,  20,  18,  27,  26,  24,  20,  19,  16,  26,  33,  36,  38,  37,  36,  39,  35,  27,  19,   6,   3,   5,   8,   4,   9
2010,10201060,201,OX  ,PPB   , 4, 2,   9,  12,  13,  10,  12,  15,  29,  49,  52,  54,  55,  57,  60,  62,  63,  62,  60,  59,  58,  57,  55,  54,  55,  54
2010,10201060,201,OX  ,PPB   , 4, 3,  55,  54,  54,  54,  53,  44,  30,  25,  43,  50,  54,  57,  60,  61,  60,  63,  61,  58,  57,  56,  54,  52,  49,  45
2010,10201060,201,OX  ,PPB   , 4, 4,  43,  43,  48,  46,  37,  40,  42,  35,  35,  42,  49,  55,  55,  52,  51,  51,  51,  47,  45,  46,  44,  42,  40,  39
2010,10201060,201,OX  ,PPB   , 4, 5,  37,  36,  35,  32,  28,  17,  12,  10,   8,   7,  10,  17,  14,  14,  12,  18,  28,  22,   5,   2,   2,   2,   2,   2
2010,10201060,201,OX  ,PPB   , 4, 6,   9,  16,  19,  20,  23,  22,  18,   9,  11,  17,  29,  37,  40,  53,  56,  57,  55,  52,  42,  21,  19,  15,   9,   6
2010,10201060,201,OX  ,PPB   , 4, 7,  12,  20,  37,  58,  66,  67,  65,  61,  60,  59,  59,  58,  59,9999,  60,  61,  59,  56,  55,  54,  52,  52,  52,  51
2010,10201060,201,OX  ,PPB   , 4, 8,  52,  52,  53,  51,  48,  41,  37,  46,  52,  55,  55,  54,  58,  62,  63,  63,  63,  57,  49,  44,  46,  49,  45,  46
2010,10201060,201,OX  ,PPB   , 4, 9,  46,  44,  44,  46,  44,  34,  32,  38,  41,  44,  47,  48,  50,  52,  50,  51,  48,  44,  35,  31,  30,  30,  31,  31
2010,10201060,201,OX  ,PPB   , 4,10,  21,  17,  16,  22,  19,  17,  19,  31,  42,  52,  55,  56,  62,  67,  73,  79,  72,  58,  55,  37,  27,  23,  20,  13
2010,10201060,201,OX  ,PPB   , 4,11,  11,  12,   9,  16,  25,  19,  28,  33,  27,  38,  30,  35,  52,  58,  64,  65,  53,  44,  45,  46,  44,  45,  45,  49
2010,10201060,201,OX  ,PPB   , 4,12,  49,  44,  42,  42,  38,  31,  28,  26,  23,  31,  35,  36,  38,  32,  31,  27,  30,  29,  29,  32,  34,  41,  39,  37
2010,10201060,201,OX  ,PPB   , 4,13,  36,  33,  30,  29,  29,  28,  29,  29,  32,  37,  42,  47,  46,  50,  52,  53,  55,  43,  36,  27,  39,  46,  50,  54
2010,10201060,201,OX  ,PPB   , 4,14,  54,  55,  56,  56,  55,  54,  52,  49,  50,  50,  52,9999,  55,  54,  54,  53,  52,  51,  49,  49,  49,  49,  51,  51
