測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2011,10201060,201,NOX ,PPB   , 4, 1,   9,  11,   7,   8,   6,   6,   9,  11,  14,  14,  14,   8,   9,  12,  13,  12,  18,  26,  19,  29,  27,  26,  18,  18
2011,10201060,201,NOX ,PPB   , 4, 2,  15,  13,  13,  12,  10,  11,  11,   9,   9,  18,  31,  20,  14,   9,   7,   8,   8,   6,   5,   4,   3,   2,   2,   2
2011,10201060,201,NOX ,PPB   , 4, 3,   2,   1,   1,   1,   1,   1,   1,   1,   1,   3,   3,   3,   3,   3,   3,   4,   5,   3,   4,   4,   4,   3,   4,   3
2011,10201060,201,NOX ,PPB   , 4, 4,   4,   4,   6,   9,  10,   8,  10,   9,   5,   5,   4,   4,   4,   4,   4,   4,   4,   5,   6,   7,   5,   7,   6,   8
2011,10201060,201,NOX ,PPB   , 4, 5,  12,  10,   8,  11,  11,  18,  12,  10,  12,  10,   9,   7,   8,  16,  11,   9,   6,   7,   7,   6,   5,   6,   8,  11
2011,10201060,201,NOX ,PPB   , 4, 6,   9,   9,   7,   9,   8,   8,  10,  11,  11,9999,9999,   9,   5,   8,   7,   6,   7,  14,  21,  27,  28,  24,  21,  15
2011,10201060,201,NOX ,PPB   , 4, 7,  12,  12,   9,  11,  10,  11,  17,  22,  20,  22,  23,  25,  17,  23,  18,  16,  18,  22,  38,  37,  30,  25,  24,  17
2011,10201060,201,NOX ,PPB   , 4, 8,  16,  15,  15,  17,  16,  15,  17,  25,  20,  21,  23,  18,  14,  11,  13,  13,  12,  11,  14,  12,  15,  20,  13,  14
2011,10201060,201,NOX ,PPB   , 4, 9,  15,  16,  16,  16,  18,  19,  19,  19,  17,  14,  14,  13,  15,  11,  13,  17,  10,   7,   6,   5,   5,   5,   8,   8
2011,10201060,201,NOX ,PPB   , 4,10,   8,   7,   8,   7,  10,  11,   8,   8,   8,  10,   7,   7,   7,   7,   7,   7,   7,   9,  15,  15,  18,  15,  13,  13
2011,10201060,201,NOX ,PPB   , 4,11,  13,   8,   7,   6,   6,   7,  10,  11,  13,  12,  15,  14,  12,  12,  11,  12,  12,   9,   7,   5,   4,   3,   3,   3
2011,10201060,201,NOX ,PPB   , 4,12,   3,   3,   3,   3,   2,   4,   4,   4,   5,   4,   4,   4,   4,   4,   5,   5,   5,   6,   6,   8,  10,  12,  16,  14
2011,10201060,201,NOX ,PPB   , 4,13,  12,  11,  10,  10,  10,  10,  11,  12,  15,  16,9999,9999,   8,  11,   9,   8,   8,  10,  12,  18,  13,  11,  13,  13
2011,10201060,201,NOX ,PPB   , 4,14,  11,  11,   9,   9,   7,  11,  11,  12,  14,  16,  14,  10,   7,   7,   9,   8,  13,  17,  18,  27,  23,  27,  24,  17
2011,10201060,201,NOX ,PPB   , 4,15,  14,  12,  10,  12,  16,  17,  18,  18,  15,  16,  16,  15,  17,  12,   9,  10,  12,  16,  20,  13,   7,   6,  11,  13
2011,10201060,201,NOX ,PPB   , 4,16,  13,  15,  16,  11,  12,  15,  13,  11,  11,  14,  11,   9,   6,   6,   6,   5,   3,   3,   4,   3,   3,   3,   2,   1
2011,10201060,201,NOX ,PPB   , 4,17,   1,   1,   2,   1,   1,   2,   5,   5,   4,   4,   4,   4,   4,   5,   5,   5,   5,   8,  11,   9,   8,  10,   9,   9
2011,10201060,201,NOX ,PPB   , 4,18,   7,   9,   9,  11,  11,  13,  12,  16,  17,  19,  16,  14,  11,  13,  13,  12,  14,  15,  13,  10,   8,   7,   5,   7
2011,10201060,201,NOX ,PPB   , 4,19,   6,   5,   5,   8,   7,   6,   6,  10,  14,  18,  20,  13,   9,   6,   6,  11,  16,  15,  16,  23,  22,  19,  19,  16
2011,10201060,201,NOX ,PPB   , 4,20,  13,  11,  19,  11,  12,  18,  28,  29,  30,  25,9999,   6,   5,   7,   5,   5,   5,   5,   5,   4,  11,  16,  11,  10
2011,10201060,201,NOX ,PPB   , 4,21,   7,   6,   5,   5,   6,   9,  14,  15,  12,  12,  10,  10,  10,  13,  16,  22,  25,  30,  26,  24,  20,  17,  14,  13
2011,10201060,201,NOX ,PPB   , 4,22,  11,  12,  12,  12,  13,  18,  26,  21,  22,  23,  21,  16,  13,  15,  19,  17,  17,  20,  26,  25,  22,  24,  21,  21
2011,10201060,201,NOX ,PPB   , 4,23,  25,  21,  13,  12,  11,  16,  17,  20,  25,  28,  20,  20,  20,  16,  10,   9,   9,  13,  10,  10,   8,   8,   7,   3
2011,10201060,201,NOX ,PPB   , 4,24,   3,   3,   2,   3,   3,   2,   4,   4,   5,   5,   5,   6,   6,   7,   8,   8,   8,   7,   6,   6,   7,   7,   8,  10
2011,10201060,201,NOX ,PPB   , 4,25,  10,  12,  11,   9,  12,  14,  17,  19,  14,  11,  11,   8,   7,   6,   6,   5,   6,   7,   7,   7,   8,   8,   8,   7
2011,10201060,201,NOX ,PPB   , 4,26,   6,   8,   7,   8,  10,   9,  10,  12,  14,  16,  13,  14,  13,  13,  11,  16,  16,  13,  10,   9,  14,  15,  10,  11
2011,10201060,201,NOX ,PPB   , 4,27,  11,  13,  14,  11,  15,  13,  13,  18,  20,  19,  19,9999,  14,  15,  14,  15,  14,  11,  12,  11,   9,   9,   7,   6
2011,10201060,201,NOX ,PPB   , 4,28,   6,   6,   6,  10,   5,   5,   6,   7,   9,   9,   8,   8,   7,   8,   8,   7,   6,   6,   6,   6,   4,   5,   5,   5
2011,10201060,201,NOX ,PPB   , 4,29,   4,   3,   5,   8,   8,   7,   8,   9,   8,   7,   8,   6,   5,   5,   5,   5,   5,   5,   5,   5,   6,   5,   7,   8
2011,10201060,201,NOX ,PPB   , 4,30,   9,   8,   7,   5,   7,   9,   8,  12,  12,  11,   9,   9,  10,  12,  12,  12,  10,  12,  15,  10,  12,   9,   9,   9
2011,10201060,201,NOX ,PPB   , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2011,10201060,201,NOX ,PPB   , 5, 1,   8,   7,   5,  12,  11,   9,  10,  11,  15,  12,  12,  10,  10,  11,  11,  10,  10,  10,  10,  11,  10,  13,   9,   4
2011,10201060,201,NOX ,PPB   , 5, 2,   4,   4,   4,   5,   4,   5,   4,   5,   5,   7,   7,   6,   5,   7,   6,   5,   5,   5,   5,   5,   5,   5,   4,   5
2011,10201060,201,NOX ,PPB   , 5, 3,   7,   7,   5,   6,   7,   6,   6,   6,   6,   8,   7,   6,   6,   6,   7,   8,   9,  12,  14,  14,  14,  19,  17,  12
2011,10201060,201,NOX ,PPB   , 5, 4,  10,   9,   8,   7,   7,   7,   6,   8,  10,   7,   6,   5,   6,   6,   6,   6,   5,   5,   5,   5,   5,   5,   5,   4
2011,10201060,201,NOX ,PPB   , 5, 5,   5,   5,   4,   5,   7,   6,   5,   6,   7,  11,   8,   7,   7,   6,   6,   6,   6,   7,   7,   7,   7,   7,   7,   6
2011,10201060,201,NOX ,PPB   , 5, 6,   6,   7,   7,   7,  10,  13,  12,  12,  14,  14,9999,9999,  11,   9,   9,   9,  10,  13,  13,  11,  11,   8,  11,   7
2011,10201060,201,NOX ,PPB   , 5, 7,   9,   8,   9,   9,  11,  14,  14,  13,  18,  18,  19,  16,  12,  10,  12,  10,  11,  12,  15,  17,  16,  16,  16,  17
2011,10201060,201,NOX ,PPB   , 5, 8,  14,  11,   5,   4,   3,   8,  10,   9,   7,   8,   8,   9,   9,   6,   5,   4,   5,   6,   5,   4,   3,   3,   4,   2
2011,10201060,201,NOX ,PPB   , 5, 9,   3,   2,   3,   4,   8,   8,  12,  13,  13,  11,  10,   9,  10,  13,   9,   8,  10,  10,  14,  17,  19,  21,  22,  17
2011,10201060,201,NOX ,PPB   , 5,10,  17,  17,  14,   9,  11,  11,  19,  25,  12,  10,   8,   8,   8,   8,   7,  11,  16,  13,  15,  12,  11,  11,  11,  19
2011,10201060,201,NOX ,PPB   , 5,11,  20,  13,   7,   6,   5,   7,   9,   9,  12,  15,9999,  16,  13,  12,  14,  17,  18,  21,  20,  17,  13,  12,  13,  14
2011,10201060,201,NOX ,PPB   , 5,12,   9,   7,   8,  11,  12,  12,  13,  13,  12,  13,  14,  10,   9,  11,  12,  13,  17,  20,  19,  20,  20,  18,  21,  14
2011,10201060,201,NOX ,PPB   , 5,13,  13,  13,  10,  12,  15,  19,  16,  26,  25,  21,  17,  11,  12,  10,  10,  10,   8,   7,   8,   7,   7,   9,   8,  10
2011,10201060,201,NOX ,PPB   , 5,14,  10,   9,   8,   7,   9,   8,   9,  10,  12,  10,   9,   5,   6,   5,   5,   6,   7,   7,   7,   7,   6,   8,   9,   7
2011,10201060,201,NOX ,PPB   , 5,15,   8,   5,   6,   6,   7,   7,   6,   9,   3,   3,   4,   4,   4,   4,   4,   4,   5,   7,   9,   9,   8,   9,  12,  12
2011,10201060,201,NOX ,PPB   , 5,16,   7,   8,   6,   7,   7,   8,  10,  14,  13,  15,  12,  13,  12,  12,  13,  11,  10,  14,  18,  16,  15,  12,  13,  19
2011,10201060,201,NOX ,PPB   , 5,17,  23,  14,  14,  11,  12,  15,  10,  13,  13,  10,   8,   7,   8,   7,   7,   8,  10,   9,  13,  19,  21,  18,  15,  15
2011,10201060,201,NOX ,PPB   , 5,18,   8,   8,   7,   7,   7,   8,   8,  11,  11,  14,  12,  10,   7,9999,9999,   8,   9,  14,  20,  17,  14,  18,  19,  23
2011,10201060,201,NOX ,PPB   , 5,19,  18,  18,  15,  12,  11,  11,  12,  12,  15,  13,  13,  13,  13,  11,  11,  12,  11,  11,  15,  28,  25,  24,  24,  23
2011,10201060,201,NOX ,PPB   , 5,20,  15,  14,  10,  10,  11,  11,  12,  16,  19,  19,  15,  12,  11,  12,  12,  10,  10,  13,  20,  28,  25,  29,  31,  26
2011,10201060,201,NOX ,PPB   , 5,21,  27,  20,  22,  28,  18,  12,  12,  11,  12,  13,  13,  13,  12,  12,  11,  10,  14,  14,  16,  17,  22,  21,  21,  25
2011,10201060,201,NOX ,PPB   , 5,22,  23,  21,  23,  13,  16,  11,  13,  12,  11,  13,  11,   7,   6,   6,   6,   7,   7,  10,   8,   8,   8,   7,   7,   7
2011,10201060,201,NOX ,PPB   , 5,23,   5,   6,   6,   5,   6,   6,  10,  12,  14,  18,  15,  16,  14,  13,  13,  15,  18,  17,  20,  16,  14,  15,  14,  15
2011,10201060,201,NOX ,PPB   , 5,24,  12,  10,   9,   5,   5,   6,   9,  11,  15,  23,  24,  21,  13,   9,   8,   6,   7,   9,  12,  13,  19,  23,  18,  17
2011,10201060,201,NOX ,PPB   , 5,25,  15,  19,  15,  15,  19,  18,  23,  22,  27,  21,  19,  13,  12,  14,9999,9999,  11,  22,  29,  18,  26,  29,  18,  12
2011,10201060,201,NOX ,PPB   , 5,26,  11,  10,   9,  12,   9,  10,  14,  19,  21,  23,  25,  24,  17,  12,  19,  21,  26,  26,  28,  30,  29,  23,  23,  26
2011,10201060,201,NOX ,PPB   , 5,27,  25,  19,  16,  16,  18,  16,  13,  14,  18,  19,  17,  15,  16,  18,  17,  18,  25,  23,  17,  24,  25,  22,  16,  11
2011,10201060,201,NOX ,PPB   , 5,28,  10,  10,   8,  11,  11,  12,  14,  15,  15,  13,  11,  10,  11,  10,  10,   9,  11,  12,  15,  18,  19,  21,  18,  18
2011,10201060,201,NOX ,PPB   , 5,29,  18,  13,  13,  12,  11,  10,  12,  13,  14,  11,  13,  12,  11,  14,  10,   8,   8,   7,   6,   7,   6,   5,   5,   5
2011,10201060,201,NOX ,PPB   , 5,30,   4,   4,   5,   4,   6,  11,  15,  12,  15,  14,  12,  12,  10,   9,   8,   6,   5,   7,   7,   7,   5,   6,   7,   6
2011,10201060,201,NOX ,PPB   , 5,31,   6,   7,  10,  10,  12,  12,  12,  14,  16,  12,   8,   8,   6,   6,   6,   6,   7,  11,  10,   9,   8,   8,   7,   6
2011,10201060,201,NOX ,PPB   , 6, 1,   7,   7,   7,   8,   8,   8,  11,  12,  14,  15,9999,9999,  15,  16,  15,  14,  15,  21,  30,  23,  20,  20,  21,  15
2011,10201060,201,NOX ,PPB   , 6, 2,  10,  11,  13,  16,  14,  16,  16,  15,  14,  17,  14,  12,  14,  15,  14,  18,  22,  29,  30,  32,  37,  35,  24,  20
2011,10201060,201,NOX ,PPB   , 6, 3,  23,  21,  20,  18,  13,  13,  12,  13,  18,  18,  15,  13,  12,  14,  11,  12,  13,  14,  36,  38,  32,  24,  25,  22
2011,10201060,201,NOX ,PPB   , 6, 4,  17,  14,  14,  12,  14,  17,  12,  13,  14,  14,  12,  11,   9,   9,   9,   9,   9,  10,  13,  15,  17,  18,  15,  12
2011,10201060,201,NOX ,PPB   , 6, 5,  11,  10,   9,   9,   9,   9,   9,   9,  10,  10,  10,  10,  10,  10,  10,  10,  11,  11,   8,   6,   6,   7,   7,   9
2011,10201060,201,NOX ,PPB   , 6, 6,   7,   6,   6,   7,   5,   6,   6,  10,  14,   9,   6,   6,   5,   5,   5,   6,   5,   7,   7,   7,   7,  12,  14,  10
2011,10201060,201,NOX ,PPB   , 6, 7,   7,   9,   9,   6,   7,  10,  13,  15,  18,  16,  10,  11,  13,  12,  12,  15,  14,  13,  13,  13,  15,  14,  13,   9
2011,10201060,201,NOX ,PPB   , 6, 8,   9,  11,  15,  14,  13,  16,  19,  24,  23,  17,9999,9999,  10,   9,   9,   8,   8,   8,   8,   9,  11,  12,  10,  11
2011,10201060,201,NOX ,PPB   , 6, 9,  12,  11,  11,  10,  10,  13,  13,  17,  21,  19,  16,  12,  10,  12,  11,  10,  12,  20,  23,  17,  19,  18,  20,  19
2011,10201060,201,NOX ,PPB   , 6,10,  19,  15,  18,  17,  17,  21,  14,  14,  20,  21,  24,  20,  13,  17,  17,  16,  16,  15,  15,  17,  16,  21,  19,  19
2011,10201060,201,NOX ,PPB   , 6,11,  18,  15,  13,  11,  11,  11,  10,  10,  12,  12,  12,  10,  11,   8,   9,   8,   7,   8,   8,  10,  12,  24,  27,  19
2011,10201060,201,NOX ,PPB   , 6,12,   7,   6,   6,   5,   5,   5,   6,   7,  10,  11,   9,  10,   8,   9,   9,   9,   9,  10,  13,  21,  17,  17,  14,  10
2011,10201060,201,NOX ,PPB   , 6,13,   9,   9,  10,   8,   6,  10,  12,  13,  17,  15,  13,  12,   9,  11,  12,  11,  11,  11,  13,  17,  15,  20,  17,  20
2011,10201060,201,NOX ,PPB   , 6,14,  12,  12,  11,   8,  10,  12,  12,  13,  22,  19,  18,  15,  12,  11,  10,  10,  10,   9,   7,   8,   7,   7,   8,   7
2011,10201060,201,NOX ,PPB   , 6,15,   9,   8,   9,   8,   8,   7,   9,  14,  19,  20,  19,  14,  14,  14,  15,  13,  13,  13,  16,  19,  19,  18,  15,  15
2011,10201060,201,NOX ,PPB   , 6,16,  16,  16,  17,  19,  26,  26,  21,  21,  22,  23,  22,  18,  14,  14,9999,9999,  19,  19,  13,  11,  11,  13,  15,  10
2011,10201060,201,NOX ,PPB   , 6,17,   8,   8,   7,   8,   8,   9,   8,  12,  12,  14,  13,  12,  10,  13,  10,   9,  12,  13,  13,  15,  16,  18,  15,  13
2011,10201060,201,NOX ,PPB   , 6,18,  13,  11,   9,   7,   7,   6,   7,   9,  12,  16,  15,  18,  17,  18,  21,  23,  25,  27,  27,  25,  20,  21,  24,  19
