測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,10201090,201,NMHC,10PPBC, 4, 1,  40,  14,  14,  15,  12,  15,  16,  19,  14,  15,  17,  15,  14,  16,  13,  12,  14,  11,  14,  16,  14,  11,  12,  12
2012,10201090,201,NMHC,10PPBC, 4, 2,  14,  14,  15,  13,  16,  15,  18,  20,  21,  15,  15,  14,  18,  16,  17,  19,  18,  24,  27,  29,  27,  26,  27,  28
2012,10201090,201,NMHC,10PPBC, 4, 3,  27,  31,  22,  21,  24,  28,  30,  33,  33,  23,  26,  28,  28,  30,  29,  23,  26,  22,  19,  32,  21,  20,  17,  11
2012,10201090,201,NMHC,10PPBC, 4, 4,  11,  11,  13,  15,  12,  12,  13,  12,  12,  14,  13,  15,  15,  18,  13,  13,  15,  12,  15,  14,  13,  19,  19,  23
2012,10201090,201,NMHC,10PPBC, 4, 5,  27,  27,  21,  22,  22,  24,  26,  23,  15,  13,  23,  15,  19,  27,  18,  19,  12,  13,  11,  12,  12,  12,  14,  10
2012,10201090,201,NMHC,10PPBC, 4, 6,  16,  15,  22,  17,  26,  22,  25,  18,  19,  14,  16,  19,  13,  14,  15,  12,  13,  13,  10,  12,  15,  14,  14,  13
2012,10201090,201,NMHC,10PPBC, 4, 7,  18,  17,  22,  27,  27,  16,  22,  13,  13,  16,  12,  13,  11,  11,  11,  14,  12,  11,  15,  10,  11,  14,  11,  12
2012,10201090,201,NMHC,10PPBC, 4, 8,  16,  14,  15,  18,  20,  18,  15,  15,  17,  13,   9,  18,  19,  14,  12,  13,  16,  17,  15,  12,  14,  16,  21,  27
2012,10201090,201,NMHC,10PPBC, 4, 9,  19,  20,  20,  15,  20,  16,  19,  27,  19,  21,  16,  27,  23,  10,  18,  14,  10,  10,  14,  14,  13,  14,  18,  14
2012,10201090,201,NMHC,10PPBC, 4,10,  16,  13,  13,  16,  16,  19,  27,  20,  16,  14,  15,  19,  15,  23,   6,  16,  24,  32,  32,  21,  12,  14,  26,  19
2012,10201090,201,NMHC,10PPBC, 4,11,  26,  42,  28,  20,  18,  23,  24,  37,  31,  35,  39,9999,9999,  53,  41,  39,  27,  32,  40,  43,  26,  28,  17,  23
2012,10201090,201,NMHC,10PPBC, 4,12,  16,  16,  14,  14,  14,  13,  13,  13,  21,  22,   7,  15,  19,  15,  18,  10,  20,  20,  19,  25,  16,  17,  15,  12
2012,10201090,201,NMHC,10PPBC, 4,13,  15,  20,  21,  19,  18,  27,  17,  18,  16,  15,  12,  25,  17,  15,  15,   5,  14,  15,  13,  22,  16,  19,  14,  15
2012,10201090,201,NMHC,10PPBC, 4,14,  17,  13,  15,  17,  20,  32,  14,  14,  15,  18,  16,  21,  22,  17,  24,  14,  21,  24,  16,  22,  23,  41,  57,  25
2012,10201090,201,NMHC,10PPBC, 4,15,  32,  30,  23,  22,  21,  23,  21,  23,  26,  18,  23,  21,  18,  17,  18,  12,  16,  14,  16,  10,  14,  15,  14,  21
2012,10201090,201,NMHC,10PPBC, 4,16,  18,  18,  28,  20,  16,  16,  17,  24,  21,  18,  16,  20,  17,  17,  19,  18,  19,  22,  24,  28,  44,  29,  23,  23
2012,10201090,201,NMHC,10PPBC, 4,17,  23,  25,  28,  26,  19,  19,  24,  23,  23,  27,  22,  24,  30,  28,  16,  17,  19,  17,  19,  23,  22,  25,  23,  23
2012,10201090,201,NMHC,10PPBC, 4,18,  21,  28,  19,  21,  32,  36,  22,  34,  26,  21,  20,  12,  17,  25,  15,  16,  16,  13,  13,  10,  14,  19,  24,  17
2012,10201090,201,NMHC,10PPBC, 4,19,  19,  22,  19,  21,  18,  18,  24,  21,  27,  23,  27,  19,  20,  29,  15,   9,  22,  22,  14,  15,  11,  24,  21,  22
2012,10201090,201,NMHC,10PPBC, 4,20,  19,  22,  15,  12,  12,  17,  19,  14,  16,  11,  20,  11,  23,  18,  20,  16,  12,  10,  10,  27,  33,  16,  18,  18
2012,10201090,201,NMHC,10PPBC, 4,21,  13,  17,  20,  21,  16,  17,  22,  19,  22,  20,  26,  13,  17,  25,  17,  14,  21,  17,  17,  15,  16,  22,  21,  20
2012,10201090,201,NMHC,10PPBC, 4,22,  12,  22,  14,  18,  28,  30,  29,  25,  26,  16,  12,  16,  16,  10,  11,  15,  15,  16,  21,  27,  24,  27,  19,  21
2012,10201090,201,NMHC,10PPBC, 4,23,  22,  21,  20,  23,  19,  20,  22,  20,  27,  24,  24,  28,  25,  31,  23,  37,  28,  31,  30,  33,  30,  41,  34,  22
2012,10201090,201,NMHC,10PPBC, 4,24,  20,  20,  21,  17,  15,  16,  24,  16,  20,  14,  22,9999,  17,  19,  31,  37,  21,  32,  20,  36,  36,  23,  16,  21
2012,10201090,201,NMHC,10PPBC, 4,25,  14,  27,  15,  17,  27,  25,  32,  18,  25,  26,  37,  21,  22,  23,  35,  28,  22,  23,  23,  22,  21,  14,  21,  15
2012,10201090,201,NMHC,10PPBC, 4,26,  17,  20,  17,  19,  24,  18,  17,  18,  20,  16,  20,  21,  16,  18,  17,  19,  22,  20,  20,  20,  19,  16,  16,  16
2012,10201090,201,NMHC,10PPBC, 4,27,  18,  22,  13,  17,  14,  15,  14,  13,  13,  16,  24,  22,  19,  15,  15,  14,  18,  21,  22,  19,  28,  30,  20,  20
2012,10201090,201,NMHC,10PPBC, 4,28,  28,  21,  25,  20,  23,  62, 177,  21,  18,  18,  22,  16,  29,  22,  26,  38,  33,  18,  17,  17,  20,  23,  23,  19
2012,10201090,201,NMHC,10PPBC, 4,29,  31,  25,  34,  42,  31,  32,  28,  25,  19,  29,  25,  19,  21,  17,  16,  39,  53,  40,  29,  37,  29,  31,  36,  39
2012,10201090,201,NMHC,10PPBC, 4,30,  42,  27,  41,  32,  28,  22,  21,  22,  35,  35,  39,  29,  25,  22,  21,  23,  18,  21,  35,  33,  22,  30,  23,  25
2012,10201090,201,NMHC,10PPBC, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2012,10201090,201,NMHC,10PPBC, 5, 1,  32,  32,  27,  18,  21,  30,  24,  29,  31,  13,  21,  14,  22,  17,  21,  16,  13,  18,  11,  20,  25,  18,  27,  14
2012,10201090,201,NMHC,10PPBC, 5, 2,  19,  31,  17,  12,  20,  15,  19,  20,  19,  15,  18,  22,  12,  13,  20,  21,  18,  11,  12,  15,  12,   9,  19,  20
2012,10201090,201,NMHC,10PPBC, 5, 3,  21,  15,  17,  30,  31,  24,  16,  25,  25,  18,  15,  15,  21,  17,  22,  20,  14,  18,  24,  19,  12,  17,  13,  11
2012,10201090,201,NMHC,10PPBC, 5, 4,  17,   9,   9,  19,  19,  20,  26,  11,  17,   9,  11,  15,  16,  12,  16,  15,  11,  23,  13,  13,  12,  18,  11,   9
2012,10201090,201,NMHC,10PPBC, 5, 5,  20,  13,  22,  20,   9,  16,  20,  13,  26,  20,  22,  21,  12,  17,  25,  10,  34,  20,  46,  17,  18,  24,  30,  19
2012,10201090,201,NMHC,10PPBC, 5, 6,  24,  11,  21,  29,  16,  25,  20,  18,  43,  17,  31,  22,  32,  24,  29,  22,  14,  36,  14,  10,  11,  10,  13,  10
2012,10201090,201,NMHC,10PPBC, 5, 7,  18,  22,  20,   9,  10,  11,  12,  18,  10,  16,9999,9999,  23,  20,  23,  15,  48,  38,  16,  14,  11,  12,  17,  18
2012,10201090,201,NMHC,10PPBC, 5, 8,  25,  16,  19,  13,  20,  15,  19,  23,  15,  19,  24,  27,  29,  19,  30,  24,  28,  34,  26,  14,  31,  16,  26,  26
2012,10201090,201,NMHC,10PPBC, 5, 9,  14,  21,  18,  17,  18,  16,  21,  20,  24,  24,  21,  22,  50,  24,  31,  19,  31,  18,  24,  18,  19,  38,  33,  29
2012,10201090,201,NMHC,10PPBC, 5,10,  22,  16,  23,  14,  13,  11,  16,  15,   9,  18,  19,   8,  15,  19,  16,  21,  13,  14,  22,  16,  20,  12,  18,  11
2012,10201090,201,NMHC,10PPBC, 5,11,  12,  16,  15,  17,  15,  15,  14,  12,  16,   9,  13,  13,  14,  22,  29,   7,  21,  17,   9,  14,   7,  10,  13,   9
2012,10201090,201,NMHC,10PPBC, 5,12,  12,   8,  13,   9,  12,  16,  11,  16,   6,  15,   9,   9,  11,  16,   8,  11,  10,   9,  14,  12,  10,   6,   8,   5
2012,10201090,201,NMHC,10PPBC, 5,13,   5,   7,  15,  11,   7,  12,   8,  16,  10,  11,  14,  13,  16,  20,  16,  10,  43,  19,  13,  14,  16,  33,  32,  15
2012,10201090,201,NMHC,10PPBC, 5,14,  17,  20,   8,  13,  19,  27,  22,  17,  22,  28,  20,  14,  18,  17,  18,  24,  15,  25,  20,  22,  32,  20,  19,  22
2012,10201090,201,NMHC,10PPBC, 5,15,  15,  25,  27,  23,  18,  21,  18,  14,  17,  13,  14,  18,  24,  29,  15,  21,  27,  16,  29,  20,  29,  31,  24,  26
2012,10201090,201,NMHC,10PPBC, 5,16,  25,  22,  24,  23,  36,  21,   9,  28,  25,  14,  23,  25,  27,  14,  15,  13,  24,  24,  18,  16,  21,  42,  29,  16
2012,10201090,201,NMHC,10PPBC, 5,17,  11,  37,  35,  10,  12,  21,  31,  14,  21,  19,  32,  29,  46,  28,  17,  14,  24,  26,  53,  57,  48,  42,  22,  16
2012,10201090,201,NMHC,10PPBC, 5,18,  26,  26,  25,  24,  21,  24,  26,  22,  24,  15,  36,  19,  34,  29,  26,  18,  39,  14,  14,  10,   9,  16,  12,  16
2012,10201090,201,NMHC,10PPBC, 5,19,  13,  11,  13,   9,  17,   8,  14,  24,  16,  23,  12,  11,   9,  16,  13,  30,  16,  17,  34,  12,  32,  16,  49,  22
2012,10201090,201,NMHC,10PPBC, 5,20,  13,  23,  15,  25,  13,  22,  23,  25,  22,  27,  24,  17,  15,  16,  13,  18,  24,  11,  19,  20,  21,  14,  23,  34
2012,10201090,201,NMHC,10PPBC, 5,21,  17,  27,  18,  35,  22,  16,  16,  23,  21,  22,  28,  14,   9,  17,9999,9999,  58,  30,  33,  19,  40,  29,  31,  32
2012,10201090,201,NMHC,10PPBC, 5,22,  33,  33,  26,  22,  26,  31,  19,  38,  20,  27,  31,  20,  26,  33,  24,  16,  33,  24,  19,  30,  37,  26,  16,  23
2012,10201090,201,NMHC,10PPBC, 5,23,  15,  17,  24,  18,  15,  18,  16,  15,  16,  16,  16,  24,  15,  19,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 5,24,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 5,25,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 5,26,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 5,27,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 5,28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 5,29,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 5,30,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 5,31,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6, 1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6, 2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6, 3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6, 4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6, 5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6, 6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6, 7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6, 8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6, 9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6,10,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6,11,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  39,  63,  48,  55,  38,  43,  38,  31
2012,10201090,201,NMHC,10PPBC, 6,12,  39,  36,  37,  36,  39,  32,  31,  28,  36,  39,  45,  38,  40,  47,  42,  33,  58,  36,  33,  63,  34,  37,  29,  30
2012,10201090,201,NMHC,10PPBC, 6,13,  31,  33,  29,  29,  26,  19,  23,  27,  27,  29,  28,  32,  47,  43,  40,  52,  29,  41,  33,  28,  22,  32,  29,  21
2012,10201090,201,NMHC,10PPBC, 6,14,  19,  22,  23,  23,  22,  22,  22,  21,  26,  22,  21,  28,  20,  20,  28,  27,  14,  41,  22,  23,  33,  29,  22,  27
2012,10201090,201,NMHC,10PPBC, 6,15,  26,  22,  18,  19,  15,  23,  21,  25,  21,  24,  26,  23,  30,  35,  33,  24,  50,  34,  27,  20,  18,  15,  11,  17
2012,10201090,201,NMHC,10PPBC, 6,16,  22,  30,  24,  18,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6,17,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,NMHC,10PPBC, 6,18,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  80,  34,  59,  63,  61,  60,  46,  23,  33,  34,  42,  43,  40
2012,10201090,201,NMHC,10PPBC, 6,19,  28,  45,  40,  36,  38,  42,  33,  31,  34,  35,  50,  54,  29,  32,  41,  39,  35,  23,  31,  20,  38,  33,  33,  29
2012,10201090,201,NMHC,10PPBC, 6,20,  26,  35,  28,  28,  24,  27,  29,  37,  33,  33,  22,  60,  27,  47,  30,  60,  31,  22,  52,  61,  27,  54,  17,  28
2012,10201090,201,NMHC,10PPBC, 6,21,  46,  38,  48,  45,  26,  32,  36,  45,  40,  25,  35,  46,  28,  27,  27,  37,  29,  25,  58,  80,  73,  45,  36,  31
2012,10201090,201,NMHC,10PPBC, 6,22,  48,  36,  36,  44,  36,  37,  26,  31,  29,  31,  34,  33,  25,  31,  36,  56,  23,  20,  19,  41,  10,  32,  22,  29
2012,10201090,201,NMHC,10PPBC, 6,23,  14,  45,  22,  31,  25,  15,  29,  29,  26,  31,  24,  40,  34,  27,  44,  24,  23,  20,  32,  26,  30,  28,  53,  27
2012,10201090,201,NMHC,10PPBC, 6,24,  20,  21,  28,  26,  31,  32,  23,  24,  31,  21,  29,  40,  43,  35,  25,  24,  29,  24,  24,  32,  24,  20,  24,  31
2012,10201090,201,NMHC,10PPBC, 6,25,  38,  38,  21,  45,  24,  20,  23,  24,  21,  15,  21,  20,  22,  33,  19,  35,  23,  26,  25,  57,  35,  20,  25,  25
2012,10201090,201,NMHC,10PPBC, 6,26,  27,  28,  30,  20,  29,  25,  30,  24,  26,  27,  22,  19,  32,  43,  30,  31,  21,  15,  17,  15,  21,  15,  17,  22
2012,10201090,201,NMHC,10PPBC, 6,27,  19,  22,  30,  29,  21,  32,  21,  29,  26,  26,9999,9999,9999,9999,9999,9999,9999,9999,9999,  19,  13,  13,  29,  20
2012,10201090,201,NMHC,10PPBC, 6,28,  14,   9,  16,  21,  22,9999,  22,  16,  33,  19,  48,  18,  12,  12,  15,  32,  22,   9,  34,  33,  23,  24,  10,   8
2012,10201090,201,NMHC,10PPBC, 6,29,  17,  12,  28,  10,  23,  22,  21,  10,  31,   9,   9,   6,  10,   2,  14,  24,   2,  12,  20,  22,  13,  14,  10,   7
2012,10201090,201,NMHC,10PPBC, 6,30,  18,  15,  19,  39,  17,  14,  20,  18,  30,   6,  14,  28,  28,   7,   7,   2,   4,  40,  18,   7,   9,  22,  19,  23
2012,10201090,201,NMHC,10PPBC, 6,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2012,10201090,201,NMHC,10PPBC, 7, 1,  37,   8,  19,  23,  20,  14,  11,   6,  18,  20,  13,  17,  15,   7,   6,  13,  29,   9,  25,  22,  19,  33,  16,   8
2012,10201090,201,NMHC,10PPBC, 7, 2,  27,  20,  21,  31,  20,  21,  10,   7,  20,  12,9999,9999,  36,  49,  46,  28,  46,  61,  36,  46,  25,  40,  26,  27
2012,10201090,201,NMHC,10PPBC, 7, 3,  26,  22,  20,  19,  20,  22,  16,  39,  16,  22,  47,  49,  21,  24,  37,  42,  36,  27,  26,  34,  34,  36,  34,  24
2012,10201090,201,NMHC,10PPBC, 7, 4,  27,  31,  21,  16,  15,  22,  22,  31,  19,  31,  19,  48,  30,  31,  18,  24,  16,  19,  34,  36,  48,  28,  27,  29
2012,10201090,201,NMHC,10PPBC, 7, 5,  35,  44,  24,  25,  48,  42,  25,  26,  27,  25,  35,  37,  34,  37,  34,  40,  72,  41,  38,  34,  64,  41,  56,  33
2012,10201090,201,NMHC,10PPBC, 7, 6,  38,  23,  35,  28,  26,  40,  34,  43,  32,  31,  54,  32,  24,  26,  36,  31,  32,  20,  55,  31,  20,  20,  20,  15
