測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,10201090,201,PM25,UG/M3 , 4, 1,   9,   3,   8,   4,  12,  15,  10,   9,   8,  11,   8,  14,   9,  15,  14,   5,   3,   4,   2,   8,   7,   6,   7,   5
2012,10201090,201,PM25,UG/M3 , 4, 2,  12,   8,   9,  11,   6,   7,  12,   6,   3,  -1,   6,   6,  12,   8,  14,  10,  15,  24,  26,  18,  20,  16,  15,  18
2012,10201090,201,PM25,UG/M3 , 4, 3,  18,  19,  16,  19,  18,  19,  22,  21,  24,  23,  26,  28,  33,  34,  30,  14,   7,   4,  13,  10,  10,   8,   4,   0
2012,10201090,201,PM25,UG/M3 , 4, 4,   8,   4,   4,   3,   4,  10,  16,  14,  16,  12,  11,  10,  15,   6,  10,   7,  11,  15,  12,  11,  17,  12,  10,  12
2012,10201090,201,PM25,UG/M3 , 4, 5,  12,  11,  13,  16,  21,  18,  15,  19,  19,  15,  17,  17,  16,  15,  13,  13,  14,  16,  16,   5,   2,   3,   7,   5
2012,10201090,201,PM25,UG/M3 , 4, 6,   6,  11,  12,  12,  13,  10,  10,  10,   8,   7,  14,   8,   4,  11,  11,  10,   7,   8,  12,  14,   6,   7,  11,   7
2012,10201090,201,PM25,UG/M3 , 4, 7,   6,   8,  14,  14,  14,   9,   9,   6,   0,   9,   3,  10,  13,  37,  19,  14,   9,  13,  10,   6,   9,  14,  12,  14
2012,10201090,201,PM25,UG/M3 , 4, 8,  13,  12,  16,  17,  17,  15,  19,  11,   9,   4,   8,   8,   7,  12,  13,  11,  19,  20,  19,  23,  21,  37,  23,  25
2012,10201090,201,PM25,UG/M3 , 4, 9,  19,  17,  14,  15,  15,  21,  28,  13,  18,  21,  25,  21,  24,  22,  20,  24,  26,  25,  16,  28,  24,  20,  28,  30
2012,10201090,201,PM25,UG/M3 , 4,10,  30,  31,  27,  34,  28,  30,  30,  26,  29,  27,  27,  22,  24,  26,  26,  25,  32,  33,  27,  27,  25,  26,  20,  24
2012,10201090,201,PM25,UG/M3 , 4,11,  19,  26,  27,  24,  23,  24,  29,  40,  52,  46,  48,  55,  57,  61,  58,  55,  58,  51,  44,  51,  31,  24,  19,  14
2012,10201090,201,PM25,UG/M3 , 4,12,  12,   6,   5,   5,   7,   8,  13,  10,   7,  13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,10201090,201,PM25,UG/M3 , 4,13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  11,  21,  13,  29,  33,  23,  13
2012,10201090,201,PM25,UG/M3 , 4,14,  15,  16,  15,  16,  16,  18,  15,  16,  11,  11,  11,   9,   5,   7,   7,  10,   9,   9,   6,   7,   6,   5,   7,   5
2012,10201090,201,PM25,UG/M3 , 4,15,   9,  12,   8,   8,   4,   9,   4,  11,  15,   6,  12,   6,   8,  10,  11,   4,  11,  14,  16,  17,  11,  12,   9,   9
2012,10201090,201,PM25,UG/M3 , 4,16,   8,  13,  16,  12,   8,  13,  10,  24,  14,  16,  19,  19,  23,  28,  28,  34,  35,  36,  33,  40,  55,  46,  34,  37
2012,10201090,201,PM25,UG/M3 , 4,17,   8,  13,  16,  12,   8,  13,  10,  24,  14,  16,  19,  19,  23,  28,  28,  34,  35,  36,  33,  40,  55,  46,  34,  37
2012,10201090,201,PM25,UG/M3 , 4,18,  24,  23,  22,  19,  16,  19,  17,  29,  21,  23,  20,  18,  17,  14,  18,  18,  24,  19,  19,  13,  14,  12,   8,   8
2012,10201090,201,PM25,UG/M3 , 4,19,   8,  11,  15,  14,  15,  17,  24,  21,  20,  20,  22,  21,  18,  15,  18,  20,  15,   9,   6,   4,   8,   7,   7,   7
2012,10201090,201,PM25,UG/M3 , 4,20,   4,   2,   5,   4,   6,   2,   5,   4,   4,   1,   3,   6,   8,   7,  20,  21,  14,  14,   9,   8,   7,   6,  11,   6
2012,10201090,201,PM25,UG/M3 , 4,21,   7,   5,   8,  13,  13,  18,  22,  22,  21,  27,  24,  29,  21,  25,  26,  22,  21,  22,  20,  13,  13,  12,   8,  10
2012,10201090,201,PM25,UG/M3 , 4,22,   8,  12,   6,  11,  12,  12,  13,  12,  13,   9,   9,   4,   8,   7,  14,  20,  19,  18,  17,  18,  17,  16,  15,  13
2012,10201090,201,PM25,UG/M3 , 4,23,  15,  12,   9,   7,   2,   7,   7,   8,   9,  12,   7,   8,   9,  12,   7,  15,  11,  14,  17,  16,  14,  16,   9,   7
2012,10201090,201,PM25,UG/M3 , 4,24,   9,   6,   4,   8,   5,   6,  14,  17,  27,  22,  20,  23,  24,  24,  29,  27,  35,  36,  41,  34,  32,  27,  27,  26
2012,10201090,201,PM25,UG/M3 , 4,25,  26,  22,  28,  31,  25,  29,  35,  34,  35,  47,  49,  43,  40,  37,  34,  35,  34,  35,  32,  29,  26,  24,  24,  29
2012,10201090,201,PM25,UG/M3 , 4,26,  28,  26,  26,  31,  21,  27,  26,  27,  27,  24,  27,  31,  34,  31,  37,  36,  27,  22,  22,  20,  15,  24,  19,  23
2012,10201090,201,PM25,UG/M3 , 4,27,  22,  17,  19,  12,   6,   6,   1,   3,   2,   3,   7,  11,9999,   6,   8,  10,9999,  10,9999,9999,9999,   7,9999,9999
2012,10201090,201,PM25,UG/M3 , 4,28,  14,  12,   6,  11,  12,   9,  11,  24,  21,  17,  17,  19,  24,  22,  23,  19,  22,  19,  15,  13,  13,  12,  15,  14
2012,10201090,201,PM25,UG/M3 , 4,29,  12,  17,  15,  19,  17,  20,  29,  29,  29,  36,  36,  31,  30,  34,  31,  32,  34,  36,  41,  40,  38,  34,  38,  30
2012,10201090,201,PM25,UG/M3 , 4,30,  36,  36,  34,  33,  30,  31,  31,  27,  32,  53,  60,  46,  42,  34,  27,  28,  27,  22,  31,  31,  16,   9,  12,  13
2012,10201090,201,PM25,UG/M3 , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2012,10201090,201,PM25,UG/M3 , 5, 1,  19,  18,  19,  18,  22,  21,  21,  18,  19,  18,  15,  20,  15,  19,  17,  14,  15,  15,  13,  18,  15,  13,  15,  18
