測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2016,10201090,201,HUM ,%     , 4, 1,  48,  47,  49,  56,  58,  57,  49,  45,  38,  43,  50,  53,  53,  48,  48,  48,  58,  56,  60,  57,  52,  55,  57,  60
2016,10201090,201,HUM ,%     , 4, 2,  63,  65,  65,  63,  65,  66,  62,  58,  54,  51,  52,  53,  53,  56,  61,  61,  61,  60,  64,  71,  76,  83,  83,  87
2016,10201090,201,HUM ,%     , 4, 3,  89,  87,  86,  87,  94,  94,  87,  69,  64,  61,  64,  64,  56,  59,  62,  63,  64,  66,  69,  73,  74,  77,  78,  80
2016,10201090,201,HUM ,%     , 4, 4,  79,  81,  82,  91,  99, 100, 100,  97,  99, 100,  88,  66,  59,  56,  62,  74,  80,  86,  76,  99,  99, 100, 100, 100
2016,10201090,201,HUM ,%     , 4, 5, 100, 100,  99,  99, 100, 100,  99, 100, 100,  99, 100, 100, 100,  84,  77,  74,  71,  75,  84,  88, 100,  99,  96,  89
2016,10201090,201,HUM ,%     , 4, 6,  84,  87,  85,  75,  81,  83,  73,  67,  50,  39,  34,  32,  30,  29,  33,  35,  39,  37,  39,  40,  44,  48,  55,  60
2016,10201090,201,HUM ,%     , 4, 7,  63,  64,  68,  74,  73,  71,  97,  99, 100,  99, 100, 100,  99,  99, 100, 100,  96,  99,  98,  94,  94,  97,  77,  78
2016,10201090,201,HUM ,%     , 4, 8,  73,  69,  64,  61,  63,  67,  63,  57,  51,  41,  42,  40,  38,  37,  35,  35,  40,  64,  69,  70,  77,  91,  84,  84
2016,10201090,201,HUM ,%     , 4, 9,  83,  86,  80,  71,  73,  71,  66,  59,  55,  47,  44,  44,  48,  34,  34,  44,  51,  60,  66,  71,  85,  89,  88,  71
2016,10201090,201,HUM ,%     , 4,10,  65,  62,  68,  66,  68,  69,  62,  59,  51,  44,  42,  36,  38,  41,  38,  39,  44,  46,  51,  58,  65,  83,  90,  85
2016,10201090,201,HUM ,%     , 4,11,  84,  86,  88,  60,  56,  53,  56,  44,  42,  39,  38,  40,  40,  40,  38,  37,  36,  45,  52,  51,  55,  56,  55,  62
2016,10201090,201,HUM ,%     , 4,12,  67,  73,  68,  69,  65,  56,  49,  46,  40,  42,  39,  33,  30,  32,  31,  32,  35,  37,  47,  56,  58,  60,  63,  68
2016,10201090,201,HUM ,%     , 4,13,  70,  67,  69,  67,  68,  61,  52,  48,  53,  52,  53,  54,  55,  57,  58,  59,  60,  60,  74,  88,  88,  82,  83,  88
2016,10201090,201,HUM ,%     , 4,14,  85,  99, 100,  99, 100,  99, 100,  89,  84,  85,  79,  72,  72,  66,  62,  63,  68,  75,  79,  51,  53,  53,  54,  50
2016,10201090,201,HUM ,%     , 4,15,  49,  46,  45,  45,  40,  42,  41,  42,  41,  38,  36,  35,  36,  33,  33,  33,  34,  35,  35,  34,  35,  34,  35,  37
2016,10201090,201,HUM ,%     , 4,16,  37,  37,  43,  54,  58,  57,  47,  43,  47,  42,  37,  36,  35,  40,  45,  49,  53,  54,  60,  62,  66,  71,  72,  85
