測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2011,08201030,201,OX  ,PPB   , 4, 1,  39,  36,  35,  27,  18,  16,  16,  25,  37,  52,  55,  56,  60,  60,  64,  63,  66,  57,  51,  46,  37,  27,  14,  15
2011,08201030,201,OX  ,PPB   , 4, 2,  19,  17,  17,  18,  20,  12,   9,  17,  26,  37,  43,  50,  61,  67,  68,  71,  76,  72,  60,  48,  49,  51,  50,  49
2011,08201030,201,OX  ,PPB   , 4, 3,  49,  48,  45,  43,  40,  37,  43,  46,  45,  46,  47,  48,  50,  51,  50,  50,  49,  48,  47,  35,  20,  27,  31,  31
2011,08201030,201,OX  ,PPB   , 4, 4,  33,  32,  36,  37,  29,  29,  38,  41,  47,  48,  49,9999,9999,  48,  50,  49,  49,  46,  41,  40,  42,  41,  40,  38
2011,08201030,201,OX  ,PPB   , 4, 5,  36,  32,  21,  19,  14,  11,  11,  26,  40,  47,  51,  52,  54,  56,  55,  57,  56,  54,  45,  30,  13,   7,   3,  16
2011,08201030,201,OX  ,PPB   , 4, 6,9999,  15,  18,  23,  22,  18,  22,  20,  32,  44,  53,  58,  60,  63,  64,  74,  73,  58,  60,  61,  55,  46,  25,  25
2011,08201030,201,OX  ,PPB   , 4, 7,  25,  26,  23,  26,  23,  20,  23,  24,  27,  39,  49,  58,  57,  58,  59,  62,  62,  58,  52,  50,  47,  44,  43,  40
2011,08201030,201,OX  ,PPB   , 4, 8,  39,  40,  38,  39,  42,  45,  43,  46,  49,  52,  54,  53,  52,  54,  54,  53,  52,  49,  46,  46,  44,  41,  35,  18
2011,08201030,201,OX  ,PPB   , 4, 9,  19,  14,  31,  39,  43,  45,  45,  43,  42,  43,  43,  40,  39,  39,  36,  30,  31,  30,  22,  11,  29,  39,  44,  43
2011,08201030,201,OX  ,PPB   , 4,10,  44,  44,  40,  39,  38,  36,  38,  44,  46,  51,  52,  54,  57,  57,  56,  56,  54,  53,  50,  49,  37,  19,  19,  27
2011,08201030,201,OX  ,PPB   , 4,11,  31,  28,  18,  17,  16,  15,  12,  22,  38,  45,  50,  55,  63,  73,  63,  61,  60,  59,  59,  61,  61,  55,  52,  55
2011,08201030,201,OX  ,PPB   , 4,12,  55,  52,  50,  51,  49,  44,  44,  49,  52,  51,  51,  52,  53,  53,  55,  57,  57,  55,  49,  45,  37,  34,  37,  33
2011,08201030,201,OX  ,PPB   , 4,13,9999,  20,  22,  24,  21,  20,  18,  22,  31,  50,  57,  58,  60,  58,  59,  61,  63,  60,  55,  43,  37,  32,  25,  27
2011,08201030,201,OX  ,PPB   , 4,14,  36,  30,  21,  19,  24,  25,  34,  34,  51,  64,  69,  74,  77,  77,  77,  76,  78,  70,  67,  65,  59,  28,  23,  31
2011,08201030,201,OX  ,PPB   , 4,15,  32,  24,  15,  12,  14,  16,  17,  25,  35,  42,  60,  63,  69,  74,  73,  62,  54,  51,  46,  45,  40,  42,  45,  45
2011,08201030,201,OX  ,PPB   , 4,16,  47,  44,  43,  41,  41,  36,  34,  31,  33,  39,  44,  49,  54,  65,  62,  61,  62,  57,  54,  48,  49,  48,  46,  44
2011,08201030,201,OX  ,PPB   , 4,17,  42,  43,  43,  39,  38,  36,  41,  44,  46,  48,  50,  53,  54,  55,  56,  56,  57,  55,  56,  51,  46,  40,  29,  32
2011,08201030,201,OX  ,PPB   , 4,18,  35,  33,  30,  30,  26,  21,  31,  39,  45,  48,  50,  51,  52,  52,  51,  51,  50,  49,  48,  43,  38,  39,  32,  44
2011,08201030,201,OX  ,PPB   , 4,19,  46,  42,  41,  43,  49,  46,  47,  49,  52,  50,  49,  48,9999,  40,  43,  46,  42,  42,  43,  43,  44,  42,  41,  40
2011,08201030,201,OX  ,PPB   , 4,20,9999,  38,  37,  31,  16,  13,  24,  27,  30,  37,  41,  43,  46,  43,  43,  43,  42,  41,  39,  38,  36,  36,  31,  23
2011,08201030,201,OX  ,PPB   , 4,21,  26,  26,  25,  25,  27,  25,  24,  27,  34,  38,  37,  40,  41,  42,  42,  43,  43,  44,  43,  40,  35,  29,  29,  28
2011,08201030,201,OX  ,PPB   , 4,22,  26,  25,  23,  21,  21,  20,  18,  24,  29,  35,  47,  55,  59,  58,  61,  61,  43,  38,  35,  38,  41,  42,  38,  37
2011,08201030,201,OX  ,PPB   , 4,23,  35,  38,  38,  36,  37,  31,  37,  45,  46,  47,  48,  48,  47,  46,  46,  46,  46,  46,  46,  46,  45,  48,  50,  49
2011,08201030,201,OX  ,PPB   , 4,24,  47,  44,  41,  51,  51,  51,  48,  47,  49,  50,  52,  55,  56,  56,  58,  61,  57,  55,  51,  51,  49,  49,  38,  26
2011,08201030,201,OX  ,PPB   , 4,25,  21,  12,  13,  16,  17,  18,  18,  25,  35,  52,  58,  62,  62,  58,  52,  54,  54,  52,  45,  41,  22,   8,   8,  13
2011,08201030,201,OX  ,PPB   , 4,26,  14,  17,  17,  18,  18,  14,  20,  23,  34,  44,  57,  63,  63,  63,  64,  68,  69,  59,  50,  44,  41,  40,  30,  27
2011,08201030,201,OX  ,PPB   , 4,27,9999,  21,  19,  15,  16,  15,  16,  26,  44,  55,  66,  67,  67,  67,  61,  59,  57,  55,  51,  52,  50,  53,  60,  61
2011,08201030,201,OX  ,PPB   , 4,28,  62,  64,  65,  65,  59,  50,  44,  42,  43,  41,  44,  52,  54,  58,  62,  60,  56,  51,  42,  39,  48,  45,  46,  45
2011,08201030,201,OX  ,PPB   , 4,29,  44,  41,  46,  46,  44,  39,  37,  36,  39,  49,  53,  56,  58,  58,  61,  59,  58,  56,  53,  52,  51,  41,  32,  31
2011,08201030,201,OX  ,PPB   , 4,30,  24,  22,  16,  13,  13,  15,  18,  22,  44,  54,  60,  64,  68,  68,  71,  72,  71,  62,  56,  48,  43,  42,  39,  26
2011,08201030,201,OX  ,PPB   , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2011,08201030,201,OX  ,PPB   , 5, 1,  17,  18,  19,  18,  14,  16,  13,  25,  40,  53,  57,  54,  59,  63,  58,  54,  52,  52,  55,  51,  48,  40,  33,  44
2011,08201030,201,OX  ,PPB   , 5, 2,  40,  32,  28,  19,  16,  23,  37,  39,  44,  52,  53,  53,  54,  51,  52,  54,  50,  48,  47,  41,  37,  29,  24,  27
