測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2011,08201030,201,WS  ,0.1M/S, 4, 1,  21,  30,   8,  11,  11,  14,  11,  14,  11,  12,  24,  26,  34,  43,  44,  55,  36,  44,  27,  29,  14,   9,  11,  15
2011,08201030,201,WS  ,0.1M/S, 4, 2,  16,   8,  16,  12,  13,   8,  22,  11,   8,   9,  11,   9,  21,  20,  43,  46,  49,  36,  40,  43,  43,  54,  39,  48
2011,08201030,201,WS  ,0.1M/S, 4, 3,  32,  21,  18,  11,   8,  11,  23,  22,  14,  11,   8,  20,  22,  29,  40,  40,  28,  19,  15,   8,  14,  13,  14,  14
2011,08201030,201,WS  ,0.1M/S, 4, 4,  15,  24,  19,  16,  14,  25,  30,  46,  38,  32,  34,  47,  48,  60,  50,  45,  56,  27,  22,  20,  21,  18,  17,  20
2011,08201030,201,WS  ,0.1M/S, 4, 5,  16,  10,   9,   5,  10,   3,   5,  18,  23,  17,  27,   8,  20,  40,  45,  38,  35,  18,   4,   7,   4,  11,  19,  11
2011,08201030,201,WS  ,0.1M/S, 4, 6,  10,  14,  19,  16,  10,  20,  10,   7,  19,  24,  30,  29,  20,  31,  55,  65,  41,  40,  40,  27,  21,   1,  17,  15
2011,08201030,201,WS  ,0.1M/S, 4, 7,  12,  12,  16,  18,  11,  14,  15,   8,   8,  14,  29,  44,  37,  27,  31,  53,  59,  39,  40,  31,  38,  34,  34,  21
2011,08201030,201,WS  ,0.1M/S, 4, 8,  23,  29,  24,  26,  38,  28,  52,  60,  89,  86,  90,  79,  80,  76,  87,  78,  65,  62,  64,  55,  47,  27,   9,  16
2011,08201030,201,WS  ,0.1M/S, 4, 9,  16,  17,  23,  26,  23,  22,  15,  35,  18,  26,  10,  29,  22,  13,  19,  11,  25,  29,  18,  21,  23,  33,  29,  27
2011,08201030,201,WS  ,0.1M/S, 4,10,  35,  31,  25,  27,  23,  25,  23,  34,  28,  23,  18,  24,  25,  37,  32,  31,  24,  21,  25,  16,   2,   4,  16,  16
2011,08201030,201,WS  ,0.1M/S, 4,11,  15,  13,  19,  22,  16,   8,   4,   8,  11,  26,  50,  32,  47,  41,  53,  39,  34,  81,  22,  48,  40,  38,  39,  54
