測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,08201030,201,SPM ,UG/M3 , 4, 1,   0,   6,   4,   0,   9,   5,  10,  15,  13,  12,  13,   8,   7,  10,  14,  24,  22,  28,  14,   8,   5,   4,   4,   4
2012,08201030,201,SPM ,UG/M3 , 4, 2,   5,  12,  14,  10,   4,   4,   7,   8,   9,   4,   6,   6,  10,  10,  16,  12,  11,  15,  16,  11,  12,  20,   9,  18
2012,08201030,201,SPM ,UG/M3 , 4, 3,  20,  23,  18,  12,  12,  15,  19,  17,  44,  28,  20,  27,  20,  19,  28,  42,  43,  35,  34,  34,  15,  23,  10,   0
2012,08201030,201,SPM ,UG/M3 , 4, 4,   1,   3,   6,   4,   4,   4,   8,   7,  10,  19,  23,  14,   9,  16,  12,  12,   8,   5,  10,  13,   7,  11,  17,  13
2012,08201030,201,SPM ,UG/M3 , 4, 5,  17,  22,   9,  17,  17,  12,  13,  18,  23,  22,  25,  28,  25,  30,9999,9999,  29,  14,  21,  16,  16,  11,  10,   5
2012,08201030,201,SPM ,UG/M3 , 4, 6,  11,  10,  12,  11,  11,  11,  10,   9,  11,  13,  13,  18,  18,  11,   4,   4,   9,  14,  12,  11,  10,  13,  20,  16
2012,08201030,201,SPM ,UG/M3 , 4, 7,  13,  15,  23,  13,  15,  11,  20,  15,  13,  10,   3,   8,   6,   7,  20,   6,  10,  11,  15,  17,  14,  14,  17,  17
2012,08201030,201,SPM ,UG/M3 , 4, 8,  20,  16,  15,  10,  12,  10,  18,  19,  11,  12,  15,  17,  12,  12,  18,  15,  23,  18,  17,  28,  24,  16,  17,  24
2012,08201030,201,SPM ,UG/M3 , 4, 9,  19,  24,  19,  26,  18,  22,  23,  22,  37,  25,  25,  28,  22,  28,  34,  34,  29,  20,  21,  19,  17,  20,  23,  20
2012,08201030,201,SPM ,UG/M3 , 4,10,  29,  32,  27,  33,  29,  32,  38,  51,  51,  42,  50,  42,  44,  43,  44,  41,  42,  40,  48,  43,  47,  43,  51,  45
2012,08201030,201,SPM ,UG/M3 , 4,11,  46,  46,  37,  41,  47,  52,  57,  94,  86,  88,  50,  35,  27,  37,  49,  48,  29,  32,  33,  32,  41,  25,  30,  19
2012,08201030,201,SPM ,UG/M3 , 4,12,  20,  16,   9,  15,  18,  21,  21,   7,   5,   6,  14,  17,  13,  13,   9,  22,  19,  23,  15,   9,  11,  16,  12,  14
2012,08201030,201,SPM ,UG/M3 , 4,13,  11,  19,  17,  17,  21,  20,  19,  21,  15,  19,  16,  20,  18,  24,  22,  22,  22,  24,  18,  22,  24,  21,  19,  20
2012,08201030,201,SPM ,UG/M3 , 4,14,  11,  19,  22,  21,  16,  16,  20,  17,  22,  22,  15,  18,  17,  14,  16,  15,  15,  12,  15,  17,  16,  19,  16,  25
