測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2014,08201030,201,HUM ,%     , 4, 1,  52,  60,  64,  62,  69,  77,  63,  41,  33,  27,  23,  22,  28,  28,  29,  34,  36,  44,  53,  58,  58,  74,  79,  83
2014,08201030,201,HUM ,%     , 4, 2,  87,  87,  88,  88,  89,  88,  80,  69,  53,  44,  40,  41,  40,  42,  45,  46,  52,  55,  61,  65,  71,  77,  80,  83
2014,08201030,201,HUM ,%     , 4, 3,  84,  89,  97,  98, 100, 100,  99,  99,  98,  97,  91,  95,  92,  95,  98,  98,  99, 100, 100,  98,  91,  88,  97,  98
2014,08201030,201,HUM ,%     , 4, 4,  98,  99,  99,  99,  99,  99,  98,  87,  77,  72,  91,  89,  71,  70,  79,  92,  95,  95,  98,  96,  98,  98,  56,  57
2014,08201030,201,HUM ,%     , 4, 5,  55,  53,  66,  59,  43,  44,  41,  38,  35,  28,  21,  14,  15,  14,  14,  15,  41,  49,  51,  52,  60,  66,  84,  84
2014,08201030,201,HUM ,%     , 4, 6,  78,  96,  98,  97,  97,  94,  94,  95,  90,  62,  51,  46,  47,  42,  42,  35,  36,  33,  37,  39,  39,  44,  45,  51
2014,08201030,201,HUM ,%     , 4, 7,  54,  62,  66,  64,  74,  81,  58,  46,  30,  27,  26,  26,  24,  22,  21,  20,  29,  33,  44,  56,  67,  76,  83,  86
2014,08201030,201,HUM ,%     , 4, 8,  86,  86,  86,  94,  95,  96,  81,  65,  47,  41,  35,  44,  47,  46,  50,  55,  57,  68,  73,  77,  87,  79,  63,  55
2014,08201030,201,HUM ,%     , 4, 9,  52,  57,  61,  64,  67,  68,  58,  57,  43,  37,  38,  43,  42,  44,  46,  49,  52,  56,  61,  67,  71,  77,  79,  88
2014,08201030,201,HUM ,%     , 4,10,  90,  91,  93,  96,  97,  99,  88,  70,  59,  45,  31,  25,  20,  19,  20,  28,  37,  33,  30,  32,  34,  34,  46,  48
2014,08201030,201,HUM ,%     , 4,11,  46,  47,  51,  49,  51,  54,  46,  39,  35,  26,  23,  21,  20,  19,  20,  21,  23,  25,  29,  33,  34,  43,  48,  58
2014,08201030,201,HUM ,%     , 4,12,  68,  69,  74,  78,  82,  83,  67,  47,  38,  30,  24,  22,  20,  20,  18,  18,  20,  21,  25,  26,  28,  33,  34,  47
2014,08201030,201,HUM ,%     , 4,13,  45,  60,  70,  66,  67,  65,  58,  49,  38,  28,  26,  27,  29,  31,  37,  43,  48,  54,  56,  59,  69,  77,  78,  80
2014,08201030,201,HUM ,%     , 4,14,  83,  85,  89,  87,  92,  94,  81,  70,  59,  52,  50,  52,  70,  52,  49,  48,  49,  55,  58,  64,  70,  83,  92,  96
2014,08201030,201,HUM ,%     , 4,15,  98, 100, 100, 100, 100,  99,  80,  62,  50,  44,  39,  32,  28,  25,  27,  31,  30,  32,  45,  54,  57,  61,  71,  71
2014,08201030,201,HUM ,%     , 4,16,  78,  87,  91,  90,  90,  90,  71,  53,  44,  41,  40,  37,  36,  37,  42,  52,  56,  66,  77,  80,  78,  85,  92,  92
