測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2017,08201030,201,NOX ,PPB   , 4, 1,   5,   5,   4,   3,   4,   4,   5,   7,   6,   6,   6,   6,   5,   7,   8,   7,   7,   3,   4,   5,   8,   6,   6,   6
2017,08201030,201,NOX ,PPB   , 4, 2,   5,   5,   5,   4,   5,   5,   5,   4,   2,   3,   2,   3,   5,   4,   4,   2,   3,   3,   4,   6,  11,  14,   8,   6
2017,08201030,201,NOX ,PPB   , 4, 3,   6,   4,   3,   5,   5,   5,   7,   8,   5,   5,   5,   6,   6,   6,   7,   8,   6,   6,   6,   6,   7,   7,   7,   8
2017,08201030,201,NOX ,PPB   , 4, 4,  14,  11,   6,   5,   6,   5,   7,   9,   9,9999,9999,9999,   8,   6,   6,   5,   6,   7,  10,  11,  17,  23,  23,  10
2017,08201030,201,NOX ,PPB   , 4, 5,   9,   8,   8,   7,   8,   8,  11,  15,  17,  15,  13,  10,9999,9999,9999,   8,  10,  13,  15,  16,  15,  16,  17,  11
2017,08201030,201,NOX ,PPB   , 4, 6,  11,9999,  14,  13,  17,  12,  12,  20,  14,  12,   8,   6,   5,   5,   4,   4,   4,   6,   6,   6,   5,   5,   5,   4
2017,08201030,201,NOX ,PPB   , 4, 7,   4,   4,   4,   4,   3,   4,   4,   7,  11,  15,  16,  17,  11,  12,  10,   7,   9,   8,  10,  14,  17,  20,  22,  23
2017,08201030,201,NOX ,PPB   , 4, 8,  17,  15,  13,  17,  12,   9,   9,  18,  15,  15,  11,   9,  11,  10,  10,  16,  13,  12,  12,  13,  13,   9,   8,  12
2017,08201030,201,NOX ,PPB   , 4, 9,  10,  10,  12,   9,   9,  10,   6,   7,   7,   9,   7,   9,   9,  10,   9,  11,   9,  10,  15,  14,   9,   4,   3,   3
2017,08201030,201,NOX ,PPB   , 4,10,   3,   3,   3,   3,   4,   5,   7,   7,   5,   5,   6,   6,   5,   5,   5,   5,   5,   6,  11,  19,  23,  25,  24,   9
2017,08201030,201,NOX ,PPB   , 4,11,   6,   6,   6,   5,   5,   5,   8,  13,  18,  24,  15,  10,   7,   6,   7,   6,   8,   5,   6,   5,   4,   3,   3,   3
