測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2018,08201030,201,CH4 ,10PPBC, 4, 1, 197, 201, 202, 203, 201, 198, 200, 199, 197, 199, 194, 193, 193, 192, 192, 190, 190, 192, 192, 191, 191, 192, 192, 194
2018,08201030,201,CH4 ,10PPBC, 4, 2, 196,9999, 197, 198, 197, 194, 194, 194, 193, 193, 194, 194, 193, 193, 193, 193, 193, 193, 193, 193, 193, 194, 194, 194
2018,08201030,201,CH4 ,10PPBC, 4, 3, 195, 195, 195, 195, 197, 196, 194, 193, 195, 196,9999, 192, 194, 193, 194, 194, 194, 196, 195, 194, 195, 195, 199, 199
2018,08201030,201,CH4 ,10PPBC, 4, 4, 199, 201, 199, 197, 197, 197, 195, 197, 195, 194, 193, 192, 193, 193, 194, 192, 190, 190, 190, 190, 192, 192, 193, 192
2018,08201030,201,CH4 ,10PPBC, 4, 5, 193, 193, 196, 196, 194, 195, 194, 194, 194, 194, 194, 193, 193, 193, 193, 193, 193, 194, 194, 194, 194, 197, 196, 193
2018,08201030,201,CH4 ,10PPBC, 4, 6, 193, 194, 194, 194, 196, 198, 195, 197, 200, 194, 194, 189, 188, 188, 188, 188, 188, 188, 188, 188, 188, 188, 188, 186
2018,08201030,201,CH4 ,10PPBC, 4, 7, 186, 186, 187, 186, 188, 189, 190, 192, 189, 190, 190, 190, 189, 189, 190, 192, 192, 192, 194, 195, 193, 193, 194, 196
2018,08201030,201,CH4 ,10PPBC, 4, 8, 201, 216, 210, 204, 200, 201, 202, 201, 197, 197, 195, 194, 194, 193, 194, 194, 194, 194, 195, 196, 195, 197, 198, 199
2018,08201030,201,CH4 ,10PPBC, 4, 9, 200,9999, 195, 195, 195, 197, 197, 197, 196, 194, 194, 195, 193, 193, 192, 192, 192, 192, 193, 194, 194, 196, 196, 198
2018,08201030,201,CH4 ,10PPBC, 4,10, 202, 206, 201, 205, 214, 213, 211, 200, 197, 195, 194, 194, 194, 193, 193, 193, 193, 193, 194, 194, 194, 197, 196, 194
2018,08201030,201,CH4 ,10PPBC, 4,11, 196, 199, 203, 206, 206, 201, 198, 198, 195, 194, 194, 194, 190, 188, 188, 188, 188, 188, 188, 188, 189, 189, 188, 188
2018,08201030,201,CH4 ,10PPBC, 4,12, 188, 189, 192, 192, 192, 194, 193, 193, 192, 190, 190, 189, 188, 189, 188,9999, 192, 192, 193, 194, 194, 197, 197, 206
2018,08201030,201,CH4 ,10PPBC, 4,13, 212, 197, 205, 198, 197, 197, 197, 197, 197, 197, 197, 197, 197, 197, 197, 197, 197, 197, 197, 198, 199, 198, 198, 200
2018,08201030,201,CH4 ,10PPBC, 4,14, 201, 201, 201, 198, 199, 198, 200, 201, 201, 200, 199, 197, 196, 197, 198, 199, 197, 197, 196, 196, 197, 197, 196, 194
2018,08201030,201,CH4 ,10PPBC, 4,15, 193, 193, 192, 192, 192, 192, 190, 188, 188, 189, 190, 191, 191, 190, 191, 191, 190, 192, 192, 194, 194, 193, 193, 194
2018,08201030,201,CH4 ,10PPBC, 4,16, 195,9999, 194, 194, 197, 211, 217, 197, 194, 194, 195, 194, 195, 194, 193, 194, 194, 195, 194, 194, 196, 196, 197, 197
2018,08201030,201,CH4 ,10PPBC, 4,17, 197, 197, 197, 201, 200, 197, 197, 198, 197, 196, 196, 194, 196, 194, 194, 194, 194, 194, 194, 194, 196, 197, 197, 197
2018,08201030,201,CH4 ,10PPBC, 4,18, 197, 197, 198, 197, 197, 197, 197, 193, 192, 193, 192, 192, 192, 192, 192, 192, 192, 192, 192, 192, 192, 194, 199, 217
