測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2019,08201030,201,CO2 ,0.1PPM, 4, 1,9999,4230,4212,4227,4197,4195,4237,4163,4155,4160,4173,4203,4200,4200,4200,4253,4202,4210,4212,4232,4223,4257,4205,4185
2019,08201030,201,CO2 ,0.1PPM, 4, 2,9999,4185,4210,4223,4243,4308,4290,4240,4170,9999,9999,9999,9999,9999,9999,9999,9999,9999,4172,4167,4207,4280,4335,4397
2019,08201030,201,CO2 ,0.1PPM, 4, 3,9999,4402,4403,4328,4305,4332,4333,4262,4208,4192,4180,4145,4168,4187,4213,4217,4232,4245,4252,4310,4402,4552,4445,4390
2019,08201030,201,CO2 ,0.1PPM, 4, 4,9999,4360,4382,4385,4360,4308,4310,4253,4210,4217,4208,4210,4200,4210,4203,4202,4228,4363,4380,4415,4562,4618,4548,4467
2019,08201030,201,CO2 ,0.1PPM, 4, 5,9999,4430,4487,4522,4485,4515,4503,4463,4433,4360,4280,4292,4412,4215,4173,4207,4212,4242,4275,4322,4285,4365,4385,4440
2019,08201030,201,CO2 ,0.1PPM, 4, 6,9999,4253,4203,4273,4288,4335,4292,4185,4158,4150,4152,4152,4140,4143,4152,4153,4200,4222,4252,4313,4358,4355,4322,4277
2019,08201030,201,CO2 ,0.1PPM, 4, 7,9999,4217,4210,4230,4223,4185,4168,4157,4173,4155,4150,4150,4145,4135,4132,4133,4140,4147,4208,4297,4252,4293,4395,4265
2019,08201030,201,CO2 ,0.1PPM, 4, 8,9999,4138,4138,4140,4138,4172,4212,4260,4260,4197,4165,4143,4138,4168,4167,4187,4187,4177,4238,4252,4312,4222,4207,4205
2019,08201030,201,CO2 ,0.1PPM, 4, 9,9999,4233,4245,4277,4273,4355,4282,4160,4145,4157,4168,4183,4203,4205,4210,4205,4218,4222,4252,4267,4283,4273,4283,4323
2019,08201030,201,CO2 ,0.1PPM, 4,10,9999,4373,4378,4325,4347,4422,4405,4378,4278,4225,4215,4222,4220,4212,4160,4157,4142,4153,4163,4160,4158,4162,4147,4133
2019,08201030,201,CO2 ,0.1PPM, 4,11,9999,4200,4187,4162,4158,4158,4160,4178,4180,4195,4198,4213,4228,4240,4235,4242,4255,4287,4305,4312,4303,4297,4298,4342
2019,08201030,201,CO2 ,0.1PPM, 4,12,9999,4295,4285,4310,4302,4258,4247,4193,4160,4150,4172,4205,4192,9999,9999,4055,4082,4115,4163,4263,4408,4323,4298,4322
2019,08201030,201,CO2 ,0.1PPM, 4,13,9999,4357,4353,4302,4267,4287,4240,4242,4220,4225,4267,4317,4270,4263,4255,4267,4265,4285,4312,4362,4432,4455,4548,4578
2019,08201030,201,CO2 ,0.1PPM, 4,14,9999,4425,4393,4383,4418,4412,4405,4343,4297,4313,4307,4280,4232,4198,4198,4208,4213,4227,4253,4272,4237,4212,4202,4198
2019,08201030,201,CO2 ,0.1PPM, 4,15,9999,4177,4193,4195,4193,4220,4262,4252,4217,4182,4162,4152,4153,4150,4150,4142,4145,4163,4178,4198,4200,4208,4245,4267
2019,08201030,201,CO2 ,0.1PPM, 4,16,9999,4253,4282,4313,4347,4335,4337,4253,4200,4213,4210,4190,4170,4187,4212,4287,4315,4248,4240,4275,4295,4427,4428,4443
2019,08201030,201,CO2 ,0.1PPM, 4,17,9999,4410,4440,4417,4432,4448,4443,4388,4340,4302,4260,4273,4287,4208,4142,4145,4155,4173,4223,4340,4520,4500,4400,4412
2019,08201030,201,CO2 ,0.1PPM, 4,18,9999,4437,4468,4465,4453,4445,4417,4343,4227,4270,4175,4170,4188,4147,4130,4143,4157,4173,4197,4252,4312,4312,4407,4407
2019,08201030,201,CO2 ,0.1PPM, 4,19,9999,4490,4457,4517,4502,4502,4505,4478,4365,4310,4272,4242,4257,4198,4255,4250,4200,4225,4238,4258,4222,4240,4248,4225
2019,08201030,201,CO2 ,0.1PPM, 4,20,9999,4187,4185,4178,4177,4182,4172,4187,4210,4230,4245,4233,4228,4203,4185,4178,4185,4232,4282,4280,4255,4278,4378,4433
2019,08201030,201,CO2 ,0.1PPM, 4,21,9999,4350,4328,4352,4375,4402,4388,4348,4288,4218,4245,4302,4383,4323,4278,4212,4185,4222,4273,4232,4265,4422,4483,4440
2019,08201030,201,CO2 ,0.1PPM, 4,22,9999,4405,4463,4523,4518,4550,4482,4468,4365,4335,4282,4262,4267,4250,4238,4235,4395,4290,4302,4277,4247,4280,4310,4422
2019,08201030,201,CO2 ,0.1PPM, 4,23,9999,4422,4447,4472,4475,4470,4367,4288,4255,4177,4157,4152,4152,4168,4185,4170,4172,4178,4207,4248,4252,4245,4277,4308
2019,08201030,201,CO2 ,0.1PPM, 4,24,9999,4447,4492,4540,4593,4610,4508,4407,4303,4213,4198,4157,4152,4180,4157,4155,4155,4168,4168,4163,4157,4142,4148,4122
2019,08201030,201,CO2 ,0.1PPM, 4,25,9999,4167,4175,4172,4172,4178,4193,4220,4213,4210,4207,4172,4140,4107,4088,4087,4107,4138,4160,4180,4197,4180,4203,4197
2019,08201030,201,CO2 ,0.1PPM, 4,26,9999,4245,4238,4225,4213,4180,4173,4197,4197,4215,4205,4198,4167,4167,4173,4182,4187,4197,4233,4218,4202,4193,4183,4182
2019,08201030,201,CO2 ,0.1PPM, 4,27,9999,4178,4165,4163,4213,4223,4208,4210,4222,4207,4190,4187,4195,4197,4195,4193,4213,4232,4272,4330,4482,4445,4453,4570
2019,08201030,201,CO2 ,0.1PPM, 4,28,9999,4370,4360,4410,4370,4332,4242,4188,4158,4167,4183,4188,4227,4215,4215,4222,4225,4230,4242,4272,4307,4337,4412,4482
2019,08201030,201,CO2 ,0.1PPM, 4,29,9999,4363,4347,4328,4382,4368,4328,4262,4188,4170,4148,4143,4135,4140,4127,4120,4127,4140,4165,4197,4213,4242,4268,4257
2019,08201030,201,CO2 ,0.1PPM, 4,30,9999,4418,4513,4510,4202,4188,4193,4205,4163,4173,4137,4113,4117,4113,4113,4115,4162,4173,4183,4175,4163,4137,4177,4233
2019,08201030,201,CO2 ,0.1PPM, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2019,08201030,201,CO2 ,0.1PPM, 5, 1,9999,4310,4262,4220,4215,4218,4202,4170,4133,4110,4087,4068,4058,4080,4122,4097,4133,4152,4180,4212,4238,4333,4317,4302
2019,08201030,201,CO2 ,0.1PPM, 5, 2,9999,4388,4485,4537,4610,4585,4497,4355,4287,4325,4253,4185,4182,9999,3922,3832,3878,3957,4055,4152,4298,4387,4452,4448
2019,08201030,201,CO2 ,0.1PPM, 5, 3,9999,4512,4570,4598,4522,4442,4385,4302,4230,4210,4208,4210,4217,4225,4210,4233,4228,4247,4272,4300,4330,4355,4525,4603
2019,08201030,201,CO2 ,0.1PPM, 5, 4,9999,4520,4497,4492,4452,4458,4402,4290,4245,4210,4212,4350,4212,4172,4182,4168,4193,4205,4235,4285,4387,4422,4552,4557
2019,08201030,201,CO2 ,0.1PPM, 5, 5,9999,4622,4585,4590,4668,4642,4570,4348,4243,4227,4205,4200,4175,4212,4187,4150,4148,4158,4182,4208,4225,4258,4287,4310
2019,08201030,201,CO2 ,0.1PPM, 5, 6,9999,4378,4370,4285,4223,4233,4223,4178,4150,4137,4115,4107,4147,4128,4127,4130,4110,4103,4128,4130,4142,4148,4170,4183
2019,08201030,201,CO2 ,0.1PPM, 5, 7,9999,4175,4180,4188,4198,4223,4208,4192,4172,4153,4092,4048,4068,4085,4095,4100,4113,4153,4192,4255,4330,4390,4402,4478
2019,08201030,201,CO2 ,0.1PPM, 5, 8,9999,4410,4428,4427,4393,4362,4330,4278,4270,4235,4173,4178,4215,4267,4198,4167,4168,4182,4220,4245,4265,4290,4330,4458
2019,08201030,201,CO2 ,0.1PPM, 5, 9,9999,4463,4498,4527,4538,4540,4500,4358,4267,4223,4175,4185,4172,4158,4118,4145,4168,4168,4167,4202,4237,4300,4485,4495
2019,08201030,201,CO2 ,0.1PPM, 5,10,9999,4528,4632,4683,4603,4585,4508,4327,4178,4123,4090,4142,4147,4143,4123,4117,4150,4217,4153,4198,4252,4288,4472,4492
2019,08201030,201,CO2 ,0.1PPM, 5,11,9999,4603,4533,4538,4665,4647,4553,4358,4255,4242,4278,4230,4220,4233,4227,4267,4208,4200,4222,4272,4368,4340,4215,4252
