測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2009,14209520,209,CAR ,10C/H , 4, 1,  91,  73,  60,  59,  73, 118, 202, 273, 258, 256, 261, 270, 253, 264, 256, 262, 249, 268, 258, 250, 223, 163, 137, 110
2009,14209520,209,CAR ,10C/H , 4, 2,  76,  58,  54,  50,  61, 112, 207, 284, 268, 254, 267, 271, 269, 268, 275, 271, 269, 275, 277, 264, 234, 178, 146, 107
2009,14209520,209,CAR ,10C/H , 4, 3,  76,  61,  53,  52,  65, 127, 211, 286, 262, 263, 261, 259, 266, 277, 275, 267, 281, 282, 281, 256, 256, 215, 169, 138
2009,14209520,209,CAR ,10C/H , 4, 4, 109,  97,  70,  63,  78, 122, 210, 252, 265, 267, 259, 257, 260, 252, 258, 257, 253, 253, 241, 253, 254, 246, 197, 145
2009,14209520,209,CAR ,10C/H , 4, 5, 108,  79,  57,  46,  51,  70, 112, 173, 241, 251, 262, 261, 261, 268, 261, 248, 238, 248, 249, 252, 243, 224, 172, 122
2009,14209520,209,CAR ,10C/H , 4, 6,  79,  57,  47,  43,  61, 120, 209, 263, 249, 243, 260, 259, 252, 260, 279, 269, 260, 281, 274, 253, 205, 168, 138, 103
2009,14209520,209,CAR ,10C/H , 4, 7,  76,  60,  47,  50,  64, 120, 222, 271, 257, 260, 252, 262, 252, 257, 264, 275, 258, 269, 268, 257, 201, 177, 141, 103
2009,14209520,209,CAR ,10C/H , 4, 8,  74,  63,  47,  48,  60, 119, 211, 281, 257, 248, 260, 242, 252, 257, 255, 259, 248, 276, 265, 248, 203, 173, 139, 104
2009,14209520,209,CAR ,10C/H , 4, 9,  79,  63,  49,  53,  61, 116, 222, 284, 254, 248, 248, 247, 252, 261, 262, 270, 264, 276, 269, 247, 208, 173, 139, 106
2009,14209520,209,CAR ,10C/H , 4,10,  79,  63,  54,  48,  67, 127, 222, 273, 268, 256, 256, 256, 249, 264, 263, 261, 272, 278, 279, 275, 234, 200, 175, 134
2009,14209520,209,CAR ,10C/H , 4,11, 107,  91,  69,  67,  86, 140, 228, 260, 263, 266, 282, 263, 273, 256, 274, 264, 249, 256, 258, 270, 248, 233, 193, 146
2009,14209520,209,CAR ,10C/H , 4,12, 104,  81,  66,  60,  56,  95, 129, 182, 223, 247, 250, 265, 265, 263, 263, 260, 265, 259, 245, 254, 238, 217, 178, 134
2009,14209520,209,CAR ,10C/H , 4,13,  87,  58,  45,  43,  58, 124, 212, 281, 259, 263, 259, 250, 250, 254, 259, 262, 265, 281, 272, 246, 209, 164, 132, 101
2009,14209520,209,CAR ,10C/H , 4,14,  75,  57,  53,  52,  63, 117, 213, 288, 254, 231, 261, 259, 251, 257, 248, 260, 249, 257, 257, 244, 191, 159, 126,  97
2009,14209520,209,CAR ,10C/H , 4,15,  69,  55,  50,  49,  60, 120, 215, 257, 251, 258, 252, 243, 257, 252, 261, 262, 259, 280, 271, 253, 215, 172, 134, 107
2009,14209520,209,CAR ,10C/H , 4,16,  81,  63,  54,  56,  63, 117, 219, 279, 268, 258, 259, 256, 257, 265, 267, 261, 266, 274, 267, 259, 216, 168, 145, 110
2009,14209520,209,CAR ,10C/H , 4,17,  78,  62,  52,  48,  66, 117, 209, 276, 265, 248, 265, 269, 260, 263, 269, 270, 274, 260, 253, 246, 239, 197, 161, 129
2009,14209520,209,CAR ,10C/H , 4,18, 100,  89,  70,  68,  80, 126, 212, 251, 270, 258, 275, 271, 269, 273, 257, 268, 256, 268, 267, 261, 249, 234, 184, 148
2009,14209520,209,CAR ,10C/H , 4,19, 103,  77,  64,  52,  61,  89, 131, 190, 230, 247, 254, 257, 284, 263, 270, 253, 256, 263, 247, 246, 248, 227, 170, 119
