測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2010,14132060,132,RAIN,MM    , 4, 1,  -2,  -2,  -2,  -1,  -1,   0,   1,   3,   9,   7,   9,  10,  10,  18,  11,   6,   3,   0,  -1,  -1,  -1,  -2,  -2,  -1
2010,14132060,132,RAIN,MM    , 4, 2,  -1,  -1,   0,   0,   0,  -1,   1,   3,   4,   4,   3,   1,   2,   4,   2,   1,   1,   0,   0,   0,   0,  -1,   0,   0
2010,14132060,132,RAIN,MM    , 4, 3,   0,  -1,  -1,  -1,  -1,  -1,   1,   3,   7,   7,  11,  11,  19,  20,   8,  10,   2,  -1,  -1,  -1,  -1,  -2,  -2,  -2
2010,14132060,132,RAIN,MM    , 4, 4,  -2,  -1,  -1,  -1,  -1,  -1,   0,   3,   8,   4,   4,   4,   3,   2,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0
2010,14132060,132,RAIN,MM    , 4, 5,   0,   0,   0,   0,   0,   0,   0,   0,   1,   2,   3,   2,   2,   2,   1,   1,   1,   0,   0,   0,   0,   0,   0,  -1
2010,14132060,132,RAIN,MM    , 4, 6,  -1,   0,   0,   0,   0,   0,   1,   3,   6,  12,  19,  21,  22,  19,  15,  10,   3,   0,  -2,  -2,  -2,  -2,  -2,  -1
2010,14132060,132,RAIN,MM    , 4, 7,  -1,  -2,  -1,  -1,  -1,  -1,   0,   1,   3,   5,   2,   3,   2,   1,   1,   0,   0,   0,   0,   0,  -1,  -1,  -1,  -1
2010,14132060,132,RAIN,MM    , 4, 8,  -1,  -1,  -1,  -1,  -2,  -2,   1,   6,  14,  18,  21,  23,  24,  21,  16,  10,   1,  -2,  -3,  -3,  -3,  -2,  -1,  -2
2010,14132060,132,RAIN,MM    , 4, 9,  -2,  -1,  -1,  -1,  -1,   0,   0,   4,  11,  13,  18,  17,  13,  12,   7,   5,   2,   0,  -2,  -2,  -2,  -2,  -1,  -1
2010,14132060,132,RAIN,MM    , 4,10,  -1,  -1,   0,   0,   0,   0,   2,   5,   9,   9,  14,  22,  21,  16,  15,   8,   3,   0,  -1,  -2,  -1,  -2,  -2,  -1
2010,14132060,132,RAIN,MM    , 4,11,  -1,  -1,  -1,  -1,  -1,   0,   1,   3,   4,   8,  16,  19,  23,  14,  14,   9,   2,   0,   0,   0,   0,   0,   0,   0
2010,14132060,132,RAIN,MM    , 4,12,   0,   0,   0,  -1,  -1,   0,   0,   0,   0,   1,   1,   2,   2,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,14132060,132,RAIN,MM    , 4,13,   0,   0,   0,   0,   0,   0,   2,   8,  12,  16,  22,  23,  23,  14,   9,   4,   2,   0,  -2,  -2,  -2,  -2,  -2,  -2
2010,14132060,132,RAIN,MM    , 4,14,  -2,   0,   0,  -1,  -2,  -1,   2,   6,  13,  13,  14,  13,   8,   6,   3,   3,   2,   0,  -1,  -1,  -1,  -1,  -1,   0
2010,14132060,132,RAIN,MM    , 4,15,   0,   0,  -1,  -1,  -1,   0,   0,   0,   2,   1,   1,   3,   3,   3,   3,   2,   1,   0,  -1,  -1,  -1,  -1,  -1,  -1
2010,14132060,132,RAIN,MM    , 4,16,  -1,  -1,  -1,   0,  -1,   0,   0,   1,   1,   3,   4,   4,   4,   2,   2,   1,   0,   0,  -1,   0,   0,   0,   0,   0
2010,14132060,132,RAIN,MM    , 4,17,   0,   0,   0,   0,   0,   0,   1,   0,   4,   7,  13,  10,  17,  22,  16,  11,   3,  -1,  -2,  -1,   0,  -1,  -1,  -1
2010,14132060,132,RAIN,MM    , 4,18,  -1,  -2,  -1,  -1,  -1,  -1,   1,   8,  15,  19,  19,  17,  16,  19,  13,   8,   3,  -1,  -2,  -2,  -2,  -2,  -2,  -1
2010,14132060,132,RAIN,MM    , 4,19,  -2,  -2,  -2,  -1,  -1,   0,   1,   4,   7,  16,  20,9999,  24,  18,   9,   6,   3,  -1,  -2,  -2,  -2,  -2,  -1,  -1
2010,14132060,132,RAIN,MM    , 4,20,  -1,  -1,  -1,  -1,  -1,   0,   1,   2,   3,   6,   8,   7,   5,   4,   4,   1,   0,   0,   0,  -1,   0,   0,   0,   0
2010,14132060,132,RAIN,MM    , 4,21,   0,   0,   0,  -1,  -2,  -1,   2,   8,  13,  18,  23,  24,  23,  19,   4,   3,   2,   0,  -1,   0,   0,   0,   0,   0
2010,14132060,132,RAIN,MM    , 4,22,   0,   0,   0,   0,  -1,   0,   0,   0,   1,   2,   3,   2,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,14132060,132,RAIN,MM    , 4,23,   0,   0,   0,   0,   0,   0,   0,   1,   1,   2,   2,   2,   1,   2,   1,   0,   0,   0,   0,   0,   0,   0,  -1,  -1
2010,14132060,132,RAIN,MM    , 4,24,  -1,  -1,  -1,  -1,  -1,   0,   1,   5,  10,  11,  18,  23,  18,  11,   3,   1,   3,   0,  -2,  -2,  -1,  -1,  -3,  -3
2010,14132060,132,RAIN,MM    , 4,25,  -2,  -3,  -3,  -3,  -2,  -2,   0,  11,  16,  20,  23,  24,  27,  22,  18,  12,   5,  -1,  -2,  -2,  -2,  -1,  -2,  -2
2010,14132060,132,RAIN,MM    , 4,26,  -3,  -3,  -3,  -3,  -2,  -2,   2,   8,  14,  19,  22,  23,  24,  20,  16,  10,   3,  -1,  -2,  -2,  -2,  -2,  -1,  -1
2010,14132060,132,RAIN,MM    , 4,27,  -1,  -1,  -1,  -1,  -1,   0,   2,   5,   5,   6,   6,   5,   2,   1,   1,   1,   1,   0,  -1,  -1,  -1,  -1,  -1,  -1
2010,14132060,132,RAIN,MM    , 4,28,   0,   0,   0,   0,   0,   0,   0,   0,   2,   2,   3,   4,   4,   3,   2,   3,   2,   1,   0,   0,   0,   0,   0,   0
2010,14132060,132,RAIN,MM    , 4,29,   0,  -1,  -1,  -2,  -2,  -1,   1,   9,  14,  17,  17,  10,  17,  13,  18,  13,   5,  -2,  -3,  -3,  -3,  -3,  -3,  -2
2010,14132060,132,RAIN,MM    , 4,30,  -2,  -2,  -2,  -2,  -2,  -1,   1,   9,  13,  19,  16,  23,  25,  21,  16,  10,   4,  -1,  -2,  -2,  -1,  -2,  -2,  -1
2010,14132060,132,RAIN,MM    , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2010,14132060,132,RAIN,MM    , 5, 1,  -1,  -2,  -2,  -2,  -2,  -1,   1,  11,  14,  17,  22,  24,  25,  22,  17,  11,   5,  -1,  -3,  -3,  -3,  -2,  -2,  -2
2010,14132060,132,RAIN,MM    , 5, 2,  -2,  -2,  -2,  -2,  -2,  -1,   1,  11,  15,  19,  21,  22,  23,  20,  16,  11,   4,  -1,  -2,  -3,  -3,  -2,  -2,  -2
2010,14132060,132,RAIN,MM    , 5, 3,  -2,  -2,  -2,  -2,  -2,  -1,   2,   6,  11,  15,  19,  21,  21,  21,  14,  10,   2,   0,  -2,  -2,  -2,  -2,  -2,  -2
2010,14132060,132,RAIN,MM    , 5, 4,  -2,  -2,  -2,  -2,  -2,  -1,   2,   6,  10,  12,  16,  18,  17,  15,  12,   7,   3,   0,  -2,  -2,  -2,  -2,  -2,  -2
2010,14132060,132,RAIN,MM    , 5, 5,  -2,  -1,  -2,  -1,  -1,  -1,   1,  10,  13,  13,  18,  22,  22,  19,  16,  10,   4,  -1,  -2,  -2,  -2,  -1,  -1,  -1
2010,14132060,132,RAIN,MM    , 5, 6,  -2,  -2,  -2,  -2,  -2,   0,   2,   8,  11,  17,  22,  22,  23,  21,  17,  12,   5,  -1,  -2,  -2,  -2,  -2,  -2,  -2
2010,14132060,132,RAIN,MM    , 5, 7,  -2,  -2,  -2,  -2,  -1,   0,   2,   5,   8,   9,  11,   5,   6,   4,   2,   2,   0,   0,   0,   0,   0,   0,   0,   0
2010,14132060,132,RAIN,MM    , 5, 8,   0,  -1,  -2,  -2,  -2,  -2,   1,  12,  15,  20,  22,  24,  23,  19,  13,   7,   4,   0,  -1,  -2,  -2,  -2,  -2,  -2
2010,14132060,132,RAIN,MM    , 5, 9,  -2,  -2,  -2,  -2,  -2,  -1,   1,  11,  15,  17,  21,  21,  19,  19,  10,   9,   3,  -1,  -2,  -2,  -2,  -2,  -2,  -1
