測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,14101010,101,NMHC,10PPBC, 4, 1,9999,  19,  18,  19,  22,  38,  36,  26,  26,  27,  57,  25,  26,  26,  25,  27,  30,  29,  29,  29,  26,  25,  23,  24
2012,14101010,101,NMHC,10PPBC, 4, 2,  24,  22,  22,  21,  21,  23,  28,  29,  25,  26,  36,  36,  28,  28,  34,  37,  37,  36,  37,  43,  40,  43,  51,  46
2012,14101010,101,NMHC,10PPBC, 4, 3,  44,  44,  45,  48,  58,  50,  55,  49,  39,  37,  42,  49,  52,  60,  61,  60,  58,  55,  59,  61,  62,  43,  38,  40
2012,14101010,101,NMHC,10PPBC, 4, 4,9999,  28,  26,  25,  28,  30,  30,  29,  29,  28,  30,  33,  31,9999,9999,  32,  35,  35,  36,  30,  23,  33,  33,  32
2012,14101010,101,NMHC,10PPBC, 4, 5,  29,  30,  32,  31,  34,  32,  31,  32,  32,  35,  33,  34,  35,  35,  37,  37,  35,  37,  37,  37,  41,  47,  50,  48
2012,14101010,101,NMHC,10PPBC, 4, 6,  45,  43,  49,  47,  47,  52,  49,  49,  55,  53,  49,  67,  42,  31,  30,  33,  36,  31,  26,  25,  25,  27,  24,  26
2012,14101010,101,NMHC,10PPBC, 4, 7,9999,  30,  37,  36,  30,  36,  62,  56,  32,  28,  25,  22,  21,  30,  25,  34,  32,  23,  21,  21,  19,  18,  18,  18
2012,14101010,101,NMHC,10PPBC, 4, 8,  19,  21,  19,  18,  19,  35,  21,  21,  19,  20,  21,  26,  25,  28,  27,  29,  30,  32,  31,  31,  35,  36,  36,  35
2012,14101010,101,NMHC,10PPBC, 4, 9,  35,  37,  38,  35,  37,  48,  48,  53,  45,  41,  38,  38,  37,  39,  44,  42,  44,  31,  52,  49,  49,  67,  51,  37
2012,14101010,101,NMHC,10PPBC, 4,10,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,11,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,12,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,14,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,15,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,16,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,17,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,18,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,19,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,20,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,21,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,22,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,23,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2012,14101010,101,NMHC,10PPBC, 4,24,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
