測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2013,14101010,101,CH4 ,10PPBC, 4, 1, 215, 212, 198, 198, 201, 204, 201, 199, 197, 196, 195, 194, 192, 192, 192, 193, 197, 199, 199, 198, 196, 194, 196, 214
2013,14101010,101,CH4 ,10PPBC, 4, 2,9999, 205, 201, 196, 194, 193, 194, 195, 196, 196, 197, 200, 199, 198, 201, 203, 198, 197, 198, 199, 198, 196, 195, 193
2013,14101010,101,CH4 ,10PPBC, 4, 3, 191, 190, 188, 187, 186, 187, 183, 184, 183, 183, 182, 181, 181, 182, 183, 184, 183, 184, 185, 186, 187, 187, 188, 189
2013,14101010,101,CH4 ,10PPBC, 4, 4, 187, 186, 193, 209, 214, 202, 196, 191, 188, 189,9999,9999, 192, 189, 189, 190, 191, 190, 189, 189, 195, 198, 192, 191
2013,14101010,101,CH4 ,10PPBC, 4, 5, 193, 197, 199, 197, 196, 197, 196, 196, 199, 199, 199, 195, 191, 190, 191, 192, 190, 189, 190, 193, 196, 193, 194, 193
2013,14101010,101,CH4 ,10PPBC, 4, 6, 194, 196, 193, 194, 192, 190, 190, 191, 190, 191, 192, 189, 188, 190, 186, 186, 187, 190, 190, 187, 189, 194, 189, 184
2013,14101010,101,CH4 ,10PPBC, 4, 7,9999, 190, 190, 191, 193, 190, 191, 189, 186, 185, 186, 186, 188, 187, 187, 188, 188, 189, 192, 193, 193, 194, 196, 196
2013,14101010,101,CH4 ,10PPBC, 4, 8, 196, 195, 194, 193, 194, 194, 194, 194, 195, 194, 193, 193, 193, 192, 193, 194, 194, 195, 199, 198, 200, 199, 199, 203
2013,14101010,101,CH4 ,10PPBC, 4, 9, 203, 202, 209, 206, 213, 217, 207, 205, 203, 198, 195, 196, 195, 193, 192, 194, 193, 196, 193, 192, 192, 191, 192, 193
2013,14101010,101,CH4 ,10PPBC, 4,10,9999, 192, 193, 193, 193, 192, 194, 194, 195, 193,9999,9999, 193, 193, 194, 192, 192, 191, 192, 193, 194, 194, 193, 193
2013,14101010,101,CH4 ,10PPBC, 4,11, 192, 192, 192, 192, 193, 193, 193, 194, 194, 198, 196, 194, 193, 194, 194, 194, 195, 196, 198, 202, 207, 206, 200, 207
2013,14101010,101,CH4 ,10PPBC, 4,12, 201, 198, 199, 200, 196, 197, 199, 197, 196, 199, 195, 193, 192, 189, 190, 191, 191, 192, 192, 193, 193, 193, 195, 195
2013,14101010,101,CH4 ,10PPBC, 4,13,9999, 194, 193, 193, 196, 195, 196, 194, 194, 192, 193, 191, 191, 190, 189, 189, 188, 190, 190, 189, 192, 192, 191, 191
2013,14101010,101,CH4 ,10PPBC, 4,14, 193, 191, 190, 192, 190, 191, 190, 188, 187, 188, 187, 187, 187, 186, 186, 186, 187, 186, 188, 188, 187, 186, 186, 186
2013,14101010,101,CH4 ,10PPBC, 4,15, 185, 186, 186, 186, 187, 189, 189, 194, 194, 193, 193, 191, 191, 189, 186, 186, 190, 191, 190, 189, 190, 190, 193, 191
2013,14101010,101,CH4 ,10PPBC, 4,16,9999, 196, 196, 200, 193, 195, 195, 198, 191, 193, 190, 191, 192, 189, 189, 190, 189, 193, 194, 193, 190, 194, 190, 194
2013,14101010,101,CH4 ,10PPBC, 4,17, 189, 188, 186, 188, 189, 187, 187, 187, 186, 188,9999,9999, 189, 188, 191, 189, 190, 191, 193, 189, 192, 195, 190, 189
2013,14101010,101,CH4 ,10PPBC, 4,18, 190, 189, 191, 185, 186, 188, 191, 190, 187, 184, 184, 183, 184, 185, 186, 185, 186, 185, 184, 183, 184, 185, 187, 187
2013,14101010,101,CH4 ,10PPBC, 4,19, 186, 185, 185, 188, 189, 188, 191, 192, 192, 191, 191, 191, 191, 192, 191, 190, 191, 192, 193, 194, 194, 193, 193, 193
