測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2015,14101010,101,PM25,UG/M3 , 4, 1,  30,  31,  32,  33,  34,  32,  30,  33,  41,  39,  36,  23,  11,  18,  26,  28,  23,  41,  51,  31,  34,  20,   7,   7
2015,14101010,101,PM25,UG/M3 , 4, 2,  13,   9,   6,   8,  11,   7,   2,   7,  10,   7,  11,  11,  15,  11,  18,  20,  12,  14,  13,   7,   6,  11,  13,   8
2015,14101010,101,PM25,UG/M3 , 4, 3,  13,  10,   9,  15,   6,   6,  12,  13,  14,   8,  13,  12,9999,  18,  18,  19,  15,  17,  13,   8,  16,  17,  18,  10
2015,14101010,101,PM25,UG/M3 , 4, 4,  10,  15,  15,  17,  11,  15,  12,   6,   8,   4,   7,  10,  -2,   9,   7,   8,  10,   5,   9,  13,  14,  13,  13,  10
2015,14101010,101,PM25,UG/M3 , 4, 5,  11,  16,  15,   8,  18,  13,   9,   6,  11,   8,  10,   5,  15,  14,   7,  18,  17,  18,  25,  14,  24,  22,  20,  15
2015,14101010,101,PM25,UG/M3 , 4, 6,  16,  23,  13,  27,  20,  28,  31,  47,  74,  71,  71,  46,  45,  61,  22,  25,  49,  50,  25,  30,  38,  40,  39,  32
2015,14101010,101,PM25,UG/M3 , 4, 7,  20,  14,   7,  10,   6,   5,   4,   4,   5,   4,   8,  13,   7,  10,   7,   8,  13,  10,  10,  12,   8,  10,   5,  10
2015,14101010,101,PM25,UG/M3 , 4, 8,  10,   2,   7,  14,  11,   8,   6,   7,   4,   7,9999,9999,   8,   7,   8,   8,   6,   7,   7,  11,   7,  23,  11,  12
2015,14101010,101,PM25,UG/M3 , 4, 9,  11,  12,  15,  13,  14,  11,   4,   7,  11,   5,   8,  10,  14,  13,  13,   9,   6,  10,  11,  10,  14,  10,  11,   7
2015,14101010,101,PM25,UG/M3 , 4,10,  11,   4,  11,  11,  21,  15,  19,  23,  15,  19,  15,  18,  14,  22,   9,  15,  16,  13,  11,  18,  18,   9,  14,  12
2015,14101010,101,PM25,UG/M3 , 4,11,   8,   8,  10,   8,   6,   8,  11,   5,   8,   8,   8,   6,   8,   8,  10,  12,   7,   4,  12,   6,   7,   5,  11,   3
2015,14101010,101,PM25,UG/M3 , 4,12,   2,   7,   1,   8,   5,   6,  11,   8,  16,  10,  11,   8,   8,  14,  17,  15,  10,  16,  11,  14,  17,   5,   8,   8
2015,14101010,101,PM25,UG/M3 , 4,13,  14,  14,  12,   8,  11,  12,  14,  15,  10,  16,  12,  14,  10,  13,  11,  12,  16,  15,  10,   9,   5,   6,   2,   3
2015,14101010,101,PM25,UG/M3 , 4,14,   2,   2,   0,   5,   1,   6,   5,   5,   4,   8,   5,   4,   7,  15,  19,  25,  13,   7,  10,  13,   9,  10,   5,   9
2015,14101010,101,PM25,UG/M3 , 4,15,   2,   7,  14,  10,  21,  18,  22,  18,  16,  21,  12,  13,   6,  11,  12,   8,   8,   9,  14,   3,   7,   3,   1,   5
2015,14101010,101,PM25,UG/M3 , 4,16,   3,   5,   8,  10,  14,  15,  12,  16,  12,  20,  23,9999,9999,9999,  42,  45,  43,  47,  45,  42,  35,  39,  38,  30
2015,14101010,101,PM25,UG/M3 , 4,17,  32,  35,  28,  30,  27,  30,  29,  40,  28,  20,  24,  20,  27,  27,  29,  29,  30,  30,  27,  10,  14,  10,  10,  17
2015,14101010,101,PM25,UG/M3 , 4,18,  17,  14,  17,   9,  21,  15,  25,  18,  24,  16,  17,  19,  22,  15,  17,  18,  18,  15,  14,  18,  12,  13,  18,  18
2015,14101010,101,PM25,UG/M3 , 4,19,  20,  18,  27,  24,  27,  24,  29,  23,  24,  23,  48,  63,  42,  36,  27,  26,  25,  24,  31,  33,  35,  33,  31,  26
