測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2021,14132060,132,NETR,0.01MJ, 4, 1,  -6,  -6,  -7,  -6,  -6,  -6,   8,  23,  66, 138, 160, 149, 134, 193, 121,  38,  19, -12, -22, -18,  -8, -12, -15, -12
2021,14132060,132,NETR,0.01MJ, 4, 2, -15,  -7,  -4,  -4,  -4, -11,   7,  18,  57,  67, 115, 118, 183, 132,  97,  36,  10,  -2, -21, -21, -18,  -7,  -9, -15
2021,14132060,132,NETR,0.01MJ, 4, 3, -12,  -9,  -8, -12, -19, -17,  -7,   7,  97, 169,  69, 219, 210, 215, 106,  86,  21,  -3, -16, -21, -22, -17, -16, -18
2021,14132060,132,NETR,0.01MJ, 4, 4, -15, -14,  -7,  -6,  -6,  -4,   5,  15,  96, 185, 150, 171, 110, 105,  45,  22,   5,   0,  -5,  -2,  -2,  -3,  -3,  -2
2021,14132060,132,NETR,0.01MJ, 4, 5,  -2,  -2,  -2,  -3,  -2,  -1,   4,  23,  61,  79,  28,  15,  16,  11,   9,  12,   1,  -3,  -7,  -8, -16, -25, -25, -26
2021,14132060,132,NETR,0.01MJ, 4, 6, -25, -25, -25, -25, -25, -20,   6,  29,  78, 115,  91, 138, 123, 211, 127,  56,   9,  -5, -17, -21, -21, -19, -16, -14
2021,14132060,132,NETR,0.01MJ, 4, 7, -15, -21, -17, -20, -24, -22,  -6,   8, 134, 164, 219, 237, 234, 221, 164, 111,  32, -15, -26, -26, -25, -22, -24, -24
2021,14132060,132,NETR,0.01MJ, 4, 8, -24, -23, -15, -16,  -9, -16,  -1,   6, 119, 178, 192, 179, 235, 200, 137, 109,  31,  -5, -16, -25, -26, -24, -26, -24
2021,14132060,132,NETR,0.01MJ, 4, 9, -18, -11, -17, -23, -18, -21,  -6,   0, 108, 169, 222, 108, 113,  77,  21,  11,   6,  -6, -10,  -9,  -9,  -8,  -8,  -8
2021,14132060,132,NETR,0.01MJ, 4,10,  -8,  -9,  -9,  -8,  -8,  -6,   4,  27,  95, 179, 204, 247, 254, 226, 173, 112,  37, -16, -27, -27, -26, -25, -23, -23
2021,14132060,132,NETR,0.01MJ, 4,11, -23, -23, -24, -25, -25, -21, -11,  -4, 114, 186, 221, 239, 251, 209, 166, 112,  35, -12, -19, -19, -25, -24, -24, -22
2021,14132060,132,NETR,0.01MJ, 4,12, -22, -22, -22, -23, -23, -19,  -7,   7,  95, 141, 182, 195, 222, 167, 101, 111,  37,  -8, -19, -24, -21, -23, -23, -19
2021,14132060,132,NETR,0.01MJ, 4,13, -12,  -5,  -9,  -9,  -7,  -5,   3,   7,  14,  74, 112, 112,  59,  54,  71,  15,  10,   1,  -6,  -8,  -8,  -5,  -6,  -5
2021,14132060,132,NETR,0.01MJ, 4,14,  -3,  -2,  -2,  -2,  -2,   0,   5,  18,  32,  40,  48,  41,  53,  34,  32,  22,   5,  -1,  -3,  -4,  -3,  -5,  -6,  -5
2021,14132060,132,NETR,0.01MJ, 4,15,  -7,  -9, -10, -22, -13,  -9,   8,  33, 102, 168, 238, 205, 254, 219, 153,  83,  22,  -7, -19, -19, -21, -24, -20, -21
2021,14132060,132,NETR,0.01MJ, 4,16, -22, -20, -17, -22, -22, -12,  14,  37,  62, 109, 214, 134,  81,  94, 117,  57,   2,  -5,  -7,  -7,  -8,  -7,  -8,  -8
2021,14132060,132,NETR,0.01MJ, 4,17,  -8,  -6,  -6,  -6,  -5,  -4,   5,   8,  13,  14,  19,  42,  36,  54,  23,  24,  14,   2,  -3,  -3,  -2,  -2,  -1,  -1
2021,14132060,132,NETR,0.01MJ, 4,18,  -2,  -4,  -3,  -7, -14, -13,  -5,   4, 104, 206, 239, 247, 228, 243, 149, 106,  51, -18, -31, -30, -28, -27, -25, -23
2021,14132060,132,NETR,0.01MJ, 4,19, -24, -25, -23, -25, -26, -19,  -8,   2,  95, 200, 233, 253, 262, 224, 175, 117,  47, -14, -27, -26, -24, -22, -22, -21
2021,14132060,132,NETR,0.01MJ, 4,20, -22, -22, -23, -23, -23, -17,  -6,   6,  89, 189, 228, 248, 263, 225, 177, 116,  45, -12, -24, -23, -23, -21, -21, -21
2021,14132060,132,NETR,0.01MJ, 4,21, -21, -22, -22, -21, -22, -18,  -8,  -3,  87, 199, 234,9999, 272, 229, 181, 121,  48, -14, -27, -29, -29, -29, -30, -29
2021,14132060,132,NETR,0.01MJ, 4,22, -29, -26, -25, -25, -24, -19, -11,  -5,  85, 210, 245, 281, 263, 245, 128,  40,  13, -12, -29, -27, -26, -23, -12, -17
2021,14132060,132,NETR,0.01MJ, 4,23, -16, -13, -16, -25, -24,  -8,  -5,  -3,  81, 206, 239, 259, 279, 237, 189, 127,  54, -15, -25, -23, -22, -25, -23, -21
2021,14132060,132,NETR,0.01MJ, 4,24, -22, -22, -22, -22, -22, -17,  -7,   3,  81, 189, 184, 210, 288, 161, 134,  76,  33,  -2, -24, -26, -27, -26, -25, -25
2021,14132060,132,NETR,0.01MJ, 4,25, -25, -25, -24, -23, -23, -16,  -1,  42,  69, 118, 199, 255, 238, 192, 141,  11,  25,   0, -10, -14, -15,  -9,  -8, -13
2021,14132060,132,NETR,0.01MJ, 4,26, -19, -25, -29, -30, -30, -23, -14,  -7,  68, 213, 244, 258, 293, 234, 192, 134,  58, -16, -27, -27, -24, -25, -24, -22
2021,14132060,132,NETR,0.01MJ, 4,27, -17, -23, -21, -21, -21, -11,  -1,   5,  51, 201, 234, 254, 259, 145,  82,  43,  42,  -2, -20, -25, -26, -25, -25, -24
2021,14132060,132,NETR,0.01MJ, 4,28, -24, -24, -21, -21, -20, -11,  -3,   2,  36, 172, 160,  95, 139, 224, 181, 124,  38,   2, -12, -21, -16, -14, -11, -10
2021,14132060,132,NETR,0.01MJ, 4,29, -12,  -7,  -7,  -7,  -5,  -1,  10,  23,  30,  30,  37,  69,  48,  72,  35,  29,   8,   0,  -4,  -7,  -3,  -2,  -1,  -1
2021,14132060,132,NETR,0.01MJ, 4,30,  -3,  -4,  -9, -13, -14,  -9,   0,   9,  33, 214, 243, 269, 281, 241, 193, 133,  59, -10, -25, -26, -22, -18, -19, -18
2021,14132060,132,NETR,0.01MJ, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2021,14132060,132,NETR,0.01MJ, 5, 1, -21, -21, -20, -21, -20, -13,  -4,   6,  42, 145, 161, 122, 122, 197, 143,  14,  44,  -1, -10,  -7,  -6, -11,  -7,  -7
2021,14132060,132,NETR,0.01MJ, 5, 2, -18, -20, -20, -20, -21, -14,  -8,  -2,  30, 217, 261, 277, 286, 216, 128, 100,   2,   3, -17, -19, -12, -17, -19, -27
2021,14132060,132,NETR,0.01MJ, 5, 3, -26, -23, -27, -30, -28,  -8,  -6,  -4,  36, 188, 251, 270, 277, 217, 188, 141,  50,  -5, -14, -21, -21, -21, -22, -23
2021,14132060,132,NETR,0.01MJ, 5, 4, -23, -24, -23, -22, -22, -13,   0,  14,  55, 186, 235, 246, 233, 220, 172, 117,  55,  -2, -21, -22, -21, -18, -19, -22
2021,14132060,132,NETR,0.01MJ, 5, 5, -20, -19, -21, -22, -23,  -4,  26,  39,  72,  41,  29,  33,  24,  33,  33,  22,   2,  -5,  -6,  -7,  -7,  -7,  -7,  -6
2021,14132060,132,NETR,0.01MJ, 5, 6,  -4,  -4,  -4,  -3,  -1,   4,  20,  37,  39,  51,  58, 152, 228, 233, 196, 139,  72,  -3, -19, -21, -20, -14, -12, -13
2021,14132060,132,NETR,0.01MJ, 5, 7, -19, -16, -11, -11, -10,  -2,  21,  47,  40,  29,  30,  29,  37,  21,  13,   8,   5,  -1,  -6,  -7,  -5,  -5,  -5,  -6
2021,14132060,132,NETR,0.01MJ, 5, 8, -16, -19, -20, -19, -18, -10,  -2,   9,  67, 204, 244, 201, 165, 122,  63,  47,   9,  -6, -11, -11, -10, -11, -11, -11
2021,14132060,132,NETR,0.01MJ, 5, 9, -12, -13, -13, -14, -14,  -8,  12,  43,  82, 200, 246, 265, 256, 229, 185, 128,  54,  -1, -11, -18, -16, -14, -17, -12
2021,14132060,132,NETR,0.01MJ, 5,10, -18, -11, -16, -23, -21,  -8,  11,  31,  91, 191, 222, 238, 258, 198, 183, 131,  63,  -2, -17, -12, -12,  -9,  -9,  -7
2021,14132060,132,NETR,0.01MJ, 5,11,  -9, -11, -11, -14, -17,  -1,  14,  43,  47,  40,  39,  23,  35,  24,  30,  27,  34,   9,  -5,  -8, -10, -12, -11, -13
2021,14132060,132,NETR,0.01MJ, 5,12, -13,  -9,  -8,  -9,  -7,   3,  24,  42,  90, 128, 160, 151, 127,  85,  51,  24,   9,  -3,  -9,  -9,  -9,  -9,  -8,  -7
2021,14132060,132,NETR,0.01MJ, 5,13,  -6,  -5,  -5,  -4,  -4,  -1,   5,  24,  16,  26,  32,  30,  26,  23,  19,  13,  10,   5,  -1,  -1,  -1,  -1,  -1,  -2
2021,14132060,132,NETR,0.01MJ, 5,14,  -2,  -2,  -2,  -2,  -2,   7,  23,  24,  90, 151, 183, 219, 213, 202, 160, 115,  48,   5, -15, -18, -18, -17, -13, -15
2021,14132060,132,NETR,0.01MJ, 5,15, -12, -13, -12, -14, -11,   4,  24,  41,  73, 143, 248, 262, 259, 212, 182, 128,  74,  -2, -18, -20, -20, -19, -16, -19
