測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2011,11204030,106,NETR,0.01MJ, 4, 1, -32, -31, -30, -30, -30, -28, -19,  62, 139, 171, 198, 213, 202, 188, 163, 115,  43, -19, -31, -30, -29, -28, -27, -27
2011,11204030,106,NETR,0.01MJ, 4, 2, -27, -26, -26, -27, -23, -18,   5,  41,  86,  83, 105,  81, 187, 177, 145,  73,  26,  -7, -15, -18, -22, -23, -23, -12
2011,11204030,106,NETR,0.01MJ, 4, 3, -13, -17, -19, -14, -12,  -8,   5,  20,  30,  29,  32,  33,  35,  50,  65,  44,   9,  -8, -21, -27, -28, -27, -23, -16
2011,11204030,106,NETR,0.01MJ, 4, 4,  -7,  -9, -12, -18, -20, -27, -19,  73, 144, 179, 208, 219, 216, 200, 175, 132,  59, -23, -38, -37, -38, -37, -36, -36
2011,11204030,106,NETR,0.01MJ, 4, 5, -35, -34, -33, -32, -32, -30, -19,  75, 137, 170, 196, 207, 204, 188, 166, 122,  53, -21, -34, -32, -32, -30, -30, -28
2011,11204030,106,NETR,0.01MJ, 4, 6, -29, -30, -30, -29, -29, -25, -16,  79, 136, 167, 194, 207, 204, 185, 154, 115,  50, -20, -32, -30, -30, -28, -28, -26
2011,11204030,106,NETR,0.01MJ, 4, 7, -26, -25, -24, -22, -20, -13,   7,  45,  78,  86,  96, 103,9999, 182,  93, 111,  54, -13, -19, -25, -28, -28, -27, -27
2011,11204030,106,NETR,0.01MJ, 4, 8, -27, -27, -27, -25, -24, -19,   8,  42,  96,  81,  53,  43,  82, 117, 114,  45,   8,  -5, -16, -14, -17, -24, -23, -21
2011,11204030,106,NETR,0.01MJ, 4, 9, -11, -11, -11,  -8,  -7,  -4,   8,  18,  22,  31,  41,  35,  42,  19,   7,   4,   2,  -2,  -3,  -3,  -3,  -3,  -4,  -5
2011,11204030,106,NETR,0.01MJ, 4,10,  -4,  -4,  -4,  -8, -14,  -9,  18,  43,  78, 141, 177, 156, 185,  79, 130,  67,  16,  -9, -18, -17, -17, -16, -16, -22
2011,11204030,106,NETR,0.01MJ, 4,11, -18, -15, -22, -25, -23, -16,   5,  75, 112, 134, 133, 173, 202, 173,  87,  -6,  -2,  -5, -16,  -8,  -6,  -7,  -8, -10
2011,11204030,106,NETR,0.01MJ, 4,12, -12, -11, -11, -14, -17, -32, -15,  86, 147, 191, 219, 230, 226, 205, 176, 129,  58, -14, -36, -35, -34, -31, -30, -29
2011,11204030,106,NETR,0.01MJ, 4,13, -29, -29, -28, -28, -28, -22,  -5,  83, 139, 180, 209, 223, 218, 199, 169, 123,  56, -11, -32, -31, -30, -27, -27, -27
2011,11204030,106,NETR,0.01MJ, 4,14, -28, -28, -29, -28, -27, -21,  -3,  87, 140, 178, 205, 215, 212, 190, 159, 118,  55, -12, -32, -30, -30, -27, -26, -25
2011,11204030,106,NETR,0.01MJ, 4,15, -22, -19, -20, -20, -20, -11,   4,  85, 137, 171, 200, 206, 199, 149, 157, 104,  35,  -4, -15, -14, -14, -12, -17, -15
2011,11204030,106,NETR,0.01MJ, 4,16, -16, -15, -16, -16, -19, -13,  14,  24,  71, 154, 204, 213, 193, 179, 141,  91,  37,  -5, -30, -31, -31, -30, -31, -31
2011,11204030,106,NETR,0.01MJ, 4,17, -31, -32, -32, -27, -27, -28,   1, 100, 138, 175, 199, 211, 203, 184, 115,  96,  18, -10, -22, -21, -19, -20, -15, -10
2011,11204030,106,NETR,0.01MJ, 4,18,  -6, -10, -11, -11,  -9,  -4,  18,  51, 105, 140, 105,  28,  27,  53,  28,  39,  19,  -4,  -8,  -8,  -8,  -8,  -8,  -8
