測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,11201030,201,HUM ,%     , 4, 1,  35,  41,  45,  51,  49,  52,  49,  36,  31,  29,  26,  26,  25,  26,  25,  28,  27,  28,  30,  33,  36,  37,  39,  38
2012,11201030,201,HUM ,%     , 4, 2,  36,  36,  38,  38,  38,  38,  36,  29,  25,  23,  25,  25,  24,  26,  25,  33,  35,  50,  56,  61,  63,  68,  68,  70
2012,11201030,201,HUM ,%     , 4, 3,  74,  78,  78,  82,  81,  84,  76,  69,  47,  40,  38,  47,  57,  78,  83,  75,  87,  88,  88,  84,  69,  52,  48,  29
2012,11201030,201,HUM ,%     , 4, 4,  33,  22,  28,  27,  46,  40,  33,  28,  24,  21,  19,  18,  17,  17,  16,  19,  18,  19,  26,  29,  30,  49,  56,  56
2012,11201030,201,HUM ,%     , 4, 5,  52,  31,  35,  55,  40,  56,  50,  44,  32,  26,  23,  23,  19,  18,  23,  13,  15,  32,  37,  40,  36,  38,  39,  40
2012,11201030,201,HUM ,%     , 4, 6,  56,  66,  68,  71,  75,  75,  66,  58,  52,  52,  39,  24,  22,  23,  21,  20,  24,  29,  31,  33,  33,  36,  43,  53
2012,11201030,201,HUM ,%     , 4, 7,  52,  58,  64,  60,  61,  58,  50,  36,  29,  23,  23,  24,  23,  26,  26,  25,  19,  23,  26,  29,  32,  38,  40,  40
2012,11201030,201,HUM ,%     , 4, 8,  38,  40,  44,  48,  55,  68,  51,  31,  26,  22,  25,  25,  22,  22,  26,  29,  36,  43,  49,  53,  55,  57,  56,  64
2012,11201030,201,HUM ,%     , 4, 9,  70,  74,  70,  78,  78,  78,  71,  56,  47,  39,  31,  29,  20,  17,  15,  13,  14,  18,  22,  29,  30,  34,  38,  41
2012,11201030,201,HUM ,%     , 4,10,  39,  44,  55,  58,  61,  59,  49,  29,  28,  24,  24,  21,  17,  24,  23,  23,  41,  50,  56,  64,  69,  75,  78,  78
2012,11201030,201,HUM ,%     , 4,11,  81,  75,  72,  72,  77,  89,  86,  82,  76,  73,  42,  73,  51,  53,  77,  64,  53,  55,  88,  92,  93,  96,  94,  89
2012,11201030,201,HUM ,%     , 4,12,  90,  94,  94,  94,  69,  52,  47,  42,  36,  32,  30,  27,  26,  35,  33,  40,  42,  48,  53,  53,  63,  74,  69,  67
2012,11201030,201,HUM ,%     , 4,13,  69,  67,  70,  71,  82,  86,  75,  52,  27,  27,  26,  22,  20,  19,  23,  23,  25,  39,  51,  66,  81,  93,  91,  89
2012,11201030,201,HUM ,%     , 4,14,  89,  90,  93,  94,  92,  93,  94,  95,  95,  95,  94,  94,  95,  94,  94,  93,  91,  91,  90,  92,  92,  93,  95,  94
2012,11201030,201,HUM ,%     , 4,15,  92,  92,  94,  94,  93,  88,  80,  71,  58,  50,  46,  41,  41,  39,  40,  39,  45,  58,  59,  56,  58,  64,  68,  74
2012,11201030,201,HUM ,%     , 4,16,  76,  79,  87,  88,  86,  86,  71,  66,  60,  57,  52,  49,  46,  42,  41,  39,  44,  54,  51,  56,  61,  64,  67,  70
2012,11201030,201,HUM ,%     , 4,17,  69,  65,  73,  75,  73,  74,  71,  68,  66,  59,  56,  48,  47,  43,  46,  56,  62,  75,  81,  80,  79,  81,  84,  89
2012,11201030,201,HUM ,%     , 4,18,  92,  93,  95,  94,  93,  91,  80,  65,  62,  54,  56,  43,  39,  41,  42,  39,  42,  47,  51,  49,  54,  53,  49,  52
2012,11201030,201,HUM ,%     , 4,19,  54,  71,  78,  82,  76,  78,  76,  60,  60,  56,  52,  47,  51,  46,  48,  46,  50,  54,  62,  69,  72,  73,  74,  73
2012,11201030,201,HUM ,%     , 4,20,  69,  63,  62,  69,  65,  62,  62,  63,  54,  48,  46,  44,  44,  43,  42,  53,  57,  60,  61,  63,  64,  67,  70,  71
2012,11201030,201,HUM ,%     , 4,21,  72,  71,  71,  75,  81,  82,  80,  75,  74,  71,  60,  60,  58,  59,  56,  55,  56,  56,  58,  57,  58,  61,  63,  64
2012,11201030,201,HUM ,%     , 4,22,  63,  65,  66,  67,  66,  63,  64,  61,  61,  62,  62,  76,  69,  68,  69,  76,  83,  89,  92,  93,  95,  95,  96,  96
2012,11201030,201,HUM ,%     , 4,23,  96,  97,  97,  98,  98,  98,  98,  98,  98,  97,  97,  96,  96,  94,  95,  97,  96,  96,  97,  97,  97,  96,  92,  90
2012,11201030,201,HUM ,%     , 4,24,  91,  92,  96,  97,  98,  98,  92,  63,  58,  58,  49,  42,  35,  37,  33,  33,  35,  45,  65,  71,  71,  72,  64,  65
2012,11201030,201,HUM ,%     , 4,25,  79,  75,  73,  79,  85,  86,  78,  64,  64,  61,  52,  46,  41,  45,  54,  56,  65,  66,  67,  69,  70,  75,  75,  77
2012,11201030,201,HUM ,%     , 4,26,  79,  86,  86,  83,  79,  79,  76,  82,  86,  82,  67,  64,  64,  63,  77,  89,  84,  90,  92,  89,  94,  93,  96,  97
2012,11201030,201,HUM ,%     , 4,27,  98,  98,  98,  98,  98,  98,  98,  98,  98,  97,  96,  96,  96,  95,  94,  96,  97,  97,  97,  97,  97,  97,  98,  98
2012,11201030,201,HUM ,%     , 4,28,  97,  96,  93,  93,  92,  89,  81,  80,  72,  68,  64,  59,  53,  43,  43,  51,  56,  63,  69,  73,  74,  74,  73,  74
2012,11201030,201,HUM ,%     , 4,29,  74,  75,  77,  88,  90,  85,  76,  70,  61,  60,  50,  45,  36,  22,  24,  28,  40,  54,  65,  67,  72,  76,  81,  88
2012,11201030,201,HUM ,%     , 4,30,  84,  87,  88,  88,  90,  88,  82,  75,  67,  65,  56,  52,  50,  51,  52,  48,  49,  59,  64,  68,  69,  71,  74,  75
2012,11201030,201,HUM ,%     , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2012,11201030,201,HUM ,%     , 5, 1,  77,  83,  84,  89,  91,  88,  76,  69,  59,  60,  54,  81,  71,  76,  79,  88,  82,  79,  65,  69,  71,  77,  91,  93
2012,11201030,201,HUM ,%     , 5, 2,  94,  94,  94,  95,  95,  89,  86,  86,  87,  71,  63,  73,  77,  92,  94,  95,  95,  95,  95,  95,  95,  95,  95,  95
2012,11201030,201,HUM ,%     , 5, 3,  95,  95,  96,  96,  96,  96,  96,  96,  96,  96,  96,  96,  95,  95,  94,  94,  93,  95,  95,  95,  95,  96,  96,  95
2012,11201030,201,HUM ,%     , 5, 4,  95,  95,  95,  96,  96,  96,  95,  92,  80,  71,  65,  69,  65,  68,  70,  78,  85,  83,  86,  88,  91,  93,  83,  73
2012,11201030,201,HUM ,%     , 5, 5,  71,  59,  59,  64,  61,  59,  53,  45,  42,  36,  36,  33,  31,  27,  22,  24,  28,  38,  48,  62,  61,  66,  63,  67
2012,11201030,201,HUM ,%     , 5, 6,  75,  78,  82,  81,  79,  78,  76,  72,  68,  58,  47,  46,  69,  66,  85,  59,  51,  57,  64,  66,  67,  72,  71,  75
2012,11201030,201,HUM ,%     , 5, 7,  87,  88,  88,  89,  88,  80,  69,  60,  59,  57,  52,  44,  33,  34,  25,  28,  29,  38,  38,  42,  39,  72,  75,  78
2012,11201030,201,HUM ,%     , 5, 8,  73,  72,  72,  78,  87,  88,  74,  63,  57,  52,  47,  36,  35,  29,  28,  44,  41,  38,  41,  42,  53,  60,  68,  72
