測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,11110010,110,SO2 ,PPB   , 4, 1,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   3,   5,   4,   4,   5,   4,   4,   3,   2,   1,   1,   0,   0
2012,11110010,110,SO2 ,PPB   , 4, 2,9999,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   1,   1,   2,   4,   4,   3,   3,   2,   3,   3,   3,   2,   1
2012,11110010,110,SO2 ,PPB   , 4, 3,   0,   0,   0,   0,   0,   0,   1,   1,   2,   1,9999,9999,9999,   1,   1,   1,   2,   2,   2,   2,   2,   2,   2,   1
2012,11110010,110,SO2 ,PPB   , 4, 4,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4, 5,   0,   0,   1,   1,   1,   1,   2,   2,   3,   4,   5,   6,   5,   5,   4,   4,   4,   3,   2,   2,   2,   1,   1,   1
2012,11110010,110,SO2 ,PPB   , 4, 6,   1,   1,   0,   2,   3,   1,   1,   1,   2,   2,   2,   2,   3,   3,   2,   2,   1,   1,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4, 7,   0,   0,   1,   0,   0,   0,   1,   2,   1,   1,   1,   1,   2,   2,   2,   1,   1,   1,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4, 8,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   2,   3,   3,   4,   5,   4,   3,   3,   3,   2,   2,   2,   2
2012,11110010,110,SO2 ,PPB   , 4, 9,9999,   1,   1,   1,   1,   0,   1,   1,   2,   3,   4,   5,   6,   5,   5,   4,   4,   3,   2,   2,   1,   1,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,10,   1,   1,   1,   1,   1,   1,   1,   2,   2,   2,   3,   4,   6,   5,   6,   5,   6,   5,   4,   4,   3,   3,   3,   2
2012,11110010,110,SO2 ,PPB   , 4,11,   3,   4,   3,   1,   1,   1,   1,   1,   2,   3,   3,   4,   4,   4,   4,   4,   4,   4,   4,   4,   3,   3,   3,   2
2012,11110010,110,SO2 ,PPB   , 4,12,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   3,   5,   6,   5,   4,   4,   2,   2,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,13,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   3,   3,   2,   2,   2,   2,   4,   7,   6,   4,   1,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,14,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4,15,   0,   0,   0,   0,   0,   0,   0,   1,   1,   2,   3,   4,   4,   4,   4,   3,   3,   2,   1,   1,   1,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4,16,9999,   0,   0,   0,   0,   0,   0,   1,   1,   2,   3,   4,   4,   4,   5,   5,   6,   5,   5,   3,   2,   2,   2,   1
2012,11110010,110,SO2 ,PPB   , 4,17,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   4,   4,   4,   3,   3,   3,   3,   1,   1,   1,   1,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4,18,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   2,   2,   3,   2,   2,   1,   1,   1,   1,   0,   1,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,19,   2,   1,   1,   1,   1,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4,20,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,21,   1,   0,   1,   1,   1,   0,   0,   1,   1,   1,   1,   1,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4,22,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4,23,9999,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0
2012,11110010,110,SO2 ,PPB   , 4,24,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   3,   2,   3,   1,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,25,   1,   1,   2,   1,   0,   1,   1,   1,   2,   2,   2,   1,   2,   3,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,26,   1,   1,   1,   1,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   1,   2,   2,   2,   2,   2,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,27,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 4,28,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   0,   0,   0,   1,   1,   2,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,29,   1,   0,   0,   0,   0,   0,   0,   1,   2,   2,   2,   2,   2,   4,   5,   4,   4,   4,   1,   1,   1,   1,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,30,9999,   2,   1,   2,   2,   2,   3,   3,   2,   1,   1,   1,   2,   3,   3,   2,   1,   2,   1,   2,   2,   2,   1,   1
2012,11110010,110,SO2 ,PPB   , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2012,11110010,110,SO2 ,PPB   , 5, 1,   1,   0,   0,   1,   1,   0,   1,   1,   1,   1,   1,   1,   1,9999,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 5, 2,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 5, 3,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 5, 4,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 5, 5,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   2,   2,   2,   6,   2,   2,   2,   2,   2,   2,   1
2012,11110010,110,SO2 ,PPB   , 5, 6,   1,   1,   1,   1,   0,   0,   1,   1,   2,   2,   3,   2,   2,   2,   2,   1,   1,   1,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 5, 7,9999,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   2,   3,   3,   5,   6,   5,   5,   6,   3,   2,   2,   1,   1
2012,11110010,110,SO2 ,PPB   , 5, 8,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   4,   6,   6,   9,   8,   7,   7,   5
2012,11110010,110,SO2 ,PPB   , 5, 9,   4,   3,   3,   2,   1,   1,   2,   2,   2,   2,   2,   3,   4,   4,   4,   4,   5,   4,   2,   1,   1,   1,   1,   1
2012,11110010,110,SO2 ,PPB   , 5,10,   1,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   2,   2,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 5,11,   0,   0,   0,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 5,12,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2012,11110010,110,SO2 ,PPB   , 5,13,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   1,   2,   2,   3,   3,   3,   3,   3,   3,   3,   2,   2,   2,   2
2012,11110010,110,SO2 ,PPB   , 5,14,9999,   0,   0,   0,   0,   0,   1,   1,   2,   3,   3,   4,   7,   8,   6,   5,   5,   5,   5,   4,   3,   4,   3,   3
2012,11110010,110,SO2 ,PPB   , 5,15,   2,   2,   2,   2,   2,   2,   2,   2,   3,   5,   5,   3,   3,   3,   2,   2,   3,   2,   2,   3,   3,   3,   3,   2
