測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2016,11421010,210,UV  ,0.01MJ, 4, 1,9999,9999,9999,9999,9999,   0,   1,   3,   5,   9,   7,  11,  11,   7,   2,   1,   0,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4, 2,9999,9999,9999,9999,9999,   0,   0,   1,   1,   2,   4,   5,   3,   3,   4,   2,   0,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4, 3,9999,9999,9999,9999,9999,   0,   0,   1,   3,   7,  10,  13,  11,   8,   7,   5,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4, 4,9999,9999,9999,9999,9999,   0,   0,   0,   1,   2,   4,   9,  10,   8,   5,   2,   1,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4, 5,9999,9999,9999,9999,9999,   0,   0,   0,   1,   3,9999,   9,   9,   5,   4,   2,   1,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4, 6,9999,9999,9999,9999,9999,   0,   1,   4,   7,  11,  13,  15,  14,  11,   5,   4,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4, 7,9999,9999,9999,9999,9999,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   0,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4, 8,9999,9999,9999,9999,9999,   0,   1,   5,   7,   9,  10,  13,   7,   6,   5,   4,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4, 9,9999,9999,9999,9999,9999,   0,   1,   4,   7,  12,  14,  16,  15,   8,   7,   5,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,10,9999,9999,9999,9999,9999,   0,   1,   4,   7,   8,   9,  10,   7,   5,   4,   2,   1,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,11,9999,9999,9999,9999,9999,   0,   0,   1,   8,  13,  15,  16,  16,  14,  11,   7,   3,   1,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,12,9999,9999,9999,9999,9999,   0,   1,   4,   8,  11,  13,  15,  14,  12,   9,   5,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,13,9999,9999,9999,9999,9999,   0,   0,   2,   6,   4,   7,  10,  14,  11,   9,   6,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,14,9999,9999,9999,9999,9999,   0,   0,   1,   3,   5,   6,   6,   9,  10,   5,   3,   2,   1,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,15,9999,9999,9999,9999,9999,   0,   2,   5,   9,  13,  15,  16,  16,  14,  11,   7,   3,   1,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,16,9999,9999,9999,9999,9999,   0,   2,   4,   6,   8,  11,  11,  12,   9,   7,   5,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,17,9999,9999,9999,9999,9999,   0,   0,   1,   2,   3,  12,   9,  14,  14,  12,   8,   4,   1,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,18,9999,9999,9999,9999,9999,   0,   1,   4,   7,  12,  15,  15,   9,   7,   4,   1,   0,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,19,9999,9999,9999,9999,9999,   0,   2,   5,   9,  13,  15,  16,  16,  13,  10,   4,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,20,9999,9999,9999,9999,9999,   0,   2,   5,   9,  13,  16,  17,  16,  13,   9,   6,   3,   1,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,21,9999,9999,9999,9999,9999,   0,   1,   2,   4,   8,   7,   6,   4,   2,   1,   1,   0,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,22,9999,9999,9999,9999,9999,   0,   2,   5,  10,  14,  17,  17,  15,  11,   8,   5,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,23,9999,9999,9999,9999,9999,   0,   1,   3,   6,   9,  10,   9,  11,  13,   8,   3,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,24,9999,9999,9999,9999,9999,   0,   0,   0,   1,   3,  10,  11,  15,  13,   9,   4,   1,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,25,9999,9999,9999,9999,9999,   0,   1,   5,   9,  13,  15,  17,  15,   8,   6,   4,   2,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,26,9999,9999,9999,9999,9999,   0,   2,   5,   9,  13,  15,  17,  16,  14,  10,   7,   3,   1,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,27,9999,9999,9999,9999,9999,   0,   2,   2,   2,   5,   4,   4,   3,   5,   3,   3,   1,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,28,9999,9999,9999,9999,9999,   0,   0,   0,   1,   1,   2,   3,   4,   2,   2,   1,   1,   0,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,29,9999,9999,9999,9999,9999,   1,   3,   6,  11,  15,  17,  18,  18,  16,  13,   8,   4,   1,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,30,9999,9999,9999,9999,9999,   1,   2,   6,  10,  14,  16,  17,  16,  14,   7,   8,   4,   1,9999,9999,9999,9999,9999,9999
2016,11421010,210,UV  ,0.01MJ, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
