測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2018,11110010,110,NMHC,10PPBC, 4, 1,  16,  19,  21,  20,  22,  27,  26,  23,  16,  14,  13,  12,   8,   6,   6,   7,   6,   6,   6,   8,   7,   7,   7,   8
2018,11110010,110,NMHC,10PPBC, 4, 2,9999,  12,  15,  17,  27,  30,  30,  24,  19,  17,  14,  15,  11,  12,   9,   9,   9,   8,   7,   6,   5,   7,   7,   6
2018,11110010,110,NMHC,10PPBC, 4, 3,   6,   7,   5,  10,  11,  18,  20,  15,   9,  11,  11,  13,  14,  14,  22,  19,  15,  14,  24,  28,  30,  25,  26,  25
2018,11110010,110,NMHC,10PPBC, 4, 4,  29,  34,  45,  52,  48,  48,  51,  41,  47,  31,  20,  18,  20,  21,  17,  10,  11,  10,  13,  21,  23,  15,   6,   4
2018,11110010,110,NMHC,10PPBC, 4, 5,   4,   4,   4,   5,   8,   7,   4,   5,   5,   5,   5,   8,   8,   6,   6,   6,   7,   8,   9,   9,   9,   9,  12,  11
2018,11110010,110,NMHC,10PPBC, 4, 6,  11,  10,  11,  14,  15,  14,  15,  15,  18,   8,   6,   6,   4,   4,   6,   4,   5,   5,   6,   5,   5,   3,   4,   4
2018,11110010,110,NMHC,10PPBC, 4, 7,   3,   3,   9,   6,   8,  10,   7,   7,   7,   8,   9,   9,   9,   6,   7,   6,   6,   6,   5,   6,   6,   6,   7,   5
2018,11110010,110,NMHC,10PPBC, 4, 8,   5,   6,   6,   8,   7,  10,  11,   8,   6,   8,   3,   2,   2,   2,   1,   2,   2,   2,   3,   6,  12,  14,  14,  13
2018,11110010,110,NMHC,10PPBC, 4, 9,9999,  11,   7,   8,  11,  14,  15,  13,  13,   8,   5,   4,   5,   5,   5,   4,   5,   4,   8,   7,  10,   8,   8,  10
2018,11110010,110,NMHC,10PPBC, 4,10,  11,  11,   8,   7,  13,  16,  19,  13,  12,   7,   6,   8,   9,   7,   9,  26,  11,   8,   8,  10,  12,  16,  37,  28
2018,11110010,110,NMHC,10PPBC, 4,11,  24,  30,  38,  33,  34,  36,  35,  33,  28,  26,  29,  11,   6,   3,   4,   6,   5,   5,   5,   5,   5,   5,   7,   9
2018,11110010,110,NMHC,10PPBC, 4,12,  38,  32,  28,  34,  20,  16,  20,  25,  21,  20,  17,  15,  12,  11,   9,   8,   8,   9,  12,   8,   9,  13,  18,  17
2018,11110010,110,NMHC,10PPBC, 4,13,   8,   6,   7,   6,   4,   3,   3,   3,   3,   3,   4,   3,   4,   3,   4,   4,   3,   5,   7,  10,  14,   7,   8,   6
2018,11110010,110,NMHC,10PPBC, 4,14,   7,   9,   8,   7,   7,  15,  21,  28,  24,  18,  15,  15,  19,  18,   7,   6,   6,   6,   6,   6,   6,   5,   4,   4
2018,11110010,110,NMHC,10PPBC, 4,15,   2,   2,   2,   4,   4,   9,  14,  16,  15,  10,   9,   8,  12,  14,  13,  11,   9,  12,  12,   4,   3,   3,   2,   2
2018,11110010,110,NMHC,10PPBC, 4,16,9999,   2,   3,   3,   3,   4,   4,   3,   4,   4,   4,   4,   6,   6,   6,   6,   6,   9,   7,   5,   4,   6,   8,   5
2018,11110010,110,NMHC,10PPBC, 4,17,   6,   7,   6,   8,  10,  12,  13,  16,   8,   7,  12,  12,  10,  11,  11,  12,  16,  17,  21,  21,  30,  29,  25,  23
2018,11110010,110,NMHC,10PPBC, 4,18,  15,  15,  14,  14,  12,   9,   9,   8,  12,  11,  11,  11,  10,   8,   5,   8,   7,   6,  15,  13,  12,  11,  15,  22
