測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2020,11421010,210,SUN ,0.01MJ, 4, 1,9999,9999,9999,9999,9999,   1,  10,  18,  24,  49,  76,  61,  50,  44,  22,  15,   6,   0,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4, 2,9999,9999,9999,9999,9999,   4,  53, 134, 211, 273, 314, 334, 326, 298, 242, 171,  96,  24,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4, 3,9999,9999,9999,9999,9999,   5,  57, 137, 213, 276, 315, 330, 257, 248, 233, 167,  86,  18,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4, 4,9999,9999,9999,9999,9999,   4,  50, 129, 205, 270, 311, 333, 329, 289, 163, 181,  78,  14,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4, 5,9999,9999,9999,9999,9999,   4,  26,  43,  28,  66, 111,  49,  24,  20,  64, 176,  96,  27,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4, 6,9999,9999,9999,9999,9999,   7,  62, 146, 222, 287, 329, 349, 345, 315, 259, 188, 106,  30,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4, 7,9999,9999,9999,9999,9999,   4,  54, 107, 119, 240, 230, 347, 316, 188, 132, 158, 102,  26,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4, 8,9999,9999,9999,9999,9999,   6,  55, 131, 206, 269, 311, 327, 330, 286, 233, 134,  63,  16,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4, 9,9999,9999,9999,9999,9999,   7,  58, 138, 215, 280, 296, 262, 341, 219,  92,  14,   5,   1,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,10,9999,9999,9999,9999,9999,   7,  62, 146, 227, 290, 320, 364, 346, 322, 268, 199, 114,  35,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,11,9999,9999,9999,9999,9999,  11,  71, 154, 230, 292, 332, 354, 348, 323, 261, 148,  70,   7,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,12,9999,9999,9999,9999,9999,   0,   3,  13,  51, 148, 175, 135, 279,  90,  92,  82,  57,  17,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,13,9999,9999,9999,9999,9999,   0,   8,  18,  20,  33,  30,  39,  32,  27,  23,  10,   6,   1,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,14,9999,9999,9999,9999,9999,  12,  77, 162, 239, 302, 341, 363, 358, 327, 272, 201, 120,  39,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,15,9999,9999,9999,9999,9999,  10,  64, 138, 215, 278, 323, 338, 337, 305, 217, 107,  55,  27,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,16,9999,9999,9999,9999,9999,   7,  61, 103, 163, 243, 294, 326, 311, 265, 226, 156,  47,  14,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,17,9999,9999,9999,9999,9999,   4,  26,  47, 127,9999, 261, 287, 310, 224, 170, 106,  39,   6,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,18,9999,9999,9999,9999,9999,   0,   2,   9,  16,  22,  21,  15,   9,  11,  17,  57,  62,  44,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,19,9999,9999,9999,9999,9999,  10,  84, 168, 241, 301, 339, 360, 354, 322, 271, 198, 121,  23,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,20,9999,9999,9999,9999,9999,   0,   3,   8,  21,  62,  37,  54,  50,  48,  52,  38,  25,  10,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,21,9999,9999,9999,9999,9999,  14,  71, 120, 217, 205, 139, 227, 213,  85, 157, 127,  48,  16,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,22,9999,9999,9999,9999,9999,   4,  46,  91,  78, 265, 238, 258,  50,  45,  19,  18,  22,  13,9999,9999,9999,9999,9999,9999
2020,11421010,210,SUN ,0.01MJ, 4,23,9999,9999,9999,9999,9999,  21,  96, 179, 252, 311, 348, 369, 323, 151, 224, 135,  68,  21,9999,9999,9999,9999,9999,9999
