測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2011,12201050,103,NETR,0.01MJ, 4, 1, -28, -26, -26, -26, -25, -22,  16,  81, 136, 176, 197, 202, 200, 182, 142,  88,  23, -21, -30, -28, -27, -27, -27, -27
2011,12201050,103,NETR,0.01MJ, 4, 2, -26, -27, -26, -24, -22, -17,   4,  46,  91,  85,  92, 137,  61,  93,  73,  53,  13, -10, -13, -15, -16, -17, -19, -22
2011,12201050,103,NETR,0.01MJ, 4, 3, -17, -14, -12, -13, -12, -12,   7,  17,  22,  20,   7,  14,  24,  50,  35,  34,  10,  -5,  -9, -14, -22, -19, -21, -22
2011,12201050,103,NETR,0.01MJ, 4, 4, -13,  -7,  -8, -14, -10, -10,   9,  76, 138, 171, 176, 198, 201, 177, 145,  93,  27, -23, -32, -31, -31, -31, -31, -32
2011,12201050,103,NETR,0.01MJ, 4, 5, -32, -33, -31, -29, -28, -23,  20,  86, 141, 179, 201, 204, 197, 178, 140,  87,  25, -24, -32, -30, -30, -28, -28, -27
2011,12201050,103,NETR,0.01MJ, 4, 6, -27, -26, -24, -24, -24, -20,  21,  84, 137, 174, 197, 206, 199, 183, 140,  88,  25, -23, -33, -31, -31, -29, -28, -28
2011,12201050,103,NETR,0.01MJ, 4, 7, -26, -24, -25, -24, -22, -15,   6,  38,  91, 126, 130, 103, 142, 187, 130,  89,  28, -18, -28, -27, -26, -26, -25, -25
2011,12201050,103,NETR,0.01MJ, 4, 8, -25, -26, -26, -26, -24, -18,  17,  67, 111,  82,  68,  50,  46,  43,  24,  16,   2,  -6, -10, -11, -13, -16, -20, -19
2011,12201050,103,NETR,0.01MJ, 4, 9, -10, -10, -10,  -7,  -6,  -2,   0,   5,  26,  47,  29,  22,  14,  13,   5,  11,   6,   0,   0,  -1,  -2,  -2,  -2,  -3
2011,12201050,103,NETR,0.01MJ, 4,10,  -3,  -3,  -3,  -3,  -3,  -2,  14,  40,  76, 122, 124, 119, 109,  90, 116,  62,  25, -13, -19, -17, -16, -15, -15, -16
2011,12201050,103,NETR,0.01MJ, 4,11, -20, -16, -20, -16, -21, -13,  21,  73, 121, 148, 175, 162, 196, 180, 136,  81,   6,  -8,  -8,  -9,  -5,  -5,  -5,  -5
2011,12201050,103,NETR,0.01MJ, 4,12,  -5,  -6,  -7,  -9, -13, -16,  17,  84, 152, 196,9999, 237, 230, 207, 162, 100,  32, -21, -33, -31, -30, -29, -28, -27
2011,12201050,103,NETR,0.01MJ, 4,13, -26, -25, -22, -22, -24, -17,  30,  97, 151, 195, 227, 236, 230, 206, 158, 101,  34, -18, -32, -32, -31, -30, -30, -28
2011,12201050,103,NETR,0.01MJ, 4,14, -26, -26, -24, -24, -24, -15,  31,  97, 151, 192, 218, 222, 218, 199, 158, 101,  35, -18, -33, -31, -29, -29, -27, -28
2011,12201050,103,NETR,0.01MJ, 4,15, -25, -21, -22, -19, -20, -12,  14,  87, 150, 184, 223, 224, 220, 148,  79,  54,  24,  -6, -14, -14, -12, -11,  -7,  -3
2011,12201050,103,NETR,0.01MJ, 4,16,  -6,  -5,  -2,  -2,  -2,  -2,   9,  37,  69, 153, 210, 214, 217, 197, 139,  74,  27,  -9, -23, -19, -23, -29, -28, -26
2011,12201050,103,NETR,0.01MJ, 4,17, -25, -25, -22, -24, -22,  -7,  28,  98, 157, 198, 223, 223, 217, 191, 105,  96,  20, -12, -21, -18, -16, -15, -14, -16
2011,12201050,103,NETR,0.01MJ, 4,18, -19, -12, -10, -14, -20,  -8,  38,  74, 118, 154, 141, 103,  63,  93,  69,  30,  15,  -4, -14,  -9,  -8,  -7,  -7,  -7
2011,12201050,103,NETR,0.01MJ, 4,19,  -7,  -5,  -4,  -4,  -3,  -2,   1,  24, 100, 117, 147, 198, 230, 202, 171,  84,  20,  -5, -10, -10,  -9, -10, -23, -20
2011,12201050,103,NETR,0.01MJ, 4,20, -25, -26, -26, -25, -25, -11,  36, 111, 173, 208, 242, 238, 226, 109, 102,  52,   4,  -3, -24, -24, -14, -19, -12,  -7
2011,12201050,103,NETR,0.01MJ, 4,21,  -6,  -6,  -6,  -5,  -5,  -3,   0,  11,  62,  81,  53, 136, 246, 131,  49,  34,  14,  -3, -13,  -8,  -6,  -8,  -6,  -9
2011,12201050,103,NETR,0.01MJ, 4,22,  -7,  -2,  -3,  -3,  -3,   2,  23,  44, 102, 155, 170, 163,  78,  64,  17,  20,   8,  -5, -14, -14, -13, -13, -10,  -9
2011,12201050,103,NETR,0.01MJ, 4,23,  -6,  -5,  -6,  -6,  -3,  -1,   5,  20,  61,  68,  36,  54,  61,  75,  45,  28,   6,   1,  -5,  -4,  -4,  -3,  -3,  -2
