測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,12201010,102,HUM ,%     , 4, 1,  47,  48,  49,  49,  48,  48,  47,  38,  38,  36,  36,  35,  34,  38,  42,  44,  48,  51,  50,  54,  52,  47,  49,  51
2012,12201010,102,HUM ,%     , 4, 2,  57,  61,  62,  65,  68,  71,  68,  44,  38,  34,  31,  30,  29,  37,  44,  51,  56,  62,  67,  70,  72,  77,  77,  78
2012,12201010,102,HUM ,%     , 4, 3,  81,  84,  87,  88,  88,  88,  89,  80,  60,  56,  58,  61,  65,  66,  78,  90,  87,  85,  90,  91,  81,  62,  59,  63
2012,12201010,102,HUM ,%     , 4, 4,  38,  34,  43,  46,  51,  54,  41,  34,  32,  30,  26,  24,  26,  27,  26,  22,  24,  27,  33,  43,  49,  53,  55,  68
2012,12201010,102,HUM ,%     , 4, 5,  49,  53,  57,  56,  60,  58,  51,  46,  44,  43,  43,  41,  39,  39,  41,  44,  43,  50,  58,  60,  65,  67,  65,  63
2012,12201010,102,HUM ,%     , 4, 6,  75,  84,  88,  89,  89,  90,  94,  87,  75,  66,  60,  48,  30,  24,  24,  22,  24,  27,  27,  36,  49,  54,  59,  64
2012,12201010,102,HUM ,%     , 4, 7,  64,  69,  74,  75,  78,  78,  76,  60,  41,  29,  27,  20,  18,  23,  39,  49,  61,  62,  61,  63,  64,  65,  62,  44
2012,12201010,102,HUM ,%     , 4, 8,  42,  42,  45,  48,  49,  50,  47,  35,  31,  28,  29,  28,  25,  30,  36,  37,  44,  45,  50,  56,  61,  65,  67,  70
2012,12201010,102,HUM ,%     , 4, 9,  72,  71,  72,  74,  78,  81,  82,  67,  56,  55,  49,  46,  40,  38,  39,  43,  48,  53,  51,  39,  41,  39,  47,  54
2012,12201010,102,HUM ,%     , 4,10,  58,  60,  61,  62,  64,  66,  62,  53,  46,  43,  37,  32,  34,  34,  38,  47,  54,  62,  65,  69,  73,  76,  79,  82
2012,12201010,102,HUM ,%     , 4,11,  84,  85,  88,  88,  89,  88,  92,  92,  82,  80,  77,  67,  67,  78,  79,  88,  90,  93,  94,  94,  95,  96,  96,  96
2012,12201010,102,HUM ,%     , 4,12,  96,  96,  96,  96,  96,  97,  84,  56,  42,  36,  29,  25,  27,  30,  48,  52,  58,  68,  76,  79,  84,  83,  81,  86
