測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,12201050,103,SUN ,0.01MJ, 4, 1,   0,   0,   0,   0,   0,   4,  53, 131, 167, 231, 297, 320, 312, 278, 226, 159,  68,  10,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4, 2,   0,   0,   0,   0,   0,   4,  53, 127, 188, 243, 281, 295, 281, 244,  91, 148,  47,   8,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4, 3,   0,   0,   0,   0,   0,   4,  44,  64, 166, 191, 137,  69,  32,  44,  23,   8,  10,   0,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4, 4,   0,   0,   0,   0,   0,   6,  63, 142, 212, 269, 305, 321, 271, 266, 230, 164,  91,  23,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4, 5,   0,   0,   0,   0,   0,   4,  53, 122, 195, 262, 301, 317, 305, 274, 224, 141,  63,  24,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4, 6,   0,   0,   0,   0,   0,   5,  54,  98, 123, 216, 211, 244, 302, 302, 237, 132,  48,   4,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4, 7,   0,   0,   0,   0,   0,   6,  59, 141, 215, 277, 316, 318, 282, 206,  82,  55,  32,  12,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4, 8,   0,   0,   0,   0,   0,   4,  56, 145, 218, 274, 312, 331, 323, 290, 239, 172,  94,  24,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4, 9,   0,   0,   0,   0,   0,   6,  53, 129, 205, 266, 307, 323, 312, 276, 223, 154,  80,  17,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,10,   0,   0,   0,   0,   0,   8,  64, 135, 195, 255, 275, 270, 286, 276, 187,  84,  43,  11,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,11,   0,   0,   0,   0,   0,   1,   2,  49,  61,  70,  47,  68,  43,  21,  17,   6,   3,   0,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,12,   0,   0,   0,   0,   0,   8,  46, 135, 217, 282, 321, 334, 106, 286, 225, 164,  92,  23,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,13,   0,   0,   0,   0,   0,   8,  41, 103, 181, 254, 273, 241, 260, 220, 149,  55,  18,   3,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,14,   0,   0,   0,   0,   0,   0,   2,   6,   9,   9,  18,  28,  21,  24,  20,  13,   8,   2,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,15,   0,   0,   0,   0,   0,  12,  74, 143, 114, 213, 281, 296, 263, 281, 236,  84,  44,  13,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,16,   0,   0,   0,   0,   0,  12,  59, 128, 167, 211, 209, 187, 162, 177,  97,  63,  52,  10,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,17,   0,   0,   0,   0,   0,   1,   6,  14,  30,  93, 110,  79, 238, 250, 125,  48,  21,   6,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,18,   0,   0,   0,   0,   0,  12,  73, 148, 219, 271, 280, 218, 317, 295, 224, 175,  94,  15,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,19,   0,   0,   0,   0,   0,   3,  23,  60,  83,  99, 203, 211, 136,  43,  66, 131,  30,   9,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,20,   0,   0,   0,   0,   0,   3,  23,  53, 100, 146, 230,  94,  57,  58,  15,  12,  11,   6,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,21,   0,   0,   0,   0,   0,   1,  11,  34,  61, 119, 173,  85, 129, 199,  83,  77,  35,   6,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,22,   0,   0,   0,   0,   0,   2,  19,  31,  99, 125,  36,  21,  15,  24,  20,  14,   9,   3,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,23,   0,   0,   0,   0,   0,   1,  10,  40,  40,  97,  85,  75,  48,  29,  10,   5,   3,   5,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,24,   0,   0,   0,   0,   0,   6,  34,  49, 156, 234, 315, 324, 300, 278, 238, 169,  88,  18,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,25,   0,   0,   0,   0,   0,  10,  23,  85, 195, 248, 223, 187, 145, 124,  80,  89,  30,   3,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,26,   0,   0,   0,   0,   0,   4,  47,  47,  72,  50, 101,9999, 109,  87,  33,  18,  18,   4,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,27,   0,   0,   0,   0,   0,   1,   6,  13,  28,  23,  16,  27,  36,  33,  30,  30,  24,   6,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,28,   0,   0,   0,   0,   0,   6,  22,  60, 117, 125, 238, 275, 316, 288, 243, 175,  98,  33,   1,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,29,   0,   0,   0,   0,   0,  17,  75, 149, 223, 278, 309, 321, 305, 261, 211, 109,  52,  14,   1,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,30,   0,   0,   0,   0,   0,   9,  33,  60,  75,  68,  99, 112, 106, 117, 108,  89,  34,  10,   1,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2012,12201050,103,SUN ,0.01MJ, 5, 1,   0,   0,   0,   0,   0,   8,  30,  79, 107,  96,  92, 113,  63,  83, 108, 116,  30,  10,   1,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 5, 2,   0,   0,   0,   0,   0,   6,  25,  45,  56,  81,  88,  38,  27,  25,  28,  16,   7,   2,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 5, 3,   0,   0,   0,   0,   0,   0,   3,   8,  11,  28,  29,  26,  37,  22,  34,  33,  12,   4,   0,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 5, 4,   0,   0,   0,   0,   0,   6,  35,  53,  93,  66,  58, 193, 155,  97,  57,  21,   8,  10,   1,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 5, 5,   0,   0,   0,   0,   0,  17, 102, 177, 232, 276, 318, 331, 321, 293, 245, 185, 114,  40,   1,   0,   0,   0,   0,   0
2012,12201050,103,SUN ,0.01MJ, 5, 6,   0,   0,   0,   0,   0,  12,  34, 114, 162, 243, 272, 265, 296, 275, 226, 136,  36,  12,   6,   0,   0,   0,   0,   0
