測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2013,12201010,102,PM25,UG/M3 , 4, 1,  18,  16,  17,  19,  22,  19,  30,  19,  14,  14,  14,  14,  14,  14,  12,  14,  13,  14,  18,  17,  15,  19,  17,  13
2013,12201010,102,PM25,UG/M3 , 4, 2,  17,  16,  17,  18,  20,  21,  18,  17,  17,  20,  20,  14,  13,  12,   9,   9,   6,   6,   4,   3,   8,   3,  -2,   3
2013,12201010,102,PM25,UG/M3 , 4, 3,   1,   1,   2,   3,   3,   1,  -1,  -2,   1,  -2,  -2,  -2,   0,   3,   0,   4,   0,   4,   4,   4,   3,   5,   1,   4
2013,12201010,102,PM25,UG/M3 , 4, 4,   0,  -1,   1,  -1,   1,   3,   6,   6,   5,   7,   5,   6,   4,  10,  16,  10,  12,  10,   8,   8,  16,  13,  18,  13
2013,12201010,102,PM25,UG/M3 , 4, 5,  15,  14,  16,  17,   9,  12,  15,  19,  19,  23,  23,  19,  15,  26,  19,  13,  12,  24,  23,  26,  25,  28,  34,  28
2013,12201010,102,PM25,UG/M3 , 4, 6,  17,  16,  13,  14,  12,  11,   9,  10,   8,  15,  13,  13,  16,  15,  10,  13,  11,   7,   5,   5,   1,  -1,   1,  -2
2013,12201010,102,PM25,UG/M3 , 4, 7,   2,   6,   0,  -1,  12,  17,  12,  17,  17,   8,  13,   6,  10,   4,  12,   6,   4,   5,   3,   5,   1,   5,   2,   4
2013,12201010,102,PM25,UG/M3 , 4, 8,   1,   2,   7,   4,   4,   3,   4,   3,   5,   2,   5,   6,   3,   2,   4,  10,   8,   7,   4,  14,   8,  12,  12,  14
2013,12201010,102,PM25,UG/M3 , 4, 9,  10,  13,  12,  10,  15,  16,  13,  11,  13,  14,  11,  12,  16,  15,  13,  18,  17,  14,  16,  15,  16,  18,  15,  18
2013,12201010,102,PM25,UG/M3 , 4,10,  21,  25,  17,  19,  12,   2,   6,   8,  12,  13,  15,  13,  15,  11,  15,  15,  10,  15,  14,  16,  16,  15,  18,   6
2013,12201010,102,PM25,UG/M3 , 4,11,   9,   6,   0,   1,   3,   3,   3,   1,   4,   4,   5,   8,  12,  14,  19,  12,  13,   7,  10,  11,  16,  18,  17,  13
2013,12201010,102,PM25,UG/M3 , 4,12,  16,  10,  16,  12,  17,  16,  20,  18,  14,  14,  16,  12,  11,  14,  15,  13,  19,  21,  24,  24,  22,  18,  12,   4
2013,12201010,102,PM25,UG/M3 , 4,13,   8,   5,   6,   7,   8,   7,   6,   2,   1,   4,   6,   6,   7,   8,   9,  12,  10,  12,  10,  10,  11,  10,  12,  10
2013,12201010,102,PM25,UG/M3 , 4,14,  10,  15,  14,  16,  17,  18,  16,  16,  17,  15,  16,  17,  18,  20,  23,  24,  21,  21,  23,  22,  25,  22,  17,  20
2013,12201010,102,PM25,UG/M3 , 4,15,  28,  31,  28,  34,  32,  29,  27,  34,  10,   8,   9,  19,  15,  18,  18,  17,  14,  13,   7,   4,   6,   2,   5,   5
2013,12201010,102,PM25,UG/M3 , 4,16,   5,   8,  10,   8,  10,  11,   9,   9,   9,  11,   8,  13,  11,  15,  13,  13,  14,  18,  18,  20,  18,  19,  23,  32
2013,12201010,102,PM25,UG/M3 , 4,17,  34,  31,  33,  33,  47,  41,  37,  36,  35,  33,  29,  31,  29,  28,  21,  28,  23,  27,  23,  22,  19,  19,  18,  18
2013,12201010,102,PM25,UG/M3 , 4,18,  23,  16,  13,  15,  17,  14,  19,  17,  19,  13,  14,  15,  15,9999,  15,  14,   8,   7,  11,   9,   3,   6,   6,   9
2013,12201010,102,PM25,UG/M3 , 4,19,  11,  14,  16,  17,   9,   2,   4,   8,   5,   5,  10,   9,   4,   7,   8,  15,  11,   8,  14,  13,  19,  18,  15,  16
2013,12201010,102,PM25,UG/M3 , 4,20,  13,  12,  12,  16,  12,  15,  14,  12,  18,   9,  21,  23,  17,  14,  11,  11,  11,  16,  13,  11,  15,  13,   9,   6
2013,12201010,102,PM25,UG/M3 , 4,21,  10,  11,  11,   7,   8,   3,   3,   3,   3,  -4,   4,  -4,   1,   2,   1,   5,   1,   4,   6,   2,   1,   2,   3,  10
2013,12201010,102,PM25,UG/M3 , 4,22,   9,   8,  12,  11,  13,  12,  12,  10,  10,  12,  15,  14,  15,  14,  11,  15,  12,  17,  15,  20,  24,  20,  25,  22
2013,12201010,102,PM25,UG/M3 , 4,23,  21,  22,  19,  18,  27,  21,  25,  21,  20,  20,  20,  19,  22,  24,  21,  19,  22,  15,  13,  12,   9,  13,   8,  10
2013,12201010,102,PM25,UG/M3 , 4,24,  17,   8,  10,  11,  13,  15,  19,  18,  16,  15,  13,  17,  19,  12,  11,  10,  14,  15,  15,  16,  14,  13,   4,   1
2013,12201010,102,PM25,UG/M3 , 4,25,   2,  11,   8,   5,   3,   7,  12,  15,  18,  16,  16,   9,9999,9999,9999,  30,  18,  15,  13,  12,  13,  16,  22,  18
2013,12201010,102,PM25,UG/M3 , 4,26,  12,  16,  13,  14,   8,  15,  16,  12,  14,  23,  14,  10,  14,  17,  23,  34,  42,  29,  10,   6,   7,   6,  11,  10
2013,12201010,102,PM25,UG/M3 , 4,27,  12,  12,   5,   6,   4,   7,   8,   5,   7,   4,   8,  10,   7,  11,  14,  14,  11,  10,   7,  11,   9,   8,   9,   9
2013,12201010,102,PM25,UG/M3 , 4,28,   8,   8,   9,   7,  11,   8,  12,  12,  18,  17,  17,  12,  17,  12,  17,  12,  13,  15,  16,  14,  15,  14,  10,   9
2013,12201010,102,PM25,UG/M3 , 4,29,   7,   9,  12,  12,  18,  13,  12,  10,  11,  12,  13,  11,  14,  17,  14,  15,  22,  22,  13,  19,  21,  24,  26,  24
2013,12201010,102,PM25,UG/M3 , 4,30,  22,  25,  23,  16,  15,  19,  18,  28,  28,  27,  25,  20,  25,  20,  12,   8,  15,  10,  14,  15,  15,  15,  18,  17
2013,12201010,102,PM25,UG/M3 , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2013,12201010,102,PM25,UG/M3 , 5, 1,  10,  12,  12,  12,  10,  16,  17,  15,  14,  14,  17,  18,  17,  17,  18,  17,  19,  11,  17,  16,  14,   8,  12,   2
2013,12201010,102,PM25,UG/M3 , 5, 2,   7,   7,   4,   6,   7,   6,   8,   3,   3,   2,   6,   8,   6,   5,   5,   4,   6,   5,   3,   6,  14,  13,   8,   7
2013,12201010,102,PM25,UG/M3 , 5, 3,   8,   9,  -1,   7,  -2,   4,   1,   7,   7,   1,   0,   6,   7,   4,  13,  10,   9,   8,   7,   8,   9,   7,   6,   8
2013,12201010,102,PM25,UG/M3 , 5, 4,   5,   2,   2,   4,   4,   5,   5,   6,  11,  10,  10,  13,  15,  12,   4,  11,  12,  14,   7,  13,  12,  12,  14,   9
2013,12201010,102,PM25,UG/M3 , 5, 5,   8,   8,  10,  12,  10,   8,  11,  14,   9,  15,  10,  11,  16,   7,  17,  17,  14,  19,  18,  14,  15,  22,  16,  17
2013,12201010,102,PM25,UG/M3 , 5, 6,  19,  20,  20,  22,  22,  17,  22,  23,  19,  22,  20,  18,  22,  20,  25,  24,  27,  28,  22,  25,  23,  27,  18,  18
2013,12201010,102,PM25,UG/M3 , 5, 7,  18,  13,  14,   6,   7,   6,   0,   2,   3,   6,   2,   1,  -1,   1,   4,   8,  12,   8,   5,   6,   4,   3,   3,   3
2013,12201010,102,PM25,UG/M3 , 5, 8,   4,   1,   6,  -1,   3,   2,   1,   1,   3,   7,   6,   2,   7,   0,   2,   8,   8,   8,  12,  14,  14,   9,   9,   9
2013,12201010,102,PM25,UG/M3 , 5, 9,  10,  11,   9,   9,  12,  13,  14,  15,  12,  14,  21,  20,   6,  10,   9,  13,  11,  20,  13,   9,  13,  12,  12,  16
2013,12201010,102,PM25,UG/M3 , 5,10,  13,  13,  15,  13,  13,  17,  22,  23,  21,  25,  23,  29,  24,  25,  29,  23,  27,  25,  24,  25,  25,  22,  17,  12
2013,12201010,102,PM25,UG/M3 , 5,11,   6,   5,   8,   5,   8,   6,   5,  13,  12,   6,   2,   4,   9,  12,   6,   6,   4,   7,   6,   4,   9,   0,   2,   5
2013,12201010,102,PM25,UG/M3 , 5,12,   1,   2,  -5,   0,   0,   3,   1,   2,   4,   5,   5,   7,   5,   9,   8,   8,  12,  11,  14,   4,   7,  10,   9,  10
2013,12201010,102,PM25,UG/M3 , 5,13,   9,  13,  12,   8,  11,  14,  11,  14,  10,  13,  17,  14,  17,  12,   9,  14,  12,   7,  14,  13,  13,  10,  10,  12
2013,12201010,102,PM25,UG/M3 , 5,14,   9,   5,  11,  12,  10,  12,  14,  11,  15,  16,  26,  22,  26,  29,  29,  26,  10,  14,  17,  18,  19,  16,  12,  14
2013,12201010,102,PM25,UG/M3 , 5,15,  14,  16,  38,  37,  40,  43,  45,  40,  30,  30,  21,  20,  22,  14,  17,   9,  12,   5,   7,   7,   2,   6,  10,   8
2013,12201010,102,PM25,UG/M3 , 5,16,   8,   5,  10,   7,   6,  10,   9,  11,  12,  15,  14,  15,  19,  14,  25,  25,  22,  25,  20,  20,  19,  14,  16,  19
2013,12201010,102,PM25,UG/M3 , 5,17,  11,   7,   9,   8,   6,  12,   9,  10,   4,   7,   7,   5,   7,   4,  11,   8,  12,   7,   6,   7,   5,   6,   5,   4
2013,12201010,102,PM25,UG/M3 , 5,18,   4,   3,   8,   6,   4,   9,   9,  15,  15,  16,  14,  21,  19,  19,   9,  13,  17,  17,  19,  18,  11,  11,  10,   8
2013,12201010,102,PM25,UG/M3 , 5,19,   5,   6,   6,  13,  14,  11,   6,   6,   7,   8,  10,  15,  12,   6,  12,   9,   7,   9,   6,   4,   6,   8,   7,   8
2013,12201010,102,PM25,UG/M3 , 5,20,   9,   6,   1,   2,   6,   4,   5,   5,   4,   3,   1,   5,   1,   4,   0,   8,   9,  -1,   2,   0,  -2,   1,   3,   7
