測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2013,12219200,219,UV  ,KJ/M2 , 4, 1,   0,   0,   0,   0,   0,   2,  17,  46,  78, 104, 119, 116, 120, 120,  75,  37,  23,   3,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4, 2,   0,   0,   0,   0,   0,   0,   5,  11,  19,  27,  30,  29,  50,  45,  44,  16,   6,   0,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4, 3,   0,   0,   0,   0,   0,   1,   8,  11,  11,  23,  40,  41,  27,   7,  11,  20,  19,   7,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4, 4,   0,   0,   0,   0,   0,   3,  19,  52,  88, 118, 140, 148, 145, 114,  58,  28,  20,   8,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4, 5,   0,   0,   0,   0,   0,   2,  16,  24,  63, 111, 133, 108,  99,  48,  45,  39,  35,   9,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4, 6,   0,   0,   0,   0,   0,   3,  21,  50,  66,  77,  68, 101,  73,  29,  15,  15,   5,   2,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4, 7,   0,   0,   0,   0,   0,   4,  18,  39,  94, 129, 149, 160, 132, 105, 112,  79,  37,  10,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4, 8,   0,   0,   0,   0,   0,   4,  20,  60,  94, 125, 148, 154, 149, 132, 102,  68,  34,   9,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4, 9,   0,   0,   0,   0,   0,   3,  19,  44,  80,  77,  84,  97,  53,  90, 108,  74,  38,  10,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,10,   0,   0,   0,   0,   0,   3,  19,  43,  49,  54,  92,  97,  70,  74,  53,  55,  34,  10,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,11,   0,   0,   0,   0,   0,   1,   5,  33,  76,  95, 144, 155, 110,  52,  25,  67,  36,   9,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,12,   0,   0,   0,   0,   0,   4,  22,  56,  88, 119, 145, 146, 139, 135, 109,  73,  32,   6,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,13,   0,   0,   0,   0,   0,   4,  24,  60,  94, 125, 146, 151, 145, 125, 103,  55,  21,  10,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,14,   0,   0,   0,   0,   0,   5,  22,  52,  70,  77, 105, 132,  99,  93,  67,  32,  17,   7,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,15,   0,   0,   0,   0,   0,   5,  24,  41,  68, 105, 105, 110, 130, 128, 104,  71,  36,  10,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,16,   0,   0,   0,   0,   0,   5,  24,  55,  89, 119, 139, 145, 139, 121,  94,  53,  28,   9,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,17,   0,   0,   0,   0,   0,   2,  11,  35,  45,  54,  48,  43,  49,  38,  39,  28,  18,   6,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,18,   0,   0,   0,   0,   0,   6,  27,  64, 101,  70,  72, 123,  60,  98, 101,  60,  33,  11,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,19,   0,   0,   0,   0,   0,   0,   3,  14,  28,  46,  42,  27,  23,  32,  21,  15,   9,   3,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,20,   0,   0,   0,   0,   0,   2,   7,  15,  25,  28,  25,  28,  31,  24,  19,   8,   4,   1,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,21,   0,   0,   0,   0,   0,   0,   4,   9,  12,  21,  20,  31,  25,  35,  23,  34,  23,   8,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,22,   0,   0,   0,   0,   0,   7,  28,  63,  96, 124, 143, 153, 151, 137, 109,  71,  31,   6,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,23,   0,   0,   0,   0,   0,   7,  27,  58,  93, 124, 138, 123,  89, 114, 108,  72,  29,  10,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,24,   0,   0,   0,   0,   0,   3,  14,  36,  28,  30,  33,  22,  29,  18,  15,  15,   8,   4,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,25,   0,   0,   0,   0,   0,   8,  30,  65, 104, 130, 154, 138, 140, 136, 107,  70,  41,  13,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,26,   0,   0,   0,   0,   0,   7,  25,  54,  70, 114, 143, 158,  99,  56, 112,  75,  41,  13,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,27,   0,   0,   0,   0,   0,   9,  30,  65, 102, 129, 152, 158, 151, 134, 110,  66,  38,  14,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,28,   0,   0,   0,   0,   0,   9,  32,  67, 102, 133, 152, 156, 150, 133, 108,  76,  41,  13,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,29,   0,   0,   0,   0,   0,   9,  32,  68, 104, 132, 149, 145, 138, 106,  98,  72,  38,  13,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,30,   0,   0,   0,   0,   0,   7,  28,  53,  77,  59,  32,  48,  45,  40,  30,  17,  10,   4,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2013,12219200,219,UV  ,KJ/M2 , 5, 1,   0,   0,   0,   0,   0,   1,   2,  10,  12,  23,  55, 125, 144, 134, 102,  52,  13,   2,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5, 2,   0,   0,   0,   0,   0,   3,   8,  32,  28,  20,  45,  76, 155, 142, 115,  80,  45,  15,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5, 3,   0,   0,   0,   0,   0,   5,  12,  28,  81, 135, 161, 171, 156, 125,  35,  27,  20,  16,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5, 4,   0,   0,   0,   0,   0,  11,  34,  65, 102, 102, 114, 145, 101,  68,  45,  69,  41,  15,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5, 5,   0,   0,   0,   0,   0,  11,  35,  71, 107, 135, 149, 158, 155, 139, 110,  70,  37,  13,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5, 6,   0,   0,   0,   0,   0,  11,  35,  68,  97, 132, 154, 161, 155, 139, 109,  55,  41,  15,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5, 7,   0,   0,   0,   0,   0,  12,  37,  76, 110, 136, 155, 165, 159, 147, 120,  72,  35,  17,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5, 8,   0,   0,   0,   0,   1,  12,  37,  70, 102, 130, 150, 154, 152, 132, 105,  73,  39,  14,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5, 9,   0,   0,   0,   0,   1,  11,  33,  65,  98, 124, 132, 137, 144, 131, 108,  76,  42,  16,   2,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,10,   0,   0,   0,   0,   1,  11,  33,  63,  96, 122, 145, 139, 125,  79,  48,  31,  17,   7,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,11,   0,   0,   0,   0,   0,   6,   5,  16,  20,  21,  30,  29,  21,  19,  20,  12,   6,   3,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,12,   0,   0,   0,   0,   0,   4,  27,  63, 100, 139, 168, 177, 165, 125, 105,  78,  45,  16,   2,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,13,   0,   0,   0,   0,   0,   4,  26,  64,  98,  65,  69, 122,  94,  97, 106,  68,  43,  17,   2,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,14,   0,   0,   0,   0,   1,  12,  34,  68,  99, 128, 150, 149, 152, 132, 106,  75,  44,  16,   2,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,15,   0,   0,   0,   0,   0,  10,  29,  51,  92, 137, 157, 150, 107, 143, 116,  85,  48,  19,   2,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,16,   0,   0,   0,   0,   1,  12,  33,  52,  80, 106, 109, 110,  85, 125, 104,  77,  26,  10,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,17,   0,   0,   0,   0,   1,  12,  31,  76, 113, 146, 165, 169, 164, 145, 119,  85,  51,  20,   3,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,18,   0,   0,   0,   0,   1,  15,  41,  78, 105, 119, 136, 155, 155, 146, 123,  88,  45,  18,   2,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,19,   0,   0,   0,   0,   1,  14,  43,  77,  79, 150, 163, 166, 165, 148,  93,  61,  23,   7,   0,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,20,   0,   0,   0,   0,   0,   6,  24,  30,  28,  41,  34,  28,  47,  42,  46,  27,  22,  11,   1,   0,   0,   0,   0,   0
2013,12219200,219,UV  ,KJ/M2 , 5,21,   0,   0,   0,   0,   0,   3,  17,  43,  77,  89, 106, 108, 124, 112, 109,  91,  51,  20,   3,   0,   0,   0,   0,   0
