測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2015,12105010,105,NMHC,10PPBC, 4, 1,   5,   5,   6,   6,   6,   7,   6,   8,  28,  24,   7,   7,   6,   6,   6,   5,   6,  10,   9,   7,   6,   7,   7,   6
2015,12105010,105,NMHC,10PPBC, 4, 2,   5,   5,   5,   5,   7,   9,   9,   8,   7,   7,  10,   5,   6,   5,   6,   5,   5,   5,   7,   8,   8,   8,   8,   8
2015,12105010,105,NMHC,10PPBC, 4, 3,9999,   6,   6,   5,   5,   6,   6,   6,   7,   7,   7,   6,   6,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5
2015,12105010,105,NMHC,10PPBC, 4, 4,   5,   5,   5,   5,   7,   7,   6,   6,   6,   7,   6,   8,   7,   6,   5,   6,   6,   6,   6,   6,   6,   6,   6,   5
2015,12105010,105,NMHC,10PPBC, 4, 5,   5,   5,   5,   5,   6,   6,   6,   7,   7,   8,   8,   9,   9,   9,   8,   9,  10,  12,  12,  15,  13,  11,  10,  10
2015,12105010,105,NMHC,10PPBC, 4, 6,  13,  11,  12,  13,  14,  16,  17,  20,  22,  23,  19,  15,  13,  10,  10,  10,  10,  11,   9,   9,  10,  17,  15,  12
2015,12105010,105,NMHC,10PPBC, 4, 7,   8,   8,   5,   5,   5,   5,   5,   6,   7,   7,   6,   7,   7,   6,   6,   6,   6,   6,   7,   7,   7,   7,   7,   6
2015,12105010,105,NMHC,10PPBC, 4, 8,   6,   6,   6,   5,   5,   5,   5,   5,   6,   6,   7,   6,   5,   5,   5,   5,   5,   5,   6,   6,   7,   6,   6,   8
2015,12105010,105,NMHC,10PPBC, 4, 9,9999,   7,   6,   5,   5,   5,   5,   5,   5,  11,   8,   9,   6,   5,   6,   6,   7,   6,   5,   7,   7,   7,   7,   6
2015,12105010,105,NMHC,10PPBC, 4,10,   6,   7,   7,   8,   9,  12,  16,  14,   9,   7,   8,   9,  10,  11,  14,  14,  13,  13,  18,  17,  18,  16,  16,  16
2015,12105010,105,NMHC,10PPBC, 4,11,  16,  15,  12,  10,   8,  10,  11,  11,  10,   8,   6,   6,   6,   5,   5,   5,   5,   5,   6,   6,   6,   6,   7,   8
2015,12105010,105,NMHC,10PPBC, 4,12,   7,   7,   6,   6,   5,   5,   6,   6,   7,   7,   6,   7,   6,   5,   5,   5,   5,   6,   6,   7,   8,   8,   8,   9
2015,12105010,105,NMHC,10PPBC, 4,13,   8,   7,   7,   6,   6,   6,   6,   7,   7,   7,   7,   7,   6,   6,   6,   6,   6,   6,   7,   6,   6,   6,   8,   9
2015,12105010,105,NMHC,10PPBC, 4,14,   8,   8,   8,   7,   8,   9,  10,  10,  11,  10,  11,  10,   9,   8,   9,  12,  10,  11,   7,   9,   8,   6,   7,   7
2015,12105010,105,NMHC,10PPBC, 4,15,9999,  22,  25,  11,   9,   6,   6,   6,   6,   7,   6,   7,   6,   6,   7,   6,   6,   6,   7,   9,   9,   9,  12,  13
2015,12105010,105,NMHC,10PPBC, 4,16,  15,  11,  10,  11,  10,  11,  10,   9,   7,   7,   9,  20,  20,  28,  25,  12,   8,   9,  10,  11,   9,   8,   8,   7
2015,12105010,105,NMHC,10PPBC, 4,17,   6,   6,   6,   6,   6,   5,   6,   9,  13,   7,   6,   6,   6,   8,   6,   6,   6,   9,   8,   7,   7,   6,   6,   6
2015,12105010,105,NMHC,10PPBC, 4,18,   5,   7,   8,   8,   9,   9,  11,  10,   8,   6,   6,   6,   6,   7,   6,   5,   6,   5,   6,   6,   6,   6,   6,   6
2015,12105010,105,NMHC,10PPBC, 4,19,   7,   6,   6,   7,   8,   8,  12,  18,  18,  19,  17,  19,  23,  20,  11,   9,  10,  11,  12,  18,  19,  22,  23,  19
2015,12105010,105,NMHC,10PPBC, 4,20,  14,  12,  12,  10,   8,   6,   7,   6,   7,   7,   6,   7,   6,   6,   6,   6,   6,   6,   6,   6,   7,   6,   6,   6
2015,12105010,105,NMHC,10PPBC, 4,21,9999,   5,   4,   4,   5,  12,  31,  17,  18,  18,  13,  11,  10,   7,   7,   9,   7,   6,   7,   6,   6,   6,   7,   7
2015,12105010,105,NMHC,10PPBC, 4,22,   8,   8,   8,   8,   8,   9,   9,   9,   9,   8,   7,   7,   6,   6,   6,   7,   7,   7,   9,   9,  10,   9,   9,   8
2015,12105010,105,NMHC,10PPBC, 4,23,   9,   9,   9,  11,  13,  15,  19,  20,  23,  17,9999,9999,9999,   8,   9,   8,   7,   7,   7,   7,  12,  10,   8,  10
