測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2016,12201010,102,SO2 ,PPB   , 4, 1,   2,   2,   2,   2,   2,   2,   2,   3,   4,   3,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 4, 2,   2,   2,   2,   2,   2,   2,   3,   2,   2,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 4, 3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   7,   8,   6,   5,   3,   4,   5,   5,   4,   5,   6,   6,   4
2016,12201010,102,SO2 ,PPB   , 4, 4,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   3,9999,9999,   3,   5,   5,   4,   2,   1,   1,   1,   1,   1,   1
2016,12201010,102,SO2 ,PPB   , 4, 5,   1,   1,   1,   1,   1,   1,   1,   2,   1,   1,   2,   3,   3,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1
2016,12201010,102,SO2 ,PPB   , 4, 6,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2,   2,   3,   3,   7,   6,   6,   5,   5,   4,   2,   2
2016,12201010,102,SO2 ,PPB   , 4, 7,   2,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2
2016,12201010,102,SO2 ,PPB   , 4, 8,   2,   2,   2,   1,   1,   1,   1,   2,   1,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 4, 9,   2,   2,   2,   2,   2,   2,   2,   5,   7,   6,   5,   5,   4,   3,   3,   3,   6,   4,   4,   4,   5,   5,   5,   5
2016,12201010,102,SO2 ,PPB   , 4,10,   6,   4,   3,   2,   2,   2,   2,   2,   3,   3,   7,   6,   3,   4,   3,   6,  17,  18,   7,   3,   3,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 4,11,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   1,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 4,12,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2,   2,   1,   1,   1,   1,   1,   1,   2,   3,   2
2016,12201010,102,SO2 ,PPB   , 4,13,   2,   2,   3,   3,   3,   2,   2,   2,   2,   4,   5,   4,   4,   4,   4,   3,   3,   6,   6,   6,   4,   4,   4,   2
2016,12201010,102,SO2 ,PPB   , 4,14,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 4,15,   2,   2,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 4,16,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   5,   5,   3,   3,   3,   4,   4,   4
2016,12201010,102,SO2 ,PPB   , 4,17,   4,   3,   3,   4,   4,   4,   5,   4,   4,   3,   4,   4,   3,   3,   2,   3,   3,   4,   4,   4,   4,   4,   4,   3
2016,12201010,102,SO2 ,PPB   , 4,18,   3,   3,   3,   3,   4,   4,   5,   4,   4,   4,   6,   6,   7,   4,   4,   4,9999,9999,   2,   1,   1,   1,   1,   1
2016,12201010,102,SO2 ,PPB   , 4,19,   1,   1,   1,   1,   1,   1,   1,   3,   5,   2,   2,   2,   1,   2,   3,   2,   1,   1,   2,   1,   1,   1,   1,   1
2016,12201010,102,SO2 ,PPB   , 4,20,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,   3,   2,   1,   1,   1,   1,   1,   1,   4,   3,   3,   4,   7,   5
2016,12201010,102,SO2 ,PPB   , 4,21,   4,   3,   3,   2,   2,   2,   3,   3,   3,   3,   2,   1,   2,   2,   1,   2,   2,   2,   2,   2,   1,   2,   2,   1
2016,12201010,102,SO2 ,PPB   , 4,22,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   3,   3,   2,   3,   3,   4,   3,   4,   4,   5
2016,12201010,102,SO2 ,PPB   , 4,23,   3,   2,   2,   1,   1,   1,   1,   1,   2,   4,   3,   4,   4,   4,   6,   6,   4,   3,   5,   3,   2,   2,   3,   3
2016,12201010,102,SO2 ,PPB   , 4,24,   3,   2,   2,   2,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   1,   1,   1,   1,   1,   1,   1
2016,12201010,102,SO2 ,PPB   , 4,25,   2,   1,   1,   1,   1,   1,   2,   3,   4,   4,   2,   1,   1,   1,   1,   1,   1,   1,   2,   2,   1,   1,   1,   1
2016,12201010,102,SO2 ,PPB   , 4,26,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   5,   4,   3,   4,   5,   4,   3,   5,   4,   2
2016,12201010,102,SO2 ,PPB   , 4,27,   2,   2,   2,   2,   1,   1,   2,   2,   2,   2,   3,   3,   2,   3,   4,   5,   2,   2,   3,   3,   3,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 4,28,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1
2016,12201010,102,SO2 ,PPB   , 4,29,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1
2016,12201010,102,SO2 ,PPB   , 4,30,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   3,   3,   5,   4,   4,   3,   4,   5,   5,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2016,12201010,102,SO2 ,PPB   , 5, 1,   1,   1,   1,   1,   1,   1,   1,   2,   3,   3,   3,   4,   4,   3,   4,   4,   7,   9,   8,   9,   4,   4,   3,   4
2016,12201010,102,SO2 ,PPB   , 5, 2,   3,   3,   2,   2,   3,   3,   3,   2,   2,   2,9999,9999,   2,   2,   2,   2,   2,   2,   2,   1,   1,   1,   2,   2
2016,12201010,102,SO2 ,PPB   , 5, 3,   2,   2,   2,   2,   2,   2,   2,   5,   6,   5,   4,   5,   5,   5,   4,   3,   2,   2,   2,   3,   4,   3,   3,   3
2016,12201010,102,SO2 ,PPB   , 5, 4,   4,   4,   4,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   4,   3,   3,   3,   3,   3,   3,   4,   4
2016,12201010,102,SO2 ,PPB   , 5, 5,   4,   4,   4,   3,   4,   4,   4,   5,   5,   5,   5,   4,   3,   3,   3,   5,   7,  14,   8,   4,   4,   4,   3,   3
2016,12201010,102,SO2 ,PPB   , 5, 6,   4,   3,   3,   3,   4,   2,   2,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3
2016,12201010,102,SO2 ,PPB   , 5, 7,   4,   4,   3,   3,   3,   3,   3,   4,   3,   3,   4,   3,   3,   4,   5,   4,   4,   4,   4,   4,   3,   3,   4,   5
2016,12201010,102,SO2 ,PPB   , 5, 8,   5,   5,   4,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   5,   5,   5,   5,   6,   5,   4,   4
2016,12201010,102,SO2 ,PPB   , 5, 9,   4,   2,   2,   2,   2,   2,   2,   2,   2,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 5,10,   2,   2,   2,   2,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   4,   2,   2,   2,   2,   3,   3,   2
2016,12201010,102,SO2 ,PPB   , 5,11,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   4,   4,   4,   4,   3,   3,   3,   3,   3,   3,   4,   6,   3
2016,12201010,102,SO2 ,PPB   , 5,12,   3,   4,   3,   3,   3,   3,9999,9999,   2,   2,   2,   2,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3
2016,12201010,102,SO2 ,PPB   , 5,13,   3,   3,   2,   2,   2,   2,   3,   3,   5,   5,   4,   3,   4,   4,   6,   6,   5,   5,   5,   6,   8,   5,   6,   5
2016,12201010,102,SO2 ,PPB   , 5,14,   4,   4,   4,   3,   3,   3,   4,   4,   4,   4,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   2
2016,12201010,102,SO2 ,PPB   , 5,15,   2,   2,   2,   3,   2,   2,   2,   3,   3,   3,   3,   3,   3,   3,   2,   2,   4,   6,   4,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 5,16,   2,   2,   2,   2,   2,   2,   2,   2,   4,   7,   5,   5,9999,9999,   3,   5,   6,   8,   4,   5,   5,   5,   4,   5
2016,12201010,102,SO2 ,PPB   , 5,17,   4,   3,   4,   4,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   1,   1,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 5,18,   2,   2,   1,   2,   2,   1,   2,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   4,   7,   7,   3,   2,   2,   3
2016,12201010,102,SO2 ,PPB   , 5,19,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 5,20,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 5,21,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 5,22,   2,   2,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   2,   2,   4,   4,   2,   2,   3,   4
2016,12201010,102,SO2 ,PPB   , 5,23,   2,   2,   2,   2,   2,   2,   3,   2,   2,   2,   2,   2,   3,   2,   3,   2,   3,   3,   9,   8,  11,   9,   9,   7
2016,12201010,102,SO2 ,PPB   , 5,24,   4,   3,   3,   2,   2,   2,   5,   9,  14,  10,  10,   8,   6,   6,   6,  10,   9,   6,   7,   7,   5,   5,   6,   7
2016,12201010,102,SO2 ,PPB   , 5,25,   5,   5,   5,   5,   4,   4,   5,   5,   5,   5,   4,   6,   9,   6,   4,   4,   4,   4,   6,   5,   5,   5,   7,   4
2016,12201010,102,SO2 ,PPB   , 5,26,   4,   5,   5,   4,   4,   4,   4,   5,   4,   4,   5,   3,   3,   3,   3,   3,   3,   4,   3,   5,   5,   4,   4,   4
2016,12201010,102,SO2 ,PPB   , 5,27,   4,   5,   6,   4,   4,   3,   3,   2,   3,   3,   2,   2,   2,   2,   2,   3,   4,   5,   5,   4,   3,   3,   3,   2
2016,12201010,102,SO2 ,PPB   , 5,28,   2,   2,   2,   2,   2,   2,   2,   2,   3,   4,   2,   2,   2,   2,   3,   6,   7,  12,   8,   8,   4,   3,   2,   2
2016,12201010,102,SO2 ,PPB   , 5,29,   2,   2,   2,   2,   2,   2,   4,   6,   6,   5,   5,   4,   3,   3,   6,   4,   5,   7,   9,   8,   5,   3,   3,   4
2016,12201010,102,SO2 ,PPB   , 5,30,   4,   3,   3,   2,   3,   2,   3,   3,   3,   3,   3,   2,   3,   3,   2,   2,   2,   2,   3,   3,   2,   2,   2,   2
2016,12201010,102,SO2 ,PPB   , 5,31,   2,   3,   2,   3,   3,   3,   2,   2,   2,   2,   2,   2,   4,   5,   7,   7,   8,   9,   4,   4,   5,   5,   6,   6
