測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2009,13121020,121,PM25,UG/M3 , 4, 1,  12,  18,  17,  15,  14,  14,  13,  11,  13,  14,  11,  12,  12,   9,   8,  10,  12,  10,   7,   9,   8,   8,   0,   0
2009,13121020,121,PM25,UG/M3 , 4, 2,   0,   0,   2,   1,   2,   2,   9,  12,  12,  11,   8,   8,   9,   7,   8,  11,  10,  13,  17,  18,  16,  13,  14,  13
2009,13121020,121,PM25,UG/M3 , 4, 3,  12,  14,  15,  16,  16,  19,  19,  21,  20,  14,  13,  10,  11,  12,  27,  26,  18,  28,  30,  26,  25,  27,  26,  25
2009,13121020,121,PM25,UG/M3 , 4, 4,  25,  24,  25,  29,  27,  33,  26,  22,  33,  35,  12,  13,  18,  14,  17,  13,   9,  10,  17,  30,  36,  21,  14,  12
2009,13121020,121,PM25,UG/M3 , 4, 5,  32,  26,  26,  27,  32,  29,  29,  28,  27,  20,   6,   6,   7,  11,   6,   7,  10,  15,9999,  23,  15,  27,  29,  18
2009,13121020,121,PM25,UG/M3 , 4, 6,  21,  26,  28,  29,  28,  31,  34,  34,  32,  32,  27,  26,  15,  13,  20,  19,  21,  23,  29,  28,  27,  26,  26,  28
2009,13121020,121,PM25,UG/M3 , 4, 7,  30,  26,  20,  25,  31,  34,  35,  34,  39,  40,  19,  17,  17,  14,  37,  28,  24,9999,9999,  37,  39,  34,  36,  37
2009,13121020,121,PM25,UG/M3 , 4, 8,  41,  43,  35,  33,  37,  39,  36,  35,  36,  42,  44,  37,  31,  30,9999,9999,  34,  33,  38,  36,  34,  35,  35,  34
2009,13121020,121,PM25,UG/M3 , 4, 9,  35,  40,  37,  33,  32,  32,  31,  28,  28,  22,  18,  13,  13,  12,  13,  16,  27,  29,  31,  33,  37,  38,  38,  30
2009,13121020,121,PM25,UG/M3 , 4,10,  26,  25,  26,  28,  24,  31,  32,  30,  27,  31,  28,  23,  23,  24,  28,  25,  24,  28,  28,  28,  22,  26,  22,  23
2009,13121020,121,PM25,UG/M3 , 4,11,  21,  23,  25,  33,  37,  41,  40,  42,  33,  26,  15,  16,  19,  22,  30,  36,  38,  35,  34,  34,  27,  25,  25,  23
2009,13121020,121,PM25,UG/M3 , 4,12,  21,  21,  18,  20,  23,  23,  24,  26,  29,  31,  33,  31,  34,  29,  23,  23,  26,  33,  33,  31,  32,  31,  30,  29
