測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2010,13101010,101,OX  ,PPB   , 4, 1,   3,   3,   3,   3,   2,   2,   3,   4,   5,   5,   7,  31,  42,  43,  43,  39,  39,  37,  35,  40,  42,  38,  37,  43
2010,13101010,101,OX  ,PPB   , 4, 2,9999,  41,  40,  42,  41,  40,  36,  37,  35,  34,  33,  29,  37,  30,  27,  25,  36,  33,  33,  32,  33,  36,  42,  45
2010,13101010,101,OX  ,PPB   , 4, 3,  42,  37,  43,  47,  46,  39,  33,  34,  33,  35,  40,  45,  46,  51,  49,  49,  49,  48,  44,  44,  43,  45,  45,  41
2010,13101010,101,OX  ,PPB   , 4, 4,  39,  38,  35,  27,  35,  43,  41,  40,  40,  43,  42,  44,  49,  46,  43,  43,  44,  43,  42,  41,  40,  41,  38,  38
2010,13101010,101,OX  ,PPB   , 4, 5,  37,  34,  28,  29,  22,  24,  22,  16,  11,   8,   7,  11,  14,   9,   5,   2,   2,   1,   1,   1,   1,   1,   2,   5
2010,13101010,101,OX  ,PPB   , 4, 6,   3,   6,   7,  12,   3,   4,  12,  13,   9,   7,   8,  14,  24,  29,  31,  37,  34,  21,  19,   7,  17,  34,  23,  11
2010,13101010,101,OX  ,PPB   , 4, 7,  28,  34,  40,   8,   2,   2,   3,   5,   6,   4,  21,  28,9999,  31,  33,  30,  33,  39,  43,  44,  43,  41,  40,  36
2010,13101010,101,OX  ,PPB   , 4, 8,9999,  43,  42,  38,  36,  32,  29,  31,  35,  38,  41,  47,  49,  54,  48,  46,  47,  37,  33,  40,  40,  40,  39,  37
2010,13101010,101,OX  ,PPB   , 4, 9,  31,  30,  32,  31,  27,  24,  21,  19,  21,  22,  27,  39,  40,  43,  43,  32,  26,  23,  32,  39,  36,  39,  31,  18
2010,13101010,101,OX  ,PPB   , 4,10,   5,  11,   7,   6,  14,  19,  17,  12,  22,  25,  32,  35,  45,  52,  50,  46,  36,  29,  17,  12,  22,  28,  30,  31
2010,13101010,101,OX  ,PPB   , 4,11,  21,   5,   4,  19,  31,  32,  32,  34,  37,  39,  47,  56,  64,  76,  81,  80,  73,  62,  59,  55,  48,  48,  52,  51
2010,13101010,101,OX  ,PPB   , 4,12,  50,  47,  48,  46,  46,  46,  50,  43,  40,  33,  29,9999,  30,  28,  29,  32,  31,  27,  24,  28,  33,  36,  35,  33
2010,13101010,101,OX  ,PPB   , 4,13,  33,  35,  34,  33,  26,  22,  15,  12,  13,  13,   9,  18,  25,  26,  20,  13,  28,  24,  34,  36,  34,  28,  23,  11
2010,13101010,101,OX  ,PPB   , 4,14,9999,   5,  25,  35,  38,  45,  45,  46,  46,  45,  49,  50,  54,  53,  42,  28,  30,  40,  41,  38,  37,  37,  37,  37
2010,13101010,101,OX  ,PPB   , 4,15,  37,  37,  31,  31,  26,  34,  36,  27,  21,  19,  19,  19,  22,  24,  27,  29,  27,  28,  32,  33,  27,  31,  23,  24
2010,13101010,101,OX  ,PPB   , 4,16,  26,  27,  29,  41,  39,  30,  30,  30,  31,  31,  27,  31,  38,  41,  39,  35,  38,  32,  34,  34,  36,  34,  34,  37
2010,13101010,101,OX  ,PPB   , 4,17,  36,  31,  27,  20,  25,  27,  26,  27,  30,  30,  32,  38,  44,  45,  43,  41,  40,  35,  34,  30,  28,  25,  27,  23
2010,13101010,101,OX  ,PPB   , 4,18,  26,  23,  21,  17,  19,  24,  28,  31,  33,  42,  50,  58,  60,  56,  61,  50,  53,  44,  53,  50,  34,  26,  22,  20
2010,13101010,101,OX  ,PPB   , 4,19,  11,  23,  13,   9,  14,  16,  13,  13,  14,  19,  21,9999,  39,  36,  39,  39,  35,  39,  37,  30,  23,  48,  52,  52
2010,13101010,101,OX  ,PPB   , 4,20,9999,  60,  57,  33,   4,   4,   5,   5,   6,  30,  39,  43,  46,  38,  35,  16,  21,  31,  27,  30,  30,  27,   8,   3
