測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2013,13101520,101,NMHC,10PPBC, 4, 1,  25,  24,  23,  23,  23,  23,  24,  19,  15,  19,  24,  15,  13,  12,  13,  13,  14,  13,  13,  16,  18,  18,  21,  33
2013,13101520,101,NMHC,10PPBC, 4, 2,9999,  36,  35,  32,  32,  31,  31,  22,  17,  24,  32,  34,  37,  39,  43,  49,  47,  45,  43,  43,  41,  43,  47,  95
2013,13101520,101,NMHC,10PPBC, 4, 3, 102,  95,  96,  85,  78,  73,  74,  32,  15,  16,  16,  14,  13,  14,  14,  15,  15,  13,  12,  12,  12,  12,  18,  48
2013,13101520,101,NMHC,10PPBC, 4, 4,  50,  51,  50,  50,  47,  46,  54,  27,  15,9999,9999,9999,9999,  17,  17,  18,  19,  18,  19,  21,  23,  25,  21,  17
2013,13101520,101,NMHC,10PPBC, 4, 5,  17,  23,  26,  21,  18,  15,  14,  15,  17,  23,  28,  18,  15,  17,  37,  21,  19,  19,  17,  19,  21,  24,  16,  16
2013,13101520,101,NMHC,10PPBC, 4, 6,  16,  15,  15,  14,  14,  36,  33,  22,  14,  11,  11,  11,  11,  13,   8,   7,   9,  11,  15,  14,  12,  13,  13,  10
2013,13101520,101,NMHC,10PPBC, 4, 7,  11,  11,   9,   9,  10,  11,  13,  12,   9,  11,  11,  12,  12,  10,   8,  10,  10,   9,  10,  10,   8,   7,   9,   7
2013,13101520,101,NMHC,10PPBC, 4, 8,9999,   8,   7,   6,   6,   6,   6,   9,  10,  23,  44,  28,  29,  26,  21,  39,  29,  26,  25,  20,  16,  12,  12,  11
2013,13101520,101,NMHC,10PPBC, 4, 9,  13,  17,  20,  18,  17,  21,  22,  28,  30,  33,  37,  26,  25,  19,  17,  20,  17,  20,  15,  16,  19,  14,  14,  12
2013,13101520,101,NMHC,10PPBC, 4,10,  14,  21,  15,  12,  10,  11,  11,  10,  10,  13,  53,  21,  10,  12,  13,  12,  12,  11,  12,  12,  14,  16,  16,  16
2013,13101520,101,NMHC,10PPBC, 4,11,   9,   9,   8,   8,   8,   8,   8,  12,  12,  18,  14,  11,  13,  13,  14,  13,  11,  11,  11,  13,  18,  18,  25,  19
2013,13101520,101,NMHC,10PPBC, 4,12,  16,  16,  15,  14,  13,  18,  17,  13,  11,  17,  13,  15,  14,  11,  11,  13,  12,  13,  17,  28,  25,  15,  17,  13
2013,13101520,101,NMHC,10PPBC, 4,13,  13,  15,  15,  12,  12,  16,  13,  12,  14,  11,  11,  13,  17,  15,  12,  11,  11,  12,  11,   7,   8,  11,  12,  13
2013,13101520,101,NMHC,10PPBC, 4,14,9999,  14,  12,  12,  17,  16,  18,  18,  14,   8,   7,   8,   8,   8,   8,   8,   8,   9,   8,   9,   9,   8,   8,   8
2013,13101520,101,NMHC,10PPBC, 4,15,   8,   8,   8,   8,   8,   8,  18,  21,  21,  24,  13,  13,  17,  14,  14,  12,  12,  13,  10,  12,  14,  12,  11,  11
2013,13101520,101,NMHC,10PPBC, 4,16,  10,  10,  11,   8,   7,   7,  11,  13,  13,  11,  11,  13,  11,  12,  18,  19,  18,  23,  20,  17,  22,  27,  32,  25
2013,13101520,101,NMHC,10PPBC, 4,17,  25,  33,  29,  24,  11,   9,  11,  11,  17,9999,9999,  25,  25,  25,  34,  39,  25,  25,  24,  21,  20,  18,  15,  14
2013,13101520,101,NMHC,10PPBC, 4,18,  13,  12,  10,  10,  11,  12,  14,  22,  24,  24,  18,  19,  17,  19,  19,  17,  18,  18,  16,  16,  17,  15,  12,  12
2013,13101520,101,NMHC,10PPBC, 4,19,  12,  11,  23,  25,  16,  12,   9,  11,  11,  11,  13,  21,  19,  23,  38,  47,  25,  24,  19,  23,  18,  13,  19,  29
2013,13101520,101,NMHC,10PPBC, 4,20,9999,  10,  10,   9,   8,   8,   7,  11,  13,  13,  14,  13,  11,   9,   9,  10,  10,  10,  13,  13,  11,   9,   9,   9
2013,13101520,101,NMHC,10PPBC, 4,21,   8,   9,   8,   8,   8,   9,  10,  14,  10,  11,  11,   9,   9,  10,  10,  11,  11,  10,  11,  13,  11,   9,   9,   7
2013,13101520,101,NMHC,10PPBC, 4,22,   7,   6,   9,  10,   7,   8,   7,  10,  11,  18,  24,  17,  19,  25,  26,  43,  19,  17,  17,  19,  20,  12,  13,  14
2013,13101520,101,NMHC,10PPBC, 4,23,  16,  22,  18,  18,  17,  19,  21,  16,  20,  23,  29,  18,  20,  18,  22,  42,  16,  13,  14,  16,  17,  17,  15,  14
2013,13101520,101,NMHC,10PPBC, 4,24,  13,  11,  12,  11,   9,   9,  14,  12,  11,  14,  16,  15,  16,  20,  15,  19,  17,  17,  16,  14,  17,  12,   9,  12
2013,13101520,101,NMHC,10PPBC, 4,25,  18,  16,  13,  16,  11,   9,  10,  11,  18,  22,  71,  21,  26,  18,  13,  29,  42,  26,  16,  17,  18,  19,  18,  16
2013,13101520,101,NMHC,10PPBC, 4,26,9999,  12,  11,  13,  12,  12,  10,  10,  13,  15,  15,  17,  13,  12,  15,  19,  19,  23,  16,  12,  18,  16,  14,  13
2013,13101520,101,NMHC,10PPBC, 4,27,  16,  17,  10,  11,  11,  14,  16,  15,  11,  10,   9,   9,   9,  10,   9,   9,   9,  10,   9,   9,   8,   7,   8,   7
2013,13101520,101,NMHC,10PPBC, 4,28,   8,   7,   7,   7,   7,   7,   7,   8,   7,   8,   7,   8,   8,   7,   7,  10,  12,  11,  10,  11,  13,  13,  14,  13
2013,13101520,101,NMHC,10PPBC, 4,29,  14,  11,  10,  10,  12,  13,  16,  18,  16,  13,  10,  12,  17,  15,  14,  17,  18,  18,  22,  17,  18,  15,  16,  14
2013,13101520,101,NMHC,10PPBC, 4,30,  12,  11,   9,   9,   8,   8,  11,  13,  20,  33,  29,  18,  18,  18,  20,  24,  24,  19,  15,  19,  16,  19,  21,  15
2013,13101520,101,NMHC,10PPBC, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2013,13101520,101,NMHC,10PPBC, 5, 1,  12,   9,   8,   7,   7,   9,   7,  10,   9,  11,  26,  14,  13,   8,  10,  11,  10,  12,  11,  11,  12,  10,   7,  10
2013,13101520,101,NMHC,10PPBC, 5, 2,9999,  10,  10,   7,  11,   7,   7,  11,  11,9999,  26,  24,  22,  19,  19,  18,  15,  16,  27,  16,  13,  11,  10,   9
2013,13101520,101,NMHC,10PPBC, 5, 3,   8,   9,   9,   7,   7,   7,   7,  10,   9,   8,   8,   9,   8,  15,  34,  20,  16,  17,  16,  12,  11,  11,  17,  12
2013,13101520,101,NMHC,10PPBC, 5, 4,  11,   9,   7,   8,   8,   8,   8,   8,   9,   9,  10,   9,   9,  10,  10,  11,  12,  16,  16,  19,  18,  20,  18,  17
2013,13101520,101,NMHC,10PPBC, 5, 5,  11,  11,  11,  13,  12,  11,   9,   9,   8,   7,   8,   8,  32,  11,  12,  12,  11,  10,   9,  10,  12,   9,  10,   9
2013,13101520,101,NMHC,10PPBC, 5, 6,   9,   9,   9,  10,  11,  14,  16,  12,  11,  16,  15,  34,  30,  20,  21,  23,  20,  18,  22,  22,  22,  24,  23,  15
2013,13101520,101,NMHC,10PPBC, 5, 7,  12,  10,   9,   9,   7,   8,   8,  11,  11,  29,  38,  18,  23,  22,  32,  40,  17,  13,  17,  18,  16,  12,   9,   9
