測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2014,13101010,101,HUM ,%     , 4, 1,  34,  34,  33,  31,  29,  34,  42,  39,  27,  27,  27,  24,  26,  24,  26,  30,  32,  32,  29,  38,  40,  41,  42,  44
2014,13101010,101,HUM ,%     , 4, 2,  45,  48,  52,  54,  53,  53,  51,  47,  45,  43,  39,  39,  36,  35,  40,  49,  52,  55,  58,  61,  67,  67,  71,  70
2014,13101010,101,HUM ,%     , 4, 3,  73,  78,  78,  77,  81,  83,  84,  85,  83,  87,  87,  90,  93,  93,  95,  93,  94,  92,  93,  93,  93,  94,  93,  94
2014,13101010,101,HUM ,%     , 4, 4,  94,  94,  94,  94,  93,  92,  93,  90,  86,  82,  81,  74,  49,  44,  43,  38,  50,  60,  46,  44,  39,  38,  37,  37
2014,13101010,101,HUM ,%     , 4, 5,  37,  39,  38,  40,  40,  38,  36,  35,  32,  29,  28,  30,  38,  38,  36,  35,  40,  49,  55,  58,  40,  36,  56,  49
2014,13101010,101,HUM ,%     , 4, 6,  68,  81,  82,  79,  77,  77,  86,  82,  75,  59,  52,  42,  44,  46,  41,  35,  28,  28,  32,  32,  32,  35,  35,  39
2014,13101010,101,HUM ,%     , 4, 7,  39,  36,  34,  34,  34,  35,  32,  28,  28,  29,  28,  29,  33,  31,  36,  45,  54,  54,  51,  57,  58,  60,  63,  56
2014,13101010,101,HUM ,%     , 4, 8,  57,  65,  60,  57,  62,  64,  66,  51,  44,  38,  27,  21,  21,  27,  27,  28,  29,  36,  42,  48,  52,  59,  64,  64
2014,13101010,101,HUM ,%     , 4, 9,  65,  67,  74,  43,  38,  39,  34,  35,  35,  41,  43,  44,  45,  44,  48,  51,  54,  57,  60,  60,  61,  62,  66,  66
2014,13101010,101,HUM ,%     , 4,10,  68,  68,  66,  66,  67,  66,  63,  61,  56,  51,  52,  46,  36,  45,  40,  37,  32,  33,  29,  29,  31,  31,  32,  31
2014,13101010,101,HUM ,%     , 4,11,  33,  32,  31,  31,  31,  34,  34,  28,  19,  15,  12,  14,  13,  13,  21,  27,  31,  36,  40,  20,  20,  21,  23,  24
2014,13101010,101,HUM ,%     , 4,12,  24,  25,  26,  25,  27,  29,  29,  26,  21,  20,  12,  11,   9,  10,  11,  12,  12,  12,  16,  17,  17,  18,  17,  17
2014,13101010,101,HUM ,%     , 4,13,  18,  19,  21,  22,  22,  23,  25,  31,  24,  19,  17,  15,  16,  18,  17,  29,  39,  42,  42,  45,  46,  50,  53,  52
2014,13101010,101,HUM ,%     , 4,14,  53,  55,  54,  53,  49,  50,  50,  50,  51,  50,  46,  46,  42,  45,  46,  47,  48,  48,  54,  55,  57,  64,  62,  57
2014,13101010,101,HUM ,%     , 4,15,  54,  56,  57,  60,  62,  59,  55,  52,  45,  39,  36,  39,  39,  39,  40,  41,  44,  41,  43,  45,  50,  55,  57,  57
2014,13101010,101,HUM ,%     , 4,16,  57,  50,  40,  39,  37,  30,  26,  24,  32,  35,  41,  34,  29,  26,  28,  31,  30,  52,  50,  54,  54,  55,  61,  63
2014,13101010,101,HUM ,%     , 4,17,  64,  62,  30,  49,  56,  60,  58,  51,  42,  39,  37,  37,  43,  44,  48,  53,  50,  58,  64,  69,  68,  65,  71,  75
2014,13101010,101,HUM ,%     , 4,18,  75,  77,  79,  78,  76,  66,  56,  67,  67,  67,  66,  66,  69,  68,  70,  76,  86,  85,  80,  84,  85,  86,  84,  81
2014,13101010,101,HUM ,%     , 4,19,  80,  80,  79,  76,  73,  72,  72,  64,  56,  45,  37,  32,  29,  39,  44,  50,  52,  54,  56,  58,  58,  66,  68,  65
2014,13101010,101,HUM ,%     , 4,20,  64,  64,  65,  64,  65,  66,  66,  64,  58,  54,  50,  48,  45,  47,  50,  55,  58,  59,  64,  64,  63,  63,  69,  75
2014,13101010,101,HUM ,%     , 4,21,  84,  86,  87,  86,  88,  91,  89,  88,  86,  87,  86,  80,  68,  67,  71,  78,  87,  87,  89,  87,  87,  90,  92,  92
2014,13101010,101,HUM ,%     , 4,22,  93,  92,  89,  85,  85,  85,  80,  70,  62,  56,  56,  51,  58,  62,  67,  74,  72,  78,  83,  80,  79,  82,  79,  86
2014,13101010,101,HUM ,%     , 4,23,  85,  80,  69,  72,  67,  66,  59,  50,  38,  31,  26,  28,  28,  28,  27,  28,  40,  42,  49,  53,  57,  57,  57,  58
2014,13101010,101,HUM ,%     , 4,24,  55,  64,  68,  64,  66,  50,  50,  39,  35,  41,  35,  35,  30,  36,  34,  32,  52,  52,  56,  58,  62,  65,  66,  68
2014,13101010,101,HUM ,%     , 4,25,  70,  73,  73,  77,  75,  69,  65,  63,  54,  45,  40,  33,  30,  24,  24,  25,  34,  36,  42,  57,  62,  58,  63,  62
2014,13101010,101,HUM ,%     , 4,26,  61,  64,  66,  67,  71,  69,  66,  59,  55,  45,  39,  30,  23,  36,  41,  41,  44,  45,  51,  54,  57,  58,  63,  63
2014,13101010,101,HUM ,%     , 4,27,  66,  68,  68,  66,  68,  68,  66,  55,  51,  40,  40,  39,  34,  35,  38,  43,  47,  51,  57,  56,  53,  48,  45,  49
2014,13101010,101,HUM ,%     , 4,28,  51,  57,  60,  61,  58,  51,  47,  44,  42,  37,  32,  31,  38,  41,  37,  48,  43,  48,  53,  56,  51,  53,  57,  60
2014,13101010,101,HUM ,%     , 4,29,  60,  59,  61,  63,  71,  74,  70,  68,  65,  60,  63,  59,  57,  56,  56,  60,  61,  64,  61,  65,  64,  74,  70,  75
2014,13101010,101,HUM ,%     , 4,30,  80,  81,  80,  87,  84,  88,  89,  91,  88,  91,  88,  86,  91,  90,  92,  88,  89,  88,  91,  89,  87,  87,  90,  89
2014,13101010,101,HUM ,%     , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2014,13101010,101,HUM ,%     , 5, 1,  91,  91,  90,  88,  89,  94,  95,  90,  85,  72,  60,  51,  58,  49,  49,  49,  47,  50,  59,  73,  72,  68,  65,  62
2014,13101010,101,HUM ,%     , 5, 2,  66,  74,  76,  76,  77,  73,  65,  60,  49,  50,  46,  41,  40,  36,  37,  46,  44,  54,  61,  63,  69,  67,  63,  64
2014,13101010,101,HUM ,%     , 5, 3,  70,  63,  66,  72,  71,  54,  46,  42,  39,  36,  47,  50,  49,  48,  50,  45,  44,  49,  52,  42,  55,  60,  62,  38
2014,13101010,101,HUM ,%     , 5, 4,  32,  28,  23,  23,  21,  21,  21,  19,  16,  16,  15,  14,  15,  17,  14,  25,  31,  38,  37,  47,  51,  52,  52,  57
2014,13101010,101,HUM ,%     , 5, 5,  60,  61,  66,  66,  65,  65,  65,  65,  67,  73,  80,  77,  68,  65,  66,  63,  65,  70,  69,  67,  62,  63,  67,  72
