測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2014,13101010,101,WS  ,0.1M/S, 4, 1,  11,   8,   6,   6,  12,   9,  17,  12,   9,   9,   7,   8,   7,   5,   6,   9,   7,   7,   6,   4,   5,   2,   2,   2
2014,13101010,101,WS  ,0.1M/S, 4, 2,   7,   0,   2,   9,   6,   6,  10,   8,   7,   4,   3,   5,   7,   8,   9,   7,   9,  11,  10,   4,   4,   1,   6,   6
2014,13101010,101,WS  ,0.1M/S, 4, 3,   3,   5,   4,   5,   5,   2,   5,   3,   7,   7,   9,  10,   5,   6,   5,   2,   5,   2,   2,   2,   5,   2,   4,   6
2014,13101010,101,WS  ,0.1M/S, 4, 4,   4,   4,   7,   1,   8,   4,   1,   4,   4,   7,  12,   4,   6,   9,   7,  10,   6,   4,  18,  15,  18,  23,  30,  16
2014,13101010,101,WS  ,0.1M/S, 4, 5,  24,  23,  25,  21,  22,  19,  21,  11,  10,  15,  15,   3,   4,   5,   4,   4,  11,   9,   9,   5,   4,   5,  11,  14
2014,13101010,101,WS  ,0.1M/S, 4, 6,  15,   3,   6,  15,   5,   7,   7,  13,   4,   9,  10,   8,   5,   5,  21,  12,  21,  13,  19,  14,  19,  14,  16,   9
2014,13101010,101,WS  ,0.1M/S, 4, 7,  14,  14,  12,  12,   4,   5,  11,  10,  12,   5,   5,   7,   8,   5,   7,   5,   5,   4,   2,   1,   2,   5,   0,   4
2014,13101010,101,WS  ,0.1M/S, 4, 8,   3,   6,   2,   5,   3,   7,   2,   4,   6,   5,   4,   9,   3,   5,   4,   3,   2,   1,   4,   4,   5,   1,   2,   3
2014,13101010,101,WS  ,0.1M/S, 4, 9,   7,   8,   5,   9,   7,   8,   8,   9,   4,   9,   8,   5,   8,  10,  10,   9,   9,   7,   6,   4,   4,   3,   3,   1
2014,13101010,101,WS  ,0.1M/S, 4,10,   6,   5,   2,   5,   5,   3,   2,   3,   6,   4,   7,  11,   6,  10,   5,   2,  30,  14,  20,  18,  24,  26,  33,  31
2014,13101010,101,WS  ,0.1M/S, 4,11,  22,  21,  13,  13,  14,  15,  11,  10,  14,  17,  23,  13,  12,   9,   5,  12,  12,   7,   6,   9,   7,   8,   7,   5
2014,13101010,101,WS  ,0.1M/S, 4,12,  14,  13,  11,  10,   7,   8,   5,  11,  10,   8,  19,  15,  14,  12,   4,  19,   9,  14,   7,  11,   9,   5,   2,   5
