測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2009,09201060,201,NOX ,PPB   , 4, 1,   9,   8,  12,  10,  10,   8,  12,  15,  15,  15,  13,  12,  12,  10,   9,  11,  14,  17,  13,  11,   7,   8,   7,   8
2009,09201060,201,NOX ,PPB   , 4, 2,   8,   8,   5,   2,   2,   2,   3,   5,   3,   3,   3,   3,   2,   3,   3,   3,   4,   7,   8,  12,  18,  35,  44,  25
2009,09201060,201,NOX ,PPB   , 4, 3,  20,  23,9999,  26,  18,  23,  24,  21,  12,   8,   5,   5,   5,   5,  17,   9,   6,   9,  21,  30,  28,  46,  67,  61
2009,09201060,201,NOX ,PPB   , 4, 4,  26,  38,  24,  38,  31,  26,  31,  21,  22,  18,   8,   9,  11,  18,  18,  22,  26,  38,  38,  28,  26,  29,  25,  20
2009,09201060,201,NOX ,PPB   , 4, 5,  19,  19,  17,  15,  12,  13,  15,  12,   8,   8,   6,   5,   6,   5,   3,   5,   6,   6,   9,  15,  28,  20,  35,  22
2009,09201060,201,NOX ,PPB   , 4, 6,  26,  24,  15,  25,  20,  22,  23,  25,  20,  13,   8,   8,   7,   6,   6,   7,  10,  12,  14,  17,  12,  12,  12,  10
2009,09201060,201,NOX ,PPB   , 4, 7,  11,  14,  15,  17,  25,  18,  26,  20,  14,  12,  11,   8,   6,  12,   5,   5,   8,  12,  14,  15,  21,  39,  32,  21
2009,09201060,201,NOX ,PPB   , 4, 8,  16,  28,  34,  30,  23,  34,  33,  29,  19,  13,  10,   8,  10,   9,   9,  10,  12,  12,  15,  26,  47,  43,  50,  48
2009,09201060,201,NOX ,PPB   , 4, 9,  40,  49,  41,  36,  29,  36,  32,  27,  25,  20,   9,   7,   8,   6,   6,   6,   7,  11,  27,  16,  17,  19,  35,  40
2009,09201060,201,NOX ,PPB   , 4,10,  44,  58,9999,  28,  47,  43,  35,  25,  26,  24,  15,  11,  13,  16,   8,  16,  14,  19,  21,  18,  20,  27,  23,  30
2009,09201060,201,NOX ,PPB   , 4,11,  43,  61,  59,  47,  40,  31,  21,  17,  11,  10,   7,   5,   5,   5,   5,   5,   5,   5,   5,   7,   7,   8,  17,  31
2009,09201060,201,NOX ,PPB   , 4,12,  21,  11,  11,  10,  20,  12,  14,   9,   8,   4,   4,   3,   2,   2,   2,   2,   3,   5,   9,   9,   7,   7,  10,  10
2009,09201060,201,NOX ,PPB   , 4,13,  11,  10,  10,  10,  20,  23,  23,  16,  22,  16,   9,   5,   4,   5,   5,  10,   9,   9,  14,  20,  16,  21,  22,  22
