測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2010,09201120,201,CO2 ,0.1PPM, 4, 1,4600,9999,4390,4410,4370,4400,4360,4410,4380,4260,4320,4310,4260,4270,4300,4290,4280,4340,4450,4290,4210,4200,4200,4210
2010,09201120,201,CO2 ,0.1PPM, 4, 2,4250,4230,4200,4230,4170,4160,4220,4320,4360,4110,4070,4090,4090,4070,4070,4100,4080,4130,4180,4150,4110,4090,4100,4090
2010,09201120,201,CO2 ,0.1PPM, 4, 3,4070,4040,4030,4000,4000,4050,4030,4050,4040,4020,4000,4030,4000,4010,4040,4020,4040,4070,4120,4120,4100,4180,4310,4280
2010,09201120,201,CO2 ,0.1PPM, 4, 4,4330,4300,4220,4180,4200,4160,4130,4110,4130,4120,4110,4120,4140,4120,4130,4120,4140,4140,4150,4170,4220,4220,4180,4170
2010,09201120,201,CO2 ,0.1PPM, 4, 5,4150,4160,4180,4170,4150,4150,4180,4240,4290,4240,4250,4260,4240,4270,4360,4290,4250,4230,4230,4260,4240,4180,4180,4200
2010,09201120,201,CO2 ,0.1PPM, 4, 6,4210,4280,4310,4230,4380,4390,4470,4310,4230,4210,4210,4240,4210,4210,4260,4310,4320,4380,4320,4220,4260,4370,4380,4470
2010,09201120,201,CO2 ,0.1PPM, 4, 7,4350,4470,4430,4380,4300,4300,4310,4180,4150,4140,9999,9999,9999,4050,4060,4040,4020,4020,4050,4010,3990,3940,3940,3940
2010,09201120,201,CO2 ,0.1PPM, 4, 8,3940,9999,4050,4060,4080,4120,4140,4140,4100,4090,4120,4120,4110,4110,4100,4100,4070,4060,4060,4060,4050,4050,4080,4080
2010,09201120,201,CO2 ,0.1PPM, 4, 9,4060,4080,4060,4030,4100,4170,4130,4210,4200,4150,4130,4110,4110,4130,4140,4170,4190,4290,4180,4160,4140,4130,4180,4150
2010,09201120,201,CO2 ,0.1PPM, 4,10,4180,4270,4340,4270,4260,4220,4230,4200,4140,4160,4080,4100,4060,4090,4080,4100,4100,4110,4110,4140,4180,4220,4260,4260
2010,09201120,201,CO2 ,0.1PPM, 4,11,4210,4210,4220,4280,4350,4340,4310,4280,4230,4200,4230,4250,4210,4160,4140,4130,4160,4190,4200,4210,4220,4210,4240,4310
2010,09201120,201,CO2 ,0.1PPM, 4,12,4290,4210,4180,4160,4190,4180,4180,4180,4210,4230,4210,4230,4210,4200,4180,4180,4190,4200,4200,4190,4170,4160,4130,4100
2010,09201120,201,CO2 ,0.1PPM, 4,13,4090,4080,4070,4060,4060,4070,4070,4090,4080,4100,4150,4150,4170,4170,4150,4190,4350,4320,4270,4360,4530,4570,4440,4140
2010,09201120,201,CO2 ,0.1PPM, 4,14,4140,4120,4100,4080,4080,4090,4090,4100,4110,4110,4100,4110,4110,4100,4110,4120,4120,4100,4130,4160,4150,4150,4160,4160
2010,09201120,201,CO2 ,0.1PPM, 4,15,4170,9999,4050,4060,4040,4030,4040,4070,4150,4170,4170,4150,4130,4110,4080,4080,4110,4120,4130,4160,4150,4180,4160,4150
2010,09201120,201,CO2 ,0.1PPM, 4,16,4120,4070,4040,4020,4030,4030,4030,4060,4100,4080,4060,4070,4060,4060,4020,4020,4020,4040,4050,4050,4050,4070,4070,4040
2010,09201120,201,CO2 ,0.1PPM, 4,17,4010,3990,3980,3980,3990,3990,4010,4080,4130,4050,4040,4050,4040,4060,4090,4070,4090,4120,4130,4140,4130,4150,4180,4160
2010,09201120,201,CO2 ,0.1PPM, 4,18,4150,4120,4140,4200,4170,4160,4080,4080,4090,4080,4060,4040,4040,4050,4040,4050,4040,4060,4120,4140,4160,4160,4170,4180
2010,09201120,201,CO2 ,0.1PPM, 4,19,4160,4170,4170,4150,4140,4120,4120,4140,4150,4180,4210,4200,4140,4130,4150,4130,4160,4140,4160,4160,4180,4230,4210,4180
2010,09201120,201,CO2 ,0.1PPM, 4,20,4210,4180,4200,4210,4210,4270,4280,4300,4290,4280,4250,4250,4240,4220,4050,4080,4130,4180,4180,4160,4160,4160,4150,4170
2010,09201120,201,CO2 ,0.1PPM, 4,21,4250,4220,4170,4160,4210,4230,4230,4170,4170,4160,4180,9999,9999,9999,3980,9999,9999,9999,9999,3940,3940,3950,3930,3940
2010,09201120,201,CO2 ,0.1PPM, 4,22,3950,9999,4020,4010,4010,3990,4030,4040,4060,4040,4040,4060,4060,4060,4040,4040,4070,4110,4160,4110,4070,4050,4020,4030
2010,09201120,201,CO2 ,0.1PPM, 4,23,4020,4020,4020,4040,4040,4040,4040,4070,4080,4080,4080,4080,4080,4090,4100,4110,4100,4150,4200,4300,4400,4310,4330,4250
2010,09201120,201,CO2 ,0.1PPM, 4,24,4210,4220,4180,4230,4250,4230,4200,4180,4150,4160,4140,4140,4150,4120,4110,4130,4110,4120,4160,4160,4250,4270,4290,4290
2010,09201120,201,CO2 ,0.1PPM, 4,25,4350,4250,4240,4230,4200,4180,4170,4130,4130,4100,4080,4080,4060,4070,4080,4080,4110,4140,4200,4320,4290,4380,4370,4400
2010,09201120,201,CO2 ,0.1PPM, 4,26,4340,4340,4280,4270,4230,4230,4290,4310,4180,4140,4160,4160,4170,4170,4140,4140,4150,4150,4160,4150,4160,4150,4120,4110
2010,09201120,201,CO2 ,0.1PPM, 4,27,4110,4110,4120,4110,4140,4160,4160,4150,4160,4140,4160,4160,4180,4160,4130,4190,4210,4260,4240,4170,4170,4230,4170,4200
2010,09201120,201,CO2 ,0.1PPM, 4,28,4170,4110,4100,4060,4020,4020,4030,4080,4080,9999,9999,4020,4030,4020,4030,4060,4070,4060,4080,4120,4160,4110,4110,4150
2010,09201120,201,CO2 ,0.1PPM, 4,29,4160,9999,4100,4100,4100,4110,4130,4160,4180,4200,4190,4170,4120,4090,4050,4060,4050,4030,4050,4080,4110,4100,4110,4140
2010,09201120,201,CO2 ,0.1PPM, 4,30,4180,4330,4330,4350,4350,4310,4310,4160,4140,4110,4100,4110,4100,4090,4090,4100,4060,4080,4110,4140,4130,4210,4340,4320
2010,09201120,201,CO2 ,0.1PPM, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2010,09201120,201,CO2 ,0.1PPM, 5, 1,4310,4300,4360,4320,4280,4270,4340,4270,4210,4130,4090,4070,4080,4070,4060,4070,4080,4110,4130,4150,4180,4200,4190,4170
2010,09201120,201,CO2 ,0.1PPM, 5, 2,4150,4170,4170,4170,4230,4260,4220,4140,4140,4150,4130,4140,4150,4150,4150,4150,4150,4160,4200,4300,4340,4370,4550,4510
2010,09201120,201,CO2 ,0.1PPM, 5, 3,4460,4480,4380,4390,4380,4390,4400,4310,4250,4310,4280,4230,4200,4210,4310,4330,4350,4200,4190,4200,4250,4290,4310,4360
2010,09201120,201,CO2 ,0.1PPM, 5, 4,4390,4530,4540,4560,4580,4590,4520,4520,4360,4370,4360,4300,4260,4210,4210,4220,4230,4220,4250,4370,4360,4460,4580,4550
2010,09201120,201,CO2 ,0.1PPM, 5, 5,4570,4570,4700,4770,4740,4760,4760,4660,4550,4420,4350,4310,4230,4230,4250,4230,4210,4230,4270,4350,4400,4470,4520,4420
2010,09201120,201,CO2 ,0.1PPM, 5, 6,4400,9999,4230,4210,4180,4220,4280,4340,4270,4200,4150,4170,4100,9999,3970,3960,3910,3900,3930,3950,3980,3960,3990,3980
2010,09201120,201,CO2 ,0.1PPM, 5, 7,3970,3940,3890,3860,3880,3870,3880,3920,3960,4010,4030,4050,3980,3960,3960,4020,4000,4040,4120,4110,4060,4110,3950,3900
2010,09201120,201,CO2 ,0.1PPM, 5, 8,3900,3920,3930,3930,4030,4050,4000,4010,3940,3930,3890,3900,3890,3900,3890,3880,3920,3930,3920,3940,3970,3970,3970,4000
2010,09201120,201,CO2 ,0.1PPM, 5, 9,4000,4020,4040,4110,4110,4100,4070,4070,4010,3920,3890,3930,3910,3890,3890,3890,3880,3900,3940,3960,3940,3940,3950,3940
2010,09201120,201,CO2 ,0.1PPM, 5,10,3910,3880,3920,4090,4020,4010,3970,4000,3970,3960,3960,3950,3950,3960,3940,3960,3970,3990,4050,4050,4190,4310,4380,4340
2010,09201120,201,CO2 ,0.1PPM, 5,11,4310,4310,4220,4160,4100,4300,4300,4260,4270,4140,4000,4000,3960,3950,3930,3920,3930,3930,3950,3930,3960,3940,3940,3920
2010,09201120,201,CO2 ,0.1PPM, 5,12,3890,3900,3930,3950,3940,3930,3930,3960,3970,3970,3970,3900,3830,3810,3800,3810,3810,3800,3830,3890,3900,3930,4030,4010
2010,09201120,201,CO2 ,0.1PPM, 5,13,3980,9999,4350,4280,4310,4340,4250,4160,4100,4090,4070,4080,4090,4070,4040,4040,4040,4050,4070,4080,4120,4100,4120,4190
2010,09201120,201,CO2 ,0.1PPM, 5,14,4200,4130,4190,4250,4240,4200,4180,4130,4110,4120,4110,4130,4110,4110,4070,4080,4100,4110,4120,4100,4120,4100,4090,4090
2010,09201120,201,CO2 ,0.1PPM, 5,15,4080,4100,4100,4120,4160,4140,4140,4100,4070,4050,4090,4090,4100,4090,4100,4090,4100,4100,4130,4160,4160,4150,4160,4200
2010,09201120,201,CO2 ,0.1PPM, 5,16,4170,4150,4150,4200,4230,4230,4180,4180,4180,4180,4150,4170,4160,4170,4180,4180,4240,4210,4180,4200,4200,4220,4250,4260
2010,09201120,201,CO2 ,0.1PPM, 5,17,4320,4440,4440,4490,4500,4410,4330,4280,4260,4340,4300,4300,4250,9999,9999,9999,4000,4070,4130,4150,4140,4110,4100,4100
