測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2010,09201060,201,NO  ,PPB   , 4, 1,  31,  19,  26,  21,   7,   5,  12,  28,  33,  19,   6,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4, 2,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4, 3,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4, 4,   4,   2,   4,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4, 5,   0,   0,   0,   0,   0,   0,   0,   1,   2,   0,   0,   0,   1,   1,   1,   2,   2,   2,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4, 6,   0,   0,   1,   0,   2,   6,  11,  17,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4, 7,   1,   6,9999,  15,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4, 8,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4, 9,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4,10,   0,   0,   0,   0,   0,   3,  13,   9,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4,11,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2010,09201060,201,NO  ,PPB   , 4,12,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,9999,9999,   2,   2,   1,   1,   1,   1,   1,   1
2010,09201060,201,NO  ,PPB   , 4,13,   1,   1,   1,   1,   1,   1,   1,   3,   2,   2,   2,   2,   2,   1,   1,   1,   1,   1,   1,   2,   3,  13,  26,   7
2010,09201060,201,NO  ,PPB   , 4,14,   1,   0,9999,   0,   1,   0,   2,   3,   4,   5,   4,   3,   5,   5,   2,   1,   1,   1,   0,   0,   0,   0,   0,   0
