測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,09201570,201,CO  ,0.1PPM, 4, 1,   3,   3,   4,   4,   4,   4,   4,   4,   3,   3,   3,   3,   3,   3,   4,   3,   3,   3,   3,   3,   4,   3,   3,   2
2012,09201570,201,CO  ,0.1PPM, 4, 2,   3,   3,   3,   3,   3,   3,   4,   6,   4,   3,   3,   3,   3,   3,   3,   3,   4,   4,   4,   5,   4,   4,   6,   4
2012,09201570,201,CO  ,0.1PPM, 4, 3,   4,   3,   3,   3,   4,   4,   5,   5,   5,   5,   5,   3,   2,   2,   2,   3,   2,   2,   2,   2,   3,   4,   4,   3
2012,09201570,201,CO  ,0.1PPM, 4, 4,   3,   3,   2,   2,   2,   2,   2,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   4,   5,   5,   5,   6,   5,   7
2012,09201570,201,CO  ,0.1PPM, 4, 5,   6,   5,9999,   3,   3,   3,   3,   5,   5,   5,   6,   5,   5,   4,   4,   5,   4,   5,   5,   5,   5,   5,   5,   4
2012,09201570,201,CO  ,0.1PPM, 4, 6,   4,   5,   4,   3,   3,   3,   4,   5,   6,9999,   5,   4,   3,   3,   3,   3,   3,   3,   4,   4,   4,   5,   4,   4
2012,09201570,201,CO  ,0.1PPM, 4, 7,   4,   4,   5,   4,   4,   4,   4,   3,   3,   3,   3,   4,   4,   4,   3,   3,   3,   3,   4,   4,   5,   6,   7,   7
2012,09201570,201,CO  ,0.1PPM, 4, 8,   5,   6,   5,   5,   4,   4,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   4,   4,   4,   5,   5,   4
2012,09201570,201,CO  ,0.1PPM, 4, 9,   5,   5,   4,   4,   4,   4,   5,   6,   6,   5,   4,   4,   4,   4,   3,   3,   4,   4,   5,   3,   4,   7,   7,   5
2012,09201570,201,CO  ,0.1PPM, 4,10,   6,   5,   4,   4,   4,   3,   4,   5,   5,   4,   4,   4,   3,   3,   3,   3,   4,   4,   5,   5,   6,   5,   5,   5
2012,09201570,201,CO  ,0.1PPM, 4,11,   4,   4,   3,   3,   3,   4,   5,   7,   7,   6,   5,   5,   5,   5,   6,   7,   6,   7,   7,   7,   7,   7,   5,   4
2012,09201570,201,CO  ,0.1PPM, 4,12,   3,   4,9999,   4,   4,   4,   4,   6,   7,   4,   4,   3,   3,   3,   3,   3,   3,   4,   5,   5,   4,   4,   3,   3
2012,09201570,201,CO  ,0.1PPM, 4,13,   3,   3,   3,   3,   4,   3,   5,   5,   5,   4,   4,   4,   4,   4,   4,   4,   4,   5,   8,   6,   5,   5,   5,   4
2012,09201570,201,CO  ,0.1PPM, 4,14,   3,   3,   3,   3,   2,   2,   2,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   4,   5,   4,   5,   5,   4,   3
2012,09201570,201,CO  ,0.1PPM, 4,15,   4,   5,   4,   3,   3,   4,   4,   3,   3,   3,   4,   3,   4,   4,   3,   3,   4,   3,   3,   3,   3,   4,   3,   3
2012,09201570,201,CO  ,0.1PPM, 4,16,   3,   2,   2,   2,   3,   3,   3,   6,   4,   4,   4,   4,   4,   3,   3,   4,   5,   6,   8,   5,   5,   6,   6,   5
2012,09201570,201,CO  ,0.1PPM, 4,17,   5,   4,   4,   3,   3,   3,   4,   5,   5,   5,   4,   4,   4,   4,   3,   5,   6,   5,   5,   5,   5,   5,   6,   6
2012,09201570,201,CO  ,0.1PPM, 4,18,   5,   3,   3,   2,   2,   2,   2,   3,   4,   4,   4,   3,   3,   2,   3,   3,   3,   3,   4,   4,   5,   5,   5,   4
2012,09201570,201,CO  ,0.1PPM, 4,19,   4,   3,9999,   2,   2,   2,   2,   3,   3,   3,   3,   4,   3,   3,   3,   3,   3,   3,   3,   4,   3,   4,   3,   4
2012,09201570,201,CO  ,0.1PPM, 4,20,   3,   2,   2,   2,   2,   2,   2,   3,   4,   4,   3,   3,   2,   2,   3,   3,   4,   4,   4,   4,   4,   4,   4,   4
2012,09201570,201,CO  ,0.1PPM, 4,21,   3,   4,   3,   2,   2,   2,   2,   2,   3,   4,   4,   4,   4,   3,   4,   4,   4,   3,   3,   3,   3,   4,   4,   3
2012,09201570,201,CO  ,0.1PPM, 4,22,   3,   3,   2,   2,   2,   2,   3,   3,   3,   3,   3,   3,   3,   4,   4,   5,   4,   4,   5,   5,   5,   5,   5,   5
2012,09201570,201,CO  ,0.1PPM, 4,23,   5,   4,   3,   3,   3,   2,   3,   4,   5,   6,   5,   4,   4,   5,   5,   5,   6,   7,   7,   7,   7,   6,   5,   4
2012,09201570,201,CO  ,0.1PPM, 4,24,   4,   3,   3,   3,   3,   3,   4,   5,   5,   4,   4,   3,   3,   3,   4,   4,   4,   5,   4,   4,   4,   4,   4,   5
2012,09201570,201,CO  ,0.1PPM, 4,25,   4,   4,   4,   4,   4,   4,   4,   5,   5,   4,   4,   4,   4,   4,   4,   4,   3,   4,   4,   5,   5,   5,   7,   6
2012,09201570,201,CO  ,0.1PPM, 4,26,   4,   5,9999,   4,   4,   4,   5,   6,   5,   4,   4,   4,   4,   4,   3,   3,   3,   4,   3,   5,   4,   4,   4,   4
2012,09201570,201,CO  ,0.1PPM, 4,27,   3,   4,   3,   3,   2,   2,   3,   3,   3,   4,   3,   3,   3,   3,   4,   4,   5,   4,   4,   4,   4,   4,   4,   4
2012,09201570,201,CO  ,0.1PPM, 4,28,   3,   3,   4,   3,   3,   4,   3,   3,   4,   4,   4,   3,   3,   3,   3,   3,   3,   3,   4,   5,   5,   5,   6,   7
2012,09201570,201,CO  ,0.1PPM, 4,29,   6,   5,   5,   5,   4,   5,   4,   5,   4,   5,   4,   4,   4,   4,   4,   4,   4,   5,   5,   6,   6,   6,   5,   5
2012,09201570,201,CO  ,0.1PPM, 4,30,   4,   4,   5,   5,   5,   5,   5,   5,   5,   4,   4,   4,   4,   3,   3,   3,   3,   4,   2,   3,   3,   2,   3,   2
2012,09201570,201,CO  ,0.1PPM, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2012,09201570,201,CO  ,0.1PPM, 5, 1,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   2,   2,   2,   3,   4,   5,   6,   5,   6,   5,   4,   4
2012,09201570,201,CO  ,0.1PPM, 5, 2,   3,   4,   3,   3,   2,   2,   2,   2,   3,   3,   2,   3,   3,   3,   3,   4,   5,   4,   4,   4,   3,   4,   4,   2
2012,09201570,201,CO  ,0.1PPM, 5, 3,   2,   2,9999,   2,   1,   1,   1,   1,   1,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   3,   2,   2
2012,09201570,201,CO  ,0.1PPM, 5, 4,   2,   2,   2,   2,   2,   2,   3,   2,   3,   3,   3,   3,   4,   3,   3,   3,   3,   3,   4,   5,   4,   4,   4,   3
2012,09201570,201,CO  ,0.1PPM, 5, 5,   3,   3,   3,   2,   3,   3,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   5,   4,   3,   4,   3,   2
2012,09201570,201,CO  ,0.1PPM, 5, 6,   2,   3,   3,   3,   3,   3,   3,   3,   3,   2,   3,   3,   4,   4,   4,   3,   4,   3,   3,   4,   3,   4,   3,   3
2012,09201570,201,CO  ,0.1PPM, 5, 7,   3,   2,   2,   2,   2,   2,   3,   3,   3,   4,   3,   3,   3,   3,   3,   2,   3,   3,   4,   4,   4,   3,   3,   3
2012,09201570,201,CO  ,0.1PPM, 5, 8,   3,   2,   3,   3,   2,   3,   4,   4,   4,9999,9999,   4,   3,   3,   4,   4,   4,   4,   5,   5,   5,   5,   4,   4
2012,09201570,201,CO  ,0.1PPM, 5, 9,   4,   3,   3,   3,   3,   3,   3,   5,   5,   4,   5,   4,   4,   4,   5,   6,   6,   4,   4,   5,   5,   6,   6,   4
2012,09201570,201,CO  ,0.1PPM, 5,10,   4,   3,   3,   4,   3,   4,   4,   5,   5,   4,   4,   4,   4,   5,   5,   4,   5,   4,   4,   3,   2,   3,   3,   4
2012,09201570,201,CO  ,0.1PPM, 5,11,   4,   4,   4,   3,   3,   4,   4,   5,   3,   3,   3,   3,   3,   3,   3,   2,   2,   3,   3,   3,   3,   4,   5,   4
2012,09201570,201,CO  ,0.1PPM, 5,12,   4,   4,   4,   5,   3,   3,   3,   3,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   3,   3,   4,   4,   3,   3
2012,09201570,201,CO  ,0.1PPM, 5,13,   3,   3,   3,   2,   3,   4,   3,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   4,   3,   3,   4,   5
2012,09201570,201,CO  ,0.1PPM, 5,14,   4,   2,   2,   2,   2,   2,   2,   4,   4,   4,   3,   3,   2,   3,   3,   2,   3,   3,   3,   3,   3,   3,   3,   3
