測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,09201120,201,HUM ,%     , 4, 1,  41,  40,  48,  53,  70,  68,  56,  44,  37,  31,  28,  28,  27,  26,  25,  24,  26,  29,  37,  41,  44,  47,  48,  49
2012,09201120,201,HUM ,%     , 4, 2,  55,  57,  63,  59,  62,  63,  55,  42,  37,  33,  31,  32,  25,  25,  26,  27,  27,  37,  54,  57,  61,  63,  64,  65
2012,09201120,201,HUM ,%     , 4, 3,  67,  68,  77,  81,  82,  85,  83,  82,  78,  73,  59,  46,  56,  61,  89,  86,  83,  89,  96,  96,  82,  75,  38,  24
2012,09201120,201,HUM ,%     , 4, 4,  24,  29,  30,  28,  32,  29,  27,  23,  21,  20,  20,  19,  21,  21,  22,  22,  23,  25,  25,  25,  28,  42,  48,  42
2012,09201120,201,HUM ,%     , 4, 5,  42,  44,  44,  52,  62,  62,  53,  46,  37,  31,  30,  28,  20,  20,  23,  22,  29,  32,  28,  41,  43,  46,  51,  53
2012,09201120,201,HUM ,%     , 4, 6,  54,  57,  64,  63,  64,  65,  59,  57,  54,  44,  45,  26,  15,  12,  20,  14,  27,  26,  23,  23,  26,  31,  37,  42
2012,09201120,201,HUM ,%     , 4, 7,  42,  46,  45,  42,  41,  43,  43,  37,  32,  28,  30,  27,  26,  24,  19,  22,  20,  29,  31,  32,  36,  40,  41,  49
2012,09201120,201,HUM ,%     , 4, 8,  52,  56,  55,  58,  65,  62,  53,  44,  33,  26,  22,  20,  20,  21,  15,  16,  18,  25,  33,  45,  51,  54,  56,  59
2012,09201120,201,HUM ,%     , 4, 9,  60,  65,  68,  68,  74,  72,  66,  59,  52,  37,  31,  26,  20,  16,  17,  20,  21,  20,  29,  38,  40,  37,  38,  35
2012,09201120,201,HUM ,%     , 4,10,  40,  39,  35,  42,  39,  43,  39,  31,  29,  26,  25,  24,  24,  22,  22,  22,  31,  39,  45,  47,  51,  54,  54,  55
2012,09201120,201,HUM ,%     , 4,11,  57,  60,  60,  62,  66,  66,  84,  90,  91,  85,  83,  85,  89,  93,  94,  89,  85,  93,  96,  97,  97,  99, 100, 100
2012,09201120,201,HUM ,%     , 4,12, 100, 100,  99, 100, 100, 100, 100,  97,  72,  26,  25,  26,  27,  20,  17,  39,  45,  49,  51,  65,  64,  64,  78,  83
