測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2012,09201060,201,SPM ,UG/M3 , 4, 1,   2,  11,   9,   9,  13,   6,  13,  14,  11,  11,  14,  17,  20,  22,  11,  21,  14,   4,   2,  10,   4,   3,   6,   8
2012,09201060,201,SPM ,UG/M3 , 4, 2,   5,   5,   7,   5,   4,  12,   5,   8,   9,  15,   9,  10,   9,  13,  10,  21,  17,  18,  16,  15,  12,   9,   9,  13
2012,09201060,201,SPM ,UG/M3 , 4, 3,  13,  22,  21,  18,  20,  18,  18,  21,  30,  40,  33,  23,  20,  17,  29,  18,  19,  27,  35,  21,   4,  12,   7,   2
2012,09201060,201,SPM ,UG/M3 , 4, 4,   6,   3,   2,   2,   3,   2,  16,  17,  29,  12,   7,  11,  10,   7,   5,   9,  14,   8,  11,  14,  11,  11,  18,  18
2012,09201060,201,SPM ,UG/M3 , 4, 5,  15,  15,  18,  15,  12,  20,  24,  21,  34,  33,  28,  24,  17,  13,  15,  19,  14,  11,   4,  19,  17,   2,   4,   9
2012,09201060,201,SPM ,UG/M3 , 4, 6,   7,   3,   7,   4,  10,   6,   8,  14,  14,  19,  15,  14,   1,   5,   8,  20,  12,  13,   6,   9,  11,  13,  15,  17
2012,09201060,201,SPM ,UG/M3 , 4, 7,  18,  14,  14,  18,  21,  13,  32,  14,  22,  15,   3,   7,   3,   4,   3,   9,   9,  11,  15,   8,  14,  14,  14,  23
2012,09201060,201,SPM ,UG/M3 , 4, 8,  15,  14,  13,  13,  12,  14,  14,  24,  15,  13,  14,   5,  11,  10,   8,   5,   9,  20,  21,  21,  24,  27,  22,  26
2012,09201060,201,SPM ,UG/M3 , 4, 9,  27,  27,  25,  22,  21,  24,  18,  28,  35,  29,  26,  31,  28,  28,  27,  17,  25,  21,  25,  22,  17,  25,  27,  33
2012,09201060,201,SPM ,UG/M3 , 4,10,  31,  28,  26,  31,  36,  35,  36,  43,  51,  46,  52,  41,  42,  38,  39,  39,  43,  42,  47,  50,  54,  47,  48,  54
