測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2014,09201060,201,NOX ,PPB   , 4, 1,  14,  14,  12,  20,  26,  24,  24,  15,  13,   9,   5,   7,   5,   5,   5,  10,   5,   9,  12,  20,  18,  21,  28,  41
2014,09201060,201,NOX ,PPB   , 4, 2,  42,  43,  39,  35,  25,  27,  41,  33,  22,  11,   5,   5,   5,   5,   5,   5,   6,   7,   9,   8,  11,  11,  15,  13
2014,09201060,201,NOX ,PPB   , 4, 3,  26,  12,  14,  19,  32,  33,  35,  47,  39,  28,  20,  15,  16,  13,  16,  15,  16,  14,  11,  13,  10,  11,  12,  12
2014,09201060,201,NOX ,PPB   , 4, 4,   8,   8,   9,  10,  14,  14,  14,  15,   9,  10,   6,   7,   7,   9,   8,   9,  10,  14,  12,  12,  10,  15,   5,   4
2014,09201060,201,NOX ,PPB   , 4, 5,   5,9999,   4,   3,   2,   2,   3,   3,   2,   2,   2,   2,   2,   2,   3,   4,   5,   5,   8,   6,   5,   6,   5,   4
2014,09201060,201,NOX ,PPB   , 4, 6,   4,   5,   4,   3,   3,   4,   4,   5,   4,   3,   3,   4,   4,   3,   5,   4,   3,   4,   5,   5,  14,  18,  16,  13
2014,09201060,201,NOX ,PPB   , 4, 7,  14,  12,  19,  22,  20,  34,  32,  28,  20,  11,   7,   7,   5,   5,   9,   6,   8,  23,  27,  25,  35,  31,  30,  33
2014,09201060,201,NOX ,PPB   , 4, 8,  29,  40,  36,  33,  32,  23,  29,  26,  25,  29,  25,  13,   7,  15,   8,   7,   9,  11,  13,  10,  12,  14,  17,  17
2014,09201060,201,NOX ,PPB   , 4, 9,  19,  20,  20,  18,  21,  33,  38,  28,  17,  19,   9,   6,   6,   6,   6,   6,   6,   9,  11,  10,  11,  15,  14,  12
2014,09201060,201,NOX ,PPB   , 4,10,  13,  19,  25,  31,  41,  31,  42,  37,  24,  18,  14,   9,   7,   7,   7,   6,   6,   5,   6,   5,   5,   5,   7,  16
2014,09201060,201,NOX ,PPB   , 4,11,  12,  12,   9,   4,  12,  14,  14,  15,  11,   6,   4,9999,9999,   4,   4,   3,   4,   6,   8,   9,  14,  22,  27,  25
2014,09201060,201,NOX ,PPB   , 4,12,  25,9999,  21,  20,  16,  16,  18,  14,  10,  10,   6,   6,   4,   4,   4,   4,   5,   5,   6,   7,  12,  17,  17,  17
2014,09201060,201,NOX ,PPB   , 4,13,  11,  13,  15,  16,  15,  14,   8,   6,   7,   5,   6,   4,   4,   4,   4,   4,   5,   5,   6,   6,   8,  20,  17,  13
2014,09201060,201,NOX ,PPB   , 4,14,  13,  14,  11,  11,  12,  16,  24,  16,  10,   8,   6,   6,   5,   7,   5,   6,   8,   8,   9,  10,  12,  16,  18,  25
2014,09201060,201,NOX ,PPB   , 4,15,  24,  22,  26,  39,  38,  27,  26,  21,  15,  13,   9,   7,   6,   7,  13,  11,  15,  16,  20,  19,  17,  19,  20,  20
2014,09201060,201,NOX ,PPB   , 4,16,  20,  20,  31,  25,  23,  19,  18,  15,   8,   7,   6,   7,   8,   6,   6,   7,   9,  15,  20,  18,  23,  23,  29,  11
2014,09201060,201,NOX ,PPB   , 4,17,  10,   9,  11,  21,  25,  28,  34,  33,  18,  10,   8,  12,   7,   7,   7,   8,   9,  11,  15,  13,  12,  16,  11,  12
2014,09201060,201,NOX ,PPB   , 4,18,  14,  11,  11,  12,  16,  15,  18,  15,  15,  14,  20,  14,  13,  11,  12,  15,  13,  10,  11,   9,  14,  12,  17,  11
2014,09201060,201,NOX ,PPB   , 4,19,   9,9999,   9,   9,  12,  14,  14,  12,   9,   8,   5,   5,   5,   6,   5,   6,   6,   6,   6,   5,   5,   5,   5,   4
2014,09201060,201,NOX ,PPB   , 4,20,   4,   4,   3,   3,   3,   4,  10,  10,   7,   7,   5,   5,   4,   4,   4,   5,   5,   6,   6,   7,   8,   7,  11,   9
2014,09201060,201,NOX ,PPB   , 4,21,   8,   7,   7,  10,  12,  11,  12,  16,  17,  20,  21,  22,  19,  19,  24,  23,  23,  26,  31,  23,  19,  12,   5,   4
2014,09201060,201,NOX ,PPB   , 4,22,   5,   5,   6,   8,   9,  13,  14,  13,  12,   8,   6,   5,   6,   8,  10,   9,   9,  11,  16,  18,  19,  24,  18,  16
2014,09201060,201,NOX ,PPB   , 4,23,  18,  13,  15,  16,  18,  21,  17,  20,  17,  12,   7,   7,   7,   8,   8,   8,   9,  10,  11,  12,  11,  10,  17,  16
2014,09201060,201,NOX ,PPB   , 4,24,  15,  15,  19,  17,  22,  24,  19,  12,  15,  10,   6,   5,   5,   5,   6,   5,   6,   7,  11,  16,  15,  20,  17,  21
2014,09201060,201,NOX ,PPB   , 4,25,  29,  28,  19,  26,  26,  23,  26,  20,  16,  13,  12,   9,   6,   6,   6,   6,  10,  11,  15,  16,  16,  23,  29,  26
2014,09201060,201,NOX ,PPB   , 4,26,  33,9999,  30,  25,  24,  22,  23,  19,  16,  14,  11,   8,   7,   7,   7,   7,   8,  10,  11,  10,   9,  11,  12,  14
2014,09201060,201,NOX ,PPB   , 4,27,  14,  16,  17,  17,  18,  20,  20,  15,  12,   9,   7,   8,   7,   6,   6,   7,   6,   6,  10,  11,  11,   9,   9,   9
2014,09201060,201,NOX ,PPB   , 4,28,  11,  17,  21,  19,  19,  19,  22,  20,  20,  18,  20,  11,  10,  12,  20,  10,  16,  21,  20,  17,  15,  16,  14,  12
2014,09201060,201,NOX ,PPB   , 4,29,  15,   9,  13,  10,  12,  12,  13,  11,   5,   5,   5,   5,   5,   5,   6,   6,   6,   7,   8,   7,   8,   9,   9,   7
2014,09201060,201,NOX ,PPB   , 4,30,   8,   8,   7,   8,   8,   7,   8,   8,   9,  10,  12,  13,  12,  12,  12,  10,   8,   8,   7,   7,   7,   6,   6,   5
2014,09201060,201,NOX ,PPB   , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2014,09201060,201,NOX ,PPB   , 5, 1,   6,   6,   5,   5,   5,   5,   7,   9,   8,   7,   8,   8,   5,   8,   5,   6,   9,  12,   7,   6,   9,   9,  15,  11
2014,09201060,201,NOX ,PPB   , 5, 2,  10,  13,  15,  21,  17,  20,  19,  19,  16,  12,   7,   6,   5,   6,   6,   6,   7,   9,  12,  12,  11,  10,  12,  15
2014,09201060,201,NOX ,PPB   , 5, 3,  12,9999,  15,  15,  14,  13,  13,  11,   9,   9,   7,   5,   5,   7,   7,   6,   6,   6,   5,   6,   7,   7,  11,   9
2014,09201060,201,NOX ,PPB   , 5, 4,   4,   4,   4,   3,   6,   7,   7,   6,   5,   4,   4,   4,   4,   4,   3,   4,   4,   7,   7,   7,   7,   7,   8,  12
2014,09201060,201,NOX ,PPB   , 5, 5,  14,  13,  11,  11,  11,  12,  11,  12,  10,   7,   7,  10,   9,   9,  12,  11,  10,   9,   7,   7,   9,  10,  10,   8
2014,09201060,201,NOX ,PPB   , 5, 6,   8,   8,   3,   3,   3,   4,   4,   5,   6,   5,   5,   4,   5,   6,   6,   5,   6,   6,   9,  13,  12,  11,  12,  13
2014,09201060,201,NOX ,PPB   , 5, 7,  12,  12,  14,  15,  15,  16,  15,  15,  12,   8,   8,   6,   6,   6,   6,   9,   9,  11,9999,9999,9999,9999,9999,9999
2014,09201060,201,NOX ,PPB   , 5, 8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2014,09201060,201,NOX ,PPB   , 5, 9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2014,09201060,201,NOX ,PPB   , 5,10,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2014,09201060,201,NOX ,PPB   , 5,11,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2014,09201060,201,NOX ,PPB   , 5,12,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2014,09201060,201,NOX ,PPB   , 5,13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2014,09201060,201,NOX ,PPB   , 5,14,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2014,09201060,201,NOX ,PPB   , 5,15,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2014,09201060,201,NOX ,PPB   , 5,16,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   7,  10,   8,   5,   5,   5,   4,   4,   5,   4,   5
2014,09201060,201,NOX ,PPB   , 5,17,   8,9999,  12,  11,  12,  19,  12,  10,   7,   4,   4,   4,   5,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   8
2014,09201060,201,NOX ,PPB   , 5,18,  10,   6,   7,  10,   9,   8,   7,   7,   6,   4,   4,   3,   3,   3,   3,   3,   4,   6,   6,   7,   7,   5,   8,   5
2014,09201060,201,NOX ,PPB   , 5,19,   5,   5,   5,   6,   6,   8,   7,   9,  12,   8,   4,   4,   4,   4,   5,   5,   6,   6,   8,   7,   8,  10,   8,   6
2014,09201060,201,NOX ,PPB   , 5,20,   8,   8,   9,  10,  10,  19,  16,  12,   9,  11,  11,   7,   5,   6,   6,   7,   8,  12,  10,   9,  10,   7,   7,   6
2014,09201060,201,NOX ,PPB   , 5,21,   6,   6,   5,   5,   5,   9,  10,   7,   9,   7,   9,   7,   5,   4,   4,   4,   4,   7,   8,   7,   6,   5,   5,   9
2014,09201060,201,NOX ,PPB   , 5,22,   9,  14,  19,  16,  16,  19,  16,  10,  11,  11,  10,   8,   6,   5,  11,   5,   5,   5,  10,   9,  12,   9,   8,  11
2014,09201060,201,NOX ,PPB   , 5,23,   9,   8,   6,   6,   6,   7,  10,  10,  10,   7,   6,   7,   7,   7,   5,   6,   6,   6,   8,   8,   8,   8,   9,  11
2014,09201060,201,NOX ,PPB   , 5,24,  14,9999,   6,   6,   6,   8,   9,  11,   9,   7,   7,   6,   7,   7,   8,  12,  14,  12,  15,  14,  14,  12,  16,  12
2014,09201060,201,NOX ,PPB   , 5,25,  12,  11,  13,  12,  14,  18,  17,  13,  13,  11,  11,  11,   9,   8,   8,   8,   8,  10,  14,  14,  12,  13,  13,  13
