測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2015,09201120,201,NMHC,10PPBC, 4, 1,  20,  21,  22,9999,9999,  19,  19,  17,  17,  16,  17,  16,  18,  20,  18,  16,  18,  17,  18,  19,  16,  17,  17,  15
2015,09201120,201,NMHC,10PPBC, 4, 2,  18,  19,  17,  14,  15,  16,  15,  21,  17,  16,  14,  15,  16,  15,  16,  15,  15,  17,  19,  17,  17,  22,  20,  19
2015,09201120,201,NMHC,10PPBC, 4, 3,  17,  19,  20,  18,  19,  22,  22,  31,  24,  19,  20,  22,  23,  24,  25,  24,  23,  26,  26,  29,  32,  31,  34,  33
2015,09201120,201,NMHC,10PPBC, 4, 4,  32,  23,  20,  18,  15,  12,  11,  13,  12,  13,  17,  18,  18,  13,  13,  12,  13,  16,  14,  12,  13,  15,  16,  13
2015,09201120,201,NMHC,10PPBC, 4, 5,  13,  15,  13,  13,  13,  13,  13,  13,  13,  12,  11,  13,  13,  11,  13,  15,  18,  21,  21,  18,  22,  19,  19,  21
2015,09201120,201,NMHC,10PPBC, 4, 6,  19,  18,  21,  21,  16,  15,  15,  16,  17,  18,  18,  24,  17,  20,  24,  17,  16,  16,  17,  15,  17,  15,  14,  13
2015,09201120,201,NMHC,10PPBC, 4, 7,  16,  15,  13,  12,  10,  11,  10,  14,  12,  13,  13,  15,  12,  15,  11,  12,  15,  12,  13,  14,  15,  13,  14,  16
2015,09201120,201,NMHC,10PPBC, 4, 8,  13,  12,  12,9999,9999,   8,  10,   9,  18,  10,  11,  10,  10,  10,  13,  12,  18,  17,  16,  18,  17,  20,  16,  14
2015,09201120,201,NMHC,10PPBC, 4, 9,  14,  13,  10,  10,   8,   8,   9,  10,  10,   7,9999,9999,9999,   4,   5,   7,   7,  10,   6,   9,   7,   9,   9,  11
2015,09201120,201,NMHC,10PPBC, 4,10,  10,   9,   9,   9,  10,  10,   7,   8,   8,   5,  10,   7,   8,  13,  15,  14,  13,  17,  22,  21,  24,  16,  15,  13
2015,09201120,201,NMHC,10PPBC, 4,11,   9,   8,   8,   6,   6,   5,   9,   5,   8,   7,   5,  11,   6,   7,   9,  14,  15,  12,  10,  12,  15,  16,  15,  15
2015,09201120,201,NMHC,10PPBC, 4,12,  17,  19,  17,  13,  10,   8,   8,   5,   7,   5,   5,   6,   6,   8,   6,   9,  10,   7,  10,   8,   7,   8,   9,  11
2015,09201120,201,NMHC,10PPBC, 4,13,   9,   5,   7,   5,   4,   5,   5,   5,   8,  10,   5,  10,  11,   5,   5,   6,   5,   8,   9,   6,   7,   7,   8,   6
2015,09201120,201,NMHC,10PPBC, 4,14,   6,   6,   4,   3,   5,   6,   8,   9,  10,   7,   8,  13,  19,  18,  19,  19,  20,  22,  18,  22,  21,  22,  16,  16
2015,09201120,201,NMHC,10PPBC, 4,15,  12,  15,  13,9999,9999,  27,  33,  30,  28,  23,  21,  21,  23,  21,  18,  19,  20,  18,  15,  14,  18,  20,  28,  22
2015,09201120,201,NMHC,10PPBC, 4,16,  24,  22,  25,  19,  19,  20,  20,  19,  25,  19,  23,  21,  20,  22,  24,  20,  19,  18,  27,  32,  34,  37,  27,  26
2015,09201120,201,NMHC,10PPBC, 4,17,  23,  21,  19,  18,  19,  19,  16,  17,  19,  16,  18,  21,  21,  21,  16,  15,  14,  15,  15,  16,  15,  19,  20,  22
2015,09201120,201,NMHC,10PPBC, 4,18,  22,  24,  20,  25,  25,  19,  19,  21,  24,  20,  16,  18,  20,  19,  21,  17,  18,  17,  21,  22,  23,  22,  28,  30
2015,09201120,201,NMHC,10PPBC, 4,19,  30,  22,  25,  21,  17,  21,  20,  17,  14,  16,  18,  15,  18,  22,  20,  23,  23,  26,  25,  23,  31,  27,  23,  21
2015,09201120,201,NMHC,10PPBC, 4,20,  24,  25,  27,  27,  23,  21,  20,  21,  25,  21,  25,  24,  25,  30,  42,  30,  15,  19,  20,  19,  20,  21,  26,  21
2015,09201120,201,NMHC,10PPBC, 4,21,  22,  26,  16,  12,  13,  16,  16,  15,  17,  17,  16,  19,  20,  18,  18,  19,  19,  18,  18,  19,  17,  17,  24,  22
2015,09201120,201,NMHC,10PPBC, 4,22,  25,  35,  37,9999,9999,  23,  17,  17,  19,  22,  17,  20,  20,  15,  15,  16,  16,  17,  17,  16,  14,  16,  16,  21
2015,09201120,201,NMHC,10PPBC, 4,23,  23,  28,  23,  21,  21,  16,  16,  18,  21,  17,  18,  14,  18,  16,  18,  17,  18,  15,  15,  18,  17,  18,  18,  18
2015,09201120,201,NMHC,10PPBC, 4,24,  21,  20,  17,  15,  17,  13,  15,  17,  19,  23,  20,  20,  22,  23,  22,  21,  19,  23,  21,  21,  22,  26,  22,  23
2015,09201120,201,NMHC,10PPBC, 4,25,  25,  20,  16,  18,  23,  24,  23,  19,  15,  13,  13,  18,  15,  16,  19,  15,  13,  13,  13,  15,  14,  15,  16,  23
2015,09201120,201,NMHC,10PPBC, 4,26,  21,  19,  16,  15,  17,  16,  15,  17,  15,  17,  13,  14,  14,  17,  14,  19,  21,  17,  16,  18,  18,  22,  24,  22
2015,09201120,201,NMHC,10PPBC, 4,27,  20,  24,  21,  23,  20,  20,  17,  18,  19,  22,  24,  21,  20,  21,  23,  22,  24,  25,  21,  23,  25,  27,  26,  29
2015,09201120,201,NMHC,10PPBC, 4,28,  28,  36,  29,  24,  20,  19,  18,  20,  21,  25,  23,  22,  24,  19,  22,  19,  21,  25,  25,  25,  25,  25,  23,  23
2015,09201120,201,NMHC,10PPBC, 4,29,  23,  19,  17,9999,9999,  21,  14,  17,  16,  17,  15,  13,  16,  17,  16,  15,  15,  16,  14,  13,  15,  14,  17,  19
2015,09201120,201,NMHC,10PPBC, 4,30,  15,  16,  16,  21,  20,  19,  17,  17,  16,  15,  13,  15,  12,  11,  12,  13,  12,  13,  11,  16,  14,  15,  12,  21
2015,09201120,201,NMHC,10PPBC, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2015,09201120,201,NMHC,10PPBC, 5, 1,  25,  28,  25,  14,  13,  15,  11,  15,  11,  13,  15,  14,  14,  14,  16,  15,  16,  15,  17,  16,  18,  19,  19,  21
2015,09201120,201,NMHC,10PPBC, 5, 2,  17,  17,  19,  21,  17,  15,  17,  17,  13,  16,  15,  16,  17,  13,  15,  11,  14,  12,  15,  17,  17,  19,  19,  19
2015,09201120,201,NMHC,10PPBC, 5, 3,  16,  15,  15,  13,  15,  12,  15,  12,  15,  15,  16,  13,  15,  16,  13,  16,  12,  15,  14,  15,  16,  12,  14,  15
2015,09201120,201,NMHC,10PPBC, 5, 4,  13,  13,  14,  15,  12,  15,  15,  17,  38,  12,  13,  13,  13,  16,  17,  12,  11,  13,  16,  16,  17,  21,  16,  12
2015,09201120,201,NMHC,10PPBC, 5, 5,  15,  12,   8,   8,   7,  10,   9,  12,  14,  12,  13,  13,  14,  13,  15,  14,  12,  13,  14,  15,  11,  13,  16,  18
2015,09201120,201,NMHC,10PPBC, 5, 6,  17,  15,  18,9999,9999,  11,  14,  13,  14,  15,  15,  15,  16,  16,  18,  17,  17,  25,  21,  20,  18,  15,  15,  15
2015,09201120,201,NMHC,10PPBC, 5, 7,  16,  15,  21,  23,  19,  16,  16,  18,  18,  19,  21,  17,  15,  18,  17,  18,  19,  21,  23,  23,  23,  24,  22,  20
2015,09201120,201,NMHC,10PPBC, 5, 8,  17,  16,  18,  16,  15,  15,  15,  18,  19,  16,  17,  17,  17,  16,  16,  15,  15,  16,  16,  15,  17,  18,  19,  22
2015,09201120,201,NMHC,10PPBC, 5, 9,  18,  16,  16,  15,  16,  15,  15,  15,  15,  17,  16,  16,  18,  18,  17,  15,  16,  15,  17,  14,  16,  15,  16,  15
2015,09201120,201,NMHC,10PPBC, 5,10,  15,  16,  13,  15,  15,  15,  14,  15,  15,  19,  16,  11,  12,  11,  11,  11,  13,   9,  10,   9,  11,  10,  10,  10
2015,09201120,201,NMHC,10PPBC, 5,11,   9,  11,  12,  16,  14,  13,  10,  11,  12,  12,  14,  13,  12,  12,  13,  12,  12,  13,  17,  19,  18,  18,  17,  20
2015,09201120,201,NMHC,10PPBC, 5,12,  18,  15,  21,  18,  21,  20,  18,  19,  21,  19,  17,  19,  21,  21,  21,  21,  19,  23,  28,  26,  24,  21,  15,  17
2015,09201120,201,NMHC,10PPBC, 5,13,  16,  16,  17,9999,9999,  13,  13,  11,  11,  13,  15,  12,  16,  15,  17,  18,  17,  18,  16,  17,  25,  25,  23,  23
2015,09201120,201,NMHC,10PPBC, 5,14,  26,  19,  21,  19,  17,  13,  17,  13,9999,9999,9999,  12,  19,  19,  21,  18,  19,  23,  23,  27,  26,  30,  16,  17
2015,09201120,201,NMHC,10PPBC, 5,15,  15,  12,  17,  15,  14,  15,  24,  21,  16,  20,  16,  20,  18,  17,  16,  15,  18,  17,  13,  15,  15,  22,  20,  19
2015,09201120,201,NMHC,10PPBC, 5,16,  18,  17,  13,  14,  16,  17,  15,  16,  16,  14,  15,  18,  18,  19,  14,  15,  16,  22,  21,  19,  16,  16,  22,  21
2015,09201120,201,NMHC,10PPBC, 5,17,  16,  15,  11,  13,  11,  15,  15,  15,  14,  13,  16,  15,  14,  15,  12,  15,  15,   9,  11,  12,  15,  17,  17,  16
2015,09201120,201,NMHC,10PPBC, 5,18,  15,  13,  12,  12,  16,  13,  15,  14,  16,  15,  14,  17,  18,  12,  13,  15,  15,  14,  15,  14,  12,  12,  13,  12
2015,09201120,201,NMHC,10PPBC, 5,19,  12,  12,  14,  13,   8,  10,  11,  17,  17,  15,  15,  15,  16,  14,  14,  12,  13,  16,  17,  21,  24,  20,  14,  17
2015,09201120,201,NMHC,10PPBC, 5,20,  17,  16,  11,9999,9999,  15,   7,  13,  16,  11,  12,  11,  15,  15,  13,  13,  13,  14,  13,  15,  14,  12,  13,  13
2015,09201120,201,NMHC,10PPBC, 5,21,  15,  13,  16,   8,  12,  10,  12,  12,  13,  13,  12,  15,  16,  13,  11,   9,  10,  10,  12,  14,  22,  19,  17,  15
2015,09201120,201,NMHC,10PPBC, 5,22,  22,  18,  16,  12,  10,  13,  19,  19,  18,  21,  15,  16,  16,  18,  17,  20,  18,  18,  19,  22,  19,  21,  18,  26
2015,09201120,201,NMHC,10PPBC, 5,23,  26,  20,  21,  16,  18,  22,  19,  14,  17,  18,  22,  18,  21,  19,  18,  19,  16,  17,  18,  18,  20,  19,  20,  16
2015,09201120,201,NMHC,10PPBC, 5,24,  18,  15,  16,  18,  19,  21,  21,  18,  18,  17,  15,  15,  16,  17,  18,  19,  18,  28,  14,  18,  15,  16,  18,  20
2015,09201120,201,NMHC,10PPBC, 5,25,  17,  16,  16,  17,  15,  13,  11,  13,  12,  11,  15,  13,  15,  12,  12,  13,  13,  15,  14,  15,  15,  18,  17,  17
2015,09201120,201,NMHC,10PPBC, 5,26,  14,  21,  14,  13,  12,  13,  12,  12,  11,  13,  15,  15,  16,  16,  17,  14,  13,  13,  12,  15,  15,  18,  15,  15
2015,09201120,201,NMHC,10PPBC, 5,27,  14,  16,  12,9999,9999,  12,  16,  15,  16,  15,  15,  16,  15,  15,  17,  16,  14,  16,  16,  14,  12,  17,  14,  14
2015,09201120,201,NMHC,10PPBC, 5,28,  13,  14,  15,  13,  10,  12,  12,  10,  17,  17,  16,  17,  15,  16,  16,  16,  19,  17,  19,  16,  17,  17,  18,  17
2015,09201120,201,NMHC,10PPBC, 5,29,  15,  18,  15,  15,  17,  17,  17,  14,  16,  13,  17,  15,  13,  12,  12,  15,  14,  14,  14,  15,  16,  18,  18,  13
2015,09201120,201,NMHC,10PPBC, 5,30,  12,  11,  12,  15,  14,  12,   8,  10,  10,  13,  12,  14,  16,  15,  17,  18,  19,  20,  17,  18,  18,  18,  15,  15
2015,09201120,201,NMHC,10PPBC, 5,31,  12,  13,  15,  15,  27,  29,  18,  14,  13,  15,  16,  14,  12,  13,  12,  11,  12,  16,  15,  15,  17,  17,  19,  16
2015,09201120,201,NMHC,10PPBC, 6, 1,  16,  13,  14,  16,  13,   9,  12,  13,  14,  14,  19,  15,  14,  15,  16,  14,  16,  15,  19,  17,  15,  18,  17,  20
2015,09201120,201,NMHC,10PPBC, 6, 2,  20,  18,  24,  15,  18,  16,  16,  21,  19,  20,  21,  21,  19,  19,  21,  23,  22,  18,  18,  18,  18,  17,  17,  18
2015,09201120,201,NMHC,10PPBC, 6, 3,  18,  16,  20,9999,9999,  16,  17,  17,  17,  21,  24,  20,  17,  17,  13,  15,  20,  18,  23,  24,  32,  33,  30,  36
2015,09201120,201,NMHC,10PPBC, 6, 4,  35,  10,   8,   9,   8,  12,  13,   9,  11,  10,  15,  12,  13,  12,  10,  10,   9,   7,   8,  11,  10,  15,  12,  10
2015,09201120,201,NMHC,10PPBC, 6, 5,  13,  11,  12,  15,  19,  17,  15,  17,  18,  12,  12,  13,  17,  16,  19,  17,  16,  19,  18,  22,  25,  18,  17,  13
2015,09201120,201,NMHC,10PPBC, 6, 6,  12,  10,  11,  11,  11,   9,   9,   8,   8,  10,   9,  11,  12,  11,  11,  12,  10,  14,  12,  15,  19,  20,  15,  16
2015,09201120,201,NMHC,10PPBC, 6, 7,  16,  14,  19,  12,  11,  10,   9,  10,  11,  15,  12,  13,  13,  15,  12,  12,  15,  12,  12,   9,  11,  14,  17,  14
2015,09201120,201,NMHC,10PPBC, 6, 8,  12,  15,  21,  28,  21,  24,  17,  15,  13,  13,  15,  12,  11,  13,  13,  12,  13,  12,  12,  14,  15,  13,   9,   9
2015,09201120,201,NMHC,10PPBC, 6, 9,   9,  11,  11,  10,  13,   8,   7,   7,   9,9999,9999,9999,   7,   9,   7,   7,  11,  16,  21,  21,  27,  31,  38,  26
2015,09201120,201,NMHC,10PPBC, 6,10,  25,  28,  26,9999,9999,  17,  18,  22,  21,  15,  12,  11,  16,  12,  15,  16,  11,  15,  12,  10,  14,  13,  14,  11
2015,09201120,201,NMHC,10PPBC, 6,11,  13,  14,  12,  14,  13,  14,  11,  12,  12,  13,  13,  11,  13,   8,  10,  12,  12,  12,  13,  11,   9,   6,   8,  10
2015,09201120,201,NMHC,10PPBC, 6,12,   7,  10,   7,   7,  10,   7,   8,   9,  12,  10,  13,  15,  23,  13,  11,  13,  16,  12,  15,  15,  15,  16,  19,  15
2015,09201120,201,NMHC,10PPBC, 6,13,  16,  14,  15,  14,  11,  12,  10,  12,  12,  14,  17,  14,  16,  10,  15,  13,  15,  15,  11,  13,  13,  18,  15,  14
2015,09201120,201,NMHC,10PPBC, 6,14,  11,  11,  11,  15,  13,  19,  13,  11,  13,  15,  18,  16,  19,  19,  13,  18,  17,  15,  16,  20,  17,  14,  18,  16
2015,09201120,201,NMHC,10PPBC, 6,15,  20,  18,  19,  16,  15,  16,  15,  21,  21,  15,  13,  14,  16,  15,  12,  14,  14,  16,  12,  13,  12,  12,  12,  13
2015,09201120,201,NMHC,10PPBC, 6,16,  12,   8,  10,   8,  10,   7,   8,   8,  17,  11,  11,  12,  12,  11,  13,   8,  14,  13,   9,  11,  10,   9,  10,  13
2015,09201120,201,NMHC,10PPBC, 6,17,   9,   9,   8,9999,9999,  11,   7,   8,   5,   7,   9,   8,   8,   6,   9,   7,  11,   9,   9,  16,   7,  10,   7,   7
2015,09201120,201,NMHC,10PPBC, 6,18,   7,   6,   8,   2,   7,  10,   6,   8,   8,   7,   3,   9,  10,   7,   7,   8,   6,   3,   6,   6,   5,  10,  11,   7
2015,09201120,201,NMHC,10PPBC, 6,19,   7,   4,   4,   4,   3,   3,   4,   5,   5,   7,  10,   7,   4,   7,   9,   6,   6,   7,   8,  11,   9,   9,   9,  10
2015,09201120,201,NMHC,10PPBC, 6,20,   9,   8,   7,   5,   7,   8,   4,   8,   7,   6,   7,  10,   7,  10,   9,  11,  10,   9,  11,   9,  10,  10,  10,  12
2015,09201120,201,NMHC,10PPBC, 6,21,  16,  14,  11,  18,  15,  11,   9,   9,  12,  10,  10,  10,  12,  11,  12,  10,  12,  10,   9,   7,   5,   7,   9,   5
2015,09201120,201,NMHC,10PPBC, 6,22,   5,   7,   7,   7,   7,   7,   7,   6,   6,   7,   8,   9,  10,   8,   8,   9,  11,   9,  10,   7,   7,   9,  11,  10
2015,09201120,201,NMHC,10PPBC, 6,23,   7,   8,   7,  10,   7,   6,  15,  10,  17,  11,   9,  11,  16,  11,  12,  13,  10,  12,   9,  10,  16,  16,   9,  12
