観測所番号,観測所名,緯度,経度
11001,宗谷岬,45.52,141.935
11016,稚内,45.415,141.67833333333334
11046,礼文,45.305,141.045
11061,声問,45.403333333333336,141.80166666666668
11076,浜鬼志別,45.335,142.17
11091,本泊,45.24166666666667,141.18666666666667
11121,沼川,45.248333333333335,141.85166666666666
11151,沓形,45.178333333333335,141.13833333333332
11176,豊富,45.10166666666667,141.78
11206,浜頓別,45.125,142.35
11276,中頓別,44.965,142.28
11291,北見枝幸,44.94,142.585
11316,歌登,44.84166666666667,142.48
13011,幌延,45.00666666666667,141.85166666666666
12011,中川,44.82833333333333,142.07666666666665
12041,音威子府,44.72666666666667,142.265
12066,小車,44.608333333333334,142.295
12141,美深,44.48,142.34166666666667
12181,名寄,44.37,142.45666666666668
12217,西風連,44.295,142.35833333333332
12231,下川,44.295,142.63666666666666
12256,剣淵,44.10666666666667,142.35333333333332
12261,士別,44.18666666666667,142.41666666666666
12266,朝日,44.11833333333333,142.595
12301,和寒,44.028333333333336,142.41
12386,江丹別,43.87,142.26
12396,比布,43.87,142.47
12411,上川,43.846666666666664,142.75333333333333
12442,旭川,43.75666666666667,142.37166666666667
12451,東川,43.70166666666667,142.50833333333333
12457,瑞穂,43.736666666666665,142.63833333333332
12471,層雲峡,43.75333333333333,142.93
12501,東神楽,43.67,142.44666666666666
12512,志比内,43.64333333333333,142.58166666666668
12551,美瑛,43.58833333333333,142.49333333333334
12596,上富良野,43.455,142.465
12607,白金,43.475,142.65
12626,富良野,43.333333333333336,142.4
12632,麓郷,43.30166666666667,142.52166666666668
12686,金山,43.138333333333335,142.41666666666666
12691,幾寅,43.16833333333334,142.56833333333333
12746,占冠,42.97833333333333,142.395
15041,朱鞠内,44.281666666666666,142.16166666666666
15076,幌加内,44.01,142.16
13061,天塩,44.89333333333333,141.76166666666666
13086,遠別,44.718333333333334,141.80666666666667
13121,初山別,44.52333333333333,141.77
13146,焼尻,44.428333333333335,141.42166666666665
13181,羽幌,44.36333333333334,141.7
13206,古丹別,44.265,141.72166666666666
13261,達布,44.04833333333333,141.85666666666665
13277,留萌,43.945,141.63166666666666
13311,増毛,43.848333333333336,141.51
