測定局コード,測定局名
01101010,センター
01101020,山鼻
01101520,北１条
01101540,南１４条
01102010,篠路
01102020,国設札幌大気環境測定所
01102510,北１９条
01103010,東
01103520,東１８丁目
01104030,北白石
01105010,東月寒
01105520,月寒中央
01106050,駒岡
01107020,発寒
01107030,手稲
01108010,厚別
01110010,清田
01202080,北美原小学校
01202100,中部小学校
01202120,深堀中学校
01202560,美原
01203090,銭函
01203100,勝納
01203110,塩谷
01203520,駅前交差点
01204010,中央
01204011,中央
01204050,北門
01204150,東光
01204160,永山
01205020,御前水
01205060,白鳥台
01205310,輪西
01205320,東
01205540,汐見
01206280,釧路高専
01206290,昭和小学校
01207090,帯広市役所
01208510,北見市常磐町大気測定局舎
01213020,双葉
01213050,明野公園
01213070,勇払
01213220,沼ノ端公園
01213510,糸井
01213610,市役所
01224010,日の出
01224020,富丘
01224050,駒里
01224060,若草
01226010,職業訓練校
01302010,樽川
01424010,奈井江
01518950,国設利尻酸性雨
01578010,白老
01578030,北吉原
01579020,遠浅
01579030,早来
01581010,厚真
01581020,上厚真
01582020,田浦
01582030,鵡川
02201070,堤小学校
02201080,甲田小学校
02201090,新城中央小学校
02201520,橋本小学校
02202060,弘前市立第一中学校
02202510,文京小学校
02203050,根岸小学校
02203220,桔梗野小学校
02203240,八戸小学校
02203260,八戸特別地域気象観測所
02203510,六日町
02204010,スポカルイン黒石
02205010,五所川原第三中学校
02206030,三本木中学校
02207020,岡三沢町内会館
02208030,苫生小学校
02307950,国設竜飛岬酸性雨
02321010,鰺ヶ沢町舞戸
02364510,大栄小学校
02411010,六ヶ所村尾駮
03201070,津志田
03201550,上田
03202050,横町
03203090,猪川町
03204010,水沢
03205010,花城
03206010,芳町
03207010,八日町
03209010,竹山町
03209510,三反田
03211070,新町
03213020,荷渡
03215010,江刺
03305010,巣子
03321010,日詰
04101010,広瀬
04101020,宮総局
04101510,北根
04104010,秋総局
04105520,長命
04105530,将監
04201020,岩切
04201030,鶴谷
04201050,長町
04201060,中山
04201070,中野
04201080,七郷
04201210,福室
04201220,山田
04201230,榴岡
04201540,苦竹
04201550,木町
04201560,五橋
04202060,石巻西
04203010,塩釜
04203510,塩釜自排
04204020,古川2
04204510,古川自排
04205020,気仙沼
04206010,白石
04207510,名取自排
04210010,七北田
04211010,岩沼
04323010,柴田
04341010,丸森
04362010,山元
04401010,松島
04406010,利府
04421010,大和
04501010,国設箟岳
04521010,築館
04541010,迫
04562020,矢本２
05201010,将軍野
05201030,茨島
05201040,仁井田
05201060,上新城
05201080,土崎
05201120,山王
05201130,新屋
05201340,堀川
05201370,広面
05201530,自排茨島
05202020,能代西
05202040,檜山
05203020,横手
05204020,大館
05205010,本荘
05206060,船川
05208010,大曲
06201090,山形銅町
06201110,山形成沢西
06201510,山形下山家
06202010,米沢金池
06203010,鶴岡錦町
06204050,酒田若浜
06205010,新庄下田
06206010,寒河江西根
06208010,村山楯岡笛田
06209010,長井高野
06422010,余目
07201180,古川
07201190,南町
07201200,森合
07201510,松浪町
07202070,会津若松
07203130,芳賀
07203140,堤下
07203150,日和田
07203180,安積
07203520,台新
07204020,上中田
07204030,花ノ井
07204070,下川
07204090,滝尻
07204110,大原
07204160,中原
07204170,金山
07204210,揚土
07204510,平
07204720,中央台
07204730,常磐
07204740,四倉
07205050,白河
07206050,原町１
07207010,須賀川
07208090,喜多方
07209080,相馬１
07210010,二本松
07368010,南会津
07466010,矢吹
07481010,棚倉
07541010,広野１
07542010,楢葉
07543010,富岡
07546010,双葉
07561020,新地１
07563010,小高
