国環研局番,測定局名,緯度,経度
8201030,水戸石川,36.39222222222222,140.42583333333332
8201040,水戸東部,36.31972222222223,140.49944444444444
8203010,土浦保健所,36.07111111111112,140.19083333333333
8302010,東茨城大戸,36.316944444444445,140.42027777777776
8344010,大宮野中,36.561388888888885,140.4025
8405010,鹿島宮中,35.965,140.62194444444447
8405110,高松公民館,35.943888888888885,140.64944444444444
8405270,総合福祉センター,35.9575,140.65277777777777
8406030,鹿島事務所,35.89833333333333,140.64027777777778
8406050,神栖消防,35.888888888888886,140.66666666666666
8423040,潮来保健所,35.939722222222215,140.5675
9201120,中央,36.56,139.88111111111112
9203010,栃木市役所,36.3825,139.73416666666665
9211010,矢板市役所,36.80611111111111,139.92361111111111
10201090,衛生環境研究所,36.405,139.09583333333333
10202010,高崎勤労ホーム駐車場,36.33805555555556,138.9958333333333
10203010,桐生市立東小学校,36.409444444444446,139.34305555555557
10203510,桐生自排局,36.37166666666667,139.3536111111111
10204030,伊勢崎市立南小学校,36.314166666666665,139.1938888888889
10204510,伊勢崎自排局,36.3025,139.20777777777778
10205010,太田市立中央小学校,36.28972222222222,139.3813888888889
10206010,沼田市立沼田小学校,36.645833333333336,139.0427777777778
10207010,館林市民センター,36.24972222222223,139.53250000000003
10207510,館林自排局,36.23527777777778,139.52055555555555
10208010,渋川第１測定局,36.49888888888889,138.99416666666664
10208510,渋川自排局,36.49222222222223,139.01166666666666
10210010,富岡市立富岡小学校,36.259166666666665,138.89527777777778
10211010,安中第１測定局,36.32333333333334,138.9138888888889
10211040,岩野谷公民館,36.32972222222222,138.92777777777778
10211060,安中市立安中小学校,36.33055555555556,138.89638888888888
10211510,安中自排局,36.33222222222223,138.91694444444445
10423010,東吾妻町立東吾妻中学校,36.5775,138.82861111111112
10425010,嬬恋村運動公園,36.50722222222223,138.51527777777778
10449010,みなかみ町カルチャーセンター,36.73111111111111,138.98277777777778
10464010,県央水質浄化センター,36.29888888888889,139.11
11201030,川越市高階測定局,35.890277777777776,139.4861111111111
11201040,川越市川越測定局,35.92777777777778,139.48694444444442
11201510,川越市仙波測定局,35.906666666666666,139.49277777777775
11202040,熊谷,36.147777777777776,139.38777777777776
11203040,川口市南平,35.79666666666667,139.7511111111111
11204010,さいたま市役所,35.862500000000004,139.64583333333331
11207010,秩父,35.98833333333334,139.08083333333332
11208060,所沢市東所沢,35.803888888888885,139.51916666666668
11208070,所沢市北野,35.785555555555554,139.43972222222223
11208090,所沢市中富,35.81472222222222,139.48333333333332
11208520,所沢市航空公園,35.79527777777778,139.4713888888889
11208530,所沢市和ヶ原,35.80555555555555,139.40916666666666
11210010,加須,36.13166666666667,139.60861111111112
11212020,東松山,36.031666666666666,139.41611111111112
