,0
世田谷区世田谷_lag=1,"['OX_01', 'TEMP_01', 'TEMP_03', 'HUM_01', 'TEMP_02', 'TEMP_04', 'NO2_01', 'NOX_01', 'WS_01', 'NOX_02', 'NO2_02', 'TEMP_22', 'TEMP_05', 'HUM_02', 'TEMP_23', 'TEMP_12', 'TEMP_16', 'TEMP_08', 'OX_02', 'OX_23']"
世田谷区世田谷_lag=2,"['OX_01', 'TEMP_01', 'TEMP_03', 'TEMP_04', 'HUM_01', 'WS_01', 'TEMP_22', 'TEMP_02', 'NO2_01', 'NOX_01', 'TEMP_21', 'OX_02', 'TEMP_05', 'TEMP_23', 'TEMP_24', 'TEMP_11', 'TEMP_16', 'NOX_02', 'OX_23', 'TEMP_15']"
世田谷区世田谷_lag=3,"['OX_01', 'TEMP_01', 'TEMP_03', 'TEMP_04', 'HUM_01', 'TEMP_22', 'TEMP_21', 'WS_01', 'TEMP_24', 'TEMP_02', 'TEMP_20', 'NO2_01', 'OX_02', 'TEMP_05', 'NOX_01', 'TEMP_10', 'TEMP_19', 'TEMP_15', 'TEMP_06', 'OX_21']"
多摩市愛宕_lag=1,"['OX_01', 'TEMP_01', 'TEMP_03', 'TEMP_02', 'HUM_01', 'TEMP_04', 'TEMP_05', 'WS_01', 'TEMP_23', 'HUM_02', 'NO2_02', 'NOX_02', 'TEMP_06', 'OX_03', 'TEMP_22', 'NO2_01', 'TEMP_10', 'TEMP_09', 'HUM_03', 'OX_06']"
多摩市愛宕_lag=2,"['OX_01', 'TEMP_01', 'TEMP_03', 'TEMP_04', 'HUM_01', 'TEMP_05', 'TEMP_02', 'TEMP_22', 'WS_01', 'TEMP_23', 'OX_02', 'TEMP_24', 'TEMP_06', 'OX_03', 'SPM_01', 'TEMP_18', 'TEMP_21', 'OX_16', 'HUM_02', 'HUM_03']"
多摩市愛宕_lag=3,"['TEMP_01', 'OX_01', 'TEMP_03', 'TEMP_04', 'HUM_01', 'TEMP_05', 'TEMP_22', 'TEMP_24', 'TEMP_21', 'TEMP_02', 'TEMP_06', 'WS_01', 'TEMP_20', 'TEMP_07', 'OX_02', 'TEMP_23', 'OX_15', 'TEMP_19', 'OX_21', 'TEMP_18']"
東秩父_lag=1,"['OX_01', 'HUM_01', 'TEMP_01', 'TEMP_02', 'TEMP_04', 'SPM_01', 'TEMP_11', 'TEMP_12', 'TEMP_06', 'TEMP_24', 'OX_02', 'OX_05', 'TEMP_20', 'TEMP_19', 'TEMP_23', 'TEMP_08', 'HUM_03', 'HUM_22', 'TEMP_03', 'HUM_04']"
東秩父_lag=2,"['OX_01', 'TEMP_01', 'HUM_01', 'SPM_01', 'OX_02', 'TEMP_11', 'TEMP_24', 'TEMP_06', 'TEMP_23', 'OX_05', 'TEMP_05', 'TEMP_10', 'OX_07', 'TEMP_20', 'OX_06', 'OX_04', 'TEMP_02', 'TEMP_12', 'WD_01', 'PM25_14']"
東秩父_lag=3,"['OX_01', 'TEMP_01', 'HUM_01', 'SPM_01', 'OX_02', 'TEMP_24', 'TEMP_06', 'TEMP_05', 'OX_06', 'TEMP_04', 'TEMP_11', 'TEMP_10', 'OX_05', 'TEMP_09', 'OX_04', 'TEMP_23', 'TEMP_19', 'OX_03', 'SPM_02', 'TEMP_02']"
青梅市東青梅_lag=1,"['OX_01', 'TEMP_01', 'TEMP_02', 'HUM_01', 'TEMP_03', 'HUM_02', 'WS_01', 'TEMP_08', 'WD_01', 'TEMP_05', 'OX_23', 'TEMP_15', 'TEMP_04', 'HUM_03', 'TEMP_13', 'TEMP_21', 'TEMP_14', 'TEMP_16', 'HUM_09', 'TEMP_23']"
青梅市東青梅_lag=2,"['OX_01', 'TEMP_01', 'HUM_01', 'TEMP_03', 'TEMP_02', 'TEMP_04', 'TEMP_08', 'TEMP_23', 'WS_01', 'OX_23', 'TEMP_24', 'OX_02', 'TEMP_05', 'TEMP_21', 'TEMP_07', 'OX_22', 'WD_01', 'TEMP_22', 'TEMP_09', 'HUM_02']"
青梅市東青梅_lag=3,"['OX_01', 'TEMP_01', 'HUM_01', 'TEMP_03', 'TEMP_24', 'TEMP_04', 'TEMP_22', 'OX_02', 'TEMP_07', 'TEMP_02', 'TEMP_08', 'OX_22', 'TEMP_06', 'TEMP_05', 'WS_01', 'TEMP_21', 'OX_23', 'TEMP_20', 'TEMP_18', 'TEMP_23']"
草加市西町_lag=1,"['OX_01', 'TEMP_01', 'HUM_01', 'TEMP_02', 'TEMP_03', 'TEMP_04', 'WS_01', 'NOX_01', 'NO2_01', 'TEMP_22', 'NOX_02', 'NO2_02', 'TEMP_06', 'TEMP_23', 'HUM_02', 'OX_02', 'TEMP_21', 'TEMP_14', 'TEMP_11', 'TEMP_19']"
草加市西町_lag=2,"['OX_01', 'TEMP_01', 'HUM_01', 'TEMP_03', 'TEMP_22', 'TEMP_04', 'TEMP_05', 'TEMP_02', 'TEMP_21', 'WS_01', 'TEMP_06', 'OX_02', 'TEMP_23', 'NO2_01', 'TEMP_11', 'TEMP_20', 'TEMP_10', 'NOX_01', 'TEMP_07', 'TEMP_24']"
草加市西町_lag=3,"['OX_01', 'TEMP_01', 'HUM_01', 'TEMP_04', 'TEMP_21', 'TEMP_03', 'TEMP_22', 'TEMP_05', 'TEMP_20', 'WS_01', 'TEMP_06', 'TEMP_02', 'TEMP_24', 'TEMP_23', 'OX_02', 'TEMP_11', 'TEMP_10', 'NO2_01', 'TEMP_17', 'TEMP_07']"
幸手_lag=1,"['OX_01', 'TEMP_01', 'HUM_01', 'TEMP_02', 'TEMP_03', 'WS_01', 'TEMP_04', 'TEMP_05', 'TEMP_06', 'NO2_01', 'NOX_01', 'OX_02', 'TEMP_10', 'NO2_02', 'TEMP_17', 'HUM_02', 'TEMP_12', 'NOX_02', 'TEMP_24', 'WS_02']"
幸手_lag=2,"['OX_01', 'TEMP_01', 'TEMP_03', 'HUM_01', 'TEMP_04', 'TEMP_05', 'TEMP_06', 'WS_01', 'TEMP_02', 'OX_02', 'TEMP_23', 'NO2_01', 'TEMP_17', 'TEMP_07', 'NOX_01', 'TEMP_12', 'TEMP_11', 'OX_23', 'TEMP_16', 'OX_05']"
幸手_lag=3,"['TEMP_01', 'OX_01', 'TEMP_04', 'TEMP_03', 'TEMP_05', 'HUM_01', 'TEMP_06', 'OX_02', 'TEMP_22', 'TEMP_02', 'WS_01', 'TEMP_07', 'TEMP_24', 'TEMP_17', 'TEMP_23', 'TEMP_18', 'TEMP_21', 'TEMP_16', 'TEMP_20', 'TEMP_19']"
所沢市東所沢_lag=1,"['OX_01', 'TEMP_01', 'TEMP_02', 'HUM_01', 'TEMP_03', 'WS_01', 'OX_02', 'NO2_02', 'NOX_02', 'TEMP_04', 'HUM_02', 'TEMP_05', 'NO2_01', 'NOX_01', 'TEMP_13', 'TEMP_22', 'TEMP_19', 'TEMP_08', 'HUM_03', 'TEMP_23']"
