,predict,obs
2019-04-01 00:00:00,28.770046,30.0
2019-04-01 01:00:00,28.643923,25.0
2019-04-01 02:00:00,29.725483,23.0
2019-04-01 03:00:00,30.392624,21.0
2019-04-01 04:00:00,27.970049,22.0
2019-04-01 05:00:00,30.765379,25.0
2019-04-01 06:00:00,30.50573,37.0
2019-04-01 07:00:00,32.09005,43.0
2019-04-01 08:00:00,39.722893,49.0
2019-04-01 09:00:00,52.393402,53.0
2019-04-01 10:00:00,57.35974,54.0
2019-04-01 11:00:00,58.021343,48.0
2019-04-01 12:00:00,56.31247,50.0
2019-04-01 13:00:00,54.788986,47.5
2019-04-01 14:00:00,47.01746,45.0
2019-04-01 15:00:00,42.517605,50.0
2019-04-01 16:00:00,38.858547,47.0
2019-04-01 17:00:00,40.473026,48.0
2019-04-01 18:00:00,42.133224,49.0
2019-04-01 19:00:00,39.660072,46.0
2019-04-01 20:00:00,39.394848,42.0
2019-04-01 21:00:00,40.95153,39.0
2019-04-01 22:00:00,38.447582,39.5
2019-04-01 23:00:00,31.751251,40.0
2019-04-02 00:00:00,34.595444,37.0
2019-04-02 01:00:00,33.91077,34.0
2019-04-02 02:00:00,31.296928,24.0
2019-04-02 03:00:00,29.126553,22.0
2019-04-02 04:00:00,30.141422,23.0
2019-04-02 05:00:00,33.003933,39.0
2019-04-02 06:00:00,35.481968,42.0
2019-04-02 07:00:00,35.616955,41.0
2019-04-02 08:00:00,47.105076,42.66666666666666
2019-04-02 09:00:00,52.329662,44.333333333333336
2019-04-02 10:00:00,52.45257,46.0
2019-04-02 11:00:00,51.790455,47.66666666666666
2019-04-02 12:00:00,55.77607,49.333333333333336
2019-04-02 13:00:00,55.460205,51.0
2019-04-02 14:00:00,51.744686,51.0
2019-04-02 15:00:00,49.555996,50.0
2019-04-02 16:00:00,51.622547,48.0
2019-04-02 17:00:00,52.538353,48.0
2019-04-02 18:00:00,48.764988,45.0
2019-04-02 19:00:00,42.476208,43.0
2019-04-02 20:00:00,39.563812,44.0
2019-04-02 21:00:00,35.392315,37.0
2019-04-02 22:00:00,40.00703,31.0
2019-04-02 23:00:00,36.388172,26.0
2019-04-03 00:00:00,34.597805,34.0
2019-04-03 01:00:00,29.649647,27.0
2019-04-03 02:00:00,26.586512,24.0
2019-04-03 03:00:00,26.320923,23.0
2019-04-03 04:00:00,23.141933,28.0
2019-04-03 05:00:00,25.15392,28.0
2019-04-03 06:00:00,28.334589,49.0
2019-04-03 07:00:00,36.03779,50.0
2019-04-03 08:00:00,47.085815,51.0
2019-04-03 09:00:00,56.166454,52.0
2019-04-03 10:00:00,55.35841,52.0
2019-04-03 11:00:00,56.05351,53.0
2019-04-03 12:00:00,57.64203,53.0
2019-04-03 13:00:00,59.82707,54.0
2019-04-03 14:00:00,59.491596,53.0
2019-04-03 15:00:00,57.70168,52.0
2019-04-03 16:00:00,51.34508,48.0
2019-04-03 17:00:00,46.483383,44.0
2019-04-03 18:00:00,42.966618,39.0
2019-04-03 19:00:00,36.23808,31.0
2019-04-03 20:00:00,33.012577,28.0
2019-04-03 21:00:00,28.771013,27.0
2019-04-03 22:00:00,27.040632,28.0
2019-04-03 23:00:00,28.80479,29.0
2019-04-04 00:00:00,29.68941,30.0
2019-04-04 01:00:00,29.59002,30.0
2019-04-04 02:00:00,26.04869,30.0
2019-04-04 03:00:00,22.071505,29.0
2019-04-04 04:00:00,23.743149,29.0
2019-04-04 05:00:00,31.14043,32.0
2019-04-04 06:00:00,34.950844,47.0
2019-04-04 07:00:00,38.2607,49.0
2019-04-04 08:00:00,46.28335,49.0
2019-04-04 09:00:00,55.21813,51.0
2019-04-04 10:00:00,56.754078,52.0
2019-04-04 11:00:00,56.55661,54.0
2019-04-04 12:00:00,55.041233,56.0
2019-04-04 13:00:00,54.73599,57.0
2019-04-04 14:00:00,53.00475,59.0
2019-04-04 15:00:00,51.30435,58.0
2019-04-04 16:00:00,47.76122,45.0
2019-04-04 17:00:00,42.555424,42.0
2019-04-04 18:00:00,37.36671,41.0
2019-04-04 19:00:00,29.181616,41.0
2019-04-04 20:00:00,29.921034,42.0
2019-04-04 21:00:00,31.146938,42.0
2019-04-04 22:00:00,33.340458,42.0
2019-04-04 23:00:00,33.558704,42.0
2019-04-05 00:00:00,34.079502,41.0
2019-04-05 01:00:00,32.826122,38.0
2019-04-05 02:00:00,32.776196,37.0
2019-04-05 03:00:00,34.256702,34.0
2019-04-05 04:00:00,36.275772,23.0
2019-04-05 05:00:00,37.682156,33.0
2019-04-05 06:00:00,38.564426,37.0
2019-04-05 07:00:00,38.055477,41.0
2019-04-05 08:00:00,49.961887,43.0
2019-04-05 09:00:00,54.09007,42.0
2019-04-05 10:00:00,56.429745,52.0
2019-04-05 11:00:00,55.88057,59.0
2019-04-05 12:00:00,57.3428,62.0
2019-04-05 13:00:00,64.140686,63.0
2019-04-05 14:00:00,67.436005,62.0
2019-04-05 15:00:00,71.93227,60.0
2019-04-05 16:00:00,68.278915,58.0
2019-04-05 17:00:00,59.378475,54.0
2019-04-05 18:00:00,53.402363,47.0
2019-04-05 19:00:00,47.616398,59.0
2019-04-05 20:00:00,41.209797,76.0
2019-04-05 21:00:00,38.454994,77.0
2019-04-05 22:00:00,50.75496,64.0
2019-04-05 23:00:00,67.387634,49.0
2019-04-06 00:00:00,72.32739,55.0
2019-04-06 01:00:00,54.596603,49.0
2019-04-06 02:00:00,39.279472,42.0
2019-04-06 03:00:00,38.804405,39.0
2019-04-06 04:00:00,36.044064,32.0
2019-04-06 05:00:00,36.316284,49.0
2019-04-06 06:00:00,37.0774,55.0
2019-04-06 07:00:00,42.2877,60.0
2019-04-06 08:00:00,54.542324,64.0
2019-04-06 09:00:00,64.164635,69.0
2019-04-06 10:00:00,70.198135,74.0
2019-04-06 11:00:00,73.83841,76.0
2019-04-06 12:00:00,76.17964,81.0
2019-04-06 13:00:00,78.61569,82.0
2019-04-06 14:00:00,75.92952,82.0
2019-04-06 15:00:00,78.2128,76.0
2019-04-06 16:00:00,71.68486,53.0
2019-04-06 17:00:00,68.82007,46.0
2019-04-06 18:00:00,66.6181,44.0
2019-04-06 19:00:00,54.665325,42.0
2019-04-06 20:00:00,48.64709,43.0
2019-04-06 21:00:00,44.506638,43.0
2019-04-06 22:00:00,41.942104,39.0
2019-04-06 23:00:00,41.200237,39.0
2019-04-07 00:00:00,41.300755,38.0
2019-04-07 01:00:00,40.689434,39.0
2019-04-07 02:00:00,37.886112,37.0
2019-04-07 03:00:00,38.383873,36.0
2019-04-07 04:00:00,40.34489,35.0
2019-04-07 05:00:00,43.129436,38.0
2019-04-07 06:00:00,45.036827,49.0
2019-04-07 07:00:00,47.653896,53.0
2019-04-07 08:00:00,59.10235,57.0
2019-04-07 09:00:00,68.562836,62.0
2019-04-07 10:00:00,66.4389,67.0
2019-04-07 11:00:00,64.923035,70.0
2019-04-07 12:00:00,65.85126,68.0
2019-04-07 13:00:00,69.33386,68.0
2019-04-07 14:00:00,66.52057,73.0
2019-04-07 15:00:00,64.606384,74.0
2019-04-07 16:00:00,62.901653,65.0
2019-04-07 17:00:00,60.795197,51.0
2019-04-07 18:00:00,56.923367,42.0
2019-04-07 19:00:00,49.583157,40.0
2019-04-07 20:00:00,40.394928,36.0
2019-04-07 21:00:00,37.60036,34.0
2019-04-07 22:00:00,35.127804,34.5
2019-04-07 23:00:00,32.73709,35.0
2019-04-08 00:00:00,32.109974,34.0
2019-04-08 01:00:00,32.41788,30.0
2019-04-08 02:00:00,32.363834,42.0
2019-04-08 03:00:00,29.448366,43.0
2019-04-08 04:00:00,31.855396,37.0
2019-04-08 05:00:00,39.443157,36.0
2019-04-08 06:00:00,43.042038,37.0
2019-04-08 07:00:00,39.51939,41.0
2019-04-08 08:00:00,40.472195,39.0
2019-04-08 09:00:00,43.3776,36.0
2019-04-08 10:00:00,47.48856,42.0
2019-04-08 11:00:00,45.816105,44.0
2019-04-08 12:00:00,44.134327,43.0
2019-04-08 13:00:00,44.92584,36.0
2019-04-08 14:00:00,44.405807,30.0
2019-04-08 15:00:00,40.96329,29.0
2019-04-08 16:00:00,37.443783,29.0
2019-04-08 17:00:00,30.621445,29.0
2019-04-08 18:00:00,29.971518,33.0
2019-04-08 19:00:00,28.12307,30.0
2019-04-08 20:00:00,29.693808,27.0
2019-04-08 21:00:00,31.415436,28.0
2019-04-08 22:00:00,32.5879,29.0
2019-04-08 23:00:00,33.467007,27.0
2019-04-09 00:00:00,33.158047,24.0
2019-04-09 01:00:00,32.77819,41.0
2019-04-09 02:00:00,32.192863,45.0
2019-04-09 03:00:00,31.499035,46.0
2019-04-09 04:00:00,42.2662,44.0
2019-04-09 05:00:00,47.876675,47.0
2019-04-09 06:00:00,52.06539,49.0
2019-04-09 07:00:00,54.01827,49.0
2019-04-09 08:00:00,56.515163,49.0
2019-04-09 09:00:00,58.945614,49.0
2019-04-09 10:00:00,61.910816,50.0
2019-04-09 11:00:00,57.057644,51.0
2019-04-09 12:00:00,54.80392,52.0
2019-04-09 13:00:00,52.049297,51.0
