,AllFeatures_high_10,AllFeatures_high_20,AllFeatures_high_30,mergefeatures
ê¢ìcíJãÊê¢ìcíJ_lag=1,"['OX_01', 'TEMP_01', 'HUM_01', 'OX_03', 'OX_05', 'OX_06', 'OX_23', 'TEMP_03', 'TEMP_04', 'NO2_01']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_03', 'OX_05', 'OX_06', 'OX_23', 'TEMP_03', 'TEMP_04', 'NO2_01', 'OX_20', 'SPM_22', 'NO2_02', 'NOX_02', 'SPM_01', 'PM25_01', 'TEMP_02', 'TEMP_22', 'OX_15', 'NOX_01']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_03', 'OX_05', 'OX_06', 'OX_23', 'TEMP_03', 'TEMP_04', 'NO2_01', 'OX_20', 'SPM_22', 'NO2_02', 'NOX_02', 'SPM_01', 'PM25_01', 'TEMP_02', 'TEMP_22', 'OX_15', 'NOX_01', 'SPM_02', 'OX_04', 'OX_19', 'OX_09', 'OX_21', 'WS_02', 'NMHC_02', 'OX_24', 'TEMP_19', 'TEMP_23']","['NO2_01', 'TEMP_16', 'TEMP_12', 'OX_05', 'OX_15', 'SPM_22', 'TEMP_08', 'OX_06', 'TEMP_01', 'SPM_01', 'PM25_01', 'TEMP_22', 'TEMP_23', 'OX_03', 'NOX_01', 'TEMP_02', 'OX_01', 'NO2_02', 'TEMP_03', 'OX_23', 'NOX_02', 'TEMP_05', 'TEMP_04', 'OX_20', 'HUM_02', 'OX_02', 'HUM_01', 'WS_01']"
ê¢ìcíJãÊê¢ìcíJ_lag=2,"['OX_01', 'TEMP_01', 'HUM_01', 'OX_04', 'OX_05', 'TEMP_04', 'OX_03', 'TEMP_03', 'OX_19', 'OX_20']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_04', 'OX_05', 'TEMP_04', 'OX_03', 'TEMP_03', 'OX_19', 'OX_20', 'OX_23', 'SPM_21', 'TEMP_22', 'OX_22', 'WS_02', 'OX_06', 'SPM_22', 'TEMP_21', 'SPM_01', 'OX_21']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_04', 'OX_05', 'TEMP_04', 'OX_03', 'TEMP_03', 'OX_19', 'OX_20', 'OX_23', 'SPM_21', 'TEMP_22', 'OX_22', 'WS_02', 'OX_06', 'SPM_22', 'TEMP_21', 'SPM_01', 'OX_21', 'TEMP_19', 'WD_03', 'PM25_01', 'OX_14', 'NO2_01', 'OX_24', 'WS_01', 'OX_18', 'TEMP_08', 'TEMP_18']","['NO2_01', 'TEMP_16', 'TEMP_24', 'OX_05', 'OX_22', 'SPM_22', 'OX_19', 'OX_06', 'TEMP_01', 'SPM_01', 'SPM_21', 'TEMP_21', 'TEMP_22', 'TEMP_23', 'OX_03', 'NOX_01', 'TEMP_02', 'OX_21', 'OX_01', 'OX_04', 'WS_02', 'TEMP_03', 'OX_23', 'TEMP_15', 'NOX_02', 'TEMP_05', 'TEMP_04', 'OX_20', 'OX_02', 'HUM_01', 'WS_01', 'TEMP_11']"
ê¢ìcíJãÊê¢ìcíJ_lag=3,"['OX_01', 'TEMP_01', 'HUM_01', 'OX_04', 'OX_03', 'OX_05', 'OX_18', 'TEMP_03', 'TEMP_21', 'TEMP_22']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_04', 'OX_03', 'OX_05', 'OX_18', 'TEMP_03', 'TEMP_21', 'TEMP_22', 'OX_19', 'TEMP_20', 'OX_21', 'OX_23', 'SPM_21', 'TEMP_04', 'OX_22', 'WS_01', 'OX_20', 'SPM_20']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_04', 'OX_03', 'OX_05', 'OX_18', 'TEMP_03', 'TEMP_21', 'TEMP_22', 'OX_19', 'TEMP_20', 'OX_21', 'OX_23', 'SPM_21', 'TEMP_04', 'OX_22', 'WS_01', 'OX_20', 'SPM_20', 'SPM_01', 'TEMP_19', 'TEMP_18', 'TEMP_24', 'OX_17', 'WD_02', 'WS_02', 'TEMP_07', 'WD_03', 'PM25_01']","['NO2_01', 'TEMP_24', 'OX_05', 'OX_22', 'SPM_20', 'OX_19', 'OX_18', 'TEMP_01', 'SPM_21', 'TEMP_21', 'TEMP_22', 'OX_03', 'NOX_01', 'TEMP_02', 'OX_21', 'OX_01', 'OX_04', 'TEMP_03', 'OX_23', 'TEMP_15', 'TEMP_20', 'TEMP_05', 'TEMP_06', 'TEMP_19', 'TEMP_04', 'OX_20', 'OX_02', 'HUM_01', 'TEMP_10', 'WS_01']"
ëΩñÄésà§ìÜ_lag=1,"['OX_01', 'TEMP_01', 'HUM_01', 'OX_03', 'OX_04', 'TEMP_03', 'SPM_01', 'TEMP_02', 'OX_06', 'TEMP_04']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_03', 'OX_04', 'TEMP_03', 'SPM_01', 'TEMP_02', 'OX_06', 'TEMP_04', 'OX_23', 'TEMP_05', 'OX_17', 'SPM_14', 'SPM_18', 'OX_20', 'HUM_02', 'OX_19', 'SPM_17', 'OX_21']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_03', 'OX_04', 'TEMP_03', 'SPM_01', 'TEMP_02', 'OX_06', 'TEMP_04', 'OX_23', 'TEMP_05', 'OX_17', 'SPM_14', 'SPM_18', 'OX_20', 'HUM_02', 'OX_19', 'SPM_17', 'OX_21', 'OX_09', 'TEMP_18', 'HUM_08', 'OX_18', 'WS_02', 'TEMP_09', 'HUM_07', 'OX_08', 'SPM_12', 'TEMP_24']","['NO2_01', 'TEMP_09', 'OX_19', 'OX_06', 'TEMP_01', 'SPM_01', 'TEMP_22', 'TEMP_23', 'OX_03', 'OX_17', 'TEMP_02', 'OX_21', 'OX_01', 'OX_04', 'SPM_18', 'NO2_02', 'TEMP_03', 'OX_23', 'NOX_02', 'TEMP_05', 'TEMP_06', 'HUM_03', 'SPM_14', 'TEMP_04', 'OX_20', 'HUM_02', 'SPM_17', 'HUM_01', 'TEMP_10', 'WS_01']"
ëΩñÄésà§ìÜ_lag=2,"['OX_01', 'TEMP_01', 'OX_03', 'HUM_01', 'TEMP_04', 'TEMP_05', 'TEMP_03', 'OX_04', 'SPM_01', 'OX_17']","['OX_01', 'TEMP_01', 'OX_03', 'HUM_01', 'TEMP_04', 'TEMP_05', 'TEMP_03', 'OX_04', 'SPM_01', 'OX_17', 'OX_18', 'SPM_14', 'OX_16', 'TEMP_18', 'WS_01', 'OX_20', 'OX_22', 'SPM_17', 'OX_19', 'TEMP_24']","['OX_01', 'TEMP_01', 'OX_03', 'HUM_01', 'TEMP_04', 'TEMP_05', 'TEMP_03', 'OX_04', 'SPM_01', 'OX_17', 'OX_18', 'SPM_14', 'OX_16', 'TEMP_18', 'WS_01', 'OX_20', 'OX_22', 'SPM_17', 'OX_19', 'TEMP_24', 'HUM_07', 'HUM_06', 'WS_02', 'OX_21', 'TEMP_17', 'TEMP_08', 'SPM_11', 'SPM_15', 'OX_08', 'OX_05']","['TEMP_24', 'OX_22', 'OX_19', 'OX_18', 'TEMP_01', 'SPM_01', 'TEMP_21', 'TEMP_22', 'TEMP_23', 'OX_03', 'OX_17', 'TEMP_02', 'OX_01', 'OX_04', 'TEMP_03', 'TEMP_05', 'OX_16', 'TEMP_06', 'HUM_03', 'SPM_14', 'TEMP_04', 'OX_20', 'OX_02', 'HUM_02', 'SPM_17', 'HUM_01', 'TEMP_18', 'WS_01']"
ëΩñÄésà§ìÜ_lag=3,"['OX_01', 'TEMP_01', 'HUM_01', 'OX_03', 'TEMP_04', 'TEMP_03', 'OX_17', 'TEMP_05', 'SPM_01', 'WS_01']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_03', 'TEMP_04', 'TEMP_03', 'OX_17', 'TEMP_05', 'SPM_01', 'WS_01', 'TEMP_24', 'OX_18', 'OX_16', 'TEMP_17', 'SPM_14', 'TEMP_06', 'TEMP_18', 'OX_21', 'HUM_06', 'OX_19']","['OX_01', 'TEMP_01', 'HUM_01', 'OX_03', 'TEMP_04', 'TEMP_03', 'OX_17', 'TEMP_05', 'SPM_01', 'WS_01', 'TEMP_24', 'OX_18', 'OX_16', 'TEMP_17', 'SPM_14', 'TEMP_06', 'TEMP_18', 'OX_21', 'HUM_06', 'OX_19', 'OX_04', 'OX_20', 'TEMP_07', 'SPM_13', 'TEMP_20', 'OX_15', 'OX_09', 'TEMP_19', 'OX_02', 'HUM_02']","['TEMP_24', 'OX_15', 'OX_19', 'OX_18', 'TEMP_01', 'SPM_01', 'TEMP_21', 'TEMP_22', 'TEMP_23', 'OX_03', 'OX_17', 'OX_21', 'TEMP_02', 'OX_01', 'TEMP_17', 'TEMP_03', 'TEMP_20', 'TEMP_05', 'TEMP_06', 'OX_16', 'TEMP_19', 'SPM_14', 'TEMP_04', 'HUM_06', 'OX_02', 'TEMP_07', 'HUM_01', 'TEMP_18', 'WS_01']"
ìåíÅïÉ_lag=1,"['OX_01', 'HUM_01', 'TEMP_01', 'SPM_01', 'OX_03', 'TEMP_02', 'HUM_22', 'PM25_05', 'TEMP_04', 'PM25_22']","['OX_01', 'HUM_01', 'TEMP_01', 'SPM_01', 'OX_03', 'TEMP_02', 'HUM_22', 'PM25_05', 'TEMP_04', 'PM25_22', 'TEMP_12', 'OX_08', 'OX_05', 'PM25_15', 'TEMP_11', 'OX_06', 'WD_01', 'TEMP_19', 'PM25_02', 'SPM_24']","['OX_01', 'HUM_01', 'TEMP_01', 'SPM_01', 'OX_03', 'TEMP_02', 'HUM_22', 'PM25_05', 'TEMP_04', 'PM25_22', 'TEMP_12', 'OX_08', 'OX_05', 'PM25_15', 'TEMP_11', 'OX_06', 'WD_01', 'TEMP_19', 'PM25_02', 'SPM_24', 'TEMP_03', 'PM25_04', 'PM25_09', 'PM25_20', 'PM25_14', 'SPM_14', 'TEMP_16', 'OX_10', 'TEMP_24', 'OX_22']","['TEMP_12', 'TEMP_24', 'OX_05', 'PM25_05', 'TEMP_08', 'PM25_22', 'PM25_15', 'HUM_04', 'OX_06', 'TEMP_01', 'SPM_01', 'TEMP_23', 'OX_03', 'TEMP_02', 'OX_01', 'HUM_22', 'TEMP_03', 'WD_01', 'PM25_02', 'TEMP_20', 'TEMP_06', 'HUM_03', 'TEMP_19', 'TEMP_04', 'OX_02', 'HUM_01', 'OX_08', 'SPM_24', 'TEMP_11']"
ìåíÅïÉ_lag=2,"['OX_01', 'HUM_01', 'TEMP_01', 'SPM_01', 'PM25_04', 'PM25_05', 'HUM_21', 'PM25_21', 'OX_06', 'TEMP_11']","['OX_01', 'HUM_01', 'TEMP_01', 'SPM_01', 'PM25_04', 'PM25_05', 'HUM_21', 'PM25_21', 'OX_06', 'TEMP_11', 'OX_07', 'PM25_15', 'PM25_14', 'TEMP_12', 'OX_05', 'PM25_01', 'HUM_20', 'WD_01', 'TEMP_13', 'WD_02']","['OX_01', 'HUM_01', 'TEMP_01', 'SPM_01', 'PM25_04', 'PM25_05', 'HUM_21', 'PM25_21', 'OX_06', 'TEMP_11', 'OX_07', 'PM25_15', 'PM25_14', 'TEMP_12', 'OX_05', 'PM25_01', 'HUM_20', 'WD_01', 'TEMP_13', 'WD_02', 'PM25_22', 'PM25_13', 'PM25_03', 'TEMP_14', 'OX_03', 'TEMP_03', 'TEMP_04', 'HUM_15', 'HUM_02', 'TEMP_15']","['TEMP_24', 'TEMP_12', 'OX_05', 'PM25_21', 'PM25_05', 'PM25_04', 'PM25_15', 'OX_07', 'OX_06', 'TEMP_13', 'PM25_14', 'TEMP_01', 'SPM_01', 'PM25_01', 'TEMP_23', 'TEMP_02', 'HUM_21', 'OX_01', 'OX_04', 'WD_02', 'TEMP_20', 'TEMP_05', 'TEMP_06', 'HUM_20', 'OX_02', 'HUM_01', 'WD_01', 'TEMP_10', 'TEMP_11']"
ìåíÅïÉ_lag=3,"['OX_01', 'HUM_01', 'TEMP_01', 'SPM_01', 'OX_06', 'PM25_04', 'TEMP_02', 'HUM_20', 'PM25_14', 'TEMP_11']","['OX_01', 'HUM_01', 'TEMP_01', 'SPM_01', 'OX_06', 'PM25_04', 'TEMP_02', 'HUM_20', 'PM25_14', 'TEMP_11', 'WD_01', 'OX_05', 'PM25_03', 'TEMP_12', 'PM25_13', 'PM25_22', 'PM25_05', 'TEMP_13', 'PM25_21', 'TEMP_14']","['OX_01', 'HUM_01', 'TEMP_01', 'SPM_01', 'OX_06', 'PM25_04', 'TEMP_02', 'HUM_20', 'PM25_14', 'TEMP_11', 'WD_01', 'OX_05', 'PM25_03', 'TEMP_12', 'PM25_13', 'PM25_22', 'PM25_05', 'TEMP_13', 'PM25_21', 'TEMP_14', 'HUM_19', 'HUM_21', 'HUM_02', 'OX_04', 'TEMP_10', 'PM25_15', 'TEMP_03', 'PM25_20', 'OX_07', 'PM25_01']","['TEMP_24', 'TEMP_12', 'OX_05', 'PM25_21', 'TEMP_09', 'SPM_02', 'PM25_05', 'PM25_22', 'PM25_04', 'OX_06', 'TEMP_13', 'PM25_14', 'TEMP_01', 'SPM_01', 'TEMP_14', 'TEMP_23', 'OX_03', 'TEMP_02', 'OX_01', 'OX_04', 'TEMP_05', 'PM25_13', 'TEMP_06', 'HUM_20', 'TEMP_19', 'TEMP_04', 'OX_02', 'PM25_03', 'HUM_01', 'WD_01', 'TEMP_10', 'TEMP_11']"
ê¬î~ésìåê¬î~_lag=1,"['OX_01', 'TEMP_01', 'HUM_01', 'TEMP_02', 'HUM_02', 'OX_03', 'TEMP_08', 'OX_23', 'OX_19', 'WS_02']","['OX_01', 'TEMP_01', 'HUM_01', 'TEMP_02', 'HUM_02', 'OX_03', 'TEMP_08', 'OX_23', 'OX_19', 'WS_02', 'TEMP_03', 'TEMP_09', 'HUM_24', 'HUM_09', 'TEMP_21', 'OX_11', 'OX_24', 'TEMP_13', 'SPM_02', 'TEMP_15']","['OX_01', 'TEMP_01', 'HUM_01', 'TEMP_02', 'HUM_02', 'OX_03', 'TEMP_08', 'OX_23', 'OX_19', 'WS_02', 'TEMP_03', 'TEMP_09', 'HUM_24', 'HUM_09', 'TEMP_21', 'OX_11', 'OX_24', 'TEMP_13', 'SPM_02', 'TEMP_15', 'OX_04', 'HUM_07', 'OX_02', 'OX_09', 'PM25_01', 'OX_21', 'HUM_06', 'HUM_05', 'SPM_01', 'TEMP_24']","['TEMP_16', 'TEMP_09', 'SPM_02', 'TEMP_08', 'OX_11', 'OX_19', 'TEMP_13', 'TEMP_01', 'TEMP_14', 'TEMP_21', 'TEMP_23', 'OX_03', 'TEMP_02', 'OX_01', 'WS_02', 'TEMP_03', 'OX_23', 'HUM_24', 'TEMP_15', 'TEMP_05', 'HUM_03', 'TEMP_04', 'HUM_02', 'OX_24', 'HUM_09', 'HUM_01', 'WD_01', 'WS_01']"
