,predict,obs
2019-04-01 00:00:00,42.12352,43.0
2019-04-01 01:00:00,40.611977,44.0
2019-04-01 02:00:00,40.6795,40.0
2019-04-01 03:00:00,41.26866,39.0
2019-04-01 04:00:00,38.493225,37.0
2019-04-01 05:00:00,36.39014,40.0
2019-04-01 06:00:00,36.64743,42.0
2019-04-01 07:00:00,41.98149,46.0
2019-04-01 08:00:00,44.80352,46.0
2019-04-01 09:00:00,49.066822,49.0
2019-04-01 10:00:00,49.11583,52.0
2019-04-01 11:00:00,52.77146,46.0
2019-04-01 12:00:00,54.395447,42.0
2019-04-01 13:00:00,49.270027,50.0
2019-04-01 14:00:00,42.563362,52.0
2019-04-01 15:00:00,49.46,46.0
2019-04-01 16:00:00,48.810898,40.0
2019-04-01 17:00:00,42.79776,38.0
2019-04-01 18:00:00,37.489857,40.0
2019-04-01 19:00:00,35.70733,46.0
2019-04-01 20:00:00,33.888885,41.0
2019-04-01 21:00:00,36.048275,43.0
2019-04-01 22:00:00,31.093462,42.0
2019-04-01 23:00:00,43.163635,43.0
2019-04-02 00:00:00,39.901733,45.0
2019-04-02 01:00:00,40.6445,42.0
2019-04-02 02:00:00,40.14553,37.0
2019-04-02 03:00:00,38.194374,35.0
2019-04-02 04:00:00,32.103462,37.0
2019-04-02 05:00:00,43.445328,41.0
2019-04-02 06:00:00,43.42772,41.0
2019-04-02 07:00:00,48.66871,47.0
2019-04-02 08:00:00,53.593113,48.0
2019-04-02 09:00:00,56.479687,50.0
2019-04-02 10:00:00,55.708252,50.0
2019-04-02 11:00:00,56.292973,48.0
2019-04-02 12:00:00,53.757233,44.0
2019-04-02 13:00:00,53.07637,46.0
2019-04-02 14:00:00,51.96169,45.0
2019-04-02 15:00:00,48.66393,46.0
2019-04-02 16:00:00,45.296356,45.0
2019-04-02 17:00:00,46.741074,48.0
2019-04-02 18:00:00,47.222775,47.0
2019-04-02 19:00:00,44.51457,47.0
2019-04-02 20:00:00,44.982666,45.0
2019-04-02 21:00:00,45.29358,42.0
2019-04-02 22:00:00,44.697968,41.0
2019-04-02 23:00:00,42.350708,41.0
2019-04-03 00:00:00,40.013676,39.0
2019-04-03 01:00:00,37.40175,40.0
2019-04-03 02:00:00,38.700737,43.0
2019-04-03 03:00:00,40.36947,42.0
2019-04-03 04:00:00,41.384,40.0
2019-04-03 05:00:00,41.66664,38.0
2019-04-03 06:00:00,41.348778,42.0
2019-04-03 07:00:00,42.03743,46.0
2019-04-03 08:00:00,50.35859,45.0
2019-04-03 09:00:00,55.984165,44.0
2019-04-03 10:00:00,52.710907,49.0
2019-04-03 11:00:00,52.197,51.0
2019-04-03 12:00:00,53.638412,51.0
2019-04-03 13:00:00,56.12869,51.0
2019-04-03 14:00:00,52.73307,51.0
2019-04-03 15:00:00,52.36561,51.0
2019-04-03 16:00:00,51.555267,50.0
2019-04-03 17:00:00,50.361073,49.0
2019-04-03 18:00:00,48.901703,47.0
2019-04-03 19:00:00,46.2165,45.0
2019-04-03 20:00:00,45.884796,44.0
2019-04-03 21:00:00,40.52932,43.0
2019-04-03 22:00:00,37.951805,43.0
2019-04-03 23:00:00,41.04107,40.0
2019-04-04 00:00:00,40.155342,37.0
2019-04-04 01:00:00,34.603893,35.0
2019-04-04 02:00:00,28.65587,27.0
2019-04-04 03:00:00,27.557507,11.0
2019-04-04 04:00:00,22.543602,7.0
2019-04-04 05:00:00,17.176046,14.0
2019-04-04 06:00:00,17.798023,22.0
2019-04-04 07:00:00,27.56314,31.0
2019-04-04 08:00:00,36.49265,43.0
2019-04-04 09:00:00,50.64871,46.0
2019-04-04 10:00:00,57.29531,47.0
2019-04-04 11:00:00,54.759735,44.0
2019-04-04 12:00:00,51.54486,52.0
