,obs,predict
2019-04-01 00:00:00,45.0,45.37218094
2019-04-01 01:00:00,42.0,45.85577774
2019-04-01 02:00:00,37.0,40.8955574
2019-04-01 03:00:00,35.0,37.71071243
2019-04-01 04:00:00,37.0,37.66798019
2019-04-01 05:00:00,41.0,41.39127731
2019-04-01 06:00:00,41.0,45.01067734
2019-04-01 07:00:00,47.0,45.0020752
2019-04-01 08:00:00,48.0,50.9995842
2019-04-01 09:00:00,50.0,51.93689346
2019-04-01 10:00:00,50.0,53.25817871
2019-04-01 11:00:00,48.0,51.97215271
2019-04-01 12:00:00,44.0,49.89555359
2019-04-01 13:00:00,46.0,43.50759506
2019-04-01 14:00:00,45.0,47.24077225
2019-04-01 15:00:00,46.0,48.08086395
2019-04-01 16:00:00,45.0,47.01238251
2019-04-01 17:00:00,48.0,44.67262268
2019-04-01 18:00:00,47.0,45.04465103
2019-04-01 19:00:00,47.0,44.57734299
2019-04-01 20:00:00,45.0,46.27798462
2019-04-01 21:00:00,42.0,46.41884613
2019-04-01 22:00:00,41.0,44.98680115
2019-04-01 23:00:00,41.0,44.42710114
2019-04-02 00:00:00,39.0,43.44404221
2019-04-02 01:00:00,40.0,41.75233841
2019-04-02 02:00:00,43.0,41.89819717
2019-04-02 03:00:00,42.0,42.97425842
2019-04-02 04:00:00,40.0,41.75851822
2019-04-02 05:00:00,38.0,40.89458466
2019-04-02 06:00:00,42.0,42.15435791
2019-04-02 07:00:00,46.0,45.74634171
2019-04-02 08:00:00,45.0,48.41828918
2019-04-02 09:00:00,44.0,47.49606323
2019-04-02 10:00:00,49.0,47.13487625
2019-04-02 11:00:00,51.0,51.21529388
2019-04-02 12:00:00,51.0,52.86573792
2019-04-02 13:00:00,51.0,52.29067993
2019-04-02 14:00:00,51.0,51.32477188
2019-04-02 15:00:00,51.0,50.84814835
2019-04-02 16:00:00,50.0,49.66819
2019-04-02 17:00:00,49.0,47.64291763
2019-04-02 18:00:00,47.0,46.27527237
2019-04-02 19:00:00,45.0,44.28786469
2019-04-02 20:00:00,44.0,44.01961899
2019-04-02 21:00:00,43.0,43.71537018
2019-04-02 22:00:00,43.0,43.38770294
2019-04-02 23:00:00,40.0,44.09039688
2019-04-03 00:00:00,37.0,41.36512375
2019-04-03 01:00:00,35.0,39.19363785
2019-04-03 02:00:00,27.0,36.4034996
2019-04-03 03:00:00,11.0,27.81152725
2019-04-03 04:00:00,7.0,9.630926132
2019-04-03 05:00:00,14.0,9.372536659
2019-04-03 06:00:00,22.0,21.11481667
2019-04-03 07:00:00,31.0,29.89508057
2019-04-03 08:00:00,43.0,39.84013748
2019-04-03 09:00:00,46.0,47.57546997
2019-04-03 10:00:00,47.0,48.66043854
2019-04-03 11:00:00,44.0,50.93998718
2019-04-03 12:00:00,52.0,46.23497391
2019-04-03 13:00:00,58.0,53.91983795
2019-04-03 14:00:00,56.0,59.51978302
2019-04-03 15:00:00,59.0,55.32806015
2019-04-03 16:00:00,61.0,57.40249252
2019-04-03 17:00:00,58.0,57.09863281
2019-04-03 18:00:00,52.0,53.70847702
2019-04-03 19:00:00,46.0,46.04682159
2019-04-03 20:00:00,41.0,37.39166641
2019-04-03 21:00:00,28.0,33.20209503
2019-04-03 22:00:00,22.0,12.5390234
2019-04-03 23:00:00,17.0,10.74489689
2019-04-04 00:00:00,12.0,21.51652718
2019-04-04 01:00:00,7.0,22.38937378
2019-04-04 02:00:00,6.0,2.694895744
2019-04-04 03:00:00,4.0,4.729829788
2019-04-04 04:00:00,4.0,9.340798378
2019-04-04 05:00:00,9.0,10.05988312
2019-04-04 06:00:00,20.0,15.36618519
2019-04-04 07:00:00,28.0,31.3517189
2019-04-04 08:00:00,34.0,36.57996368
2019-04-04 09:00:00,46.0,41.42436981
2019-04-04 10:00:00,58.0,52.484272
2019-04-04 11:00:00,63.0,59.20482635
2019-04-04 12:00:00,63.0,63.96866989
2019-04-04 13:00:00,64.0,61.28615189
2019-04-04 14:00:00,64.0,60.69839096
2019-04-04 15:00:00,63.0,60.80249405
2019-04-04 16:00:00,62.0,59.39792633
2019-04-04 17:00:00,60.0,57.98445511
2019-04-04 18:00:00,57.0,59.0934639
2019-04-04 19:00:00,57.0,57.96905518
2019-04-04 20:00:00,58.0,58.28371048
2019-04-04 21:00:00,59.0,58.65778732
2019-04-04 22:00:00,58.0,56.63731766
2019-04-04 23:00:00,56.0,53.87712097
2019-04-05 00:00:00,50.0,52.34217453
2019-04-05 01:00:00,64.0,42.12824631
2019-04-05 02:00:00,63.0,62.39614487
2019-04-05 03:00:00,59.0,57.13237762
2019-04-05 04:00:00,58.0,53.62451553
2019-04-05 05:00:00,55.0,55.24207687
2019-04-05 06:00:00,53.0,53.82204056
2019-04-05 07:00:00,55.0,51.92924881
2019-04-05 08:00:00,57.0,55.12843704
2019-04-05 09:00:00,61.0,57.44046402
2019-04-05 10:00:00,67.0,61.77970886
2019-04-05 11:00:00,71.0,66.10718536
2019-04-05 12:00:00,69.0,69.37619019
2019-04-05 13:00:00,76.0,69.26635742
2019-04-05 14:00:00,78.0,75.5332489
2019-04-05 15:00:00,79.0,72.25902557
2019-04-05 16:00:00,69.0,71.68893433
2019-04-05 17:00:00,62.0,60.8823967
2019-04-05 18:00:00,53.0,56.23879242
2019-04-05 19:00:00,51.0,52.74417114
2019-04-05 20:00:00,47.0,50.38924789
2019-04-05 21:00:00,44.0,47.88600922
2019-04-05 22:00:00,42.0,45.2440567
2019-04-05 23:00:00,43.0,43.6811409
2019-04-06 00:00:00,43.0,43.43978119
2019-04-06 01:00:00,42.0,44.76029968
2019-04-06 02:00:00,42.0,42.8068161
2019-04-06 03:00:00,38.0,43.85412216
2019-04-06 04:00:00,37.0,39.06442642
2019-04-06 05:00:00,36.0,38.67389297
2019-04-06 06:00:00,37.0,39.58052444
2019-04-06 07:00:00,40.0,42.28580475
2019-04-06 08:00:00,46.0,46.66709518
2019-04-06 09:00:00,53.0,52.54091263
2019-04-06 10:00:00,60.0,59.67770004
2019-04-06 11:00:00,67.0,63.54963303
2019-04-06 12:00:00,72.0,69.82137299
2019-04-06 13:00:00,77.0,76.14565277
2019-04-06 14:00:00,78.0,79.28284454
2019-04-06 15:00:00,74.0,77.47353363
2019-04-06 16:00:00,65.0,68.82261658
2019-04-06 17:00:00,52.0,56.20721436
2019-04-06 18:00:00,57.0,39.70532227
2019-04-06 19:00:00,51.0,57.59580612
2019-04-06 20:00:00,50.0,46.75392532
2019-04-06 21:00:00,39.0,43.58100891
2019-04-06 22:00:00,35.0,32.58919144
2019-04-06 23:00:00,41.0,33.34773254
2019-04-07 00:00:00,45.0,43.38105011
2019-04-07 01:00:00,52.0,49.22012329
2019-04-07 02:00:00,52.0,56.64704132
2019-04-07 03:00:00,51.0,54.26290512
2019-04-07 04:00:00,49.0,53.28845596
2019-04-07 05:00:00,46.0,48.26247025
2019-04-07 06:00:00,41.0,44.61245728
2019-04-07 07:00:00,40.0,40.04046249
2019-04-07 08:00:00,42.0,41.20415497
2019-04-07 09:00:00,43.0,45.48466873
2019-04-07 10:00:00,42.0,46.23820114
2019-04-07 11:00:00,44.0,45.29182434
2019-04-07 12:00:00,45.0,47.98244476
2019-04-07 13:00:00,43.0,47.84796906
2019-04-07 14:00:00,37.0,43.82190323
2019-04-07 15:00:00,39.0,34.90758514
2019-04-07 16:00:00,37.0,38.11386108
2019-04-07 17:00:00,40.0,33.67879868
2019-04-07 18:00:00,39.0,37.54955292
2019-04-07 19:00:00,34.0,38.06427383
2019-04-07 20:00:00,36.0,34.55379486
2019-04-07 21:00:00,35.0,37.73165512
2019-04-07 22:00:00,36.0,38.85969162
2019-04-07 23:00:00,36.0,40.06183243
2019-04-08 00:00:00,37.0,38.11861801
2019-04-08 01:00:00,34.0,39.06835556
2019-04-08 02:00:00,37.0,36.03669739
2019-04-08 03:00:00,42.0,39.6860466
2019-04-08 04:00:00,39.0,43.72181702
2019-04-08 05:00:00,40.0,40.79991531
2019-04-08 06:00:00,40.0,44.37245941
2019-04-08 07:00:00,46.0,44.19934082
2019-04-08 08:00:00,49.0,50.77833557
2019-04-08 09:00:00,50.0,52.34542084
2019-04-08 10:00:00,52.0,53.44038773
2019-04-08 11:00:00,53.0,53.50907135
2019-04-08 12:00:00,52.0,54.08784485
2019-04-08 13:00:00,51.0,52.92457962
2019-04-08 14:00:00,51.0,51.11507034
2019-04-08 15:00:00,49.0,50.6795845
2019-04-08 16:00:00,48.0,48.82357788
2019-04-08 17:00:00,47.0,48.38447952
2019-04-08 18:00:00,46.0,47.53057861
2019-04-08 19:00:00,44.0,46.12896347
2019-04-08 20:00:00,42.0,44.07835007
2019-04-08 21:00:00,37.0,42.42964554
2019-04-08 22:00:00,35.0,36.89024734
2019-04-08 23:00:00,33.0,34.06558609
2019-04-09 00:00:00,31.0,33.92775726
2019-04-09 01:00:00,28.0,32.66627121
2019-04-09 02:00:00,29.0,28.42444801
2019-04-09 03:00:00,32.0,31.32903099
2019-04-09 04:00:00,27.0,31.76929855
2019-04-09 05:00:00,24.0,25.06581497
2019-04-09 06:00:00,24.0,23.39854813
2019-04-09 07:00:00,24.0,24.53962135
2019-04-09 08:00:00,23.0,27.34387207
2019-04-09 09:00:00,22.0,25.54144669
2019-04-09 10:00:00,22.0,23.01640892
2019-04-09 11:00:00,24.0,20.16404343
2019-04-09 12:00:00,24.0,20.75414085
2019-04-09 13:00:00,25.0,20.35584641
2019-04-09 14:00:00,27.0,20.94483566
2019-04-09 15:00:00,26.0,22.17094612
2019-04-09 16:00:00,21.0,19.60703278
2019-04-09 17:00:00,18.0,16.92089081
2019-04-09 18:00:00,20.0,15.6353302
2019-04-09 19:00:00,19.0,17.46326637
2019-04-09 20:00:00,27.0,17.33233643
2019-04-09 21:00:00,35.0,26.64514923
2019-04-09 22:00:00,38.0,33.58760452
2019-04-09 23:00:00,38.5,37.39814377
2019-04-10 00:00:00,39.0,37.90864563
2019-04-10 01:00:00,39.0,38.77130127
2019-04-10 02:00:00,38.0,38.23354721
2019-04-10 03:00:00,34.0,36.67009354
2019-04-10 04:00:00,30.0,34.52702332
2019-04-10 05:00:00,30.0,33.48431396
2019-04-10 06:00:00,40.0,35.68875885
2019-04-10 07:00:00,44.0,43.29957581
2019-04-10 08:00:00,45.0,43.17345428
2019-04-10 09:00:00,47.0,44.61219025
2019-04-10 10:00:00,48.0,46.50182343
2019-04-10 11:00:00,49.0,46.23206711
2019-04-10 12:00:00,49.0,46.16609192
2019-04-10 13:00:00,49.0,45.94012833
2019-04-10 14:00:00,47.0,44.67469025
2019-04-10 15:00:00,46.0,40.9865303
2019-04-10 16:00:00,44.0,40.63788223
2019-04-10 17:00:00,43.0,39.19179153
2019-04-10 18:00:00,45.0,40.90979767
2019-04-10 19:00:00,47.0,42.30651474
2019-04-10 20:00:00,45.0,44.25488281
2019-04-10 21:00:00,44.0,42.89974594
2019-04-10 22:00:00,45.0,42.95530701
2019-04-10 23:00:00,47.0,43.17945099
2019-04-11 00:00:00,43.0,44.95283508
