,obs,predict
2019/4/2 3:00,39,37.94106674
2019/4/2 4:00,30,35.62155533
2019/4/2 5:00,25,33.62564468
2019/4/2 6:00,26,34.44689178
2019/4/2 7:00,36,34.98758698
2019/4/2 8:00,39,42.70571136
2019/4/2 9:00,42,49.98142242
2019/4/2 10:00,46,55.10005569
2019/4/2 11:00,51,53.73460007
2019/4/2 12:00,49,56.19864655
2019/4/2 13:00,51,55.79715729
2019/4/2 14:00,48,58.47461319
2019/4/2 15:00,49,54.97544098
2019/4/2 16:00,49,51.0960083
2019/4/2 17:00,50,46.26886749
2019/4/2 18:00,48,46.55063629
2019/4/2 19:00,46,43.34520721
2019/4/2 20:00,45,40.6097374
2019/4/2 21:00,43,37.991745
2019/4/2 22:00,40,37.38388824
2019/4/2 23:00,37,34.79735565
2019/4/3 0:00,37,32.79090118
2019/4/3 1:00,35,34.31972122
2019/4/3 2:00,35,25.08615494
2019/4/3 3:00,28,26.78634071
2019/4/3 4:00,29,23.83229828
2019/4/3 5:00,25,23.95939445
2019/4/3 6:00,29,19.4620285
2019/4/3 7:00,36,29.08551788
2019/4/3 8:00,43,35.2225647
2019/4/3 9:00,51,47.21387482
2019/4/3 10:00,51,56.00299835
2019/4/3 11:00,52,60.00510788
2019/4/3 12:00,53,61.82213974
2019/4/3 13:00,54,55.45913696
2019/4/3 14:00,54,57.18323517
2019/4/3 15:00,54,56.9876442
2019/4/3 16:00,53,56.89794922
2019/4/3 17:00,52,53.96005249
2019/4/3 18:00,48,50.63309479
2019/4/3 19:00,46,48.66522217
2019/4/3 20:00,46,44.33777618
2019/4/3 21:00,44,35.61785126
2019/4/3 22:00,41,34.08042145
2019/4/3 23:00,33,33.44740295
2019/4/4 0:00,24,34.02332687
2019/4/4 1:00,14,32.98625946
2019/4/4 2:00,11,22.61753845
2019/4/4 3:00,11,13.13105583
2019/4/4 4:00,17,11.15935802
2019/4/4 5:00,13,9.750954628
2019/4/4 6:00,13,10.8872366
2019/4/4 7:00,23,19.4095192
2019/4/4 8:00,45,28.4548893
2019/4/4 9:00,50,46.40756607
2019/4/4 10:00,51,58.33400345
2019/4/4 11:00,51,65.73401642
2019/4/4 12:00,55,63.59435654
2019/4/4 13:00,58,64.9046402
2019/4/4 14:00,58,65.54930115
2019/4/4 15:00,59,63.66821671
2019/4/4 16:00,61,60.29637146
2019/4/4 17:00,61,55.3703537
2019/4/4 18:00,56,55.82769394
2019/4/4 19:00,49,56.08457947
2019/4/4 20:00,39,51.20999908
2019/4/4 21:00,28,39.11976624
2019/4/4 22:00,38,32.43824005
2019/4/4 23:00,37,26.77151108
2019/4/5 0:00,29,24.32221031
2019/4/5 1:00,21,36.3305397
2019/4/5 2:00,21,31.56515503
2019/4/5 3:00,22,22.81433487
2019/4/5 4:00,22,18.0115509
2019/4/5 5:00,21,15.58022022
2019/4/5 6:00,20,16.97485352
2019/4/5 7:00,11,27.72333336
2019/4/5 8:00,16,38.79596329
2019/4/5 9:00,29,51.58781815
2019/4/5 10:00,44,51.67970657
2019/4/5 11:00,56,58.28969574
2019/4/5 12:00,61,63.20780945
2019/4/5 13:00,62,71.72452545
2019/4/5 14:00,62,70.40171051
2019/4/5 15:00,63,74.00999451
2019/4/5 16:00,62,66.63031006
2019/4/5 17:00,60,60.66359329
2019/4/5 18:00,58,58.22915268
2019/4/5 19:00,56,58.24617386
2019/4/5 20:00,56,62.93430328
2019/4/5 21:00,56,67.80027008
2019/4/5 22:00,53,66.14878845
2019/4/5 23:00,50,62.89094925
2019/4/6 0:00,43,57.08504486
2019/4/6 1:00,37,53.00440598
2019/4/6 2:00,55,47.73398209
2019/4/6 3:00,61,37.45724869
2019/4/6 4:00,57,35.31217957
2019/4/6 5:00,48,49.26021194
2019/4/6 6:00,51,51.48318481
2019/4/6 7:00,52,46.90488815
2019/4/6 8:00,59,48.27029419
2019/4/6 9:00,60,59.87270355
2019/4/6 10:00,66,67.14109039
2019/4/6 11:00,69,73.35010529
2019/4/6 12:00,75,71.58500671
2019/4/6 13:00,80,73.52489471
2019/4/6 14:00,80,74.09238434
2019/4/6 15:00,83,74.98990631
2019/4/6 16:00,83,77.01683807
2019/4/6 17:00,79,76.20407867
2019/4/6 18:00,70,75.13058472
2019/4/6 19:00,67,75.14196014
2019/4/6 20:00,68,73.83269501
2019/4/6 21:00,45,67.43250275
2019/4/6 22:00,48,64.56703949
2019/4/6 23:00,46,64.92274475
2019/4/7 0:00,44,39.21115112
2019/4/7 1:00,41,43.60185242
2019/4/7 2:00,38,40.34473419
2019/4/7 3:00,33,38.44400787
2019/4/7 4:00,33,34.83579254
2019/4/7 5:00,36,31.225214
2019/4/7 6:00,24,29.23245811
2019/4/7 7:00,29,39.08397675
2019/4/7 8:00,41,50.94411469
2019/4/7 9:00,52,52.41627121
2019/4/7 10:00,58,64.04114532
2019/4/7 11:00,62,71.77854156
2019/4/7 12:00,67,75.51172638
2019/4/7 13:00,73,76.78166962
2019/4/7 14:00,78,76.25169373
2019/4/7 15:00,79,79.35240173
2019/4/7 16:00,78,78.76760101
2019/4/7 17:00,68,80.39130402
2019/4/7 18:00,62,76.50897217
2019/4/7 19:00,59,73.11952972
2019/4/7 20:00,52,59.10283661
2019/4/7 21:00,47,54.95700073
2019/4/7 22:00,58,50.38593292
2019/4/7 23:00,59,43.0933075
2019/4/8 0:00,57,39.31122589
2019/4/8 1:00,55,49.32249451
2019/4/8 2:00,53,48.64530563
2019/4/8 3:00,49,45.08444977
2019/4/8 4:00,51,45.21658325
2019/4/8 5:00,47,44.34109116
2019/4/8 6:00,44,40.82850647
2019/4/8 7:00,42,44.92292786
2019/4/8 8:00,39,44.8141861
2019/4/8 9:00,40,48.24720764
2019/4/8 10:00,44,51.88838959
2019/4/8 11:00,47,53.26488495
2019/4/8 12:00,47,54.25589752
2019/4/8 13:00,49,56.82810211
2019/4/8 14:00,46,59.56350708
2019/4/8 15:00,43,60.00067902
2019/4/8 16:00,42,58.45257187
2019/4/8 17:00,39,51.49291992
2019/4/8 18:00,38,44.03277969
2019/4/8 19:00,35,39.13690186
2019/4/8 20:00,35,34.31606293
2019/4/8 21:00,31,39.94596863
2019/4/8 22:00,30,41.25502014
2019/4/8 23:00,30,41.49061966
2019/4/9 0:00,30,38.19571686
2019/4/9 1:00,27,38.03837967
2019/4/9 2:00,38,35.63273239
2019/4/9 3:00,37,35.18937683
2019/4/9 4:00,36,32.12770462
2019/4/9 5:00,36,41.92818451
2019/4/9 6:00,27,37.75588608
2019/4/9 7:00,42,36.21167755
2019/4/9 8:00,48,36.90740204
2019/4/9 9:00,51,40.26416016
