,obs,predict
2019/4/2 3:00,39,38.37825394
2019/4/2 4:00,30,38.17528915
2019/4/2 5:00,25,34.14656448
2019/4/2 6:00,26,27.50306511
2019/4/2 7:00,36,29.58939362
2019/4/2 8:00,39,39.35780334
2019/4/2 9:00,42,43.93757629
2019/4/2 10:00,46,52.17615891
2019/4/2 11:00,51,55.51871109
2019/4/2 12:00,49,58.76266479
2019/4/2 13:00,51,62.24565506
2019/4/2 14:00,48,64.59790039
2019/4/2 15:00,49,61.80740356
2019/4/2 16:00,49,50.92599869
2019/4/2 17:00,50,44.73336411
2019/4/2 18:00,48,43.01371384
2019/4/2 19:00,46,40.15902328
2019/4/2 20:00,45,38.34357071
2019/4/2 21:00,43,45.1660347
2019/4/2 22:00,40,44.88171387
2019/4/2 23:00,37,40.98089981
2019/4/3 0:00,37,13.97064495
2019/4/3 1:00,35,11.56582737
2019/4/3 2:00,35,13.09960079
2019/4/3 3:00,28,16.67870712
2019/4/3 4:00,29,17.03852654
2019/4/3 5:00,25,27.52070427
2019/4/3 6:00,29,18.47326851
2019/4/3 7:00,36,20.8579464
2019/4/3 8:00,43,24.71922493
2019/4/3 9:00,51,36.15299606
2019/4/3 10:00,51,48.75839615
2019/4/3 11:00,52,58.43603516
2019/4/3 12:00,53,65.47014618
2019/4/3 13:00,54,68.24176025
2019/4/3 14:00,54,69.51371765
2019/4/3 15:00,54,72.56819916
2019/4/3 16:00,53,70.68280029
2019/4/3 17:00,52,64.94942474
2019/4/3 18:00,48,54.38321304
2019/4/3 19:00,46,49.17605591
2019/4/3 20:00,46,43.17566299
2019/4/3 21:00,44,33.80305862
2019/4/3 22:00,41,26.33156204
2019/4/3 23:00,33,18.44172859
2019/4/4 0:00,24,9.03486824
2019/4/4 1:00,14,9.920228004
2019/4/4 2:00,11,11.3630743
2019/4/4 3:00,11,13.51687622
2019/4/4 4:00,17,15.3168993
2019/4/4 5:00,13,13.78571129
2019/4/4 6:00,13,9.56060791
2019/4/4 7:00,23,15.32474422
2019/4/4 8:00,45,22.58292198
2019/4/4 9:00,50,38.30316925
2019/4/4 10:00,51,47.36124039
2019/4/4 11:00,51,58.28103638
2019/4/4 12:00,55,71.48776245
2019/4/4 13:00,58,80.89238739
2019/4/4 14:00,58,84.80890656
2019/4/4 15:00,59,82.94551849
2019/4/4 16:00,61,81.12338257
2019/4/4 17:00,61,73.58998108
2019/4/4 18:00,56,67.04149628
2019/4/4 19:00,49,58.36887741
2019/4/4 20:00,39,44.99057007
2019/4/4 21:00,28,27.93087387
2019/4/4 22:00,38,16.99185944
2019/4/4 23:00,37,14.76750565
2019/4/5 0:00,29,10.90265656
2019/4/5 1:00,21,13.10937786
2019/4/5 2:00,21,14.05621529
2019/4/5 3:00,22,15.48776913
2019/4/5 4:00,22,11.34948635
2019/4/5 5:00,21,6.69952774
2019/4/5 6:00,20,7.563187599
2019/4/5 7:00,11,12.28238869
2019/4/5 8:00,16,15.15343094
2019/4/5 9:00,29,31.0540638
2019/4/5 10:00,44,46.32784653
2019/4/5 11:00,56,56.63203049
2019/4/5 12:00,61,65.73459625
2019/4/5 13:00,62,70.70990753
2019/4/5 14:00,62,75.08695221
2019/4/5 15:00,63,76.90648651
2019/4/5 16:00,62,79.44085693
2019/4/5 17:00,60,79.89225769
2019/4/5 18:00,58,80.88917542
2019/4/5 19:00,56,77.89385223
2019/4/5 20:00,56,76.23561096
2019/4/5 21:00,56,79.54289246
2019/4/5 22:00,53,77.16281128
2019/4/5 23:00,50,69.68097687
2019/4/6 0:00,43,55.72896576
2019/4/6 1:00,37,43.71709061
2019/4/6 2:00,55,23.81881332
2019/4/6 3:00,61,24.95999146
2019/4/6 4:00,57,30.54738045
2019/4/6 5:00,48,35.34070587
2019/4/6 6:00,51,37.9965477
2019/4/6 7:00,52,28.87465286
2019/4/6 8:00,59,30.2312851
2019/4/6 9:00,60,47.66625977
2019/4/6 10:00,66,69.73389435
2019/4/6 11:00,69,79.74112701
2019/4/6 12:00,75,86.0875473
2019/4/6 13:00,80,89.59764862
2019/4/6 14:00,80,90.62680817
2019/4/6 15:00,83,89.92243958
2019/4/6 16:00,83,89.34842682
2019/4/6 17:00,79,85.13616943
2019/4/6 18:00,70,83.30214691
2019/4/6 19:00,67,78.91170502
2019/4/6 20:00,68,75.01741791
2019/4/6 21:00,45,64.04182434
2019/4/6 22:00,48,58.51503372
2019/4/6 23:00,46,59.82023239
2019/4/7 0:00,44,42.93447113
