,obs,predict
2019-04-01 00:00:00,40,41.53661346
2019-04-01 01:00:00,32,37.56560135
2019-04-01 02:00:00,29,27.04146004
2019-04-01 03:00:00,23,21.30211067
2019-04-01 04:00:00,14,15.72782326
2019-04-01 05:00:00,28,15.37103462
2019-04-01 06:00:00,39,31.26436806
2019-04-01 07:00:00,45,42.57985687
2019-04-01 08:00:00,47,48.24331665
2019-04-01 09:00:00,48,50.88759613
2019-04-01 10:00:00,49,52.7878418
2019-04-01 11:00:00,51,52.9186554
2019-04-01 12:00:00,50,55.02563095
2019-04-01 13:00:00,49,51.6057663
2019-04-01 14:00:00,49,51.62809753
2019-04-01 15:00:00,49,49.1207962
2019-04-01 16:00:00,47,47.70262146
2019-04-01 17:00:00,45,44.08688354
2019-04-01 18:00:00,44,43.15036774
2019-04-01 19:00:00,41,42.43431854
2019-04-01 20:00:00,41,40.5682373
2019-04-01 21:00:00,41,41.78625107
2019-04-01 22:00:00,39,42.02058029
2019-04-01 23:00:00,39,37.57774353
2019-04-02 00:00:00,39,36.95745087
2019-04-02 01:00:00,38,36.89472198
2019-04-02 02:00:00,33,34.38938904
2019-04-02 03:00:00,29,26.53494072
2019-04-02 04:00:00,21,20.09608269
2019-04-02 05:00:00,21,17.0486412
2019-04-02 06:00:00,34,26.98396301
2019-04-02 07:00:00,44,39.53514099
2019-04-02 08:00:00,47,46.48141479
2019-04-02 09:00:00,48,49.40574646
2019-04-02 10:00:00,49,51.48117065
2019-04-02 11:00:00,49,52.04119492
2019-04-02 12:00:00,50,50.44808197
2019-04-02 13:00:00,50,53.18257141
2019-04-02 14:00:00,50,52.63871765
2019-04-02 15:00:00,50,50.43972778
2019-04-02 16:00:00,48,48.32687378
2019-04-02 17:00:00,47,45.07217407
2019-04-02 18:00:00,47,44.65132141
2019-04-02 19:00:00,45,45.16288757
2019-04-02 20:00:00,39,44.04695129
2019-04-02 21:00:00,32,37.73896408
2019-04-02 22:00:00,34,31.45851898
2019-04-02 23:00:00,29,32.9758606
2019-04-03 00:00:00,24,26.58826065
2019-04-03 01:00:00,16,17.96104622
2019-04-03 02:00:00,23,9.382699013
2019-04-03 03:00:00,19,13.56210518
2019-04-03 04:00:00,12,3.698915482
2019-04-03 05:00:00,16,7.643006325
2019-04-03 06:00:00,27,22.07909966
2019-04-03 07:00:00,36,35.88074493
2019-04-03 08:00:00,48,46.25550842
2019-04-03 09:00:00,51,54.78993225
2019-04-03 10:00:00,53,56.58406448
2019-04-03 11:00:00,55,57.31762314
2019-04-03 12:00:00,57,58.53371811
2019-04-03 13:00:00,59,59.82178116
2019-04-03 14:00:00,54,59.77631378
2019-04-03 15:00:00,52,50.32516098
2019-04-03 16:00:00,48,45.42282486
2019-04-03 17:00:00,39,40.57167053
2019-04-03 18:00:00,33,32.27663803
2019-04-03 19:00:00,28,28.07089806
2019-04-03 20:00:00,19,23.81189156
2019-04-03 21:00:00,13,18.28855896
2019-04-03 22:00:00,12,14.52339363
2019-04-03 23:00:00,27,14.72544861
2019-04-04 00:00:00,23,27.34066582
2019-04-04 01:00:00,20,18.82494164
