,predict,obs
2019-04-01 00:00:00,44.53695679,40.0
2019-04-01 01:00:00,43.79704285,32.0
2019-04-01 02:00:00,37.99283218,29.0
2019-04-01 03:00:00,32.02769089,23.0
2019-04-01 04:00:00,22.8275013,14.0
2019-04-01 05:00:00,18.43073845,28.0
2019-04-01 06:00:00,33.7743454,39.0
2019-04-01 07:00:00,46.17850113,45.0
2019-04-01 08:00:00,51.95980835,47.0
2019-04-01 09:00:00,54.46562958,48.0
2019-04-01 10:00:00,55.94471741,49.0
2019-04-01 11:00:00,54.43827438,51.0
2019-04-01 12:00:00,54.47768021,50.0
2019-04-01 13:00:00,50.29911423,49.0
2019-04-01 14:00:00,49.05539322,49.0
2019-04-01 15:00:00,45.78756332,49.0
2019-04-01 16:00:00,46.376091,47.0
2019-04-01 17:00:00,43.71688843,45.0
2019-04-01 18:00:00,45.36969757,44.0
2019-04-01 19:00:00,46.15808868,41.0
2019-04-01 20:00:00,45.66962814,41.0
2019-04-01 21:00:00,43.94451904,41.0
2019-04-01 22:00:00,45.12451172,39.0
2019-04-01 23:00:00,43.88238144,39.0
2019-04-02 00:00:00,46.54524231,39.0
2019-04-02 01:00:00,45.98563385,38.0
2019-04-02 02:00:00,44.09895325,33.0
2019-04-02 03:00:00,36.61688995,29.0
2019-04-02 04:00:00,29.15289116,21.0
2019-04-02 05:00:00,23.84291649,21.0
2019-04-02 06:00:00,31.91357994,34.0
2019-04-02 07:00:00,37.83611298,44.0
2019-04-02 08:00:00,47.67786026,47.0
2019-04-02 09:00:00,50.57055283,48.0
2019-04-02 10:00:00,54.35704041,49.0
2019-04-02 11:00:00,52.81982422,49.0
2019-04-02 12:00:00,49.50302124,50.0
2019-04-02 13:00:00,51.27440643,50.0
2019-04-02 14:00:00,51.68296814,50.0
2019-04-02 15:00:00,48.88347244,50.0
2019-04-02 16:00:00,46.83994293,48.0
2019-04-02 17:00:00,46.49080276,47.0
2019-04-02 18:00:00,48.00759125,47.0
2019-04-02 19:00:00,48.68654633,45.0
2019-04-02 20:00:00,46.68281555,39.0
2019-04-02 21:00:00,39.24405289,32.0
2019-04-02 22:00:00,35.9148674,34.0
2019-04-02 23:00:00,35.42570496,29.0
2019-04-03 00:00:00,35.38097382,24.0
2019-04-03 01:00:00,33.81325531,16.0
2019-04-03 02:00:00,32.27098846,23.0
2019-04-03 03:00:00,25.05809784,19.0
2019-04-03 04:00:00,6.395601273,12.0
2019-04-03 05:00:00,8.695994377,16.0
2019-04-03 06:00:00,18.07726479,27.0
2019-04-03 07:00:00,25.26388741,36.0
2019-04-03 08:00:00,41.68269348,48.0
2019-04-03 09:00:00,61.22975159,51.0
2019-04-03 10:00:00,64.56796265,53.0
2019-04-03 11:00:00,62.17975235,55.0
2019-04-03 12:00:00,60.57295609,57.0
2019-04-03 13:00:00,58.57077789,59.0
2019-04-03 14:00:00,59.70120621,54.0
2019-04-03 15:00:00,52.63118744,52.0
2019-04-03 16:00:00,47.24071884,48.0
2019-04-03 17:00:00,39.5678215,39.0
2019-04-03 18:00:00,33.57520294,33.0
2019-04-03 19:00:00,30.31101036,28.0
2019-04-03 20:00:00,22.12512779,19.0
2019-04-03 21:00:00,17.2331028,13.0
2019-04-03 22:00:00,16.41559792,12.0
2019-04-03 23:00:00,16.46657753,27.0
2019-04-04 00:00:00,23.80125237,23.0
2019-04-04 01:00:00,21.96920967,20.0
2019-04-04 02:00:00,14.15819645,11.0
2019-04-04 03:00:00,10.60897541,9.0
2019-04-04 04:00:00,6.77632761,6.0
2019-04-04 05:00:00,4.921072483,14.0
2019-04-04 06:00:00,15.3228941,20.0
2019-04-04 07:00:00,26.80604744,29.0
2019-04-04 08:00:00,47.67033386,38.0
2019-04-04 09:00:00,67.23264313,44.0
2019-04-04 10:00:00,75.77293396,42.0
2019-04-04 11:00:00,73.38049316,51.0
2019-04-04 12:00:00,65.84703064,64.0
2019-04-04 13:00:00,67.11360168,66.0
2019-04-04 14:00:00,67.47428894,64.0
2019-04-04 15:00:00,68.1493988,62.0
2019-04-04 16:00:00,62.92419434,59.0
2019-04-04 17:00:00,59.99999619,58.0
2019-04-04 18:00:00,60.68506622,52.0
2019-04-04 19:00:00,56.83426666,53.0
2019-04-04 20:00:00,61.24055099,56.0
2019-04-04 21:00:00,58.86933517,61.0
2019-04-04 22:00:00,60.8295517,59.0
2019-04-04 23:00:00,58.36101913,67.0
2019-04-05 00:00:00,60.26122665,60.0
2019-04-05 01:00:00,64.30917358,59.0
2019-04-05 02:00:00,64.54135132,58.0
