,obs,predict,Unnamed: 3,Unnamed: 4
2019-04-01 00:00:00,40,42.94167328,,
2019-04-01 01:00:00,31,44.12770462,,
2019-04-01 02:00:00,22,36.39196396,,
2019-04-01 03:00:00,28,19.90867805,,
2019-04-01 04:00:00,28,21.02533722,,
2019-04-01 05:00:00,28,23.33923531,,
2019-04-01 06:00:00,39,32.20998764,,
2019-04-01 07:00:00,44,47.70164871,,
2019-04-01 08:00:00,46,48.35821533,,
2019-04-01 09:00:00,48,49.07479095,,
2019-04-01 10:00:00,50,50.77095413,,
2019-04-01 11:00:00,52,53.64279556,,
2019-04-01 12:00:00,51,54.95849991,,
2019-04-01 13:00:00,49,53.34614944,,
2019-04-01 14:00:00,47,47.94236755,,
2019-04-01 15:00:00,48,47.92188263,,
2019-04-01 16:00:00,49,47.38232803,,
2019-04-01 17:00:00,46,46.91915131,,
2019-04-01 18:00:00,45,43.97582626,,
2019-04-01 19:00:00,47,43.36101532,,
2019-04-01 20:00:00,43,46.40153122,,
2019-04-01 21:00:00,40,45.13961411,,
2019-04-01 22:00:00,41,41.56139374,,
2019-04-01 23:00:00,36,39.38834381,,
2019-04-02 00:00:00,40,38.10168839,,
2019-04-02 01:00:00,37,40.62583923,,
2019-04-02 02:00:00,32,38.61452103,,
2019-04-02 03:00:00,14,26.39672279,,
2019-04-02 04:00:00,13,15.0588026,,
2019-04-02 05:00:00,18,16.18045425,,
2019-04-02 06:00:00,32,30.45139313,,
2019-04-02 07:00:00,45,44.37746429,,
2019-04-02 08:00:00,48,48.97197342,,
2019-04-02 09:00:00,50,50.85404968,,
2019-04-02 10:00:00,51,52.81089401,,
2019-04-02 11:00:00,52,52.73923492,,
2019-04-02 12:00:00,53,54.88489914,,
2019-04-02 13:00:00,53,55.55950546,,
2019-04-02 14:00:00,53,54.10996628,,
2019-04-02 15:00:00,51,54.16567993,,
2019-04-02 16:00:00,49,52.60105133,,
2019-04-02 17:00:00,45,48.92824936,,
2019-04-02 18:00:00,44,44.9774704,,
2019-04-02 19:00:00,39,43.10216141,,
2019-04-02 20:00:00,34,39.48755264,,
2019-04-02 21:00:00,37,36.60174561,,
2019-04-02 22:00:00,35,34.67889404,,
2019-04-02 23:00:00,31,29.46747208,,
2019-04-03 00:00:00,27,24.18488693,,
2019-04-03 01:00:00,14,18.79602051,,
2019-04-03 02:00:00,7,9.662495613,,
2019-04-03 03:00:00,5,3.234653234,,
2019-04-03 04:00:00,5,4.08654213,,
2019-04-03 05:00:00,16,6.025705338,,
2019-04-03 06:00:00,26,21.02061844,,
2019-04-03 07:00:00,27,33.36980057,,
2019-04-03 08:00:00,39,38.11161423,,
2019-04-03 09:00:00,51,50.67974472,,
2019-04-03 10:00:00,53,55.73193741,,
2019-04-03 11:00:00,55,57.08373642,,
2019-04-03 12:00:00,58,60.53943634,,
2019-04-03 13:00:00,62,63.20019913,,
2019-04-03 14:00:00,62,66.45400238,,
2019-04-03 15:00:00,62,68.28575134,,
2019-04-03 16:00:00,62,63.59478378,,
2019-04-03 17:00:00,60,59.4086113,,
2019-04-03 18:00:00,52,53.28264236,,
2019-04-03 19:00:00,43,48.88661194,,
2019-04-03 20:00:00,30,47.08901978,,
2019-04-03 21:00:00,28,31.46657753,,
2019-04-03 22:00:00,21,24.41097641,,
2019-04-03 23:00:00,17,17.14964294,,
2019-04-04 00:00:00,13,16.90742493,,
2019-04-04 01:00:00,10,11.1245327,,
2019-04-04 02:00:00,12,10.35129261,,
2019-04-04 03:00:00,13,7.95815134,,
2019-04-04 04:00:00,4,5.002071857,,
2019-04-04 05:00:00,5,7.353283882,,
2019-04-04 06:00:00,15,7.403863907,,
2019-04-04 07:00:00,24,28.76286507,,
2019-04-04 08:00:00,29,35.54198456,,
2019-04-04 09:00:00,35,42.13814545,,
2019-04-04 10:00:00,50,49.52280045,,
2019-04-04 11:00:00,62,56.5809288,,
2019-04-04 12:00:00,64,61.02155685,,
2019-04-04 13:00:00,63,68.09363556,,
2019-04-04 14:00:00,64,69.40629578,,
2019-04-04 15:00:00,63,69.39974213,,
2019-04-04 16:00:00,63,61.90218353,,
2019-04-04 17:00:00,59,61.28355789,,
2019-04-04 18:00:00,58,62.70972443,,
2019-04-04 19:00:00,55,61.45881271,,
2019-04-04 20:00:00,53,55.43140793,,
2019-04-04 21:00:00,53,54.93935394,,
2019-04-04 22:00:00,45,55.21542358,,
2019-04-04 23:00:00,42,47.19273758,,
2019-04-05 00:00:00,40,37.4077301,,
2019-04-05 01:00:00,60,31.76150703,,
2019-04-05 02:00:00,56,52.16832733,,
2019-04-05 03:00:00,53,43.69758224,,
2019-04-05 04:00:00,52,40.03708267,,
2019-04-05 05:00:00,51,40.87921906,,
2019-04-05 06:00:00,52,43.81274796,,
2019-04-05 07:00:00,54,49.86857986,,
2019-04-05 08:00:00,58,53.60541534,,
2019-04-05 09:00:00,61,59.40457535,,
2019-04-05 10:00:00,65,64.00993347,,
2019-04-05 11:00:00,69,63.8221283,,
2019-04-05 12:00:00,73,66.80644226,,
2019-04-05 13:00:00,74,70.69641113,,
2019-04-05 14:00:00,68,72.2428894,,
2019-04-05 15:00:00,76,69.46407318,,
2019-04-05 16:00:00,81,76.54473877,,
2019-04-05 17:00:00,52,76.98418427,,
2019-04-05 18:00:00,44,50.36661911,,
2019-04-05 19:00:00,47,45.46715546,,
2019-04-05 20:00:00,44,45.66604996,,
2019-04-05 21:00:00,44,42.21036148,,
2019-04-05 22:00:00,43,41.4761467,,
2019-04-05 23:00:00,39,38.97040558,,
2019-04-06 00:00:00,34,31.32204056,,
2019-04-06 01:00:00,32,26.74871063,,
2019-04-06 02:00:00,27,23.64366913,,
2019-04-06 03:00:00,26,20.61493683,,
2019-04-06 04:00:00,20,19.19706345,,
2019-04-06 05:00:00,21,19.00872803,,
2019-04-06 06:00:00,31,22.52848053,,
2019-04-06 07:00:00,44,34.19935226,,
2019-04-06 08:00:00,48,50.61326599,,
2019-04-06 09:00:00,55,57.88296127,,
2019-04-06 10:00:00,61,62.88475037,,
2019-04-06 11:00:00,68,67.87854004,,
2019-04-06 12:00:00,72,75.70462799,,
2019-04-06 13:00:00,72,76.7763443,,
2019-04-06 14:00:00,73,71.17163086,,
2019-04-06 15:00:00,73,73.1258316,,
2019-04-06 16:00:00,73,71.40486908,,
2019-04-06 17:00:00,61,67.45788574,,
2019-04-06 18:00:00,53,54.59110641,,
2019-04-06 19:00:00,51,48.1274147,,
2019-04-06 20:00:00,51,45.0353508,,
2019-04-06 21:00:00,53,46.02100372,,
2019-04-06 22:00:00,50,49.43392944,,
2019-04-06 23:00:00,52,47.57569504,,
2019-04-07 00:00:00,47,51.20266342,,
2019-04-07 01:00:00,43,48.99301529,,
2019-04-07 02:00:00,44,44.64442062,,
2019-04-07 03:00:00,47,42.05551529,,
2019-04-07 04:00:00,44,41.79484558,,
2019-04-07 05:00:00,41,34.4573822,,
2019-04-07 06:00:00,40,31.55681419,,
2019-04-07 07:00:00,42,31.63998795,,
2019-04-07 08:00:00,40,33.89360428,,
2019-04-07 09:00:00,43,33.11243439,,
2019-04-07 10:00:00,43,37.79491425,,
2019-04-07 11:00:00,46,42.09474182,,
2019-04-07 12:00:00,47,48.52503967,,
2019-04-07 13:00:00,48,50.05730057,,
2019-04-07 14:00:00,42,48.63308716,,
2019-04-07 15:00:00,39,38.25721741,,
2019-04-07 16:00:00,35,30.67091751,,
2019-04-07 17:00:00,34,26.88042831,,
2019-04-07 18:00:00,34,27.49086761,,
2019-04-07 19:00:00,33,28.94743538,,
2019-04-07 20:00:00,29,28.38611603,,
2019-04-07 21:00:00,25,27.80284882,,
2019-04-07 22:00:00,20,28.54556656,,
2019-04-07 23:00:00,27,24.39102554,,
2019-04-08 00:00:00,24,24.85715294,,
2019-04-08 01:00:00,34,22.78022385,,
2019-04-08 02:00:00,38,30.35478783,,
2019-04-08 03:00:00,36,31.78543472,,
