,obs,predict
2019-04-01 00:00:00,22,35.45304489
2019-04-01 01:00:00,28,33.2845726
2019-04-01 02:00:00,28,22.98386765
2019-04-01 03:00:00,28,29.74265289
2019-04-01 04:00:00,39,32.87665558
2019-04-01 05:00:00,44,38.90396881
2019-04-01 06:00:00,46,49.35758972
2019-04-01 07:00:00,48,49.88118744
2019-04-01 08:00:00,50,49.17238998
2019-04-01 09:00:00,52,51.69927216
2019-04-01 10:00:00,51,52.85175323
2019-04-01 11:00:00,49,54.4668808
2019-04-01 12:00:00,47,53.85881805
2019-04-01 13:00:00,48,51.17015839
2019-04-01 14:00:00,49,40.5534935
2019-04-01 15:00:00,46,35.75849533
2019-04-01 16:00:00,45,33.73863983
2019-04-01 17:00:00,47,36.14528275
2019-04-01 18:00:00,43,42.43470001
2019-04-01 19:00:00,40,44.98236847
2019-04-01 20:00:00,41,42.16183853
2019-04-01 21:00:00,36,37.17008972
2019-04-01 22:00:00,40,33.67285919
2019-04-01 23:00:00,37,31.31975174
2019-04-02 00:00:00,32,31.36611176
2019-04-02 01:00:00,14,30.29205513
2019-04-02 02:00:00,13,24.9857235
2019-04-02 03:00:00,18,15.24630451
2019-04-02 04:00:00,32,15.45785427
2019-04-02 05:00:00,45,33.92738342
2019-04-02 06:00:00,48,47.20854568
2019-04-02 07:00:00,50,50.53639221
2019-04-02 08:00:00,51,48.30845642
2019-04-02 09:00:00,52,51.5101738
2019-04-02 10:00:00,53,53.10056686
2019-04-02 11:00:00,53,51.41975784
2019-04-02 12:00:00,53,49.12870789
2019-04-02 13:00:00,51,48.46290588
2019-04-02 14:00:00,49,43.88895035
2019-04-02 15:00:00,45,44.03329849
2019-04-02 16:00:00,44,42.02796555
2019-04-02 17:00:00,39,40.38856125
2019-04-02 18:00:00,34,40.14157104
2019-04-02 19:00:00,37,40.44312286
2019-04-02 20:00:00,35,35.37159729
2019-04-02 21:00:00,31,26.45940208
2019-04-02 22:00:00,27,24.45240021
2019-04-02 23:00:00,14,21.44902229
2019-04-03 00:00:00,7,18.32819366
2019-04-03 01:00:00,5,12.42300034
2019-04-03 02:00:00,5,3.023975372
2019-04-03 03:00:00,16,10.4129343
2019-04-03 04:00:00,26,15.38383961
2019-04-03 05:00:00,27,22.09347153
2019-04-03 06:00:00,39,42.34241486
2019-04-03 07:00:00,51,47.71722412
2019-04-03 08:00:00,53,50.17758942
2019-04-03 09:00:00,55,57.65914536
2019-04-03 10:00:00,58,64.15533447
2019-04-03 11:00:00,62,64.05272675
2019-04-03 12:00:00,62,61.45042801
2019-04-03 13:00:00,62,57.23919296
2019-04-03 14:00:00,62,54.0909729
2019-04-03 15:00:00,60,54.43354797
2019-04-03 16:00:00,52,53.76383209
2019-04-03 17:00:00,43,54.32733536
2019-04-03 18:00:00,30,48.18364716
2019-04-03 19:00:00,28,38.28672791
2019-04-03 20:00:00,21,34.54292297
2019-04-03 21:00:00,17,11.36974907
2019-04-03 22:00:00,13,10.06678391
2019-04-03 23:00:00,10,9.142507553
2019-04-04 00:00:00,12,9.443442345
2019-04-04 01:00:00,13,7.922011375
2019-04-04 02:00:00,4,8.249043465
2019-04-04 03:00:00,5,11.21148682
2019-04-04 04:00:00,15,16.83286858
2019-04-04 05:00:00,24,18.20228958
2019-04-04 06:00:00,29,18.30885887
2019-04-04 07:00:00,35,49.33747101
2019-04-04 08:00:00,50,58.16121674
2019-04-04 09:00:00,62,58.13234711
2019-04-04 10:00:00,64,59.71586609
2019-04-04 11:00:00,63,63.87776947
2019-04-04 12:00:00,64,66.17816162
2019-04-04 13:00:00,63,70.2559967
2019-04-04 14:00:00,63,66.03614044
2019-04-04 15:00:00,59,63.80528259
2019-04-04 16:00:00,58,62.65348816
2019-04-04 17:00:00,55,60.50662994
2019-04-04 18:00:00,53,61.76063156
2019-04-04 19:00:00,53,55.24129486
2019-04-04 20:00:00,45,48.05285645
2019-04-04 21:00:00,42,46.5536499
2019-04-04 22:00:00,40,52.37446213
2019-04-04 23:00:00,60,44.29605484
2019-04-05 00:00:00,56,30.55515671
2019-04-05 01:00:00,53,27.45108414
2019-04-05 02:00:00,52,35.71027756
2019-04-05 03:00:00,51,33.7712326
2019-04-05 04:00:00,52,39.05446625
2019-04-05 05:00:00,54,44.98299789
2019-04-05 06:00:00,58,43.6889801
2019-04-05 07:00:00,61,49.31777191
2019-04-05 08:00:00,65,55.98748398
2019-04-05 09:00:00,69,56.94709778
2019-04-05 10:00:00,73,60.19915009
2019-04-05 11:00:00,74,63.64395905
2019-04-05 12:00:00,68,65.69726563
2019-04-05 13:00:00,76,65.93038177
2019-04-05 14:00:00,81,67.25700378
2019-04-05 15:00:00,52,63.86587906
2019-04-05 16:00:00,44,67.67617798
2019-04-05 17:00:00,47,66.31292725
2019-04-05 18:00:00,44,43.31035233
2019-04-05 19:00:00,44,37.4774704
2019-04-05 20:00:00,43,41.9799118
2019-04-05 21:00:00,39,35.1517868
2019-04-05 22:00:00,34,27.04981232
2019-04-05 23:00:00,32,24.73660851
2019-04-06 00:00:00,27,17.49018288
2019-04-06 01:00:00,26,16.8683815
2019-04-06 02:00:00,20,14.23159313
2019-04-06 03:00:00,21,19.22659492
2019-04-06 04:00:00,31,23.51646042
2019-04-06 05:00:00,44,30.40605736
2019-04-06 06:00:00,48,38.28697205
2019-04-06 07:00:00,55,48.67810822
2019-04-06 08:00:00,61,58.32265854
2019-04-06 09:00:00,68,59.84466171
2019-04-06 10:00:00,72,62.00462341
2019-04-06 11:00:00,72,68.08502197
2019-04-06 12:00:00,73,74.43003082
2019-04-06 13:00:00,73,69.1759491
2019-04-06 14:00:00,73,62.4561348
2019-04-06 15:00:00,61,62.33409882
2019-04-06 16:00:00,53,58.34138107
2019-04-06 17:00:00,51,53.5713768
2019-04-06 18:00:00,51,41.38697052
2019-04-06 19:00:00,53,30.56847
2019-04-06 20:00:00,50,29.08415794
2019-04-06 21:00:00,52,42.40536118
2019-04-06 22:00:00,47,47.01450348
2019-04-06 23:00:00,43,45.28752518
2019-04-07 00:00:00,44,47.90551758
2019-04-07 01:00:00,47,43.07556915
2019-04-07 02:00:00,44,33.59307861
2019-04-07 03:00:00,41,23.55731392
2019-04-07 04:00:00,40,29.00821686
2019-04-07 05:00:00,42,33.5054512
2019-04-07 06:00:00,40,35.27962875
2019-04-07 07:00:00,43,36.15187836
2019-04-07 08:00:00,43,37.29528046
2019-04-07 09:00:00,46,35.16743469
2019-04-07 10:00:00,47,35.54805756
2019-04-07 11:00:00,48,43.18788528
2019-04-07 12:00:00,42,48.1260376
2019-04-07 13:00:00,39,46.16471481
2019-04-07 14:00:00,35,42.66006851
2019-04-07 15:00:00,34,35.76468658
2019-04-07 16:00:00,34,33.36463165
2019-04-07 17:00:00,33,32.32201385
2019-04-07 18:00:00,29,27.73514938
2019-04-07 19:00:00,25,28.09459305
2019-04-07 20:00:00,20,28.2356987
2019-04-07 21:00:00,27,29.39101028
2019-04-07 22:00:00,24,29.62225914
2019-04-07 23:00:00,34,28.87620354
2019-04-08 00:00:00,38,25.28170395
2019-04-08 01:00:00,36,19.73043823
2019-04-08 02:00:00,37,23.65662003
2019-04-08 03:00:00,35,23.49358559
2019-04-08 04:00:00,38,26.54633522
2019-04-08 05:00:00,44,36.52893066
2019-04-08 06:00:00,47,39.52101898
2019-04-08 07:00:00,49,46.62688446
2019-04-08 08:00:00,51,52.46088028
2019-04-08 09:00:00,51,53.47596741
2019-04-08 10:00:00,49,52.67986679
2019-04-08 11:00:00,49,51.98022842
2019-04-08 12:00:00,48,50.34265518
2019-04-08 13:00:00,49,48.08388138
2019-04-08 14:00:00,46,48.85640335
2019-04-08 15:00:00,44,47.2072258
2019-04-08 16:00:00,41,42.93170166
2019-04-08 17:00:00,35,40.50832367
2019-04-08 18:00:00,37,44.81976318
2019-04-08 19:00:00,29,44.56975174
2019-04-08 20:00:00,23,41.54593277
2019-04-08 21:00:00,26,37.83872986
2019-04-08 22:00:00,22,18.72126198
2019-04-08 23:00:00,20,13.35808945
2019-04-09 00:00:00,5,9.776074409
2019-04-09 01:00:00,27,6.428173065
2019-04-09 02:00:00,27,5.679065228
2019-04-09 03:00:00,12,6.974565983
2019-04-09 04:00:00,17,29.64222145
2019-04-09 05:00:00,24,33.64000702
2019-04-09 06:00:00,24,30.45439148
2019-04-09 07:00:00,24,30.20742416
2019-04-09 08:00:00,21,29.37213135
2019-04-09 09:00:00,21,27.88756561
2019-04-09 10:00:00,22,27.90611267
2019-04-09 11:00:00,23,27.8126297
2019-04-09 12:00:00,22,31.34756088
2019-04-09 13:00:00,16,29.28190422
2019-04-09 14:00:00,19,25.81411552
2019-04-09 15:00:00,20,15.72026157
2019-04-09 16:00:00,22,15.83644676
2019-04-09 17:00:00,30,21.62488747
2019-04-09 18:00:00,37,18.22964478
2019-04-09 19:00:00,38,23.98397064
2019-04-09 20:00:00,36,26.45644569
2019-04-09 21:00:00,30,28.40205193
2019-04-09 22:00:00,32,34.82672501
2019-04-09 23:00:00,32,32.03325272
2019-04-10 00:00:00,30,30.21455956
2019-04-10 01:00:00,26,30.43616676
2019-04-10 02:00:00,19,29.8348217
2019-04-10 03:00:00,33,29.88701057
2019-04-10 04:00:00,41,31.92055511
2019-04-10 05:00:00,43,33.409729
2019-04-10 06:00:00,44,39.20769501
2019-04-10 07:00:00,46,45.03577423
2019-04-10 08:00:00,46,47.6786232
2019-04-10 09:00:00,47,49.05470657
2019-04-10 10:00:00,47,48.14940643
2019-04-10 11:00:00,46,46.90296555
2019-04-10 12:00:00,46,47.3338356
2019-04-10 13:00:00,44,45.87129974
2019-04-10 14:00:00,42,43.17540741
2019-04-10 15:00:00,42,42.13938141
