,obs,predict,Unnamed: 3,Unnamed: 4
2019-04-01 00:00:00,31,29.80235481,,
2019-04-01 01:00:00,22,24.81389999,,
2019-04-01 02:00:00,28,19.88990974,,
2019-04-01 03:00:00,28,9.131258011,,
2019-04-01 04:00:00,28,16.23003387,,
2019-04-01 05:00:00,39,17.80886078,,
2019-04-01 06:00:00,44,31.59793663,,
2019-04-01 07:00:00,46,38.20788574,,
2019-04-01 08:00:00,48,46.30101395,,
2019-04-01 09:00:00,50,52.93409348,,
2019-04-01 10:00:00,52,60.19784927,,
2019-04-01 11:00:00,51,62.83287048,,
2019-04-01 12:00:00,49,64.71504211,,
2019-04-01 13:00:00,47,59.4504776,,
2019-04-01 14:00:00,48,54.57201385,,
2019-04-01 15:00:00,49,56.18556595,,
2019-04-01 16:00:00,46,54.18557358,,
2019-04-01 17:00:00,45,51.68306351,,
2019-04-01 18:00:00,47,47.87554932,,
2019-04-01 19:00:00,43,44.7325592,,
2019-04-01 20:00:00,40,43.66439056,,
2019-04-01 21:00:00,41,36.62395477,,
2019-04-01 22:00:00,36,23.91877365,,
2019-04-01 23:00:00,40,23.59083939,,
2019-04-02 00:00:00,37,24.05173302,,
2019-04-02 01:00:00,32,25.46759033,,
2019-04-02 02:00:00,14,23.90040398,,
2019-04-02 03:00:00,13,16.49584389,,
2019-04-02 04:00:00,18,7.501448631,,
2019-04-02 05:00:00,32,6.293885231,,
2019-04-02 06:00:00,45,27.92611885,,
2019-04-02 07:00:00,48,44.15142441,,
2019-04-02 08:00:00,50,45.35564041,,
2019-04-02 09:00:00,51,53.1529808,,
2019-04-02 10:00:00,52,58.28105545,,
2019-04-02 11:00:00,53,62.14245987,,
2019-04-02 12:00:00,53,61.22902679,,
2019-04-02 13:00:00,53,59.72697067,,
2019-04-02 14:00:00,51,59.61142349,,
2019-04-02 15:00:00,49,59.80422211,,
2019-04-02 16:00:00,45,57.04773331,,
2019-04-02 17:00:00,44,57.82547379,,
