,obs,predict,Unnamed: 3,Unnamed: 4
2019-04-01 00:00:00,40.0,43.22227478,,
2019-04-01 01:00:00,43.0,43.82343674,,
2019-04-01 02:00:00,41.0,45.50702286,,
2019-04-01 03:00:00,40.0,44.08101273,,
2019-04-01 04:00:00,42.0,44.12218094,,
2019-04-01 05:00:00,44.0,46.34579849,,
2019-04-01 06:00:00,45.0,49.56382751,,
2019-04-01 07:00:00,47.0,52.5629158,,
2019-04-01 08:00:00,48.0,55.89379501,,
2019-04-01 09:00:00,48.0,57.2338829,,
2019-04-01 10:00:00,49.0,57.98678207,,
2019-04-01 11:00:00,50.0,58.96747971,,
2019-04-01 12:00:00,49.0,58.95574188,,
2019-04-01 13:00:00,49.0,56.47372818,,
2019-04-01 14:00:00,50.0,55.43172836,,
2019-04-01 15:00:00,50.0,56.4561348,,
2019-04-01 16:00:00,48.0,53.67202759,,
2019-04-01 17:00:00,47.0,50.10441971,,
2019-04-01 18:00:00,46.0,50.29533768,,
2019-04-01 19:00:00,44.0,48.03398514,,
2019-04-01 20:00:00,44.0,46.60705566,,
2019-04-01 21:00:00,46.0,47.52159882,,
2019-04-01 22:00:00,47.0,48.55503845,,
2019-04-01 23:00:00,48.0,48.94630432,,
2019-04-02 00:00:00,47.0,49.40532303,,
2019-04-02 01:00:00,47.0,48.15609741,,
2019-04-02 02:00:00,46.0,48.40307999,,
2019-04-02 03:00:00,46.0,47.65483856,,
2019-04-02 04:00:00,47.0,47.47241974,,
2019-04-02 05:00:00,47.0,47.91537857,,
2019-04-02 06:00:00,48.0,48.09618759,,
2019-04-02 07:00:00,47.0,49.76703262,,
2019-04-02 08:00:00,47.0,52.42447281,,
2019-04-02 09:00:00,48.0,55.56367111,,
2019-04-02 10:00:00,48.0,57.99284363,,
2019-04-02 11:00:00,49.0,56.92024612,,
2019-04-02 12:00:00,49.0,55.85860825,,
2019-04-02 13:00:00,50.0,56.07288742,,
2019-04-02 14:00:00,49.0,56.02010345,,
2019-04-02 15:00:00,49.0,56.09337234,,
2019-04-02 16:00:00,49.0,55.57886505,,
2019-04-02 17:00:00,47.0,54.14873886,,
2019-04-02 18:00:00,45.0,52.4279213,,
2019-04-02 19:00:00,46.0,51.03771973,,
2019-04-02 20:00:00,48.0,50.5888176,,
2019-04-02 21:00:00,48.0,51.68567657,,
2019-04-02 22:00:00,47.0,50.53956985,,
2019-04-02 23:00:00,48.0,49.45365906,,
2019-04-03 00:00:00,46.0,50.32049942,,
2019-04-03 01:00:00,48.0,48.40021133,,
2019-04-03 02:00:00,49.0,48.40304565,,
2019-04-03 03:00:00,49.0,48.99503708,,
2019-04-03 04:00:00,52.0,48.45591354,,
2019-04-03 05:00:00,52.0,51.14672852,,
2019-04-03 06:00:00,52.0,51.13928223,,
2019-04-03 07:00:00,54.0,50.51124573,,
2019-04-03 08:00:00,54.0,55.45946503,,
2019-04-03 09:00:00,55.0,59.63351822,,
2019-04-03 10:00:00,50.0,62.86518478,,
2019-04-03 11:00:00,53.0,59.2869606,,
2019-04-03 12:00:00,52.0,64.13173676,,
2019-04-03 13:00:00,51.0,65.06599426,,
2019-04-03 14:00:00,57.0,62.9314003,,
2019-04-03 15:00:00,56.0,65.36407471,,
2019-04-03 16:00:00,59.0,62.94262695,,
