,obs,predict
2019/4/2 3:00,41,45.21116638
2019/4/2 4:00,40,45.01109695
2019/4/2 5:00,42,45.34872055
2019/4/2 6:00,44,44.13005829
2019/4/2 7:00,45,44.42144012
2019/4/2 8:00,47,45.15840149
2019/4/2 9:00,48,48.07112503
2019/4/2 10:00,48,49.94363403
2019/4/2 11:00,49,53.07799149
2019/4/2 12:00,50,55.44996262
2019/4/2 13:00,49,56.70445251
2019/4/2 14:00,49,55.5503006
2019/4/2 15:00,50,53.17733765
2019/4/2 16:00,50,49.18486786
2019/4/2 17:00,48,44.63871384
2019/4/2 18:00,47,42.67855835
2019/4/2 19:00,46,40.86724472
2019/4/2 20:00,44,39.57073212
2019/4/2 21:00,44,40.95542908
2019/4/2 22:00,46,43.09598923
2019/4/2 23:00,47,45.34392166
2019/4/3 0:00,48,46.6224823
2019/4/3 1:00,47,46.76806641
2019/4/3 2:00,47,47.38069153
2019/4/3 3:00,46,47.07765961
2019/4/3 4:00,46,46.17494965
2019/4/3 5:00,47,46.04265594
2019/4/3 6:00,47,45.61405182
2019/4/3 7:00,48,44.8625412
2019/4/3 8:00,47,44.97658539
2019/4/3 9:00,47,45.19797516
2019/4/3 10:00,48,46.58602142
2019/4/3 11:00,48,50.76589203
2019/4/3 12:00,49,55.42817688
2019/4/3 13:00,49,56.88067627
2019/4/3 14:00,50,54.42699814
2019/4/3 15:00,49,52.91168594
2019/4/3 16:00,49,49.7678299
2019/4/3 17:00,49,48.07338333
2019/4/3 18:00,47,47.09361267
2019/4/3 19:00,45,46.94754028
2019/4/3 20:00,46,47.26036072
2019/4/3 21:00,48,46.84137726
2019/4/3 22:00,48,47.28281403
2019/4/3 23:00,47,48.19963074
2019/4/4 0:00,48,49.25958252
2019/4/4 1:00,46,48.79694748
2019/4/4 2:00,48,47.49357224
2019/4/4 3:00,49,46.7950592
2019/4/4 4:00,49,45.76463699
2019/4/4 5:00,52,44.7200737
2019/4/4 6:00,52,44.50864792
2019/4/4 7:00,52,44.97042847
2019/4/4 8:00,54,45.04703522
2019/4/4 9:00,54,38.47277832
2019/4/4 10:00,55,37.30955887
2019/4/4 11:00,50,49.97422791
2019/4/4 12:00,53,57.93125153
2019/4/4 13:00,52,61.19690323
2019/4/4 14:00,51,60.90312958
2019/4/4 15:00,57,60.39258194
2019/4/4 16:00,56,61.78264618
2019/4/4 17:00,59,58.26461411
2019/4/4 18:00,61,54.14564514
2019/4/4 19:00,62,51.00882339
2019/4/4 20:00,62,48.99033356
2019/4/4 21:00,60,50.83964157
2019/4/4 22:00,61,50.87145233
2019/4/4 23:00,60,51.53188705
2019/4/5 0:00,60,50.52082443
2019/4/5 1:00,60,50.10320663
2019/4/5 2:00,57,51.86884308
2019/4/5 3:00,57,53.67715454
2019/4/5 4:00,56,52.27757263
2019/4/5 5:00,56,48.14850235
2019/4/5 6:00,55,44.90388489
2019/4/5 7:00,53,39.72392273
