,obs,predict,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-04-01 00:00:00,41,40.91999817,,,,
2019-04-01 01:00:00,38,38.79980469,,,,
2019-04-01 02:00:00,30,34.27677917,,,,
2019-04-01 03:00:00,13,22.82082558,,,,
2019-04-01 04:00:00,3,6.85291481,,,,
2019-04-01 05:00:00,18,11.65258694,,,,
2019-04-01 06:00:00,40,36.50171661,,,,
2019-04-01 07:00:00,47,50.72904205,,,,
2019-04-01 08:00:00,47,51.92525482,,,,
2019-04-01 09:00:00,49,51.08303833,,,,
2019-04-01 10:00:00,51,52.05034256,,,,
2019-04-01 11:00:00,51,53.33748245,,,,
2019-04-01 12:00:00,51,53.34400177,,,,
2019-04-01 13:00:00,39,50.60519028,,,,
2019-04-01 14:00:00,45,34.64891434,,,,
2019-04-01 15:00:00,47,39.89369965,,,,
2019-04-01 16:00:00,47,42.75109863,,,,
2019-04-01 17:00:00,46,43.54915237,,,,
2019-04-01 18:00:00,44,42.13271713,,,,
2019-04-01 19:00:00,45,41.5315361,,,,
2019-04-01 20:00:00,43,44.22019958,,,,
2019-04-01 21:00:00,41,39.87876129,,,,
2019-04-01 22:00:00,38,39.82015991,,,,
2019-04-01 23:00:00,40,38.28906631,,,,
2019-04-02 00:00:00,39,40.88237762,,,,
2019-04-02 01:00:00,36,37.15215302,,,,
2019-04-02 02:00:00,30,29.65215492,,,,
2019-04-02 03:00:00,25,19.9582653,,,,
2019-04-02 04:00:00,10,16.81848335,,,,
2019-04-02 05:00:00,14,8.750030518,,,,
2019-04-02 06:00:00,35,30.22135544,,,,
2019-04-02 07:00:00,43,46.49588394,,,,
2019-04-02 08:00:00,46,47.89788818,,,,
2019-04-02 09:00:00,48,50.01507568,,,,
2019-04-02 10:00:00,49,51.25280762,,,,
2019-04-02 11:00:00,50,51.96097946,,,,
2019-04-02 12:00:00,51,51.59007645,,,,
2019-04-02 13:00:00,51,51.48740387,,,,
2019-04-02 14:00:00,51,53.10814667,,,,
2019-04-02 15:00:00,50,49.25120544,,,,
2019-04-02 16:00:00,48,46.33703613,,,,
2019-04-02 17:00:00,44,44.90114594,,,,
2019-04-02 18:00:00,41,40.10613251,,,,
2019-04-02 19:00:00,40,38.31930923,,,,
2019-04-02 20:00:00,33,37.6020546,,,,
2019-04-02 21:00:00,24,29.64504623,,,,
2019-04-02 22:00:00,21,21.66249847,,,,
2019-04-02 23:00:00,20,19.44338799,,,,
2019-04-03 00:00:00,14,19.15873146,,,,
2019-04-03 01:00:00,9,12.80959702,,,,
2019-04-03 02:00:00,2,8.369553566,,,,
2019-04-03 03:00:00,1,4.58611393,,,,
2019-04-03 04:00:00,1,6.246527195,,,,
2019-04-03 05:00:00,2,9.532140732,,,,
2019-04-03 06:00:00,10,13.51388454,,,,
