,obs,predict,,,,
2019/4/2 3:00,30,37.35720444,,,,
2019/4/2 4:00,13,31.96999931,,,,
2019/4/2 5:00,3,24.26953697,,,,
2019/4/2 6:00,18,24.65117836,,,,
2019/4/2 7:00,40,33.07072067,,,,
2019/4/2 8:00,47,44.62679672,,,,
2019/4/2 9:00,47,51.75383377,,,,
2019/4/2 10:00,49,55.79898453,,,,
2019/4/2 11:00,51,55.17040634,,,,
2019/4/2 12:00,51,56.00671005,,,,
2019/4/2 13:00,51,54.9146347,,,,
2019/4/2 14:00,39,53.62649155,,,,
2019/4/2 15:00,45,51.26848984,,,,
2019/4/2 16:00,47,42.90500259,,,,
2019/4/2 17:00,47,8.784790039,,,,
2019/4/2 18:00,46,8.700847626,,,,
2019/4/2 19:00,44,22.67351341,,,,
2019/4/2 20:00,45,32.70550537,,,,
2019/4/2 21:00,43,34.07417679,,,,
2019/4/2 22:00,41,32.70352554,,,,
2019/4/2 23:00,38,35.36021042,,,,
2019/4/3 0:00,40,34.31238556,,,,
2019/4/3 1:00,39,38.41606903,,,,
2019/4/3 2:00,36,38.37235641,,,,
2019/4/3 3:00,30,33.776577,,,,
2019/4/3 4:00,25,27.54023743,,,,
2019/4/3 5:00,10,17.72196007,,,,
2019/4/3 6:00,14,15.3932991,,,,
2019/4/3 7:00,35,27.92063332,,,,
2019/4/3 8:00,43,40.5563736,,,,
2019/4/3 9:00,46,50.48848724,,,,
2019/4/3 10:00,48,53.72118759,,,,
2019/4/3 11:00,49,53.6540947,,,,
2019/4/3 12:00,50,55.55860519,,,,
2019/4/3 13:00,51,54.14305496,,,,
2019/4/3 14:00,51,52.58935928,,,,
2019/4/3 15:00,51,50.10748672,,,,
2019/4/3 16:00,50,48.04075241,,,,
2019/4/3 17:00,48,46.19434357,,,,
2019/4/3 18:00,44,38.30244064,,,,
2019/4/3 19:00,41,30.98593521,,,,
2019/4/3 20:00,40,31.49751854,,,,
2019/4/3 21:00,33,30.47501183,,,,
2019/4/3 22:00,24,29.94941521,,,,
2019/4/3 23:00,21,28.32612991,,,,
2019/4/4 0:00,20,24.66001701,,,,
2019/4/4 1:00,14,24.92870331,,,,
2019/4/4 2:00,9,26.2606411,,,,
2019/4/4 3:00,2,18.96535873,,,,
2019/4/4 4:00,1,11.21833229,,,,
2019/4/4 5:00,1,10.15267181,,,,
2019/4/4 6:00,2,10.53630447,,,,
2019/4/4 7:00,10,16.5851078,,,,
2019/4/4 8:00,19,25.20084572,,,,
2019/4/4 9:00,35,34.83597946,,,,
2019/4/4 10:00,47,32.35614395,,,,
