,obs,predict
2019-04-01 00:00:00,38,42.55692673
2019-04-01 01:00:00,30,36.65460205
2019-04-01 02:00:00,13,31.13282394
2019-04-01 03:00:00,3,29.8728466
2019-04-01 04:00:00,18,32.35306549
2019-04-01 05:00:00,40,37.49781036
2019-04-01 06:00:00,47,49.40470123
2019-04-01 07:00:00,47,52.14758682
2019-04-01 08:00:00,49,53.95347214
2019-04-01 09:00:00,51,57.81742477
2019-04-01 10:00:00,51,63.71255875
2019-04-01 11:00:00,51,66.85237885
2019-04-01 12:00:00,39,65.44699097
2019-04-01 13:00:00,45,64.61230469
2019-04-01 14:00:00,47,57.49856949
2019-04-01 15:00:00,47,44.26793289
2019-04-01 16:00:00,46,42.90601349
2019-04-01 17:00:00,44,50.6343956
2019-04-01 18:00:00,45,52.88367462
2019-04-01 19:00:00,43,52.56921768
2019-04-01 20:00:00,41,47.03060913
2019-04-01 21:00:00,38,40.13618469
2019-04-01 22:00:00,40,38.43109894
2019-04-01 23:00:00,39,38.74995041
2019-04-02 00:00:00,36,36.72229767
2019-04-02 01:00:00,30,34.34770203
2019-04-02 02:00:00,25,31.09777451
2019-04-02 03:00:00,10,38.76961517
2019-04-02 04:00:00,14,37.52163315
2019-04-02 05:00:00,35,39.71838379
2019-04-02 06:00:00,43,45.67589188
2019-04-02 07:00:00,46,52.89144516
2019-04-02 08:00:00,48,52.99126434
2019-04-02 09:00:00,49,56.18515396
2019-04-02 10:00:00,50,61.24006271
2019-04-02 11:00:00,51,65.16159058
2019-04-02 12:00:00,51,64.38696289
2019-04-02 13:00:00,51,63.9175148
2019-04-02 14:00:00,50,60.61668777
2019-04-02 15:00:00,48,58.55863953
2019-04-02 16:00:00,44,56.02608109
2019-04-02 17:00:00,41,52.97198105
2019-04-02 18:00:00,40,52.74924469
2019-04-02 19:00:00,33,49.69142532
2019-04-02 20:00:00,24,43.03256226
2019-04-02 21:00:00,21,32.48522568
2019-04-02 22:00:00,20,26.2694931
2019-04-02 23:00:00,14,22.90674782
2019-04-03 00:00:00,9,27.41172981
2019-04-03 01:00:00,2,27.68916321
2019-04-03 02:00:00,1,13.39203739
2019-04-03 03:00:00,1,7.607051849
2019-04-03 04:00:00,2,17.0886631
2019-04-03 05:00:00,10,28.79066086
2019-04-03 06:00:00,19,25.26797104
2019-04-03 07:00:00,35,33.28519058
2019-04-03 08:00:00,47,49.81716537
2019-04-03 09:00:00,49,53.32326126
2019-04-03 10:00:00,39,53.88646317
2019-04-03 11:00:00,46,53.31695557
2019-04-03 12:00:00,50,50.38767624
2019-04-03 13:00:00,53,44.39799881
2019-04-03 14:00:00,51,42.24544144
2019-04-03 15:00:00,51,45.76340485
2019-04-03 16:00:00,47,48.80965805
2019-04-03 17:00:00,31,47.18375397
2019-04-03 18:00:00,14,46.49357986
2019-04-03 19:00:00,8,47.00183868
2019-04-03 20:00:00,17,37.50005722
2019-04-03 21:00:00,13,30.56155586
2019-04-03 22:00:00,10,26.68566132
2019-04-03 23:00:00,6,24.04748726
2019-04-04 00:00:00,6,22.61880875
2019-04-04 01:00:00,9,26.07862091
2019-04-04 02:00:00,4,15.61101246
2019-04-04 03:00:00,1,3.545041323
2019-04-04 04:00:00,3,4.897732258
2019-04-04 05:00:00,15,5.638595104
2019-04-04 06:00:00,21,8.622437477
2019-04-04 07:00:00,26,27.66562653
2019-04-04 08:00:00,38,52.01716614
2019-04-04 09:00:00,47,61.11990738
2019-04-04 10:00:00,59,66.71824646
2019-04-04 11:00:00,62,69.32158661
2019-04-04 12:00:00,62,68.26708221
2019-04-04 13:00:00,63,71.14781189
2019-04-04 14:00:00,60,75.82740021
2019-04-04 15:00:00,59,72.48052979
2019-04-04 16:00:00,56,59.91114044
2019-04-04 17:00:00,53,51.06033707
2019-04-04 18:00:00,52,54.83123016
2019-04-04 19:00:00,51,61.7868042
2019-04-04 20:00:00,51,67.12387848
2019-04-04 21:00:00,42,69.14332581
2019-04-04 22:00:00,29,61.90375137
2019-04-04 23:00:00,51,56.58138657
2019-04-05 00:00:00,56,46.93196106
2019-04-05 01:00:00,55,38.95546722
2019-04-05 02:00:00,51,57.97147369
2019-04-05 03:00:00,46,59.98378372
2019-04-05 04:00:00,42,60.31921005
2019-04-05 05:00:00,47,60.14015579
2019-04-05 06:00:00,52,56.69345474
2019-04-05 07:00:00,56,58.27655792
2019-04-05 08:00:00,60,64.26927185
2019-04-05 09:00:00,62,68.1778183
2019-04-05 10:00:00,63,73.7979126
2019-04-05 11:00:00,65,78.757164
2019-04-05 12:00:00,68,80.55462646
2019-04-05 13:00:00,73,77.36689758
2019-04-05 14:00:00,75,77.43302917
2019-04-05 15:00:00,70,75.58968353
2019-04-05 16:00:00,60,72.33555603
2019-04-05 17:00:00,52,65.09261322
2019-04-05 18:00:00,47,58.3966713
2019-04-05 19:00:00,39,51.01462936
2019-04-05 20:00:00,33,55.76401901
2019-04-05 21:00:00,32,57.68545151
2019-04-05 22:00:00,30,53.61014175
2019-04-05 23:00:00,32,47.18633652
2019-04-06 00:00:00,31,49.28642654
2019-04-06 01:00:00,33,45.75769806
2019-04-06 02:00:00,30,40.16543198
2019-04-06 03:00:00,28,30.84399414
2019-04-06 04:00:00,24,30.11354637
2019-04-06 05:00:00,30,32.85429764
2019-04-06 06:00:00,37,33.57114029
2019-04-06 07:00:00,44,45.43254089
2019-04-06 08:00:00,51,52.12628937
2019-04-06 09:00:00,58,63.77199936
2019-04-06 10:00:00,61,66.95783997
2019-04-06 11:00:00,65,75.42991638
2019-04-06 12:00:00,68,77.68126678
2019-04-06 13:00:00,70,76.95446777
2019-04-06 14:00:00,72,75.09645844
2019-04-06 15:00:00,73,71.56505585
2019-04-06 16:00:00,66,68.92035675
2019-04-06 17:00:00,50,68.14942932
2019-04-06 18:00:00,38,59.42509842
2019-04-06 19:00:00,37,48.52390671
2019-04-06 20:00:00,39,36.27825165
2019-04-06 21:00:00,39,28.06480408
2019-04-06 22:00:00,37,40.39517593
2019-04-06 23:00:00,37,49.80742264
2019-04-07 00:00:00,46,53.12420654
2019-04-07 01:00:00,49,52.05157089
2019-04-07 02:00:00,48,48.55869675
2019-04-07 03:00:00,45,50.46788406
